时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,62.9665696426614,-9.39526074562074e-06,-2.0833667613046245e-05,3.44065349895142e-05,-6.513115237100376e-05,0.0001191375386898215,-0.0001474434288191548,0.00021671314702865783,-0.00025200092531904323,0.0003025423219903629,-0.0003554963785277363,0.00035881009352363517,-0.0004339148907343053,0.0003783921126111046,-0.00046716609137921754,0.0003658619981960717,-0.0004430043440041287,0.000335292861320019,-0.0003595738298798463,0.0003052113310660978,-0.00022647611647308167,0.0002916763106468245,-6.375728088381201e-05,0.0003017298806285019,0.00010185326988733446,0.00033033511573412277,0.00024306594221950374,0.0003625689787383832,0.0003384032976588209,0.0003797673822553842,0.0003765113078566876,0.0003666433182891978,0.00035762314703233927,0.0003169409473742931,0.0002926477076880847,0.00023625010610891505,0.00020050313357073654,0.00014147796651878305,0.00010429925310945257,5.677585421068457e-05,2.6719603483302108e-05,5.678926991532686e-06,-1.122066586974084e-05
3,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,131.1113340394214,-2.0092988296842797e-05,-4.293889186590002e-05,0.00019873502592286006,-0.0002471844852097159,0.0006132322035543445,-0.0006482355010577134,0.0010940552811527697,-0.0011634965559050364,0.0015204245327248359,-0.001677352206121743,0.001803105081657504,-0.0020688464351374457,0.0019045946910074148,-0.0022360278636167916,0.0018451443373770319,-0.0021159240006236282,0.0016932820398884764,-0.0016977930528460654,0.0015415086338711294,-0.0010290990511579443,0.0014714244854353783,-0.0002110891381656419,0.0015196921458157425,0.000620072910441782,0.0016614721660735629,0.0013250559719611074,0.0018211681833960039,0.001794864833111544,0.001903984800431005,0.0019734207597943134,0.001832674601731253,0.0018646346170998307,0.001576544586803675,0.001526476541371593,0.0011654977011638008,0.0010560190457837497,0.000686256341687805,0.0005690733812810043,0.0002606628832696024,0.0001774701714478048,1.1544939384326892e-05,-2.3597710690237967e-05
4,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,150.86653216741803,-2.3831448323650054e-05,-4.879455924154234e-05,0.00040062410704834234,-0.00043673079844013234,0.001198983184682907,-0.001213408578593139,0.0021272774259146624,-0.0022164311737464513,0.002953871936690603,-0.0032205201448051906,0.003506301697945392,-0.003988933256886712,0.003709792502664682,-0.004322271710106557,0.00359975917917434,-0.0040972479800600635,0.00330566218105312,-0.0032919034470701436,0.0030059514444545896,-0.001997128225542865,0.002860988720112445,-0.0004088737806933972,0.002945664778319745,0.0012075817822965384,0.003214939287952086,0.0025794474943382885,0.0035229842271508106,0.0034929389303765125,0.003684338104269056,0.00383876226852738,0.0035466037336354807,0.003626245394015622,0.0030485936604341527,0.002970491183993545,0.0022487051923295986,0.0020612264000479663,0.0013170119671697853,0.0011218722326698017,0.0004913867084161215,0.00036635226449053024,1.290553157685676e-05,-2.7458511171401533e-05
5,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,159.17476752054927,-2.58961890550316e-05,-5.081976908485373e-05,0.0006045507255662899,-0.000623463528450406,0.0017859182678058537,-0.0017814116307523593,0.0031608187354451914,-0.0032818565389656526,0.004388557020629476,-0.004787748603396656,0.005214479017931318,-0.0059444027648640355,0.005525483496280526,-0.006454025801977657,0.005369201709046614,-0.006133012186003001,0.004932892598551234,-0.004948036977803008,0.004479656993953516,-0.0030324389376305263,0.0042501642544320725,-0.0006755264850116348,0.0043612282418685885,0.0017288597704577659,0.004751431038378533,0.003773565817064056,0.00520659967820432,0.005138280059756063,0.005449759187110045,0.005659270542295308,0.0052506598698195935,0.0053513338776351865,0.0045149187970155115,0.004387423546793155,0.0033282932170577606,0.003049855513849962,0.001944863940607679,0.001667956906259574,0.0007198245250175768,0.0005552776896122659,1.3217940582529286e-05,-2.9282982820917124e-05
6,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,163.7276602960658,-2.741338767928029e-05,-5.1579700525557845e-05,0.000809254561122705,-0.0008106090261459368,0.0023727676754824317,-0.0023558003712514917,0.00419308389105849,-0.00436349936099168,0.005822315981778096,-0.0063827439856322075,0.006924893962149568,-0.007938812328783773,0.007348564008999005,-0.008634706272260024,0.007150330586653116,-0.008226695423059502,0.006572042895331913,-0.006670119977642291,0.0059599440082684155,-0.004139833649822274,0.005636335161344201,-0.001016967308662895,0.0057635656263398385,0.0021770046158355576,0.006267792983060918,0.004900041416319075,0.006868656045935716,0.006723744735378012,0.007197067575117756,0.007428629521255512,0.006942313823035785,0.0070347394998591765,0.005974000331742118,0.0057732929818523435,0.004403829330972898,0.004018904692717659,0.002570233988745875,0.0022050077062213923,0.0009468427239283233,0.0007423310443095743,1.318870444045649e-05,-3.043195993613791e-05
7,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,166.58107592009162,-2.8683758638393276e-05,-5.176031697567967e-05,0.0010143645794069961,-0.0009990207653760574,0.0029590254756676833,-0.0029374892083279046,0.005223245094260406,-0.005462296873692833,0.007253891636345002,-0.008006435369262014,0.008635906258960935,-0.009973057127756953,0.009177187110995041,-0.010865159258062059,0.008941309878799012,-0.010379126695377373,0.008221444191691053,-0.008459076055820521,0.007445335611726264,-0.005320493877063757,0.0070181078496721495,-0.0014347500325113133,0.007151198696653713,0.0025501272735786516,0.007762350841763562,0.005956847936613183,0.00850731206838734,0.00824742618467393,0.008924427488433662,0.009145237121412535,0.008619982832241996,0.008675216098998543,0.007424727573517982,0.007127155678458934,0.005474763634820413,0.0049676420717813695,0.003193046580196239,0.002732429168923339,0.001172632198940629,0.0009270043927785391,1.300693763759095e-05,-3.1269169871382336e-05
8,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,168.51734161748814,-2.982136939296138e-05,-5.1622972865616525e-05,0.0012196930940144768,-0.0011889988871332316,0.0035443099370344603,-0.0035267414277636304,0.006250566039043565,-0.00657845394074526,0.008682121196262538,-0.009658978361054418,0.010345995707960128,-0.012047257813789153,0.011009653869042731,-0.013145472864717414,0.010740466737430758,-0.012590376053054847,0.009879592194492299,-0.010315023635249623,0.008934519782077908,-0.006574701026982258,0.008394266917556664,-0.0019294115919853386,0.00852285490591359,0.0028474482284175503,0.009233660119511275,0.006943094926772791,0.010120950959366506,0.009708494213932516,0.010630175580381391,0.01080843212913488,0.010282161417585223,0.010272278258754259,0.008865954630908767,0.008448645949281812,0.006540417696280499,0.005895766879896829,0.0038130499412270882,0.0032499654077952148,0.001397206526699732,0.001109088380384787,1.2744855985768349e-05,-3.1932988815296806e-05
9,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,169.8991265098172,-3.0878769841364096e-05,-5.128912772056398e-05,0.0014251108235652861,-0.0013806573280912603,0.004128276557787342,-0.004123591001051817,0.007274335779548143,-0.007711903132467297,0.010105866157739955,-0.011340226921654,0.01205367103932573,-0.014161223075866772,0.012844299028491202,-0.01547542610794081,0.0125461645351825,-0.01486020663045813,0.011545021033139029,-0.012237763264644253,0.010426228872550972,-0.007902392069447881,0.009763653705284687,-0.0025011119587522355,0.00987733432643157,0.0030685875881327415,0.010680359611935699,0.007858291755515383,0.01170803546125537,0.011106492353772576,0.012312705588657448,0.012417878859896966,0.011927363559042376,0.011825704815301204,0.010296513370262455,0.009737599266884198,0.007600059216119743,0.00680312620737255,0.004429925796920497,0.003757473394961571,0.0016205173242573318,0.0012884710263409039,1.2436153429900416e-05,-3.2487546301051965e-05
10,0.2343386183736128,10788232.794869779,380.36508274238713,3.633050853470102,0.63898697693035,0.19263009955488297,0.039068794881726154,0.0020132643476289997,0.7706773357834787,1328.0425918421806,1.4930812889636762,0.7866244963583195,692.2875992334696,2.372093332808759,1.4738274744184015,136.83652863941165,170.91726783877337,-3.188332182607436e-05,-5.082296785916279e-05,0.0016305121915091356,-0.0015740333038928936,0.004710596250329812,-0.004727975622324539,0.008293854560696097,-0.00886246014252566,0.01152399898749971,-0.013049904370568768,0.013757453748911989,-0.016314628692229605,0.014679472195405639,-0.01785467235996652,0.014356783410115283,-0.017188265172662427,0.013216283791660038,-0.014226982820995819,0.011919217254610292,-0.009303386980958549,0.011125135764622545,-0.0031498853799133515,0.011213467377840448,0.0032132978872565976,0.012101119772260378,0.008702080462934341,0.0132670559684887,0.012441089787982062,0.013970428641959276,0.013973354124879786,0.013554105110339838,0.01333536938829064,0.011715220566947005,0.010993925921005152,0.0086529283709713,0.007689623464551948,0.005043324592295745,0.0042548536406194284,0.0018424889765462046,0.0014650788353246617,1.2098750165768996e-05,-3.2966575546322247e-05
