时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,13.148467520697475,-8.186072839972887e-07,-1.1333913712780984e-06,1.2276145323343681e-05,-2.0914978670665965e-05,4.0793159927982845e-05,-6.376783321570062e-05,7.437754364241878e-05,-0.00011995880803946877,0.0001039268891592108,-0.00017622655048147608,0.00012308488042357929,-0.00021891227740820527,0.00012956588903927348,-0.0002367725477441781,0.00012525573467404524,-0.00022331723947429573,0.00011511657131291091,-0.00017815377344002536,0.00010524528574746365,-0.00010714406912286374,0.00010064999688168413,-2.1300856847425795e-05,0.00010344154581725953,6.540169911007993e-05,0.00011205476676602793,0.00013888427771075696,0.000121797066257392,0.00018786437444775445,0.00012656171137922565,0.00020614348367806157,0.00012113252429816137,0.00019377289679664952,0.00010330959659984011,0.0001568868916773311,7.513512235191846e-05,0.00010627720046936826,4.281297837319086e-05,5.5085057859784454e-05,1.5233941966656792e-05,1.6005642045493184e-05,9.394273221352448e-07,-7.874118700612905e-07
3,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,30.282937705785507,-1.9119005430976085e-06,-2.574070012025112e-06,5.01928451637078e-05,-7.764748851885926e-05,0.0001610476340562005,-0.00024325919088042996,0.0002919195131286971,-0.00046150935376207945,0.00040746768184782647,-0.0006807393303019881,0.0004827882993435606,-0.0008472453455333447,0.0005086991375431347,-0.0009165861445086164,0.0004922661444713598,-0.0008629158443196093,0.00045270839847095286,-0.0006844335301129294,0.0004139153426767482,-0.00040411525094974127,0.00039571597784422973,-6.544356129051055e-05,0.00040663093349563393,0.00027623458976527767,0.00044062045748489997,0.0005650928601198712,0.00047913227356723197,0.0007564599003089511,0.0004978907142903473,0.0008259895060757602,0.0004761442876665686,0.0007742690400124265,0.00040521678076015576,0.0006260032898089278,0.000293402858037767,0.0004241800260542916,0.00016551258636044155,0.00022076341939508554,5.6839539855767195e-05,6.571075760394768e-05,2.139018492271163e-06,-1.8450163925332948e-06
4,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,41.03232882212143,-2.6597516617664943e-06,-3.3919622392158653e-06,0.0001253873543362376,-0.00018269731690025655,0.00039360227651804387,-0.0005833854668691239,0.0007107003597577074,-0.0011137420955295288,0.0009916346911141027,-0.0016483461737074852,0.0011761099456363828,-0.0020559104539272844,0.0012412198433591197,-0.002227402816333126,0.0012029489542017872,-0.002099014872608237,0.001106925032073749,-0.0016656074734663073,0.0010109331688333224,-0.0009826563671329921,0.0009639181405685087,-0.00015608853561001332,0.0009879208506440368,0.0006786392729351492,0.0010693324693802021,0.0013844661394463566,0.0011631991330181308,0.0018515926982774,0.0012096849249676053,0.0020203767329728503,0.0011571778872175127,0.0018927453087966377,0.0009839267147791894,0.0015298330493907168,0.0007104239091406138,0.0010371281473217624,0.0003980067923015261,0.0005412780544555521,0.00013339447633901563,0.00016349429795701296,2.834208173705324e-06,-2.580995362713076e-06
5,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,45.16929802290858,-3.0048820928948925e-06,-3.6268253452198017e-06,0.00020168848610808653,-0.00028757218021743846,0.0006276164785265691,-0.0009260867810574669,0.0011314253690771583,-0.0017736604046254376,0.0015788736863426645,-0.0026303863228746946,0.0018745693000263063,-0.003286283057131294,0.001981407824868285,-0.003566731129019992,0.0019230816555494295,-0.003369185105169141,0.001770372682784615,-0.0026845082442723844,0.001614534596625889,-0.0016000940671683616,0.0015344516225849992,-0.00028401221513353885,0.001567392741357733,0.0010478980611262735,0.0016938119415942296,0.0021764316470282547,0.0018429767075563135,0.002925460213217824,0.0019188238716994314,0.003199112245148569,0.0018374736316218152,0.0030003280191012263,0.001562920851462723,0.002426794101946757,0.0011276007229291131,0.0016466001451105672,0.0006299896202920907,0.0008608460668680325,0.00020902897591985176,0.0002616639571421103,3.0494768506157877e-06,-2.9300673378767038e-06
6,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,47.33902096372923,-3.2303885637958295e-06,-3.6877490181873785e-06,0.00027823161149263017,-0.0003926973965029603,0.0008615890075785639,-0.0012712211351248702,0.0015517587248569135,-0.002440223805539529,0.0021660222197085726,-0.0036248583021482395,0.002574411887638487,-0.004535716292621002,0.0027252922119942458,-0.00493196319308335,0.0026488428136840782,-0.004671801975292895,0.002439580314265585,-0.0037414934369220773,0.0022215513632286243,-0.002259554912440545,0.002104191442073179,-0.0004554243323940364,0.0021416458173509024,0.0013750291094106189,0.002310200547150376,0.0029301358828080024,0.0025142426737759364,0.0039666036094501735,0.0026210950745596245,0.004351441500283469,0.0025133527967200336,0.004088015765741714,0.0021395245187132788,0.0033102256748659404,0.0015434882988035502,0.002248332042707999,0.0008611354463098407,0.001177196465330975,0.0002841361790658672,0.0003592468557649992,3.1225642300269293e-06,-3.1632492375389203e-06
7,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,48.66358844969644,-3.4046931861671974e-06,-3.6735240138509046e-06,0.0003548297764129335,-0.0004982087042474064,0.001095212899987357,-0.0016188683456502798,0.001971207550472738,-0.003113414012817247,0.002752374126720703,-0.004631646203243913,0.00327475932756837,-0.00580405343488212,0.0034719234054671477,-0.006323007377005535,0.003379330177493342,-0.006006982427124227,0.0031137725898939513,-0.004837049297115294,0.0028313341453081145,-0.002962029569621624,0.0026725328416684637,-0.0006718658405488203,0.002710006987867959,0.0016580328735310453,0.0029176861176186323,0.003643340506283626,0.0031760692415107746,0.0049728220702491424,0.0033155701546856756,0.005475442838462107,0.0031840396279574734,0.005154312035077949,0.002713233812792429,0.004179093144108208,0.0019578845615261633,0.0028416961915490903,0.0010914751615075185,0.0014899964085578988,0.00035885543708188234,0.0004560756848636901,3.1350186649108437e-06,-3.3460848917382815e-06
8,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,49.54594080764141,-3.552347652047388e-06,-3.619654461679091e-06,0.00043139955562506246,-0.0006041356756346907,0.0013283163464975168,-0.0019689961404425315,0.0023894570014591702,-0.003793114237688281,0.003337444844972138,-0.005650558003649257,0.003974984234884619,-0.0070910650958552444,0.004220608844340925,-0.007739649928357236,0.00411388341125894,-0.007374591722336161,0.0037923937061083235,-0.005971195862473158,0.0034434421916881303,-0.0037077688856549324,0.0032390925319630464,-0.0009338584744713278,0.003272058766722341,0.001896149349891181,0.003515749313896042,0.004315153173705833,0.0038278364654311297,0.005943226774068214,0.004001601482640678,0.0065703416988977395,0.003848965941659388,0.00619861368371195,0.0032836487677836584,0.005032973663666246,0.0023705873466602005,0.003426428531328764,0.0013209657477527515,0.0017991026329836064,0.00043322483085430296,0.0005520819438565392,3.1161411391247573e-06,-3.5021009105649083e-06
9,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,50.16639851296995,-3.68431827127126e-06,-3.5420584316819174e-06,0.0005078867029970801,-0.0007104705596953382,0.0015607606551591906,-0.0023215216933004617,0.002806231385474428,-0.004479144771985627,0.003920794953858884,-0.006681327812004166,0.0046745067190332255,-0.008396434420934712,0.004970700466671845,-0.00918156623778483,0.004851879936979855,-0.008774344060912967,0.004474919744186496,-0.007143743536389958,0.004057466781503031,-0.004496744723470519,0.003803527491460558,-0.0012415805013007662,0.003827436960148329,0.00208900373622496,0.004103934416105799,0.004945072979987331,0.004468988070440071,0.006877288059300734,0.004678591190448098,0.007635658965963167,0.00450758763036701,0.007220532374021654,0.003850363582999511,0.005871579478319448,0.0027813645695208933,0.004002337536517487,0.0015495235275026285,0.0021044077631158908,0.0005072450378181437,0.0006472201157396689,3.0790643805331224e-06,-3.641808345862421e-06
10,1.9277725070417056,37785826.54232686,-1958.0076546610107,68.34649876693526,1.8866405697761088,0.3737530434263799,0.05881593408399382,0.004730802742444406,2.068716516294898,1538.1805281321815,9.720601409682425,5.363862943713022,599.7803494025562,8.16147357365046,8.050626907021595,719.470329378401,50.617754785364255,-3.80622921869078e-06,-3.4489545288956807e-06,0.00058424819069417,-0.0008171899816992719,0.0017924197909193681,-0.002676338335246775,0.0032212700025028283,-0.005171292230983091,0.00450200167997083,-0.0077236460122319895,0.005372762608458794,-0.009719790548348794,0.005721562154681427,-0.010648365334523482,0.005592704261801989,-0.010205869985429638,0.0051608309537257225,-0.00835439570843532,0.0046730050713412,-0.005328795547571376,0.004365507216336045,-0.0015950543213167961,0.004375798444860053,0.0022363882027518944,0.004681812413055965,0.005532761639275321,0.005098993491919352,0.007774619831073661,0.005345958859556849,0.008671029613549883,0.005159365023400985,0.008219759940057898,0.004412963595188757,0.0066946710325728135,0.003189966359271772,0.0045692557078072195,0.0017770450299001617,0.0024058153790369585,0.0005809007381853479,0.0007414524495092485,3.0305652430755347e-06,-3.77059953101036e-06
