时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,10.832241747725012,-2.788399314684971e-06,-3.619735763051392e-06,9.480921163074573e-06,-2.6224628796525e-05,3.8128923882893574e-05,-7.169232696925258e-05,7.18983025164455e-05,-0.00013097803355975208,0.00010167148617204767,-0.0001907190851643042,0.00012108285407944766,-0.00023713620761358758,0.0001277947376695205,-0.0002588346461547618,0.0001235957567275966,-0.00024912309654211547,0.00011333277545296874,-0.00020735467578033792,0.0001030195588748558,-0.00013909660143100391,9.766840330909313e-05,-5.50588285832276e-05,9.951573301766558e-05,3.104541071334205e-05,0.00010723456039962933,0.00010529892124745338,0.00011642606194978799,0.00015643610156437058,0.00012124413280767647,0.00017810996791209872,0.00011660968474736206,0.00017006962135072734,0.00010027345290281216,0.00013803132617044937,7.402567745356282e-05,9.230684361926447e-05,4.365227226348925e-05,4.5551602749439774e-05,1.752326297976868e-05,1.0035874422993897e-05,2.7246250163264654e-06,-3.6956999738753233e-06
3,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,24.107538332931032,-6.251695575284765e-06,-8.002995231684522e-06,3.935249837615946e-05,-8.304747383462782e-05,0.00014057405748375867,-0.00024039088059268134,0.0002601559753284622,-0.0004471207427167431,0.00036588201924864125,-0.0006557812193224942,0.00043504255309277916,-0.0008169418046350039,0.000459156024274636,-0.0008895290478468374,0.0004444448209068864,-0.000849345995625092,0.0004081565053856474,-0.0006940686185828829,0.000371858058947243,-0.00044395759318086454,0.0003536178076015717,-0.00013803590528674908,0.0003614966752205159,0.0001736857828801857,0.0003905701323530903,0.00044046999748429696,0.00042464456079044084,0.0006213726142321964,0.00044220336636864734,0.0006935950422347576,0.0004245942723111483,0.0006567703906408399,0.00036367469473124955,0.0005323715854818055,0.0002662749504287069,0.000358563530201842,0.00015394526046418134,0.00018186473033635913,5.769523104743439e-05,4.725606105208782e-05,6.022889866053484e-06,-8.281311261551114e-06
4,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,33.74562768327356,-8.887575600205852e-06,-1.103672574155237e-05,0.0001110650316503272,-0.00019224313715192972,0.0003671493995751987,-0.000585340429934375,0.0006698862619850524,-0.001105038514682919,0.0009382119385468932,-0.0016305977009130831,0.0011146593553823774,-0.0020353687650442507,0.0011772777931694908,-0.0022138262996711736,0.0011410409595118474,-0.0021036620096418096,0.0010490875810489858,-0.0016987734963345587,0.0009562168940618042,-0.0010512316366208202,0.0009090979746674212,-0.00026166237822270914,0.0009292151727351859,0.0005406366267188276,0.001004499780277091,0.001224274041001563,0.0010931608664500937,0.0016833181363572248,0.0011389617993592246,0.0018592972316695822,0.0010928704784240462,0.0017523800228866787,0.0009335165425047314,0.0014194625705894414,0.0006791118643237075,0.0009602672743806838,0.00038649519713896096,0.000495333475502106,0.00013685983953708585,0.00014063685202083895,8.303816412788043e-06,-1.1757692777169694e-05
5,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,37.35280892620938,-9.989970960591345e-06,-1.20285713369873e-05,0.00018564929230324088,-0.0002984004234382849,0.0005968968176534317,-0.0009287915901332578,0.001083037453971028,-0.001764992964722109,0.001514704024508981,-0.0026122284665077047,0.0018000505342203048,-0.003265579205876504,0.001903304892240944,-0.0035542008134538286,0.0018471029082804302,-0.0033770840909628963,0.0016993000269698545,-0.002723914988750583,0.001547508454676939,-0.0016782375663929989,0.0014677489965137505,-0.0004022093133540271,0.0014965015361673843,0.0008951363875482294,0.0016160227352948553,0.0020007585063959517,0.0017594019117313097,0.002742563006140848,0.0018349267908706233,0.0030256165810246985,0.0017617733850276214,0.002850548171104143,0.0015042513757987802,0.002310123513307338,0.001091859904021753,0.001566066785218893,0.0006175315544561754,0.0008129989584770151,0.00021361981066745543,0.00023772209976869447,9.05032733198981e-06,-1.3195758306537749e-05
6,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,39.22084135275938,-1.0651059345061117e-05,-1.243077349833749e-05,0.000260991337301697,-0.0004040119470672261,0.0008271244344408321,-0.0012735458498177865,0.0014962539793473189,-0.0024299830658730255,0.002091424170054202,-0.0036040455437679995,0.002486960308609349,-0.004511851261565388,0.0026329898465062406,-0.004916677460809991,0.0025586483124740707,-0.004678380601707243,0.0023551258928992684,-0.003781913843740747,0.002142171261759334,-0.002341577757595357,0.0020257289013355653,-0.0005803461372577052,0.002058859628074269,0.0012133350589050274,0.00221985277704159,0.0027444607702257094,0.002417535575492,0.0037739788457653266,0.002524325292890049,0.0041696713607244735,0.002426373921131496,0.0039321280682937465,0.0020724886863188762,0.003189743501640909,0.0015030138861135127,0.002165904535803166,0.0008472967289155965,0.0011286825622842465,0.00028937571193983226,0.0003350839107302284,9.35613829760441e-06,-1.4044138679717205e-05
7,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,40.35284120438356,-1.1126304774723252e-05,-1.2582814053113871e-05,0.00033660974036786047,-0.0005096819603047125,0.0010572413462176008,-0.0016203516983908993,0.001908809045849382,-0.0031009332844191906,0.0026675136245587357,-0.0046072325055914074,0.0031744504557353363,-0.00577575492734034,0.003365402177067347,-0.0063033587181936844,0.0032748375453005656,-0.0060103259645370504,0.003015848997170704,-0.004876322109889268,0.002739566569341984,-0.0030456122475750933,0.0025823646733176948,-0.0008011415124677713,0.002615463305192586,0.0014897164365390997,0.002814961463875716,0.0034498088427139823,0.0030663989111563285,0.00477236518721091,0.003206029913996162,0.0052869835922874555,0.0030857835025977403,0.0049935645557997324,0.002637728681415415,0.004055722872748566,0.0019124953426262546,0.002758026161811188,0.0010760385216024226,0.0014412740398454897,0.0003645303083355967,0.0004320305393056176,9.476856881968711e-06,-1.4641746154188418e-05
8,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,41.10328259584912,-1.150595898708599e-05,-1.2604734642154598e-05,0.00041231357842026067,-0.0006155986545663956,0.0012869660528366416,-0.0019693958950219377,0.0023202918848855,-0.0037780334902296478,0.003242420297010646,-0.005622025975103484,0.0038618614880511666,-0.00705764346753494,0.004099849180729728,-0.007714788032716163,0.003995029563782192,-0.007373719152696072,0.003680935026568166,-0.006008250170932344,0.0033392606419529146,-0.0037917980289167846,0.0031372542483216284,-0.0010663817482042591,0.0031658481090513302,0.0017222642991587022,0.0034007622491383275,0.004114729400686128,0.0037053011272024008,0.005735784218374217,0.0038793386266007795,0.006375899693597553,0.003739412926713071,0.006033560034503151,0.00319959215415299,0.004907120359983152,0.002320162099079355,0.003341798357441427,0.0013038008185119808,0.001750373503881771,0.0004392180091943229,0.0005283148760220382,9.502846937153784e-06,-1.5108346103272373e-05
9,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,41.62912847927639,-1.1829947443973661e-05,-1.2549753561721421e-05,0.00048799930480840896,-0.0007218213216886364,0.001516106871833764,-0.0023206838164249962,0.0027303778109958234,-0.004461224549434825,0.003815667444088061,-0.006648329270877022,0.0045485919295718165,-0.0083574345861758,0.004835675911895381,-0.00915095284636433,0.004718604442295045,-0.008768667324127115,0.004349865170844327,-0.007177975038049988,0.003940845513263074,-0.004580629769500244,0.0036900461059298398,-0.0013767984819483023,0.0037096304605001326,0.0019100506127156976,0.0039767718552483795,0.004738199965771761,0.0043336570924538305,0.006663243524727508,0.004543632237026446,0.007435554685679876,0.004386711727098227,0.007051423736366075,0.003757685337897113,0.0057434245273399135,0.002725810941091808,0.00391687134652976,0.00153053977713174,0.0020557633345222146,0.0005134823962839176,0.000623813536534104,9.474160756693606e-06,-1.549693922086939e-05
10,1.1978251679488834,82178153.60659616,24077.19307979746,618.1987974021858,2.159925431325042,0.4220372701060282,0.05742995221751695,0.00945853928874791,2.3631006761931093,861.5814424208226,8.646540821550303,5.049711257980668,935.9885330377265,8.646540821550303,5.049711257980668,935.9885330377265,42.01055627881068,-1.2118626800666818e-05,-1.2445108606054426e-05,0.0005635977052184148,-0.0008283590172395001,0.0017445082434672569,-0.002674148662445928,0.0031387774962853584,-0.0051503451901146104,0.004386809025480943,-0.007685905524521619,0.00523406213165011,-0.009674860468438446,0.005572238185532271,-0.010611603451257444,0.005444943644086915,-0.01019498396899477,0.0050221186144923284,-0.008385422536966457,0.004543916444262623,-0.005412200193650691,0.00424040476019097,-0.001732688028747519,0.004246457868122003,0.002052589427791501,0.00454254805120983,0.005319616750948512,0.0049509220738788275,0.007554119370309213,0.00519831956576541,0.008465384443345639,0.005027136753927946,0.008046691267727576,0.004311599233773313,0.006564280508678154,0.0031292061705211326,0.004482996416262837,0.0017561717742486478,0.0023572907349368897,0.0005873297101206291,0.0007184489489890287,9.411291630029203e-06,-1.5834563345126164e-05
