时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,23.19427010146763,-7.734099053110851e-07,-8.169872895115372e-07,-0.00011931984429594197,0.0001133679182843607,-0.0002203245434827502,0.00022024747735592843,-0.00029528979976618054,0.0003083010641192274,-0.00034024101763619754,0.00036766752539912104,-0.0003561287245754569,0.00039108750436838693,-0.00034844839574720287,0.00037472270286196825,-0.00032611683646203814,0.00031874837691443504,-0.0002997676707965526,0.00022771665507109528,-0.0002795415221053638,0.00011048888524863494,-0.0002727039879902884,-2.0493365018529622e-05,-0.0002817308802971595,-0.00015075793334910867,-0.00030361434923530437,-0.0002659388689137337,-0.0003307225390861732,-0.0003538657466065518,-0.0003528127799466514,-0.0004059994147333297,-0.0003594172298064776,-0.0004180506865143735,-0.00034197024319575426,-0.0003899867844153073,-0.00029540219184321243,-0.00032571162242386127,-0.00021911245567311338,-0.00023250014653752713,-0.00011737653231505451,-0.00012030461530114061,7.734016143272254e-07,-8.160845241086177e-07
3,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,47.89874258916659,-1.5975589732543302e-06,-1.6910238157614e-06,-0.0006011179052622262,0.0005731851220733068,-0.0011138680784542575,0.0011131630710325652,-0.0014955105411023947,0.0015605430111507528,-0.0017250256292558155,0.0018648566439499737,-0.0018066813592053346,0.0019880297370692395,-0.0017681563267947624,0.0019089881497706962,-0.0016549136949311916,0.0016272789224400805,-0.0015213926390725276,0.0011653018271646106,-0.0014195277242020957,0.000568158325211088,-0.0013863545228763405,-0.00010017221232046523,-0.0014341153526610435,-0.0007650825017908071,-0.0015468304260174716,-0.0013526586263739257,-0.0016850127629247243,-0.0018006108984922622,-0.0017963037083135631,-0.0020656051146173264,-0.0018278245695347855,-0.0021262107438057396,-0.0017369247860477943,-0.001982684840496044,-0.0014989235316359407,-0.001655131754834999,-0.0011116141934200906,-0.001180645795600864,-0.0005966975757772787,-0.0006097488389458118,1.5975128761483926e-06,-1.6814864843712048e-06
4,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,54.73420095468736,-1.826284741206335e-06,-1.9373605554994047e-06,-0.0011500358274539706,0.0010870091607316022,-0.002132708248495528,0.002111431852993316,-0.0028636248179019813,0.0029617209920739023,-0.003301998332408011,0.003540754738211857,-0.003456281028691232,0.003774248597162607,-0.003380406816145369,0.003620264257770573,-0.0031626728602829426,0.0030768811160646553,-0.0029083428592215355,0.0021868595455863536,-0.0027171844635212345,0.0010373353900759582,-0.002659486795431443,-0.00024791793807496705,-0.002757246111832306,-0.0015248768673136379,-0.002978109650152477,-0.00265139273941085,-0.0032450829373822272,-0.0035081915546591245,-0.0034574266890464826,-0.004012627423700305,-0.0035144594671982343,-0.004123929627974358,-0.0033358724917006023,-0.0038425547179785236,-0.0028759733378154605,-0.0032066969852265277,-0.002131674777641415,-0.002287152234778089,-0.0011446313575979032,-0.0011808223675451868,1.826193886677183e-06,-1.9164411463768966e-06
5,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,57.62460147262437,-1.9238783556975675e-06,-2.044937627902338e-06,-0.0016976917636294373,0.0015870785305941227,-0.0031488659778498027,0.003083606203551797,-0.004226636736811845,0.004326814477872677,-0.004870422209975574,0.005172791767009118,-0.00509357483437605,0.0055102959408378374,-0.004977495123396467,0.005275713852271651,-0.004654548283328046,0.004465279455832885,-0.00428154449847162,0.0031423677334587894,-0.004005920332786823,0.0014368642830368998,-0.003930127038074195,-0.0004669213890218739,-0.004084241704658456,-0.0023552211359112387,-0.004417887991524797,-0.00401790875003692,-0.004815529799340841,-0.0052793665191505895,-0.005127959050218304,-0.006018231821566719,-0.005207511177463116,-0.006174565130558286,-0.004937593859398348,-0.005748661538449771,-0.004252900821303622,-0.004796122985785822,-0.0031503538339122178,-0.0034208766467634217,-0.0016915744282953221,-0.0017661876997965321,1.923742649219987e-06,-2.0123833533668386e-06
6,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,59.21090540993196,-1.9784155579259578e-06,-2.1066257824516744e-06,-0.002243438088830332,0.0020730205733864703,-0.0041609569049787945,0.004028949747524104,-0.005582520216902187,0.00565463931637489,-0.006427786809533511,0.006759289435438692,-0.006715762051379186,0.007194022551725165,-0.0065565340610696556,0.00687283545438187,-0.00612774081901427,0.0057898354325920725,-0.005638389239109454,0.004029330132005907,-0.005283321507856901,0.001764667471858751,-0.005195969100273218,-0.0007586460145749709,-0.005412774429377923,-0.003256904790858412,-0.005863710196937005,-0.005452401352839788,-0.006393737682836491,-0.007113908004990795,-0.00680517941662189,-0.008081965750046698,-0.00690427835687833,-0.008277607300455398,-0.00653957484804029,-0.0077005500057405075,-0.005627561206537355,-0.006423071002115476,-0.00416604903648754,-0.0045816236125839046,-0.0022366162389502154,-0.0023657985866819115,1.978235207106311e-06,-2.062393636946005e-06
7,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,60.2057628411858,-2.013665325063643e-06,-2.1474808478789477e-06,-0.0027867482000561153,0.002544841454396515,-0.005167951199937757,0.004947452200723798,-0.006929846736642357,0.006945112777179212,-0.007972393534267557,0.008300040901556475,-0.008321004065455682,0.008825065998271424,-0.008115662230004829,0.008411119141029065,-0.0075804553270868,0.007049949992912172,-0.006977191742339007,0.004847157513999132,-0.006547800375959398,0.002020272114106294,-0.0064554647282944674,-0.0011233761716962281,-0.006741260862166804,-0.00423001368044658,-0.007313903797650626,-0.006954806716104855,-0.007977936231143927,-0.00901167966063367,-0.008487259285743653,-0.01020368826845385,-0.008602952187562615,-0.010432946565050776,-0.008140129786524874,-0.009698146935129938,-0.0069985121134676755,-0.008087496184758897,-0.005177687364103744,-0.005769371966060773,-0.0027791674555513787,-0.0029796589705427846,2.0134406708592967e-06,-2.0915944149127537e-06
8,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,60.88090096134178,-2.0386928399139376e-06,-2.177051774327038e-06,-0.003327081524304319,0.003002589255702767,-0.006168822615670819,0.005839181826059009,-0.008267219794351912,0.008198279640457898,-0.009502607933554941,0.009795024407841399,-0.009907554344509547,0.010403306846660722,-0.009653127577905589,0.009890344951957978,-0.00901101017390272,0.008245339264382664,-0.00829637353871362,0.005595571986370687,-0.00779786502369551,0.002203482780309883,-0.007707153046162101,-0.0015611763790233085,-0.008068204292569712,-0.005274482545197816,-0.008766889677487181,-0.008524975213236075,-0.009566457363066857,-0.010972509404995168,-0.010172477138114,-0.012383251851199362,-0.01030182708413502,-0.01264047609152505,-0.00973766395951515,-0.011741377621860227,-0.008364384652268896,-0.009789342617858875,-0.006184251043170036,-0.006984082309621131,-0.003318676511736796,-0.0036077535599620407,2.038424319590968e-06,-2.1095693274425246e-06
9,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,61.36270935530606,-2.057716356540464e-06,-2.1997760692501343e-06,-0.0038638905367824627,0.003446343071414039,-0.007162542415939163,0.006704263920305868,-0.009593250877261513,0.009414267531250737,-0.011016818118801822,0.011244326721615856,-0.011473704099706269,0.011928759496347833,-0.01116722746011429,0.011310450165951358,-0.010417777939419266,0.009375895207498297,-0.009594407203724026,0.006274481727918374,-0.009032065196855956,0.0023142893547094794,-0.008949603394681723,-0.002071937637473944,-0.009392129214990365,-0.0063900922191380905,-0.010221105965446719,-0.010162625279000881,-0.011157651034180847,-0.012996112231798591,-0.011859132681492014,-0.014620409229797371,-0.011999221559698818,-0.014899997177095153,-0.011330607610643945,-0.01383008155131581,-0.009723833209086001,-0.011528477599531744,-0.007184741646660864,-0.008225654676242098,-0.0038546053436216074,-0.004250031289283402,2.057404497292286e-06,-2.1207800586692204e-06
10,0.21709433026139022,5923116.539273762,-55.47669750096111,3.3752959876786512,0.794555488846229,0.2097129907558033,0.011399831913998985,0.0026210083785396117,0.9239984929276471,1224.0255129310613,10.0,10.0,0.0,10.0,10.0,0.0,61.717700406969,-2.0729580742901868e-06,-2.217985336525244e-06,-0.004396619519425045,0.0038761824487732613,-0.008148070145907219,0.007542822505579435,-0.010906538596833288,0.010593201274510994,-0.012513400255428356,0.012648031248770277,-0.013017735140260233,0.013401436016936441,-0.012656253224227434,0.01267137221586185,-0.01179912855697622,0.010441512946692221,-0.010869765268368461,0.00688380015154762,-0.010248952402609453,0.0023526867641230583,-0.0101813884979482,-0.0026555487417084128,-0.010711565674953112,-0.007576625781883831,-0.01167499901591154,-0.011867481628028292,-0.012749877656854779,-0.015082211069294412,-0.013545536660748866,-0.016914919466282437,-0.013693463744295389,-0.017211313044741113,-0.01291739794618053,-0.01596409447092307,-0.011075516607240439,-0.013304760082340729,-0.008178163752871895,-0.009493979272623434,-0.004386418509545006,-0.0049064337515377626,2.0726034851738845e-06,-2.1275781823285006e-06
