时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,1.5696074513970193,-2.6820207514973096e-07,-1.0139199584474864e-07,-1.156237642432422e-05,2.9602788731612617e-05,-2.085171503604638e-05,5.7066312738094385e-05,-2.750087777218139e-05,7.915082210784343e-05,-3.127887126432077e-05,9.33505628995221e-05,-3.244162746326985e-05,9.79955122852506e-05,-3.1632688951129285e-05,9.241609653676582e-05,-2.972544947080696e-05,7.700743031696444e-05,-2.7640911793599393e-05,5.318610360198141e-05,-2.6170633353192946e-05,2.3242995092633197e-05,-2.5833037447383524e-05,-9.891633341902932e-06,-2.6784157037313244e-05,-4.2945910495558976e-05,-2.8794056777679674e-05,-7.263581222292071e-05,-3.1289422034252995e-05,-9.599281092446718e-05,-3.345304276547241e-05,-0.00011065741165875685,-3.4363543797230244e-05,-0.00011511057741166669,-3.3154320614132866e-05,-0.00010882121113816067,-2.9169334992613393e-05,-9.229633649972863e-05,-2.2093917850129783e-05,-6.70276224064911e-05,-1.204788707578896e-05,-3.533853303015144e-05,2.6824204191227615e-07,-1.0121289520063897e-07
3,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,3.606705599057572,-6.16372490567064e-07,-2.3304723728745778e-07,-3.2313141747391216e-05,8.340261731512855e-05,-5.8363625474221465e-05,0.0001605276611890385,-7.696817386158881e-05,0.0002224843055933647,-8.750518453128179e-05,0.0002623306946345505,-9.071040790564796e-05,0.00027543720799590155,-8.839896911540962e-05,0.00025995392304311503,-8.302415783661575e-05,0.000216996421672813,-7.716643221106449e-05,0.00015052931418265637,-7.303754524064716e-05,6.695731080946455e-05,-7.207967257527739e-05,-2.5530747341804098e-05,-7.471873679578667e-05,-0.00011779468907796639,-8.030273343607395e-05,-0.00020066473775798724,-8.722516573991495e-05,-0.00026585797868285404,-9.32062918591864e-05,-0.00030679908522535945,-9.568468861765393e-05,-0.00031926715741739816,-9.226017762318561e-05,-0.0003018080228672697,-8.112633230514681e-05,-0.00025587462821422663,-6.143318801221754e-05,-0.00018567825582410105,-3.354320374522912e-05,-9.776211194880036e-05,6.164834212931223e-07,-2.3251045480172874e-07
4,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,5.9266672251793375,-1.0130656762152456e-06,-3.8314276292148713e-07,-7.039728484931495e-05,0.00018313294611854895,-0.000127359683862288,0.00035183385080489357,-0.00016791149412734527,0.000487135369113868,-0.00019076198187099517,0.000574071690725309,-0.0001975787219232135,0.0006026618505132657,-0.00019237560673421333,0.0005689441001846578,-0.00018054413700539253,0.0004753950315258961,-0.00016772995492263191,0.0003306845981863988,-0.000158746607371909,0.00014878846664733816,-0.00015670460567048568,-5.244291228473227e-05,-0.00016248540809610262,-0.0002531027175162897,-0.00017462438777822995,-0.00043323941668354095,-0.00018959754489455489,-0.0005748546532257664,-0.00020244669285758154,-0.0006636899758149767,-0.00020763568442988791,-0.0006906330580972829,-0.00020000863033851633,-0.0006526129176424876,-0.00017571832018790492,-0.0005529030408453479,-0.00013300175447685626,-0.0004007960150462597,-7.272084272347359e-05,-0.00021067331333734103,1.0133053384543588e-06,-3.8188406484074076e-07
5,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,8.36329890455305,-1.43023236457312e-06,-5.412239008457075e-07,-0.00015080274722755843,0.0003941516692770069,-0.0002732322285355936,0.0007556548837894606,-0.00035996976269241885,0.001044775340822167,-0.000408408136000469,0.0012298246394308694,-0.00042233783330922583,0.0012896938969731671,-0.0004105935413904059,0.0012161069842171407,-0.0003849231307401494,0.0010145499783103973,-0.00035752151063009953,0.0007037584678276196,-0.00033866965507675,0.000313808387742102,-0.0003348771588212779,-0.00011697141536769998,-0.0003478067535809858,-0.0005459185369636878,-0.0003741020680587463,-0.0009303608943207204,-0.0004060810247712748,-0.0012318958050643182,-0.00043312809128149345,-0.0014202029539804337,-0.0004435375261607677,-0.0014760350391478478,-0.00042652913767345736,-0.0013931149249442807,-0.00037416812159401006,-0.0011787690861606635,-0.0002829524752733883,-0.0008532218665328943,-0.00015490297986092393,-0.0004475950588188813,1.4307408714312118e-06,-5.383279719401104e-07
6,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,9.64335150944255,-1.6502023009437848e-06,-6.247612633252341e-07,-0.00023885961019653993,0.0006234719117672378,-0.0004330196387376845,0.0011937718392285583,-0.0005700107753934473,0.0016487049400838736,-0.0006458541841532522,0.001938394100462173,-0.0006668574590424134,0.002029657652583295,-0.0006473885489031047,0.0019096240835227484,-0.0006063850081384775,0.001587237480793813,-0.0005633325561799943,0.001092446562602887,-0.0005344591706859349,0.00047315005422904577,-0.0005298041495248398,-0.00020974292016919676,-0.0005516023653857728,-0.0008885664655581251,-0.0005941459986388193,-0.00149577016402559,-0.000645016982258996,-0.0019706910971948616,-0.0006873789938939496,-0.002265564236094057,-0.0007029066129581478,-0.0023502210502010816,-0.0006749085094993523,-0.0022150618131061388,-0.0005912453693054901,-0.001872038970102404,-0.000446714475602105,-0.001353532816531543,-0.0002446731095884641,-0.0007091792579739687,1.6510032735293254e-06,-6.200071555607164e-07
7,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,10.372631506317472,-1.7764831116262143e-06,-6.727582044071014e-07,-0.0003268100543846612,0.0008498251134846899,-0.0005925465413019589,0.0016257507669621063,-0.0007793601479232711,0.002243252177188819,-0.0008819449400019444,0.0026343235045940177,-0.0009093037706704323,0.0027537710769120565,-0.0008815867031825537,0.0025842178040595453,-0.0008251472288568047,0.002138201361205012,-0.0007668755421602747,0.001457057773007681,-0.0007288964411492228,0.0006066915689764597,-0.0007245727482457237,-0.00032925583274865105,-0.0007564140552959669,-0.0012580268583603366,-0.0008160704450405837,-0.0020871818377311353,-0.000886199564823166,-0.002733855557366133,-0.000943717152297531,-0.0031329420995693477,-0.0009638134368784531,-0.0032434759432292846,-0.0009241277639648092,-0.0030526622192099694,-0.0008085719900425752,-0.0025772055198840472,-0.0006104172549816774,-0.0018617729416017133,-0.0003343864859772218,-0.0009746580159427995,1.7775752395351692e-06,-6.661196686527815e-07
8,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,10.838743664575853,-1.8582451802076093e-06,-7.037681946658508e-07,-0.0004143041502240275,0.0010721480222777564,-0.0007511436525557227,0.0020496607095229972,-0.0009871394129228384,0.002825831731999017,-0.0011156994275035826,0.003314618211172344,-0.0011486838273867277,0.0034588901603464523,-0.0011122482079610732,0.0032368502263551667,-0.0010403575835566748,0.002664740095977617,-0.0009673897073798942,0.0017954119797036327,-0.000921291072491783,0.0007128966174580018,-0.0009185271816430097,-0.0004763542264256508,-0.0009615830160166979,-0.0016544796711741312,-0.001039186286707472,-0.002704208909349027,-0.0011289013611399804,-0.0035205846952128367,-0.0012013918113910715,-0.0040212933928572125,-0.0012255195140501401,-0.004154700690785457,-0.0011735095951213705,-0.003904923584297753,-0.0010255831804466867,-0.0032935036023304365,-0.0007736498738023089,-0.00237746802396722,-0.0004238066497892434,-0.0012438441843298342,1.8596262992846278e-06,-6.952386532044177e-07
9,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,11.15861252589933,-1.9154807205885067e-06,-7.253340406215186e-07,-0.0005011721199937187,0.0012900486999596098,-0.0009084874030692476,0.002464794725992043,-0.0011929231438569316,0.0033955034482228744,-0.001346642503029454,0.003978196820132474,-0.0013845178770631916,0.00414388801916863,-0.001338921180278071,0.003866441741742763,-0.0012516085860070658,0.0031659039655937376,-0.0011645122534707816,0.002106754461852555,-0.0011113120409951753,0.0007912463084350688,-0.0011113479334045903,-0.0006513091544062031,-0.0011667809118917007,-0.0020779654740580977,-0.0012631428062544476,-0.003346703909976728,-0.0013727470265695184,-0.004330602199007332,-0.0014600133310741631,-0.004930278579618453,-0.001487641772684484,-0.005083554581577726,-0.0014227043242102098,-0.004771554402306962,-0.001241989564432257,-0.004020723790029573,-0.0009362042090506517,-0.0029005021349922688,-0.0005128169886481819,-0.0015167030957845902,1.9171481596306886e-06,-7.149152027808952e-07
10,1.7402213865068978,41905971.069499515,5541.65417545974,119.748349710577,2.1418803441674896,0.20475558716766673,0.044515225600345286,0.005844424810376996,2.192988324224218,1297.2972735697906,10.0,10.0,0.0,10.0,10.0,0.0,11.3884954333822,-1.957808269063543e-06,-7.410846298663511e-07,-0.0005872917260044384,0.001503333289396704,-0.0010643471652564448,0.002870802987974368,-0.001396407767852951,0.003951803587370289,-0.001574434908028966,0.004624529989380103,-0.0016164638234603909,0.0048082207963505525,-0.0015612841332591936,0.004472484254807072,-0.0014586104115919896,0.003641266133675832,-0.0013579833633394452,0.002390775814356122,-0.0012987177438744024,0.0008415709075528069,-0.0013027946348792248,-0.0008541457081454021,-0.0013717525022811164,-0.002528377577011227,-0.0014876600982721795,-0.004014456195392296,-0.001617431860643101,-0.005163630672754196,-0.0017192622893725093,-0.005859593537655694,-0.0017498643221217584,-0.006029743923379189,-0.0016714222759980064,-0.0056523017861583565,-0.0014575503875483968,-0.00475867517591394,-0.0010979069738013617,-0.0034307565543292983,-0.0006013229465060047,-0.0017931858684070165,1.9597589133887832e-06,-7.287828541158326e-07
