时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,4.451412803711992,-8.895547571892877e-07,-4.248192300948993e-07,3.3019498832242167e-06,-1.1733678016043631e-05,1.2697990981490305e-05,-3.5665365470762904e-05,2.3549580015911152e-05,-6.659001858706137e-05,3.292924711092405e-05,-9.735419043775547e-05,3.892498384741288e-05,-0.00012082110744204811,4.093530956574871e-05,-0.00013126563240986047,3.960688108027961e-05,-0.0001254755324493711,3.645785392965144e-05,-0.00010334560285776906,3.330348500535775e-05,-6.78700339187459e-05,3.163770075508414e-05,-2.4540947802064943e-05,3.213811936366261e-05,1.9729644977985747e-05,3.443867954443657e-05,5.796032595159895e-05,3.7248896426122154e-05,8.446201521485609e-05,3.879974920106006e-05,9.594014160095307e-05,3.748975458348e-05,9.211222080448783e-05,3.2528752368945524e-05,7.571459469010554e-05,2.436210157010392e-05,5.189605818786628e-05,1.4721995430527823e-05,2.7130424035450398e-05,6.252612031280691e-06,7.860563155097305e-06,1.4228543112857035e-06,-6.257080429074596e-07
3,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,9.715287099826849,-1.945094542765142e-06,-9.210406259541407e-07,9.686445372762001e-06,-3.109028300567572e-05,3.51175271313929e-05,-9.5394428433347e-05,6.449945759565334e-05,-0.0001786691617232128,8.992445260549214e-05,-0.0002615400923526141,0.00010620125330277483,-0.0003245718847726894,0.00011167924016007504,-0.0003521244591080305,0.0001080947214705785,-0.00033540073368539826,9.956327887411868e-05,-0.00027410207508174407,9.102748238396924e-05,-0.0001764276158674543,8.657126985574136e-05,-5.7439202625179e-05,8.805567853590152e-05,6.388967016651981e-05,9.447712507805571e-05,0.0001683829889519266,0.00010227819453321142,0.00024041176002502853,0.0001065684200330925,0.00027093524080794523,0.00010291160291430825,0.0002592093859792294,8.911647141347613e-05,0.00021281143740765592,6.642175965008858e-05,0.0001459777793326401,3.964426888564152e-05,7.662022568077102e-05,1.615054811378424e-05,2.261381876621184e-05,3.1018897558585396e-06,-1.3742431986913133e-06
4,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,16.19796768248339,-3.2560958212021046e-06,-1.5120907671513055e-06,2.5584105050910127e-05,-7.272182665442195e-05,8.663328363727637e-05,-0.00022582373427422635,0.00015714027905696049,-0.00042456839127243205,0.00021822385709779977,-0.0006224200009393896,0.0002574289735063212,-0.0007724073660408438,0.0002707325360766867,-0.0008365937617356369,0.00026221247740820233,-0.0007935732958006252,0.00024169795157926176,-0.0006425757820162295,0.00022109947439657174,-0.0004035273043404172,0.0002103578548088501,-0.00011311901396886068,0.00021408730690006307,0.00018235723073369811,0.00022991584013777998,0.0004360626076076982,0.00024915187351482913,0.0006098055925442509,0.0002597398324777208,0.0006815271606793348,0.00025068650311173784,0.000649518436374707,0.00021654298653398066,0.0005324901619033742,0.0001603857839709392,0.0003654993310598299,9.418769849427956e-05,0.00019264426635240357,3.626057340068296e-05,5.801449317546312e-05,5.1574872177480655e-06,-2.3230458632460513e-06
5,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,21.142074698092472,-4.2788635038170345e-06,-1.9199233455484012e-06,5.476572958823602e-05,-0.000142392167434663,0.0001765288371017843,-0.00044650440253491346,0.0003170084982277471,-0.0008421192181158953,0.00043886709573895817,-0.0012363378120689539,0.0005174239992030836,-0.0015349535382209944,0.0005445355440937274,-0.0016616539427652553,0.0005279724504804663,-0.0015732192766994685,0.00048697503327285393,-0.001267883540153286,0.0004452168150410939,-0.0007855570685947043,0.0004228365547548897,-0.00020002723708173597,0.00042957442572148417,0.0003953833260567887,0.0004611016293770413,0.000906060080707437,0.0005000356485615016,0.0012547427049459609,0.0005217947660961722,0.0013967889798678172,0.0005037151380526915,0.0013288063687489694,0.0004344410799771308,0.00108879774021284,0.0003202057506469047,0.0007478627786242305,0.00018557952156761747,0.00039537812629014793,6.808876709873718e-05,0.00012075738476590492,6.698918808175323e-06,-3.102249941121758e-06
6,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,23.516512670737676,-4.79204874571529e-06,-2.074680106000144e-06,8.500238484247742e-05,-0.00021212037478815087,0.0002677338691190775,-0.0006686593389059516,0.00047839289687610876,-0.0012636050473800158,0.0006613769718997551,-0.0018573841146137615,0.0007799256833152656,-0.002308045805996989,0.0008216529754541565,-0.0025003573750611765,0.0007976186238144077,-0.0023688001312396016,0.000736024564043475,-0.001910234669803075,0.000672135642714675,-0.0011843295170809822,0.0006365686449645162,-0.0003019593203251467,0.0006448041497140471,0.0005962587497470571,0.0006911563123398523,0.0013674180868416103,0.0007497821067659891,0.0018945538115609413,0.0007833134503993966,0.002109886034945664,0.0007568590768124502,0.0020080231349854675,0.0006526754061957265,0.0016462109706337708,0.00048003908459920967,0.0011317234369773996,0.00027639102702147156,0.0005994292863151937,9.889158059745157e-05,0.00018434373279298502,7.414807269197519e-06,-3.5284179481874144e-06
7,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,24.897088786699893,-5.108508207908866e-06,-2.131497946410391e-06,0.00011558989530610846,-0.0002819388121633975,0.00035920971267002963,-0.0008918960888795835,0.000639914194453961,-0.0016881625061592595,0.0008841083352107737,-0.002484420419508864,0.0010431564612568603,-0.0030907047445828226,0.001100322888373523,-0.0033524904614873428,0.0010695153174530608,-0.003181532806460345,0.0009873680470787963,-0.0025728563415861466,0.0009004722507170845,-0.0016054327333565573,0.0008501354127334528,-0.000426872369411471,0.0008581861468392131,0.0007750413493315925,0.0009182473961689022,0.0018089476953114662,0.000996365478257389,0.002517772479124582,0.0010422530177106523,0.0028100951867624856,0.00100831710229281,0.0026780690577192716,0.000869944725360133,0.0021978300678996312,0.0006392496209806658,0.0015125508076752055,0.0003666534057392329,0.0008023776691436195,0.00012918251500516174,0.00024784340738285654,7.812319899390381e-06,-3.817426045713842e-06
8,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,25.7926448078753,-5.329331218829946e-06,-2.140462757447574e-06,0.00014630897358539142,-0.00035187711036213507,0.0004506479725535672,-0.001116165992872236,0.0008011750603997369,-0.002115691564503794,0.0011065931848250141,-0.0031173856845314154,0.0013066139720478444,-0.003883047320608347,0.0013800550913419644,-0.004218508452506496,0.0013432252125449295,-0.004012360186610819,0.0012406372474819479,-0.0032572857041912665,0.0011299083412520151,-0.0020510327942552023,0.0010632199070956718,-0.0005775012907931156,0.0010693504929230704,0.0009285884395215044,0.0011419232045215733,0.002227340021592548,0.0012392708725757582,0.0031211998688084486,0.0012981003411237845,0.0034945821442145704,0.0012576652022224975,0.003336658838143793,0.0010859883482216633,0.0027420040589955503,0.0007977705619049366,0.0018893066475349802,0.0004564687759646381,0.0010036823557494315,0.0001591624273058081,0.00031103606744771977,8.05525466383543e-06,-4.039126614239635e-06
9,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,26.414667560803966,-5.496536987765736e-06,-2.122411731838463e-06,0.00017706157242704834,-0.0004219329090741337,0.0005418984440674605,-0.0013414063962933166,0.0009619654710224898,-0.002546079373612113,0.00132856471226238,-0.003756163733981196,0.0015699932541874725,-0.004685026474553514,0.0016605392756565936,-0.005098513980121323,0.0016184687296799491,-0.0048616066077467116,0.001495605949971885,-0.003964119260717671,0.0013602671088124828,-0.0025220157459678134,0.0012756640581739918,-0.0007549947696255023,0.0012781163053694339,0.0010555648028135588,0.001361952103915965,0.0026211886969489894,0.0014782202322628937,0.0037034876776106166,0.0015505685797782519,0.004162169352794892,0.0015046614832148846,0.003982859654848808,0.0013006538164994405,0.003278071599193725,0.0009555542592574935,0.0022615827063689814,0.0005458759133174403,0.0012031338497133402,0.00018891591738856562,0.0003738358380656693,8.211708153673593e-06,-4.222565166618842e-06
10,2.703646861619133,82305697.55611601,-4496.3144225853175,301.33826512004623,2.382235820846694,0.2885257658121736,0.057935009147635656,0.006897230423613688,2.472388974900175,1292.12522967185,7.847137249590427,7.700701786351288,288.76446690528496,4.876383504976404,5.525677701079184,425.14018586847317,26.866543289218956,-5.630660878329644e-06,-2.0875504965693333e-06,0.00020779261643710104,-0.000492089372986712,0.000632864330757773,-0.0015675377256609152,0.001122134746926364,-0.002979180975690695,0.0015498149126671988,-0.0044005707736439765,0.0018330412455341975,-0.0054964673486128995,0.001941506345256151,-0.005992397034909313,0.0018949972423241749,-0.005729279388251627,0.001752073353488863,-0.004693523117416407,0.0015913989271474013,-0.0030187299867751377,0.0014873456180430034,-0.0009598797946100952,0.0014843504890341005,0.0011553026118721573,0.0015781600819371809,0.002989752795216471,0.0017129955666643087,0.004263902484606632,0.0017994228990061787,0.004812202662317567,0.0017490976288578204,0.004616144596213011,0.001513796966348149,0.003805652948901042,0.0011125352258420818,0.0026291407744421145,0.0006348754042120386,0.001400609027704532,0.00021847992788840413,0.0004361941999661907,8.314981672452037e-06,-4.381931449383515e-06
