时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,11.016548890694688,-1.9682003931675157e-06,-1.608003472904439e-06,1.4502228973128914e-05,-3.264022255948719e-05,5.000841885138347e-05,-8.49181229998153e-05,8.952025363963476e-05,-0.00014947826874683873,0.00012320679826875424,-0.00021221405595015706,0.00014449730088716506,-0.00025912855849617597,0.00015129856881540885,-0.0002789626022946235,0.00014597510164213352,-0.00026537392610107127,0.0001341303795797326,-0.0002181594724760641,0.0001225371427938953,-0.0001433640016081032,0.00011678319158130922,-5.219467775281529e-05,0.00011934663104888409,4.11120593052112e-05,0.00012874101603215353,0.00012208546384121248,0.00014004479484907358,0.00017887985611162555,0.00014665034880586075,0.00020455753786870304,0.0001426499570496972,0.00019830875551637728,0.00012508643925562146,0.00016540941648122046,9.534695829614515e-05,0.00011597511687557866,5.927989778158399e-05,6.285322927283304e-05,2.593386761692111e-05,1.898970053798699e-05,1.947450072708814e-06,-1.6351356607569042e-06
3,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,25.601021189149833,-4.594172357519633e-06,-3.7104009635695855e-06,7.031344406749751e-05,-0.00012303181930740418,0.00021583994068736758,-0.00033392383515510774,0.00037776316131342,-0.0005952772766668632,0.0005159998026547812,-0.0008491777839851423,0.0006034991756994329,-0.0010375041707403325,0.0006314468067406988,-0.001113274955808805,0.0006093874626827355,-0.0010499419973311352,0.0005604053016126393,-0.0008467084013288234,0.0005126457446780761,-0.0005291153983798431,0.0004894718810748488,-0.00014456212535414478,0.0005012553267959143,0.00024669704452181575,0.000541608462675837,0.0005834719270373196,0.0005895260953035382,0.0008158972906563861,0.0006168249471611692,0.0009152075242454302,0.0005983972144184744,0.0008788669568940939,0.0005218998630844318,0.0007301865597966121,0.00039371991398151466,0.0005128113239514041,0.00023933360450073465,0.00028158059213218413,9.772440703708043e-05,9.151167619542738e-05,4.508179551519003e-06,-3.8268414301302255e-06
4,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,33.6577278550284,-6.085449119944646e-06,-4.8136462878718585e-06,0.00017956439774636867,-0.00027464867755714695,0.0005202044763453082,-0.0007659072766273827,0.0008988723920455473,-0.0013761365568723022,0.0012225988602469911,-0.0019692492317681222,0.0014283343252918391,-0.00240791130040588,0.0014949565959781475,-0.002580965378190488,0.0014438555750960545,-0.0024255505750122946,0.0013283536192634517,-0.0019397610369702592,0.0012144475529658777,-0.001184126888188824,0.0011578095916896767,-0.00027120669169553745,0.0011839694438176103,0.0006556205971973614,0.001278607384233325,0.001450581017566848,0.0013919859861565478,0.001995054749814743,0.0014565248570501113,0.002221248277589065,0.0014116862508171874,0.002124473423105072,0.0012277682211094794,0.0017617791696221416,0.0009205542666881641,0.0012381379632889025,0.0005519127493416817,0.0006841398273094192,0.00021569668967807317,0.00023002661290267388,5.8835760128470496e-06,-5.092406272005846e-06
5,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,36.75246045289094,-6.6941872371702455e-06,-5.183901584046337e-06,0.00029207969726739437,-0.00042523713265512215,0.0008281053677400448,-0.0011999303277431266,0.0014236475454162218,-0.002163970072035613,0.0019336076180135368,-0.0031021984370115567,0.002259365810453872,-0.003797029526315028,0.0023670052828085025,-0.004072409148207506,0.0022884628322894477,-0.0038287527181378,0.002105966230987091,-0.003062722694782896,0.001922907405000297,-0.0018694930860828573,0.0018281072132789887,-0.0004265888726757845,0.001864005632609994,0.0010392339113440674,0.0020100461938262057,0.00229684167918139,0.0021884523329542376,0.0031578783216291784,0.002291624505684136,0.003514859006212791,0.002222170969226983,0.0033609022912819784,0.0019317791709446588,0.0027871765102275925,0.0014453165164320502,0.001960246021931184,0.0008617026967915319,0.0010861989252333947,0.00033060632293511506,0.0003699213521029043,6.3765749372966e-06,-5.626047369246179e-06
6,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,38.37532897997033,-7.040982894165611e-06,-5.335838734833599e-06,0.00040550807375657117,-0.0005762524425814013,0.0011365878121190629,-0.0016374151579408788,0.001948566673701965,-0.0029602685485752038,0.002645096020305078,-0.004249877992571957,0.003092525615328694,-0.005207592325546665,0.0032436874888964132,-0.005591913238994048,0.003139678921587359,-0.005266182425394686,0.0028901078633105167,-0.004225191581201945,0.002635084352776332,-0.002598084188844197,0.0024972769684464217,-0.0006266391622727307,0.002537818158607583,0.0013793556890848086,0.0027318270780548695,0.0031031300659068047,0.0029745060187808597,0.004285843092270522,0.003117905682919215,0.004779547711539132,0.0030264788713160913,0.004574721304773388,0.0026319362308410504,0.0037964498632925875,0.0019675887298145154,0.0026725408655322402,0.0011696432038093656,0.001483831973329977,0.0004441771773289483,0.0005089852211750778,6.60812660657692e-06,-5.9413439227487255e-06
7,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,39.36537275977883,-7.2750647121411605e-06,-5.393224730745789e-06,0.000519272983895303,-0.0007280407588869567,0.0014449003910865456,-0.0020787116234037,0.0024726903549841745,-0.0037654456681102087,0.003355965031376961,-0.005412875050954226,0.0039266360240891975,-0.0066405042114268354,0.004123859343353589,-0.007140850362731416,0.00399649264373389,-0.006739817091806995,0.003679937126891161,-0.005429849056044967,0.003350258417503719,-0.0033733101971604967,0.0031646053715017873,-0.0008753979416799506,0.0032045793330913496,0.0016715618889661156,0.0034429559570524626,0.0038650001514783003,0.003749047936510408,0.00537486563070279,0.003934326352313267,0.0060118949816632085,0.00382382210267794,0.005763325439469246,0.0033278512146213877,0.004787798624990061,0.0024874079465472976,0.0033738894184997706,0.0014760874591177955,0.0018763660033801316,0.0005568877813111371,0.0006467874390387511,6.7275733080623305e-06,-6.1618364192376835e-06
8,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,40.0240893834872,-7.4500304216483435e-06,-5.400573210464644e-06,0.0006331325643554638,-0.000880689612070225,0.0017526619035274202,-0.0025238420033401685,0.002995458930124186,-0.0045794751412292604,0.004065477033376221,-0.006591172445564024,0.004760837008905,-0.00809583725801467,0.005006635652860919,-0.008719461725311206,0.004858094715807964,-0.00825013805326699,0.004474780809840249,-0.006677477926084221,0.004067882403242512,-0.004196294115935855,0.003829595183174635,-0.0011743126887107152,0.0038637412625003214,0.001914177892061602,0.004142768696504135,0.004580718584346755,0.004511310464957872,0.0064233397944376824,0.0047401074275288365,0.0072105617582277105,0.004613540584629183,0.0069257028315339066,0.004019092065631685,0.005760525392298857,0.003004607028287482,0.0040638504143833114,0.0017810822007687892,0.0022635384710352866,0.0006688905001402076,0.0007831652105954032,6.788627337916541e-06,-6.33191632722902e-06
9,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,40.48643656369379,-7.589843990345333e-06,-5.377844057760441e-06,0.0007469485095102323,-0.0010342049517284826,0.002059604582859092,-0.002972719721989589,0.0035164259266057076,-0.0054021756191208825,0.004772996076458935,-0.007784531822975241,0.005594348920864143,-0.009573355702142839,0.005891185711480494,-0.010327574408213455,0.005723707691901961,-0.009797090545666989,0.005273986178733597,-0.007968197657574255,0.0047874340248675665,-0.005067381110700909,0.004491792309983899,-0.0015239737550997662,0.004514822042328688,0.002106410441620035,0.004830681476132974,0.005249392854878431,0.00526060074419019,0.007430399357699916,0.00553451483263914,0.008374804750108928,0.005394970417646233,0.008061275755602611,0.0047051683452950036,0.006714215830905937,0.003518917173104671,0.004742148981583641,0.0020845539070984925,0.002645183470239856,0.0007802265078967633,0.0009180267569971535,6.815371767110888e-06,-6.471446319251094e-06
10,7.39853579593175,295572530.21161425,-48831.35396518075,2058.0040053290777,2.274146577164883,0.4703670088180616,0.16604819075985458,0.00924020225976405,2.5118837456311107,951.9375591595616,10.0,10.0,1000.0,10.0,10.0,1000.0,40.82191757474143,-7.70682256987155e-06,-5.335348339285668e-06,0.0008606241003471821,-0.0011885599175144466,0.002365508261270304,-0.0034252111178756095,0.004035194452910619,-0.006233293509036835,0.00547793131824742,-0.008992607311632825,0.006426425894157924,-0.01107267245520413,0.006776697379799723,-0.01196481324341074,0.00659255923834243,-0.011380361457148476,0.006076899731789867,-0.009301812438830442,0.005508395103855827,-0.005986551533727351,0.0051507605033292185,-0.0019245751969645523,0.005157373628547889,0.002247867099368201,0.0055061540744746704,0.005870505886888806,0.00599626679244623,0.008395502386738914,0.0063168391493520085,0.009504137443650291,0.006167447041245205,0.009169650670020646,0.005385562596516349,0.007648573377454528,0.004030023688692156,0.005408577132967968,0.0023863770996638153,0.0030211719508757124,0.0008908913150684974,0.0010513070267054803,6.820243696041839e-06,-6.59064932395081e-06
