时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,2.010548410798666,-5.011442104472122e-07,-2.269630102189727e-07,-1.8938778116341014e-05,3.9684546258476985e-05,-3.408576939224855e-05,7.692952936070262e-05,-4.501983404973968e-05,0.00010704249046988458,-5.129417292000777e-05,0.00012652319883658703,-5.32804861242793e-05,0.00013300473185506458,-5.2002779042501435e-05,0.00012549652717597072,-4.888282877818455e-05,0.00010448307276446368,-4.543974896979213e-05,7.187277445533097e-05,-4.29929386390187e-05,3.079878139679427e-05,-4.241672878645722e-05,-1.4705906682969788e-05,-4.398419852950005e-05,-6.0124170852295753e-05,-4.732167798400692e-05,-0.00010091640233695101,-5.147689606570412e-05,-0.00013297952859220912,-5.508604750243457e-05,-0.0001530568574624011,-5.6611130809903684e-05,-0.00015905910865728843,-5.4610264248529864e-05,-0.00015026639991105756,-4.8001233723454365e-05,-0.00012739414511356105,-3.628012563524369e-05,-9.251383085660155e-05,-1.9659716005997194e-05,-4.884213362589683e-05,5.01040930397828e-07,-2.270225142791834e-07
3,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,4.462781185822374,-1.1126417803937715e-06,-5.03851734035971e-07,-5.459066619043563e-05,0.00011616201183787735,-9.855229765801933e-05,0.0002245377122732919,-0.0001301804765321417,0.00031204320334667345,-0.00014825376517855883,0.0003687023076296526,-0.0001538931284218953,0.0003877618289622617,-0.0001500910328319347,0.000366405281061405,-0.00014097764258741433,0.00030605234933405644,-0.00013095138010867617,0.00021222104302917548,-0.00012382002809371888,9.395827974307858e-05,-0.00012209419988292851,-3.7097078802856595e-05,-0.00012654229372695432,-0.00016791619200335362,-0.0001360680162280887,-0.00028541555981533354,-0.0001479165766804874,-0.0003777840558137214,-0.00015816417713559458,-0.0004356665573388025,-0.00016240592187033283,-0.00045308991633276607,-0.0001565339341616264,-0.0004280450144484155,-0.00013749196467808213,-0.00036267561806006035,-0.00010389958173116259,-0.0002630500099251434,-5.644901487603542e-05,-0.00013854919901447275,1.1123440991990152e-06,-5.038867848647592e-07
4,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,7.508712691316899,-1.8729604285770346e-06,-8.479862449645196e-07,-0.00014587937577567522,0.0003153175489038669,-0.0002642878018710355,0.0006072748543463182,-0.00034900358339875467,0.000842367516358295,-0.00039700266332228266,0.0009943358715533278,-0.0004115116097978008,0.0010454072490076155,-0.0004007505353763265,0.0009882438248486514,-0.0003759393294871452,0.0008267900562527427,-0.000348933580488107,0.0005759284013066107,-0.0003299046014380833,0.0002599596376521057,-0.00032545710886099,-8.991891093749193e-05,-0.00033747914372750837,-0.0004388509075857406,-0.00036287702178270807,-0.0007519104528452908,-0.0003941921111486956,-0.0009976567809848354,-0.00042095692723771564,-0.001151291892645577,-0.0004315484634003408,-0.0011971199210557139,-0.0004152460294801438,-0.001130085356951187,-0.0003641980239427523,-0.0009562608148620706,-0.0002750322532976062,-0.0006922269381327473,-0.00014987810362382644,-0.0003634155534915633,1.8721658311087695e-06,-8.476287388670914e-07
5,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,9.28252545132674,-2.3171400168582605e-06,-1.0487022472422614e-06,-0.0002741492815638168,0.000595095641955849,-0.0004975507990680094,0.001143476826609353,-0.0006565660134988991,0.0015837782871314025,-0.0007458052147826268,0.0018671053001591967,-0.0007717540803126641,0.0019603975023958775,-0.0007503475714359723,0.0018501534708689517,-0.0007030940664525284,0.0015440858909906486,-0.0006524998683914364,0.0010704894084448237,-0.0006176316270978911,0.00047535249503639275,-0.000610591390243427,-0.0001824462563947712,-0.0006344594381822263,-0.0008372877577292455,-0.0006829585657419667,-0.0014235964751514987,-0.0007417785459227883,-0.0018825188066338493,-0.0007912363932769958,-0.0021678203387097577,-0.0008097798973922589,-0.0022504542306279835,-0.0007777790202489104,-0.002121404072168349,-0.0006810771285409179,-0.001792568456141624,-0.0005138571772691275,-0.0012955853858140707,-0.00028045083385782644,-0.0006786998950562657,2.3156479997622696e-06,-1.047539955049284e-06
6,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,10.15140632406279,-2.5363873853051003e-06,-1.1472821407249033e-06,-0.00040263455336717404,0.0008723132323622335,-0.0007312129191246004,0.0016740209025660612,-0.0009641456163450201,0.0023161633631234384,-0.0010937566736278711,0.0027272498693861956,-0.0011300781877937945,0.002858969991154963,-0.001097164182915772,0.002691750883688871,-0.0010271884950945045,0.0022372590234282317,-0.0009535164196560307,0.0015374752403690217,-0.0009040656694999332,0.0006603901800731801,-0.0008961449443072707,-0.00030715180345416705,-0.0009335841030355756,-0.0012685770215756574,-0.0010064757653132047,-0.002127592180786199,-0.0010933552627871083,-0.002797978967779157,-0.0011652601435741298,-0.0032121957791302123,-0.0011908935890489834,-0.0033280133544298994,-0.001142071954560699,-0.0031326340711069424,-0.000998725118621077,-0.002643967795217986,-0.0007528757666347485,-0.0019089147737337356,-0.0004111394052694969,-0.0009987722716228453,2.5341963678043186e-06,-1.1452250717368666e-06
7,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,10.661193252837727,-2.6668075228204573e-06,-1.2053282182760836e-06,-0.0005305517261759027,0.0011446135893852663,-0.0009637286566896033,0.0021946730290550807,-0.0012697054555968874,0.003033869474798564,-0.0014385824214685101,0.0035682187081595373,-0.0014841842771409763,0.003734226450708604,-0.0014390276380655419,0.0035063292843762937,-0.0013462577616602375,0.002900278355490548,-0.0012502375622761542,0.0019719176324888995,-0.0011876352811110466,0.0008114212993470394,-0.001180642661649468,-0.0004662721534659272,-0.001233392068609461,-0.0017336027032593606,-0.0013319220481368837,-0.0028636335732454667,-0.0014473528219286205,-0.003742934914694838,-0.0015414279516406143,-0.004282841602267984,-0.0015733338779706772,-0.004428109567975584,-0.0015067144806761173,-0.004162286400020102,-0.0013159774411881636,-0.00350938201195165,-0.0009912409364058467,-0.0025316363115802827,-0.0005414299117567781,-0.0013234959501810238,2.6639194656431295e-06,-1.202349408483694e-06
8,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,10.992210604697044,-2.753372801963198e-06,-1.24319186056731e-06,-0.0006576080096896219,0.0014113129545104029,-0.0011945237712221721,0.0027042183318423322,-0.0015724888119657884,0.0037352899219948704,-0.001779438764920551,0.004388166388234625,-0.001833222696461113,0.004584239060276195,-0.0017751400733328805,0.004292027501290582,-0.0016595854200172142,0.003531480050979696,-0.0015420299111115062,0.002372450999820366,-0.0014677692606401835,0.0009274391456712351,-0.0014635421916127374,-0.0006604415240918956,-0.0015333364403481192,-0.0022326597384669244,-0.001658723979598241,-0.003631747767214107,-0.0018031680306529814,-0.004717240163822509,-0.0019191239753650303,-0.005379536176241262,-0.0019565055040068288,-0.005550531617496122,-0.001871172827434048,-0.005210219939095107,-0.001632399906934782,-0.0043887663886631794,-0.0012286429258926018,-0.003163790841510956,-0.0006711398650433878,-0.0016529496933789006,2.749790849530381e-06,-1.2392865412071761e-06
9,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,11.221005471890392,-2.815173202241574e-06,-1.2695116063556393e-06,-0.0007836059824729496,0.0016721134025887957,-0.001423219402189622,0.00320212657722469,-0.0018719961992840143,0.004419725049481328,-0.0021157677877500372,0.005186294737172831,-0.0021766311730504195,0.005408185012540969,-0.002104973203288889,0.0050480701419307805,-0.001966695458112141,0.0041302009269314046,-0.001828467722228052,0.002738575363471472,-0.0017440740082947822,0.0010081372329571437,-0.0017444557232098195,-0.0008897683743312182,-0.0018330102351379063,-0.002765680321199262,-0.001986440426599743,-0.004431733593439102,-0.0021603257412117723,-0.005720614635650998,-0.0022978548740398156,-0.00650197563910147,-0.0023399249263253963,-0.00669499879196756,-0.0022350072983747292,-0.006276210662112847,-0.0019476297354317762,-0.005281971530989154,-0.0014648213879639644,-0.0038053050915039504,-0.0008001239760661162,-0.0019871207946517374,2.8109012927203995e-06,-1.2646859459597096e-06
10,5.03026190774206,46396438.37305791,9238.580439066292,285.8982794085289,2.6408708943081987,0.30255554942079305,0.07774826852216896,0.008769943860852825,2.730591590320977,1100.0015549988057,10.0,10.0,0.0,10.0,10.0,0.0,11.385355091405854,-2.8616289965858546e-06,-1.288550072598053e-06,-0.0009083767329713673,0.001926839271804913,-0.0016494964204359938,0.003688080328875147,-0.0021678060374259265,0.005086752099709304,-0.0024470966397318115,0.005962119453396803,-0.002513931150057812,0.006205566547615907,-0.0024280753959715178,0.005773995364340689,-0.0022671784987585704,0.004696061870646291,-0.0021091813202159656,0.0030700332934316945,-0.0020162026612894845,0.0010534046192680392,-0.0020230350414175645,-0.001154211503134082,-0.002132041160105975,-0.0033324859088985992,-0.002314661514785694,-0.005263306869832015,-0.0025183788642189576,-0.006752709862550903,-0.0026771511852003464,-0.007649790162738662,-0.0027231267121625726,-0.007861158326841602,-0.002597789362996695,-0.007359953740230751,-0.0022613088085234622,-0.0061887629799901814,-0.0016995172241747248,-0.004456028017230018,-0.0009282412292739478,-0.002325943410787552,2.85667176379489e-06,-1.2828170158111228e-06
