时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,4.6454920352522056,-3.325921551230679e-07,-1.181007561799976e-07,1.5988717836760128e-06,-6.695766413965356e-06,6.235352498676806e-06,-2.195316777621367e-05,1.1690526012630419e-05,-4.2068442139950084e-05,1.6440201471045713e-05,-6.22591949501838e-05,1.9496138326865076e-05,-7.774398944545533e-05,2.054170540156693e-05,-8.467678029362916e-05,1.9894173764097694e-05,-8.08856778444115e-05,1.8313373483117143e-05,-6.62758346367378e-05,1.6713984711966424e-05,-4.282743833583425e-05,1.5854913826933078e-05,-1.419373756676416e-05,1.608670661491969e-05,1.5021762615231051e-05,1.723020706179344e-05,4.0170380953551565e-05,1.8630739646848902e-05,5.746990598245743e-05,1.9382837700709674e-05,6.474198435696865e-05,1.8663562812563854e-05,6.182577797998015e-05,1.6069096458673424e-05,5.0583264020710114e-05,1.183908627359562e-05,3.449434574071692e-05,6.885485123159109e-06,1.7926321935684885e-05,2.592591295490544e-06,5.224849993921741e-06,3.2771680604727337e-07,-1.3078066632245172e-07
3,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,10.574030606070105,-7.58130696950474e-07,-2.6637049561359534e-07,4.448490819306732e-06,-1.7559325806548508e-05,1.67410017594814e-05,-5.781609917150646e-05,3.120539999483673e-05,-0.00011097335460594173,4.381177922614647e-05,-0.00016435762669361265,5.193684675827916e-05,-0.00020524996555563313,5.473311445434151e-05,-0.00022339580659293273,5.303371600015561e-05,-0.00021299160402279282,4.88504100321103e-05,-0.00017377264574209618,4.461417228382493e-05,-0.00011101674503668902,4.234994404227071e-05,-3.447700399800739e-05,4.2999303768268934e-05,4.3545862256177284e-05,4.6088570138320354e-05,0.00011062225551360633,4.986599552422412e-05,0.00015663389904877883,5.190008684870149e-05,0.00017575080250690133,4.9975299304038193e-05,0.0001675433589490736,4.300084473223835e-05,0.00013700184580379778,3.161878131431928e-05,9.345907841267112e-05,1.8284833948340255e-05,4.864306331931677e-05,6.7376501271109265e-06,1.4254199564073386e-05,7.451222400369082e-07,-3.0022651912225286e-07
4,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,16.188133366179535,-1.1628101529827578e-06,-4.0276944527495833e-07,8.465862276381354e-06,-3.1629499372432726e-05,3.0833343485197914e-05,-0.00010456180348241376,5.714818081050113e-05,-0.00020100029740990254,8.010333639745278e-05,-0.00029789870957218204,9.492647063032274e-05,-0.00037204821140452885,0.000100062444854063,-0.00040469538335898204,9.700749996146458e-05,-0.00038520278921025044,8.940900366057144e-05,-0.0003130616985361372,8.169542328123857e-05,-0.00019791560287030923,7.757550320552757e-05,-5.761828143349681e-05,7.879161353342147e-05,8.529052046705035e-05,8.449332120203817e-05,0.00020801747720732182,9.14704912628029e-05,0.0002919959690561174,9.524417027250504e-05,0.0003265226540600729,9.171943656232689e-05,0.0003108089639481319,7.887224444446396e-05,0.00025402612893460764,5.788225211159459e-05,0.00017333684573633983,3.328641074508396e-05,9.033154487466264e-05,1.200684731429304e-05,2.6595165911329602e-05,1.1390072487213996e-06,-4.6475992283756446e-07
5,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,23.922217014873357,-1.725471110541625e-06,-5.782059573666676e-07,1.8088326326119084e-05,-6.27613989253811e-05,6.306143165743022e-05,-0.000208641066875152,0.00011593305005841834,-0.00040191485792862085,0.00016211470716561612,-0.0005962924916555375,0.00019204437878227797,-0.0007449389700289901,0.00020255787661809587,-0.0008098877032243294,0.00019657095859034138,-0.0007695194062665593,0.00018132946690001692,-0.0006226995216055623,0.0001657227289546115,-0.00038887800928671295,0.00015729027714178037,-0.00010419783640650286,0.00015966920016404642,0.00018562271657550258,0.00017124112439877392,0.0004342794892366319,0.00018552101053327465,0.0006040027961762323,0.0001933425943014304,0.0006729869244997963,0.00018625985730126083,0.0006396011347361421,0.00016006076748169553,0.0005225087427282051,0.000117140274240176,0.0003566827120205045,6.682395474368318e-05,0.00018617773029392656,2.3368496718414603e-05,5.514433968468122e-05,1.6772847427459592e-06,-7.038137517403386e-07
6,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,29.913434937969146,-2.1708567245405806e-06,-6.909475136680313e-07,3.310528058387893e-05,-0.00010868815018513988,0.00011168408556620623,-0.00036299088492582196,0.00020397175996716442,-0.0007005754557898525,0.0002847016835508336,-0.0010406183774457878,0.00033728698963088506,-0.0013010132874181203,0.000356129134349928,-0.0014149884075614605,0.00034607009556251024,-0.0013443330730186992,0.0003194899783144419,-0.001086753766498208,0.0002918150515318689,-0.0006761395687711721,0.0002763893024129793,-0.00017581800196498433,0.0002799288418772432,0.00033388144725639475,0.0002999297833562452,0.0007714133337193453,0.00032512738440438856,0.0010701099387067409,0.0003392557635373654,0.0011913544107143518,0.0003271409415316327,0.001132090313739743,0.0002811035118388649,0.0009250848483854661,0.00020531088482129403,0.0006319290351348864,0.00011636311639218659,0.00033032274931079345,3.966637572655953e-05,9.828976096649931e-05,2.0862906902850263e-06,-9.11547694399525e-07
7,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,33.23246877906436,-2.4267299168986614e-06,-7.314340760542858e-07,4.8569780246616945e-05,-0.00015483704419336022,0.0001609318970028539,-0.0005186456781359765,0.000292799984586066,-0.0010024427161288581,0.000408320967591788,-0.0014906755037461703,0.00048395738083922336,-0.0018656004565124234,0.0005116112563560331,-0.00203120573037453,0.0004978301307703463,-0.0019322707016211607,0.0004598768341914256,-0.0015650055669338516,0.00041961326941901764,-0.0009775361989506704,0.0003963399352558378,-0.0002603548102008664,0.0004001973540718064,0.0004714089565426099,0.0004281403012551844,0.0011005929921713861,0.00046426444958837183,0.001531155547745419,0.00048506591475966945,0.0017072181434567505,0.0004683294493528759,0.0016239851132434475,0.0004026276507850321,0.0013282002792938967,0.0002938203857320161,0.0009081179732763888,0.00016592168487410553,0.0004752630565395674,5.572482461514389e-05,0.0001418213369131329,2.3055446055503835e-06,-1.0476959291125854e-06
8,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,35.32110903940559,-2.5955001668175345e-06,-7.386826132574759e-07,6.420683108849762e-05,-0.00020108567161615417,0.00021033381078444782,-0.0006750667157908841,0.00038173474378714527,-0.0013064648315970922,0.0005321114501843315,-0.0019449877681863106,0.0006310883065966273,-0.0024370743703432457,0.0006680164011939679,-0.0026571790869118466,0.0006509125464948949,-0.0025327141409015037,0.0006016304033409029,-0.0020580179593250518,0.0005483155873989441,-0.0012951130626270727,0.0005163370517089765,-0.0003614196885787029,0.000519594573908545,0.0005931985112938362,0.0005548730032557407,0.0014158269340886144,0.0006018256002675234,0.001980744338297271,0.0006296371055100742,0.0022144233812442307,0.0006087839620847699,0.002109957316506565,0.000523817001630883,0.0017277701381059208,0.0003821689026547654,0.0011825763560705874,0.0002153297304004997,0.000619625768950605,7.161981056102877e-05,0.00018529969088431,2.437683737423927e-06,-1.1506635081954328e-06
9,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,36.7462423255167,-2.7174608092288986e-06,-7.280148159090251e-07,7.991556575500473e-05,-0.00024740734139216985,0.00025972853158761353,-0.0008321237244203692,0.000470550211865411,-0.0016124027217338844,0.0006557916551350359,-0.002403257680326123,0.0007783646183642031,-0.003015177767557743,0.0008250256012239525,-0.003292819612401197,0.0008050221082857885,-0.0031458749054354283,0.0007444926126820726,-0.0025664108077066276,0.0006776931635653028,-0.0016299563909329402,0.0006361544651883559,-0.00048055364059214546,0.0006378650024898336,0.0006973426640406649,0.0006798237607091019,0.0017149956271403696,0.0007374647462476996,0.00241673722386176,0.0007726150424217698,0.0027110048950530824,0.0007481908349040925,0.0025883735225912187,0.0006444433425114094,0.0021225877793098766,0.0004702368064742585,0.001454541137565801,0.0002645690868475573,0.0007630300454124263,8.739849564989444e-05,0.00022860240007110865,2.523061978776242e-06,-1.2356079292125573e-06
10,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,37.773755938237166,-2.811513618810885e-06,-7.06622055199245e-07,9.564747235683258e-05,-0.0002937857814602446,0.0003090363377489494,-0.0009897448345898945,0.0005591306492501792,-0.001920127033053623,0.000779210691954957,-0.0028653251288821525,0.0009256098201522643,-0.003599769392746519,0.0009824547817134364,-0.003938066369560349,0.0009599881129898541,-0.0037718328827932765,0.0008883205741053658,-0.0030904523912212356,0.0008076307877901493,-0.0019825468572472046,0.000755688917634913,-0.0006184414980029524,0.000754894169704895,0.0007829964056388227,0.0008028498345520804,0.001997168012271735,0.0008710110135096201,0.00283820643114442,0.000913819838224321,0.003196123606752415,0.0008863907136879685,0.003058548307131536,0.0007643939831700314,0.0025121558373244813,0.0005579692392681959,0.001723703354344715,0.0003136353071124052,0.0009053240786770584,0.00010308532014958774,0.000271680505946455,2.580607833577452e-06,-1.3096483789214487e-06
11,0.32737389624189867,11395318.39543543,-585.9240431394769,8.122516389998824,1.3075623586285474,0.12284624926387358,0.026255755414360007,0.0029920139789668112,1.337718436937666,1584.4649867854896,10.0,10.0,1000.0,10.0,10.0,1000.0,38.54285259752275,-2.887553781973552e-06,-6.78277119226899e-07,0.00011137471065934606,-0.0003402056402045705,0.00035820700578215853,-0.001147870675178686,0.0006473971945062453,-0.0022295307755957126,0.0009022588795117543,-0.003331052459138018,0.0010726893319343033,-0.004190713904012737,0.0011401595558962693,-0.0045928271638028964,0.0011156759857265284,-0.0044105790153058195,0.0010330045533683753,-0.0036302487119810834,0.0009380456171818855,-0.002353123128980681,0.0008748716310569348,-0.000775452073967007,0.0008706065463946223,0.00084968658709316,0.0009238524661534013,0.0022618125322483125,0.001002340610192177,0.0032446178175138222,0.0010531174045429739,0.0036692953685130963,0.0010232629395065707,0.0035200863843458216,0.0008835823799144917,0.002896187813489194,0.0006453219647282465,0.001989885287785063,0.00036252006981976576,0.0010464208641923773,0.0001186919167025802,0.00031450636585626725,2.6202343296496453e-06,-1.3765102173330226e-06
