时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,2.4203313166093743,-1.3505175988478655e-06,-1.4727184312352299e-06,5.04196460791731e-07,-8.922300906431442e-06,4.924940250796863e-06,-2.5150163131922025e-05,1.0091839052783323e-05,-4.6277081275630944e-05,1.458887428586076e-05,-6.756310767826462e-05,1.7516993450158868e-05,-8.432616565405083e-05,1.8587122928852465e-05,-9.281211891879322e-05,1.8077072005794583e-05,-9.087406073841911e-05,1.6660450637676544e-05,-7.833818581441136e-05,1.5155522559703032e-05,-5.6994806940902624e-05,1.4255266934678618e-05,-3.0220975360669904e-05,1.43061868362203e-05,-2.308659681357037e-06,1.5197870252646201e-05,2.2373647938349046e-05,1.6401949540717824e-05,4.022478698684659e-05,1.715784068281518e-05,4.909503039341289e-05,1.6753864744473043e-05,4.867396228323533e-05,1.4814469483212161e-05,4.0504319611749004e-05,1.1494651071420911e-05,2.7619018486279078e-05,7.508438680607606e-06,1.3876808185222164e-05,3.950705269129246e-06,3.1334351486040937e-06,1.8460862589709845e-06,-1.5406397894810482e-06
3,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,5.309777712904097,-2.965045240282584e-06,-3.2299827030195313e-06,1.729258913731449e-06,-2.150473614306619e-05,1.2707245958141109e-05,-6.15045218737934e-05,2.5541118469194278e-05,-0.00011369558546472607,3.672270956359674e-05,-0.0001662937246656728,4.4008921288436134e-05,-0.0002075867452340919,4.667163770721713e-05,-0.00022814985709712323,4.5397911306336524e-05,-0.00022258007603463535,4.186808426862389e-05,-0.00019043714051549774,3.813060488973628e-05,-0.00013623449137401585,3.592490672108148e-05,-6.849616565976519e-05,3.6121236286929396e-05,1.934556385507737e-06,3.843574941017741e-05,6.401250581047102e-05,4.1522919889804534e-05,0.00010862698761814545,4.34431969597963e-05,0.00013033859607351522,4.237801271365403e-05,0.00012836986079995446,3.7364941839682976e-05,0.00010665153701688734,2.879943089423634e-05,7.291732752164557e-05,1.8515369127875105e-05,3.703764259573611e-05,9.348032019430905e-06,8.937345827486139e-06,4.050805033387937e-06,-3.3822269521336605e-06
4,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,8.356081552154544,-4.670569127865832e-06,-5.080671946788777e-06,4.153374433746829e-06,-3.8279379742997434e-05,2.4351129714307256e-05,-0.00011128736605835747,4.795495369749426e-05,-0.00020673764684199403,6.853547624806152e-05,-0.0003029313992308025,8.195519758783976e-05,-0.0003781737833288302,8.685871422552901e-05,-0.00041494577754298795,8.450156963558037e-05,-0.0004031816982799153,7.798312374688144e-05,-0.00034206103301025545,7.109867564411515e-05,-0.00024001835283229454,6.708415110546753e-05,-0.00011299907348176748,6.756409058683245e-05,1.869418003595995e-05,7.200317596983489e-05,0.0001343639954652045,7.786368272207093e-05,0.00021692790319967516,8.14768063774808e-05,0.000256188864798931,7.939319657925139e-05,0.00025071244359274554,6.978235565677897e-05,0.00020793491796253005,5.3395401307241737e-05,0.00014248760467416686,3.3730989008228474e-05,7.309406642638168e-05,1.6235709815169447e-05,1.868412939069633e-05,6.375747019560599e-06,-5.327544286856791e-06
5,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,11.791148773215632,-6.59981878154617e-06,-7.16261413012388e-06,9.36870345467527e-06,-6.489172444707678e-05,4.497925426225104e-05,-0.000192464827894927,8.6541073079039e-05,-0.000359556938401679,0.0001227942997195158,-0.0005278896548495544,0.00014645133287638674,-0.00065896404931247,0.00015510100128065775,-0.0007215822298277953,0.0001509264089123034,-0.0006977821013627797,0.00013938197210953742,-0.0005861095800086899,0.00012719325884617453,-0.00040168896174854656,0.00012013788551009967,-0.0001731359499242684,0.0001211468143386678,6.307696861199187e-05,0.0001292749968862892,0.0002697330477854968,0.00013993787689719383,0.0004160967311938625,0.00014646282954967595,0.0004838315109301932,0.00014254745420465016,0.0004704203584195943,0.00012483522449745573,0.0003893999300691461,9.470234627774025e-05,0.000267378281154376,5.858125528099886e-05,0.00013847799130117886,2.654106743822911e-05,3.735934473575481e-05,8.996958744009011e-06,-7.5284312234414855e-06
6,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,15.354963900400795,-8.614073868549131e-06,-9.309674051166093e-06,2.0733308316281654e-05,-0.00011101410344292394,8.429086725304327e-05,-0.00033681286518930293,0.0001582810203812115,-0.0006330145160789432,0.0002228242713962607,-0.0009312679374218469,0.00026501016816794575,-0.0011624642818355462,0.00028051212124497886,-0.0012704207353060979,0.0002731021816861272,-0.00122272371275882,0.0002523906845083817,-0.0010167555616383875,0.00023037544735122928,-0.000679916682895883,0.00021752141603235343,-0.000264113942351382,0.00021928249846653287,0.00016440322447889414,0.00023408839686280087,0.0005379457439329894,0.00025362076663491454,0.0008005607958603697,0.0002655796571715419,0.0009188810435725485,0.0002582411558335207,0.0008884418646124567,0.00022531575051093012,0.0007341749318529416,0.00016934768544784836,0.0005050151690224064,0.00010234002695494796,0.0002638013638328023,4.314179817002628e-05,7.457574121284006e-05,1.1713090063086674e-05,-9.827638123785859e-06
7,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,17.497441933044687,-9.839237680606482e-06,-1.0584669646104054e-05,3.4494405823551344e-05,-0.00016038178560011702,0.00012870427915943178,-0.0004939146576356489,0.0002381314214130634,-0.000931931605304123,0.00033360462211518677,-0.0013730641347528107,0.00039617505873051104,-0.0017144982406849655,0.00041940539358675756,-0.0018724701600638797,0.00040864396549304704,-0.0017985429556293215,0.00037784289014191914,-0.001488694294233372,0.00034467418980386794,-0.000983740397836009,0.00032483756417609703,-0.0003611976439576678,0.00032680657017353915,0.00027983299865735287,0.0003485789003483676,0.0008379425766175132,0.00037783035737242484,0.0012291888879872677,0.0003959555549087648,0.0014034566058806013,0.00038501956994296,0.0013540380782294263,0.0003352989710469005,0.0011184418678199786,0.0002505934456492344,0.000770327295061047,0.00014919460510586416,0.0004043658785511279,5.985961374020764e-05,0.00011720691503634497,1.3341575338798867e-05,-1.122710322792834e-05
8,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,18.81304312201026,-1.0604241680943889e-05,-1.135374195185351e-05,4.888345662660487e-05,-0.00020935057535496337,0.00017374887305648948,-0.0006511349273288015,0.00031853732336053516,-0.0012319741984845234,0.00044492640748846534,-0.00181743274900869,0.000528047678506718,-0.002270832070837842,0.0005593273897929162,-0.0024806037123632765,0.0005454974143986255,-0.0023820378314749237,0.0005046037311694009,-0.0019694646898920747,0.0004598611849330759,-0.001296917246657783,0.0004322981466314979,-0.0004674116704448564,0.0004336908084053128,0.0003870776992346545,0.00046191378128365696,0.001131256726726023,0.0005007894086871556,0.0016529239986526247,0.0005253235470878983,0.0018849218429450065,0.0005111261012663316,0.0018180612110291585,0.00044480601666809747,0.0015022862604518186,0.00033133981923451995,0.0010359338753820966,0.00019540443842540144,0.0005455396349166868,7.583732590931376e-05,0.0001604667637887764,1.4338547268253014e-05,-1.2100697842190764e-05
9,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,19.695585278791032,-1.1128950086251857e-05,-1.1857732353646848e-05,6.35827961970513e-05,-0.00025814781104761066,0.0002190425073916813,-0.0008086845480438399,0.0003990711113537974,-0.0015334183298245038,0.0005563420607453505,-0.0022648628965525252,0.0006601903543882943,-0.0028323598268851623,0.000699877403755281,-0.0030963232291312728,0.0006833140345362746,-0.0029754924249154255,0.0006323723138898213,-0.002462239678890024,0.0005756566567473506,-0.0016235143568122052,0.0005396039847853458,-0.0005876007923848476,0.0005395791906337747,0.0004807538501234468,0.0005736659762514514,0.0014123023935793488,0.0006220225225459443,0.0020663631463411305,0.0006532189495750402,0.002358427738440493,0.0006361859503417446,0.0022765101967087012,0.0005536249846025987,0.0018827208173374651,0.00041157799946955453,0.0012998694917656442,0.00024115368940760433,0.0006862281341904835,9.138596168368124e-05,0.00020385264112330278,1.5005840843392873e-05,-1.2698603274492338e-05
10,1.2150934527531065,27971661.638696983,-1782.6183386855082,104.73271046446305,2.2212344293247344,0.19360222182763612,0.037490283123311284,0.006825148467657891,2.2654458387195766,1170.7701610346394,4.298054112557403,1.376040567054524,265.66383123874823,3.1393866944926785,1.3234427441011665,355.1582212321317,20.324038206325685,-1.1513369255519792e-05,-1.2206140884418345e-05,7.84446198221374e-05,-0.0003068666971329727,0.0002644030718934911,-0.0009666365173497855,0.0004795245439412486,-0.0018363641988619324,0.000667628531825105,-0.002715565597936396,0.0007923801248082359,-0.0033995053389630106,0.0008408491488216993,-0.0037203643361736196,0.000821917551576559,-0.0035800292368495606,0.000761005773586857,-0.0029685628176855023,0.0006919403414069639,-0.0019654780184030413,0.0006466348757038798,-0.0007240381583027022,0.0006443274392560461,0.0005583906039012942,0.0006836550589349956,0.0016785772526598795,0.0007413228512253544,0.002467148976289286,0.0007794396532396236,0.0028219176843895656,0.0007600431834031921,0.0027277376089984815,0.0006616810862584016,0.002258551647465647,0.0004913283774858724,0.0015613693835718893,0.0002865452572567436,0.0008260105567927132,0.00010665501528697193,0.0002471624968342178,1.5480740586491998e-05,-1.3134581961371934e-05
