时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,5.52390893143343,-1.358878959956818e-06,-6.649848226953197e-07,-2.1830990587809164e-05,3.420704564776384e-05,-3.692688048608411e-05,6.744289097454632e-05,-4.773538829751448e-05,9.367766267575545e-05,-5.38034419658121e-05,0.00010958488370950305,-5.554041530242697e-05,0.00011294023259892604,-5.402955345864944e-05,0.00010286733874388135,-5.076191191370725e-05,7.993502136883934e-05,-4.7319711905433427e-05,4.610641647737192e-05,-4.506210671083131e-05,4.5402076948527e-06,-4.486537394794581e-05,-4.073384403333452e-05,-4.695847803173177e-05,-8.523030153081247e-05,-5.087801247506354e-05,-0.00012446886207881998,-5.5546247488714547e-05,-0.0001544312972982068,-5.94562902850701e-05,-0.0001719673418578974,-6.093270507626319e-05,-0.00017510992254793573,-5.8426244701516265e-05,-0.000163270032477573,-5.0798934240327e-05,-0.00013729569104455888,-3.7558749910418677e-05,-9.938615259882804e-05,-1.8988370337496938e-05,-5.2882311063079753e-05,1.3589894907149267e-06,-6.652555411296303e-07
3,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,12.271147075316934,-3.020016759050207e-06,-1.4774054927355965e-06,-6.171396500710162e-05,0.00010351144733953165,-0.00010615178880346858,0.00020257600748622997,-0.0001379289227502116,0.0002811586292424255,-0.00015578757698002312,0.00032969174080994053,-0.0001609425180563304,0.00034175408078414304,-0.000156555353472066,0.0003147880782540703,-0.00014696607509632602,0.00025039548434619996,-0.00013677580640083977,0.00015420070184218206,-0.00012993690255809446,3.5283363469991125e-05,-0.00012900272969933063,-9.475665835508067e-05,-0.00013465631956801366,-0.0002229996077196135,-0.00014558633510833202,-0.0003365382521999026,-0.00015871886014083537,-0.0004237983287989188,-0.0001697561167471745,-0.00047571004519487975,-0.0001739285869440797,-0.00048661633481851275,-0.00016684057573295854,-0.0004548332481977845,-0.00014528375388830452,-0.0003828173274318361,-0.00010790369427760265,-0.00027691722076837326,-5.557601975437004e-05,-0.00014676071840858548,3.0203249251641666e-06,-1.4777731718020898e-06
4,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,20.11197966175926,-4.952730674529388e-06,-2.421950536986534e-06,-0.0001506214062415348,0.0002719619409781135,-0.0002642293594859715,0.0005280553536869485,-0.0003452734251567541,0.0007321229697698987,-0.00039076118313212247,0.000860340811763074,-0.0004038720425688745,0.0008966576156097668,-0.0003926787216657649,0.0008346168073150266,-0.0003681997110346566,0.000678143121409389,-0.0003420726787199703,0.000441228540796838,-0.00032425686086641427,0.00014652309298328553,-0.00032115688566453267,-0.00017701130843516082,-0.00033446898227432935,-0.0004971182745879605,-0.00036091289647663367,-0.0007815921830293581,-0.00039285563912903,-0.0010015838824305818,-0.0004196879820180862,-0.0011345229334983865,-0.00042970758310837326,-0.001166373839199666,-0.00041220592758354466,-0.0010930216006049575,-0.0003594520010047743,-0.0009206754621431712,-0.000268300790426472,-0.0006652421176656729,-0.00014112551253889566,-0.000350767484722689,4.953469475226337e-06,-2.4216807390119116e-06
5,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,25.408758137923037,-6.261573341082554e-06,-3.0607621745349947e-06,-0.0002891809564315199,0.0005455587042396824,-0.0005141006933801978,0.0010539495490447897,-0.000674034077020965,0.001459778003250521,-0.0007633613011827052,0.0017166776475998435,-0.0007886226964760755,0.0017933293482055403,-0.0007660139018215107,0.0016770833049566747,-0.0007174658405108558,0.0013755771655327921,-0.0006659783191024282,0.0009161570811206346,-0.0006310575055265111,0.0003431132475224071,-0.0006250568543038931,-0.00028694989289282125,-0.0006510118381113231,-0.0009110595578468727,-0.0007022573004044108,-0.0014664385567111757,-0.0007637885085035129,-0.0018969555248122753,-0.0008150415813742721,-0.002158794165149358,-0.0008335772397153494,-0.0022248073208109283,-0.0007990715360756316,-0.002087178945500654,-0.0006970396866486095,-0.0017581868249777616,-0.0005218122186980325,-0.0012689799972903071,-0.00027828234531642447,-0.0006665166718028837,6.262974228838169e-06,-3.0586841704305596e-06
6,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,27.950892755826292,-6.893252872748198e-06,-3.3679935908435246e-06,-0.0004273515587768765,0.0008199036777005651,-0.0007645349315233789,0.0015800807784335847,-0.0010035879270525068,0.0021868517297014174,-0.001136320334523597,0.002571233258327364,-0.001172908277669914,0.00268655863186876,-0.0011380825829010856,0.0025139669586049375,-0.0010650909444111579,0.0020649055230930395,-0.0009885464232755367,0.0013802914065336157,-0.0009375097193344943,0.0005263493898586717,-0.0009300453194936385,-0.0004123721937672557,-0.0009701312684814145,-0.0013419436858127063,-0.0010473039596064879,-0.0021688759457173445,-0.0011389014985046602,-0.002809716446890319,-0.001214343788544832,-0.0031994383458445286,-0.0012406299738300813,-0.0032978574903980403,-0.0011881604180022372,-0.003093549191756403,-0.0010360702699668952,-0.002604971085606272,-0.0007764341969363802,-0.0018786657871324316,-0.0004167438379195058,-0.0009847116024146038,6.895313384214532e-06,-3.363798712845091e-06
7,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,29.42808432020799,-7.264071837399409e-06,-3.5470193986578002e-06,-0.0005647496516150044,0.0010908231632632817,-0.0010139380644350253,0.0020990365635431413,-0.0013314940070506798,0.002903184308250388,-0.0015067085693256286,0.003411717699084927,-0.0015536332507923262,0.003562629970740478,-0.0015058798406257748,0.0033308708437189906,-0.0014083300154609647,0.002731777311387438,-0.0013073676990015472,0.0018199791649637133,-0.0012415313305294054,0.0006838019465889678,-0.0012342970881869656,-0.0005641284466933955,-0.0012901589176857742,-0.0017988707790332229,-0.001394444185604525,-0.0028962621682402695,-0.0015165781943476835,-0.00374563743938879,-0.001615947697793936,-0.00426089310981759,-0.0016492106063762113,-0.004388923698608755,-0.0015778629734804692,-0.00411477174028483,-0.0013750418167207503,-0.003463119519378358,-0.0010308145356020988,-0.0024959497894160698,-0.0005552962029762371,-0.0013065448557877564,7.266792098989136e-06,-3.54061008767016e-06
8,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,30.38402218252843,-7.5080644228675736e-06,-3.663280854567973e-06,-0.0007012606440948109,0.0013571438282202711,-0.0012618110629065442,0.002608757478706976,-0.0016569846122690374,0.0036059603386217726,-0.0018736050289568293,0.004234717281045678,-0.001929827753293704,0.0044177078988346715,-0.0018684694914548217,0.004123723169907821,-0.001746334137009111,0.0033720666355897223,-0.0016217028670915913,0.0022312055258375202,-0.0015424871423926896,0.0008117013655978018,-0.0015372558965006831,-0.0007456503873644775,-0.0016105841274387704,-0.0022848880619474074,-0.0017431828859736616,-0.0036512548714643126,-0.0018963207429113914,-0.004707011551115769,-0.002019349531899631,-0.005345126426079703,-0.002058819571957226,-0.005499687613247491,-0.0019677011963823935,-0.005152267961133753,-0.0017135139799354842,-0.004333798673416363,-0.0012845565512348642,-0.003121724466978811,-0.0006935729101757731,-0.0016325907770197933,7.511446296527005e-06,-3.6546305047647435e-06
9,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,31.044954607490773,-7.681024773528374e-06,-3.7440092775009808e-06,-0.0008367772758959934,0.0016183829266204774,-0.0015078352393421818,0.0031083959128488455,-0.0019795921083613603,0.004294020186880542,-0.002236458091246731,0.005038824812623329,-0.0023009156103855673,0.005250210432653782,-0.002225297247417675,0.004890844811458816,-0.0020785994249926366,0.0039840751324726155,-0.0019311074753441699,0.0026123246884590516,-0.001839983973162421,0.0009085127122404063,-0.0018385603540262874,-0.000958323563162305,-0.0019310545188282438,-0.0028012154523233655,-0.0020931584812757392,-0.004434911700361637,-0.0022777502611415258,-0.005694750109135163,-0.002424157033026408,-0.006452923237688363,-0.002469065549035373,-0.006630824486476694,-0.00235730511876796,-0.006206612633168968,-0.002051159046165798,-0.0052174830265595985,-0.0015373903535028759,-0.0037563546313799144,-0.0008313662810917667,-0.001963085554776435,7.685071252718183e-06,-3.733124638509623e-06
10,2.757042994912416,49018376.841606036,2756.772187578499,121.28697652665525,0.9848099825992405,0.12138207338969408,0.06895894169856431,0.0054590454900026895,1.0233641816731787,650.5828197573259,10.0,10.0,0.0,10.0,10.0,0.0,31.521639950635496,-7.81027140474882e-06,-3.8025341407243845e-06,-0.0009711855093461323,0.0018742896530672712,-0.0017517402991278769,0.0035975076415845834,-0.002298935307438794,0.004966753751381129,-0.002594824775078327,0.005823299382696715,-0.0026664373603132543,0.006059306828125619,-0.002575922066383221,0.0056313604998367425,-0.0024047233850478145,0.004566930005987647,-0.0022352216114131253,0.0029625105951026085,-0.0021336945551135482,0.0009734923985830285,-0.0021378972390868863,-0.0012027870983248225,-0.0022512507994860084,-0.0033483815935753144,-0.002444030900096439,-0.005247658782567178,-0.002660501316875979,-0.006709193261421224,-0.002829986481730547,-0.007584556454475298,-0.0028795637258969406,-0.007782556210746034,-0.0027463124631228594,-0.007277988272787574,-0.0023876625400174444,-0.006114322621859094,-0.0017890711869126621,-0.004399959830146386,-0.0009685148949146892,-0.0022981142182403867,7.814986326288039e-06,-3.789441781770082e-06
