时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,2.837544389409373,-3.426670131459272e-06,-5.760216574566293e-07,-3.832698553187744e-06,-9.247675864446989e-06,-8.812897638271202e-07,-2.2458227608415436e-05,2.251440869143813e-06,-3.824810315392898e-05,4.916945072696079e-06,-5.40805294975005e-05,6.713053637245656e-06,-6.764314338788904e-05,7.516746502166598e-06,-7.711793555126924e-05,7.446007945670432e-06,-8.139306297791092e-05,6.787163302264261e-06,-8.016656127544374e-05,5.90145517384412e-06,-7.392627877150092e-05,5.128176656255175e-06,-6.381170350817246e-05,4.7032133931514104e-06,-5.138278073929002e-05,4.71045398810765e-06,-3.833588887335095e-05,5.077567510531034e-06,-2.621632104367264e-05,5.616841944972503e-06,-1.617777824192699e-05,6.098499563247522e-06,-8.831604641908028e-06,6.332684218366324e-06,-4.2123955839738595e-06,6.231690087373301e-06,-1.8655404740350117e-06,5.828205607480865e-06,-1.0394576973571967e-06,5.267344857345497e-06,-9.535629538285694e-07,2.467012739979715e-06,-3.6257562607643866e-07
3,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,8.147514423544397,-9.855084567186224e-06,-1.6523009807558105e-06,-1.0801757786060249e-05,-2.734693080834867e-05,-1.9436418974310633e-06,-6.676456146652155e-05,7.490480695141727e-06,-0.0001140365932603297,1.553676568793463e-05,-0.00016149185357931743,2.096517491050033e-05,-0.00020205237167651285,2.339138181171894e-05,-0.00023011158729306728,2.3169523245219527e-05,-0.00024222422757299883,2.1173617504115477e-05,-0.00023745340295819634,1.85110055635838e-05,-0.00021732515415970926,1.6221897463689125e-05,-0.000185407748647294,1.50242613812664e-05,-0.00014659397372239813,1.5159754056210007e-05,-0.00010621212150234798,1.6378473012243e-05,-6.912043054879876e-05,1.806667446617816e-05,-3.894375881164128e-05,1.9479524774949147e-05,-1.7587183639984678e-05,2.000488081920457e-05,-5.110864934531855e-06,1.9368781994684896e-05,1.577542129046974e-08,1.7706322570687117e-05,3.3432914968521947e-07,1.5546329307120326e-05,-1.4139003526529302e-06,7.093573779660462e-06,-1.0438222867139901e-06
4,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,13.55914834173241,-1.642923943579871e-05,-2.7460592256318693e-06,-1.752939782712884e-05,-4.721244829652213e-05,-1.9796190402501548e-06,-0.00011593477771570109,1.4631550462712309e-05,-0.00019861363401902884,2.8828181942621e-05,-0.0002816808335169341,3.8412767614495016e-05,-0.00035246323167451374,4.268573035107971e-05,-0.00040084797018790416,4.227035574378169e-05,-0.000420594229115044,3.872864178595887e-05,-0.0004100104697090397,3.4047427317293625e-05,-0.00037190342444296085,3.0093114337684806e-05,-0.00031282880046205457,2.8143694091798422e-05,-0.00024178595446884833,2.860224848392423e-05,-0.00016858664970442636,3.096496589950346e-05,-0.00010218230493741414,3.405543701706024e-05,-4.9242605789200284e-05,3.645858431358441e-05,-1.3235003662969734e-05,3.701914137691277e-05,5.837459842609635e-06,3.5239455980537914e-05,1.1004702733229619e-05,3.143461919997575e-05,7.301808907334541e-06,2.6719052188753894e-05,3.2250802572877876e-07,1.1822392912163391e-05,-1.7426209606361966e-06
5,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,18.859101820639886,-2.2891367785971896e-05,-3.8126724511854266e-06,-2.3584179748641098e-05,-6.863460127310142e-05,-5.702963367972924e-07,-0.00016956889595835047,2.4073188919361313e-05,-0.0002913360225330037,4.516574029052511e-05,-0.0004137092840457026,5.940628637901384e-05,-0.0005175762764985473,6.572834669105154e-05,-0.0005875825838793528,6.505979520408733e-05,-0.0006142223608122736,5.975438550566253e-05,-0.0005949430483682454,5.28162931036194e-05,-0.0005341140512232862,4.7067130401102224e-05,-0.00044190170906873696,4.442283440127535e-05,-0.00033226756789429097,4.5444529386849035e-05,-0.00022044441581106712,4.928262610506621e-05,-0.00012033053436824076,5.4039482503050476e-05,-4.225800955120767e-05,5.7452364351900957e-05,8.474277622530275e-06,5.768828627200004e-05,3.205400015140142e-05,5.399175700556924e-05,3.353577584373704e-05,4.696110307601379e-05,2.129574508510797e-05,3.854402770597109e-05,4.841852258694592e-06,1.646716880260625e-05,-2.432666395722526e-06
6,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,24.064451375705133,-2.9262987528072298e-05,-4.853530959148633e-06,-2.876236982316766e-05,-9.244676767181219e-05,2.841569567862267e-06,-0.00022987250736351228,3.6737272127548926e-05,-0.00039602843034760974,6.57710380966808e-05,-0.0005629435420720715,8.535650866811615e-05,-0.0007039023958499967,9.399673815394285e-05,-0.0007973147017937441,9.297847424886777e-05,-0.0008297892736110003,8.559269632820697e-05,-0.0007977923661976688,7.605142176925973e-05,-0.0007076659445897071,6.830942407105862e-05,-0.0005740593798082975,6.502858554219604e-05,-0.0004170802765280417,6.692448358280008e-05,-0.00025867006393830177,7.267636185529743e-05,-0.00011883694472698682,7.94483420112202e-05,-1.2405076504189997e-05,8.388828563832516e-05,5.315134386725873e-05,8.330500126583755e-05,7.842216535112582e-05,7.664499483639586e-05,7.123008193150884e-05,6.493745297479009e-05,4.445939771826641e-05,5.130130279918475e-05,1.2957592189137832e-05,2.1042235477897458e-05,-3.1176772219070424e-06
7,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,29.20617401746258,-3.5583583586515024e-05,-5.871586323110591e-06,-3.274157593171798e-05,-0.00012000576619182666,9.150901968164383e-06,-0.00030043551634647886,5.41082934471267e-05,-0.0005189133630577213,9.26121419108659e-05,-0.00073810828504157,0.00011853602831001304,-0.0009220195637143982,0.00012987037527673804,-0.0010414107504665283,0.0001283454629523426,-0.001078146826627279,0.0001184015709622057,-0.0010275764519125075,0.00010573328548298175,-0.0008986349295309373,9.568521448471457e-05,-0.0007117304804789645,9.18222671485003e-05,-0.0004948277200439201,9.501168179867325e-05,-0.0002784230753615672,0.00010328333158146166,-9.028852266820937e-05,0.00011255289582758253,4.909656283953067e-05,0.0001180341131023345,0.00012962476218637532,0.00011592366699005488,0.00015262745865046989,0.00010482037474451873,0.0001297865164267627,8.64026587659822e-05,8.016632332528867e-05,6.544167086400535e-05,2.5950291411288282e-05,2.5574175789219288e-05,-3.80404165692092e-06
8,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,34.387201174265115,-4.1984001924704695e-05,-6.881123692971263e-06,-3.493828172078921e-05,-0.00015415954363995045,2.0130442026559478e-05,-0.000388785977241661,7.918870727941607e-05,-0.0006730596414027982,0.0001297044195422358,-0.0009575653358261922,0.00016360255645062055,-0.001194250241624879,0.00017823807750718662,-0.00134395259499341,0.00017593031459961885,-0.0013824377050791294,0.00016261713792543666,-0.0013037635712652088,0.00014592411459141388,-0.001120511727863577,0.00013300627274768974,-0.0008609524576236792,0.0001285929237454966,-0.0005636981516372103,0.00013370577299864688,-0.00027078988083482274,0.00014544211383730923,-2.0420848048977397e-05,0.00015796979024266462,0.00015942836325194928,0.00016451288513780074,0.0002553217928842375,0.00015975020561545663,0.00026992334235095605,0.00014186070643895055,0.00022055954863249314,0.00011353058446119861,0.0001351573578163229,8.195144600206147e-05,4.637907041970267e-05,3.0153493834503896e-05,-4.509829577614669e-06
9,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,39.56143683263647,-4.84157895661713e-05,-7.861371335181864e-06,-3.405714300398531e-05,-0.00019903911798896512,3.8844031589978676e-05,-0.0005059445881244729,0.00011684443096329186,-0.0008775649791731936,0.0001833778114415557,-0.001248005682616149,0.00022779900011477325,-0.0015527774734617086,0.0002466536296903342,-0.0017392392836078684,0.00024308608420290726,-0.001774999260392943,0.00022507679716968367,-0.0016526510641857864,0.0002028842348524803,-0.0013901807482778873,0.0001861392291013271,-0.0010271178294526976,0.0001811575802807621,-0.0006171747601716015,0.00018913035819204728,-0.0002186663544963917,0.00020577810167532137,0.00011562824843727632,0.0002227253074997823,0.0003473811700014224,0.00023031897669314834,0.000458826048549641,0.00022107774909452252,0.00045499666180344987,0.00019266152257839153,0.00036176861300218595,0.00014935635002963146,0.00022020211349806117,0.00010200312329993011,7.835770209864587e-05,3.473924775991421e-05,-5.236839641470721e-06
10,1.6841086999531814,41791038.01628957,-3086.5606212688053,73.32646085778453,0.6940807965293057,0.05523510123891249,0.05274409296592144,0.004652271181000437,0.7056304406129648,532.7071488545156,3.212561770326589,5.914805636230514,355.503400495965,4.430916658429429,9.697910737276798,835.5967998352837,44.51221632848095,-5.462278271688671e-05,-8.750602704087898e-06,-2.792168507056922e-05,-0.0002604989524659453,6.996758089950893e-05,-0.0006675739548081757,0.00017425796389368593,-0.0011594887690021248,0.0002628270723086993,-0.0016470784228216618,0.00032156605518066545,-0.0020427532736986536,0.00034597663477799027,-0.002275078661466634,0.00034037950918703875,-0.0023005195291463266,0.000315594898477834,-0.002110098323913573,0.0002855549498289316,-0.0017300172619459661,0.00026337878963240616,-0.0012163253190455678,0.0002576392973437317,-0.0006446428974690264,0.00026975642379058667,-9.672655942038525e-05,0.0002934183513482377,0.0003538068306088974,0.0003164881181349047,0.0006540834780899723,0.0003250611997390887,0.0007806402241949696,0.00030850417798644034,0.0007426103973346309,0.0002638219918862433,0.0005789407960139944,0.00019784103590255326,0.00035033687832702805,0.00012694845373518863,0.00012763928134044763,3.913818798335538e-05,-5.967893309340176e-06
