时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,14.567779542705747,-6.134141260673024e-06,-5.126052370175854e-06,2.4222514882773405e-06,-6.007161741717972e-05,4.283206703315329e-05,-0.00012199360379014811,8.47985752713478e-05,-0.00019400326810437005,0.00011962227980642284,-0.0002628623320538988,0.00014148794607829514,-0.0003160540767561644,0.00014872956388320996,-0.0003436920655439255,0.00014371044591264404,-0.00034014625250753836,0.00013170617571984082,-0.0003049509533929786,0.0001191064958566361,-0.0002428792451946079,0.0001113765462875801,-0.000163105115325295,0.000111352436627888,-7.754029550795306e-05,0.00011840530989940558,1.380222220066028e-06,0.00012875438816898884,6.300902195808846e-05,0.00013681966535592947,0.000100390472997033,0.0001371613873188175,0.00011136940110880418,0.00012639494572845426,9.873664067428835e-05,0.00010449734139880778,6.943115131510885e-05,7.519606388356379e-05,3.3027819583817934e-05,4.565978250225098e-05,-3.347756092590155e-07,6.089627693091184e-06,-5.172184839925409e-06
3,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,31.95715231103188,-1.3496328169879295e-05,-1.1216524291091116e-05,3.29880132903619e-05,-0.0001666225918387775,0.00016277454025157863,-0.00035942449736857596,0.00029778487031018107,-0.0005839580681599799,0.00040945875538986386,-0.0007971490648638312,0.00047889223216390103,-0.0009576922888606982,0.0005007732054098074,-0.001032910904894348,0.00048309101927275207,-0.001004442335327914,0.00044350412669212977,-0.0008714550517221796,0.0004033171331716674,-0.0006509530556675443,0.0003805654193343657,-0.00037490676935366416,0.0003841975680799891,-8.4488726543575e-05,0.0004112393087132745,0.00017762926826915817,0.00044794550340239236,0.00037531012537214963,0.0004745733059502763,0.0004855311831826643,0.00047219392462495715,0.0005021422884831499,0.0004293963071703501,0.00043623085832439194,0.0003468514102800383,0.00031324204995414535,0.00023857703288718404,0.00016767495479364184,0.00013026486446951209,3.6144651079565897e-05,1.3345668553861662e-05,-1.1381692247676223e-05
4,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,46.78961084965037,-1.9876486752210997e-05,-1.630582098728451e-05,0.00015337238459103134,-0.00037676304493929893,0.000497965383620682,-0.0008750431559599174,0.0008558451647431367,-0.0014547724699825275,0.0011503574032378635,-0.0019999931304104635,0.001331533058126104,-0.0023986815069372103,0.0013856393654904724,-0.0025625644648505507,0.0013345668513586176,-0.0024430455229082033,0.0012263833817394436,-0.002040189802228532,0.0011191543971387791,-0.0014035447744125196,0.0010619395464912178,-0.0006241213587965166,0.0010784673145337203,0.00018182330152714837,0.0011589690125911932,0.0008946185543430551,0.0012633143455642768,0.0014140680732326722,0.001334644470574859,0.0016781530028648684,0.0013190485925703432,0.0016734604719203328,0.001184999441819433,0.0014356290322061148,0.0009365168835421007,0.0010404800618850042,0.0006163477860268611,0.0005884345193982707,0.0002992172187965027,0.00018526346221528766,1.9460173056488502e-05,-1.6784070542551212e-05
5,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,52.2873103009719,-2.2338874033323248e-05,-1.8074873564749973e-05,0.00029852056285026914,-0.0005830821315906565,0.0008695928432525793,-0.0014035120453345276,0.0014617599841350558,-0.0023575409392519297,0.0019482263297080657,-0.003251210920193038,0.0022469107662330696,-0.003897034847395786,0.0023351025072068043,-0.004147936978881643,0.0022485932132000554,-0.003923901505239892,0.0020667317040883025,-0.003226762614114756,0.0018861938501783001,-0.0021413674625850054,0.0017894521385246015,-0.0008221262205906251,0.0018169742935975582,0.0005341826600215956,0.0019526652480007802,0.0017253060537066524,0.0021284507087094735,0.0025825220005537583,0.002247189262764916,0.00300265754729443,0.002216535099637807,0.002965769677265671,0.0019827675963782986,0.00253533115159582,0.001553758776156565,0.0018422915698731845,0.001004141451891626,0.0010579340218959388,0.00046210561591803146,0.00036153022781388114,2.1640489432002308e-05,-1.889149203009479e-05
6,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,54.99937786064873,-2.3628979319582447e-05,-1.885306653269544e-05,0.000448603253321765,-0.000786538194160931,0.001245596722944335,-0.001931929608253128,0.002071249067655059,-0.0032641161981853974,0.0027495097023532444,-0.0045102648205691325,0.003166738252485373,-0.00540676046007733,0.003290819882881868,-0.00574754253968396,0.003170186544485656,-0.00542128908184754,0.0029141327357933766,-0.004431654498388415,0.0026573961888539475,-0.002898585513166513,0.0025165153041056235,-0.0010395791624501476,0.0025502562546809962,0.0008681699954357687,0.0027378286403489356,0.0025395423081074264,0.0029840473389026742,0.0037367771139804884,0.0031511477172427465,0.004315195689103421,0.0031071707491956975,0.004248401205254454,0.002774995153097718,0.0036280635483466037,0.0021658492322680035,0.002640438206588602,0.0013866386509664612,0.0015272686132217436,0.0006197167763074838,0.0005404699480070345,2.264957062814041e-05,-2.000914304749361e-05
7,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,56.60127903588434,-2.4452362447064358e-05,-1.9234240592567715e-05,0.0006006354639312103,-0.0009900284057053393,0.0016229694890725621,-0.0024640229535631436,0.0026814318429622857,-0.004179513076653464,0.0035516473587618837,-0.005783939732686702,0.004088919298541561,-0.0069368488310871095,0.00425120772829282,-0.007372881918178334,0.004098201197251203,-0.006949327608941297,0.003767683353214975,-0.005671465136510536,0.003431828812856729,-0.0036938567738156727,0.003241904894219006,-0.001296477729792498,0.0032766510784131057,0.0011634189767306582,0.003512412472137018,0.0033176927637297527,0.0038279458147401657,0.0048589758405606425,0.004044677837278453,0.005600486975224884,0.003989882054482972,0.005509076384886464,0.0035616999301294585,0.004704561627856051,0.002773968897311713,0.0034283199006276102,0.0017659678641210803,0.0019919080801540827,0.0007747505742131035,0.0007189231657933353,2.319338270707874e-05,-2.0729785208369358e-05
8,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,57.64726876320888,-2.5042488061022317e-05,-1.941496030918843e-05,0.000753564253706569,-0.0011944513117991959,0.0020005418052862086,-0.003000885491646064,0.0032910526289069873,-0.005105190498923509,0.004353374852058462,-0.00707426402947328,0.005012274567919525,-0.008490089426761811,0.005215252414765243,-0.00902764014268883,0.00503182403903722,-0.008512650585965533,0.004626738355586168,-0.006951737468378141,0.004208917894437257,-0.0045334917179509346,0.003964991790925812,-0.0015996423390270845,0.0039953740563389295,0.0014129660760104621,0.0042754584563583446,0.00405307812843987,0.00465910477892113,0.005943123720590109,0.004926833269852578,0.006853505877319314,0.004864021631161584,0.006743855306358558,0.004342685773014741,0.005761923763100008,0.003378410033986469,0.004203904152143875,0.0021428130068988148,0.0024504561669757303,0.0009281091537007624,0.0008958875354866719,2.3505708765495092e-05,-2.1249590006744747e-05
9,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,58.37358057761749,-2.5498810830613005e-05,-1.947908371206142e-05,0.0009068920646557799,-0.0014001437653315184,0.0023776773381858013,-0.0035428666989862174,0.0038993232351422135,-0.006041584148486322,0.005153786358511281,-0.008381868091792859,0.005935853617843659,-0.010067418151579022,0.006182048625948093,-0.010713141619530605,0.00597026750029567,-0.010113015053632173,0.005490652147593331,-0.008274667698433876,0.004988122347114597,-0.00542008954043917,0.004685254685010434,-0.0019519791539190296,0.0047058321419304475,0.0016137649841651458,0.005026253225320333,0.00474272943401188,0.005476717978671523,0.006986543263222023,0.00579681586730503,0.008072017055727099,0.005728936515469666,0.00795100056970138,0.0051175628380398675,0.00679888009367377,0.003979094478330998,0.004966304250563787,0.002517365033793661,0.002902304317073772,0.001080147453166023,0.0010709291549318128,2.36863226664237e-05,-2.1652181932198472e-05
10,11.071499411584513,280027863.5425053,5.820766091346741e-11,3009.674424032308,1.4448232754955481,0.3060951463887334,0.1600778753145587,0.011018642846849171,1.6027086126798036,488.8723056419016,10.0,10.0,1000.0,10.0,10.0,1000.0,58.89773768958152,-2.587074273152481e-05,-1.94683926408386e-05,0.0010603324825816805,-0.001607236287431101,0.002753946789203596,-0.004090044260103165,0.004505640040704154,-0.006988752732307932,0.005952118362652179,-0.009706860457862794,0.0068587951056495984,-0.011669070848261555,0.007150729091589369,-0.012429811529113734,0.006912746186970195,-0.011751076497125682,0.006358769331131209,-0.009641167363824024,0.005768904198979059,-0.006354825785025855,0.005402205449274445,-0.0023548987398454343,0.005407498127923248,0.0017642551043720342,0.005764167874241517,0.005385069963966349,0.006280055544108392,0.0079877847052962,0.006653864946285334,0.009254801203495476,0.006583947579631013,0.00912956204322047,0.005885841626452326,0.007814732676069485,0.004575780160778972,0.005715028707564251,0.0028896122829700555,0.003347115727444443,0.00123100765858173,0.0012438165868029296,2.3784958257402334e-05,-2.1979162719971314e-05
