时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,25.863764680232144,-3.439356811737975e-05,-1.8784921841811218e-06,-7.4951628251080255e-06,-2.929159035829349e-05,5.422257953717647e-05,-9.446994575472485e-05,0.00013029503052148145,-0.00018309055617099973,0.0002001504525589348,-0.00027478800044739905,0.0002482712471770314,-0.00034773817165914154,0.00026777927797450924,-0.0003831921007856391,0.00026148845173166573,-0.00036936325849911853,0.00024012952350796365,-0.00030394768025401484,0.00021815645145908645,-0.00019505065381828212,0.00020814730022389918,-6.0053015005492036e-05,0.0002156937700570272,7.78752194540345e-05,0.00023704956477607392,0.00019509200767374156,0.0002607620605764641,0.00027299900301999203,0.0002724490965460778,0.0003019626041192268,0.00026055532486331305,0.00028278756951408287,0.00022100830263034488,0.000225883071455765,0.00015939937876562974,0.00014861554650776564,9.018437846479191e-05,7.153767708473714e-05,3.28126420632258e-05,1.4001273168552003e-05,5.6774153110728815e-06,-9.830005425814526e-06
3,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,56.5719701024294,-7.540669286023898e-05,-4.053454370675709e-06,5.213272028151474e-05,-0.00012978302451457395,0.0003429656260526077,-0.00043583884570816487,0.0007029438987507793,-0.0008556247623014181,0.0010344999516802972,-0.0012913542303464847,0.0012628452071805467,-0.0016366643259780878,0.001353966496174333,-0.0017995958542640464,0.0013203634600735658,-0.0017219675509068419,0.0012133784273013334,-0.001392165723344313,0.0011033592149732013,-0.0008501058691305875,0.0010521986176285922,-0.00018204394900433633,0.0010875945733431385,0.0004966281774649072,0.0011908060113927418,0.0010682441827344386,0.0013045609628699066,0.001441002598401325,0.0013570948362721248,0.0015688430063801463,0.0012912489568318217,0.0014584059963554303,0.0010878418242838122,0.0011638533668831084,0.0007762549167798097,0.0007726825541912785,0.0004295469162047648,0.00038634817530839097,0.00014454724435645344,9.902091659984875e-05,1.2331460948225022e-05,-2.1575444778220354e-05
4,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,66.84417916001776,-8.93011272332707e-05,-4.67894651637585e-06,0.000165913105610983,-0.00025392702922756165,0.0007458603480777685,-0.0008666708947796759,0.0014643845917580117,-0.001710696038491342,0.0021274821309029534,-0.002588698002702287,0.0025856894155992073,-0.0032849993801415127,0.0027696993210539903,-0.0036131877077966367,0.002702278626877818,-0.0034553586069952912,0.0024844383717231295,-0.0027876371890200612,0.002257144367621724,-0.0016901229813414916,0.002146537827112952,-0.00033699046115434454,0.0022110357221039856,0.0010376188001110795,0.0024147751253705448,0.0021940720377429663,0.002642222684569985,0.002945351277947328,0.0027468070540217354,0.0031985642705072027,0.002611084436247462,0.002969231998347045,0.002195576051969299,0.002369530255639844,0.001560829999224357,0.0015777790003698013,0.0008565851492720345,0.0007981993884918423,0.0002798518760128946,0.00021883852801644107,1.4435463742452616e-05,-2.5598685436288086e-05
5,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,71.07814850377613,-9.517176914781417e-05,-4.851109382031166e-06,0.0002877917591383841,-0.0003781621824973687,0.0011561400104700156,-0.001301080514267594,0.002232137522682217,-0.0025760554405075973,0.0032267195349663254,-0.0039048315757279945,0.003916838705757332,-0.0049607265038676815,0.0041973853407383365,-0.005462018984030807,0.004099182345457258,-0.005230959227838646,0.003770306626588546,-0.004231188688493421,0.003421128457224868,-0.0025821072912094087,0.0032432255003770434,-0.0005446551782929615,0.003328796883864284,0.001528688653617673,0.0036279914173249724,0.0032754369213951473,0.003968364969170751,0.004411751390330057,0.004127514173721833,0.004796816525501659,0.003925319865968447,0.004455106239002354,0.0033000073755773793,0.0035574364253938458,0.0023428537382852244,0.002372854503212645,0.0012811737801764708,0.0012069399167303186,0.0004131343086343687,0.000339825169221927,1.5207786409241844e-05,-2.733009977284636e-05
6,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,73.3714224250309,-9.847508554627568e-05,-4.8767321833869905e-06,0.0004122918830761762,-0.0005030723926235016,0.0015684193625121615,-0.0017400047309669218,0.0030008221053472875,-0.003453026848371733,0.00432676699278738,-0.005241504386823686,0.005250847173109702,-0.006666126261663146,0.005631762051175104,-0.00734909792874551,0.005506202952792369,-0.007052802972890513,0.005066601635311681,-0.005728235051066426,0.004591318287353964,-0.003533129726176073,0.004338376912660871,-0.0008137460315711203,0.0044368104349192024,0.001959955237800776,0.004826122442116852,0.004302130456475369,0.005278633097682947,0.00583063961044141,0.005495328694738422,0.006355459826293712,0.005231055472337069,0.005909699814996254,0.004399543081331885,0.004723024077934062,0.003122008989207261,0.0031547881622745284,0.0017039012408622026,0.0016103663014962017,0.0005453633144227969,0.00046022146532968946,1.55546632206245e-05,-2.8323772953677477e-05
7,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,74.79534961464378,-0.00010063855642484596,-4.836321790112058e-06,0.0005379543851450432,-0.0006287929732159673,0.001981176663435445,-0.0021836384807424956,0.003768761227369141,-0.004341880603939957,0.005425740085890058,-0.006599098957080232,0.006585670763682856,-0.008401744857686008,0.007070756811795154,-0.00927518104236943,0.006921392549547114,-0.008921909369322157,0.006371602226616335,-0.0072801455075237505,0.005766211280476623,-0.004545012087282687,0.005430583473217033,-0.0011465679196743463,0.00553359549130786,0.0023287625400677556,0.006007527885928991,0.005271431911846121,0.006571295654924557,0.007199550448462368,0.0068486272577536695,0.007872498685242533,0.006527008738312174,0.007331540570716567,0.005493401521151026,0.005865271868908403,0.003898027328609486,0.003922876958935837,0.0021248684075960795,0.0020079563295929237,0.0006767908578850172,0.0005795814547286697,1.5713116099672753e-05,-2.898606894145426e-05
8,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,75.75261715034813,-0.00010219884601788303,-4.760224103339231e-06,0.0006641989068473545,-0.0007553497924189483,0.0023937106830440643,-0.0026319721480213437,0.004535029808603096,-0.005242566555558427,0.006522440164981329,-0.007977555206989544,0.007919886954602473,-0.010167559818832135,0.008512853559222508,-0.011240315235826626,0.008343295635744612,-0.010838416500333297,0.007684026689283963,-0.008887200746796744,0.006944717846991827,-0.005618266705390759,0.006518855972617925,-0.0015439286045750421,0.00661811519378214,0.0026340506339690376,0.007171021263135653,0.006182188714330816,0.007845036217315932,0.008517428695241022,0.0081860990856425,0.009347093190959067,0.007812057368103684,0.008720017651148708,0.006580797357479683,0.006983749113032237,0.004670508593792357,0.004676812091192232,0.002543983998848913,0.002399479611345996,0.0008074820392461598,0.0006977233706277172,1.5772282397130956e-05,-2.9469692815453684e-05
9,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,76.42844897986222,-0.00010340280912631528,-4.662443978140836e-06,0.0007907306275294966,-0.0008827318971876207,0.0028055863268821825,-0.0030849233900347895,0.005298945740813822,-0.00615491509477145,0.007615887577436891,-0.009376643573446586,0.009252267153758592,-0.011963330272488507,0.009956704314904936,-0.01324427934209488,0.009770600330536115,-0.012802137525715978,0.009002718632675339,-0.010549289607559345,0.0081258672810902,-0.006752944269043667,0.00760233080518221,-0.0020061190119202723,0.007689470262298918,0.002875297708732761,0.00831555683074119,0.007033763433517162,0.009098661838879312,0.009783670466367267,0.009506516869737228,0.010778764190388002,0.009085107600855971,0.010074782587158727,0.007660919025943919,0.00807820017887368,0.005438988520312224,0.005416398801366224,0.0029610810467711117,0.002784791336655962,0.0009374367051640463,0.0008145478644184538,1.5773200577643236e-05,-2.9844845038643458e-05
10,0.5618217926086974,17858543.249947503,-76.00727387490679,20.265460563388142,1.476764277574462,0.41003723313123697,0.027578338553337536,0.0038434621188024845,1.7400694908656646,1633.4707733602797,0.2603630687500118,5.179849976920682,501.21663512280884,1.5610472582714952,1.01015626559483,269.22566745305585,76.91992638399222,-0.00010437980997620115,-4.550355979568678e-06,0.0009173707166170638,-0.0010109128459963497,0.0032164778826926483,-0.003542377094992496,0.006059928725841362,-0.007078699714500073,0.00870519551981553,-0.010796051541831293,0.010581664202511736,-0.013788708864028314,0.011401029516601033,-0.015286724734854954,0.011202050738865831,-0.014812735668702875,0.01032656906896628,-0.01226612386650069,0.009308735053546326,-0.007948889408575894,0.008680197001225368,-0.002533202055786926,0.008746822889087026,0.00305221543507823,0.009440153030855722,0.007825737707742995,0.01033103492556072,0.010997860717461396,0.01080868862491064,0.012167182698379193,0.010345074932941475,0.011395596829194315,0.008732939583463823,0.009148443351891836,0.006202971720427992,0.006141489810123799,0.0033759583861343264,0.003163781069693002,0.0010666270563360332,0.0009299884810305886,1.5737412607326498e-05,-3.014828365287216e-05
