时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,7.92636933712953,-2.8254009531341222e-06,-1.592522188181651e-06,5.433303500665451e-06,-2.240775221155353e-05,2.568978281861441e-05,-6.106267390096747e-05,4.8933948390751864e-05,-0.00011027033957943768,6.911682700903656e-05,-0.00015933940796128196,8.215244134784164e-05,-0.0001975262639658029,8.665721011137201e-05,-0.00021609127490185008,8.390455722821171e-05,-0.0002099742367795842,7.708272008834577e-05,-0.00017872649116578543,7.008639401807353e-05,-0.00012656805746750653,6.617794394375977e-05,-6.15540151385316e-05,6.690177053756999e-05,5.998055087374051e-06,7.158072713108493e-05,6.552637197364475e-05,7.756410031603374e-05,0.00010828887129060422,8.116692960411611e-05,0.00012904721547823543,7.901430202797355e-05,0.000127018740705681,6.936294619616725e-05,0.000105909368821303,5.296001851732674e-05,7.302961629900713e-05,3.314578442191362e-05,3.7713923233149276e-05,1.5130593104300069e-05,9.312914740171911e-06,2.462008280922768e-06,-3.189762341927382e-06
3,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,17.440701265149347,-6.2386896941660695e-06,-3.4788674779990283e-06,2.1318064121342115e-05,-6.433738166406818e-05,8.351265996699186e-05,-0.00018069912525098765,0.00015491446036741878,-0.0003294538515088034,0.00021698017287477943,-0.0004777107615695867,0.0002570991032003624,-0.0005920882924062394,0.00027095639167912255,-0.000645312891745245,0.0002624630074873209,-0.0006215773793452686,0.0002415084603156937,-0.000519560498722967,0.00022022465760530548,-0.0003526641737877203,0.0002087930032070789,-0.00014641918312256736,0.00021199807901444914,6.647684971274502e-05,0.00022759138258334987,0.0002525685478395277,0.00024704303503129445,0.00038422427859328176,0.0002585250394062841,0.00044501659499096807,0.00025122474836273753,0.00043275857270670703,0.0002196064797208596,0.00035958929093687984,0.00016618995573088648,0.0002491399313542221,0.00010188200368938963,0.00013148760620322283,4.363599401546776e-05,3.683333742520111e-05,5.398829641699164e-06,-7.05297699359827e-06
4,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,27.03531186020833,-9.752708625535786e-06,-5.288156470186789e-06,7.110964646373613e-05,-0.00016101821016707615,0.00023862325532742712,-0.00046851007417869986,0.0004306223717101232,-0.0008629877809537404,0.0005975577372465661,-0.0012556428240894806,0.0007056236795287697,-0.001555619260746097,0.000743096967238718,-0.001688491338652341,0.0007202870617378925,-0.0016111708058294434,0.0006637438179825115,-0.0013203690734075266,0.0006063829650828265,-0.000853366768861811,0.0005761325430110641,-0.0002809766158507887,0.0005863057331776787,0.00030610251902722836,0.0006307465146030182,0.0008150812097884214,0.0006856098728357779,0.0011695045854240732,0.0007175887814338135,0.0013243846265890485,0.0006961499753812529,0.0012747013956313626,0.0006057720371453405,0.0010554898356986055,0.00045393780867191926,0.0007337019454245805,0.00027198550406210535,0.00039393883288743034,0.00010819487962948137,0.00012096949314380292,8.290548325440945e-06,-1.1064050777711999e-05
5,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,31.106645840792062,-1.1326715335880518e-05,-5.945048509840308e-06,0.0001320054677179755,-0.00026648094537399955,0.0004180698152593819,-0.0007888021361356887,0.0007454450969364961,-0.001460149144957703,0.0010302197225700626,-0.0021284253591403045,0.0012151618040827485,-0.0026375744916713796,0.0012801117463571532,-0.0028597166904937585,0.0012419453809948587,-0.002720865755068258,0.001145214691177592,-0.002215471360446632,0.0010459155694719376,-0.0014077604053528473,0.000992356372502585,-0.0004197707219325757,0.00100836571336688,0.0005919786488094345,0.001084237026230386,0.001467145835129799,0.001179104299839084,0.0020735809759051867,0.001234921529627789,0.0023337877772501483,0.0011979990867474269,0.002239775760221521,0.0010408807889187171,0.0018530243875632972,0.0007766871552499663,0.0012900154377651224,0.0004605111814678152,0.0006972495715250827,0.0001768142938469749,0.00022117917696191057,9.43555891336877e-06,-1.2896259829621263e-05
6,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,33.138947329395855,-1.2179862103217937e-05,-6.182778576037387e-06,0.00019443339530471283,-0.0003714456230768448,0.0005989683583077582,-0.001110047637234025,0.0010614601005280182,-0.0020609769474593423,0.0014641561621733668,-0.003008493145266298,0.001726803187829741,-0.0037308393477505633,0.001820623612035666,-0.0040462604281848655,0.0017682629544957032,-0.0038495346240345766,0.0016313273991203812,-0.0031324903793775068,0.0014884336695508312,-0.0019858747414348136,0.0014086719564159048,-0.0005825775076837156,0.0014274833548748784,0.000855167245421803,0.0015327879688765127,0.002099181041946908,0.0016672858064811459,0.002961058298687838,0.0017479053845870134,0.003330243173685861,0.0016969223752944878,0.0031954589366097593,0.0014741012352940187,0.002644522588505585,0.0010979023164104493,0.001843322445637389,0.00064746928928112,0.000999955906917388,0.00024392396406097688,0.0003222068851271045,9.9423934475496e-06,-1.3913152851638409e-05
7,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,34.34708154416335,-1.2742567887311045e-05,-6.250552758410126e-06,0.00025743844949674215,-0.0004764988860084107,0.00078019430790851,-0.001433023824762308,0.001377425546886049,-0.002666614268765819,0.0018980870529184868,-0.0038976142255632367,0.002239320403449265,-0.004838112505692204,0.002363536617350017,-0.005252045846841807,0.0022983114849942075,-0.005002548146043493,0.002121289424403647,-0.004078339947664606,0.0019331783083623697,-0.0025960841064486717,0.001824213570063057,-0.0007789335557355525,0.0018425704908327006,0.001085481909412015,0.0019750655183581917,0.002701013252681105,0.0021486801777537124,0.003822467883979655,0.002255139089726657,0.004305570726761028,0.0021918408834455537,0.004135227240492747,0.0019048684626610532,0.0034252193170087736,0.0014175896881001768,0.002390461657343747,0.0008333339631071239,0.0013001509222555826,0.0003102444190099818,0.0004229552071364614,1.0192598326673781e-05,-1.4598953883438625e-05
8,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,35.13974791589284,-1.3159662650070924e-05,-6.232285467167571e-06,0.00032067709887594417,-0.0005818056017597995,0.0009613035083537851,-0.0017579061677920952,0.0016927995722657262,-0.003277313124062841,0.0023313967295511082,-0.00479623275592764,0.0027520702520017325,-0.005960168463820551,0.0029082395144791997,-0.006478303675486486,0.002831562834634292,-0.006181680710949331,0.002614673206449739,-0.00505537197082276,0.0023797913490937626,-0.0032412848509613553,0.0022386212390659234,-0.001012163660986464,0.002253188635229785,0.0012793729130782098,0.0024105163980980763,0.0032691320607346583,0.0026226530709412654,0.0046546050925365895,0.0027560041763698534,0.005257075868209402,0.0026822715212724128,0.005056998855031854,0.002332923982835168,0.004193642430760295,0.0017357347242248037,0.002930482259210865,0.0010182767079219258,0.001597264833087787,0.0003760297911588983,0.0005230820972611299,1.0314578762186508e-05,-1.5116653189036919e-05
9,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,35.692512768533305,-1.3493340272730963e-05,-6.1640820049818445e-06,0.00038398268579575357,-0.0006874077420760781,0.001142044797352025,-0.0020846851940458837,0.002007229290243684,-0.0038930327299836467,0.0027636335686700157,-0.005704337747724845,0.0032645339677533506,-0.007097109371139673,0.0034542026089195454,-0.007725329635221784,0.0033675376353645534,-0.007387483018917432,0.0031110883967663517,-0.006064429668009753,0.002827966127376072,-0.003922620846383026,0.0026516218076725086,-0.001283676480780074,0.00265902884194973,0.0014352591265903859,0.0028387485726273183,0.003801922647107488,0.00308873567950224,0.0054559697768063,0.0032500163703870206,0.006183487600185034,0.003167801725139008,0.005959788293785872,0.0027579984436240674,0.0049490923608040424,0.0020522346732025176,0.0034629310167405554,0.0012023288589714067,0.0018910283248584332,0.0004413789149039957,0.0006224322048728575,1.0363532833705096e-05,-1.553625901750105e-05
10,5.212081977208176,126534931.48390841,1866.3164780505613,1159.7048881098885,2.279928514739666,0.378246534473587,0.08202499199425324,0.010822635541893735,2.437653691660713,805.1994699952711,8.371393435206539,9.561238640395514,417.56988282631784,9.46232202255927,4.9430572113489095,254.91268884879437,36.09324030237107,-1.3774698721561542e-05,-6.064057712086973e-06,0.0004472563428612029,-0.0007933023485884633,0.0013222425118447204,-0.0024132834257594906,0.0023204363910713684,-0.004513620601541493,0.0031944096418336575,-0.006621738331770725,0.0037762379463682073,-0.008248765718786483,0.0040009205828882115,-0.008993037813960625,0.0039057646228148903,-0.00862000539088548,0.0036101466721428755,-0.007105741735395765,0.003277404359694681,-0.004640528118030416,0.0030629665970751843,-0.001594116677482352,0.003059825277446223,0.0015523305920954412,0.003259425306399204,0.004298496402300402,0.0035465133103500532,0.006225697648743319,0.0037367289257140314,0.0070840498153352475,0.003648028019413519,0.006842992712024995,0.0031797991333421547,0.005691128536209989,0.0023669365052221233,0.0039875151493016575,0.0013854576549467248,0.002181267964070673,0.000506327740179172,0.0007209138275959098,1.0367117304702919e-05,-1.5892782894879686e-05
