时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,9.596127531698452,-4.08010420440825e-06,-8.365190412626939e-06,1.500486040382573e-05,-5.191680653397799e-05,5.7685164065233615e-05,-0.00011451862214561429,0.00010316514598107278,-0.00018888630889863885,0.00014104509460616824,-0.0002597268083603804,0.00016454517699695227,-0.0003122858383898801,0.00017176898872344037,-0.00033492322192102257,0.00016555904160905552,-0.0003212216640968765,0.0001521461103081701,-0.0002711354575604458,0.00013895270964453502,-0.0001910404681984404,0.00013212481507887347,-9.261299258249097e-05,0.00013451404917737167,9.316554540545733e-06,0.00014475681570783898,9.95624305342102e-05,0.00015777067872506116,0.00016545909306339145,0.00016651185694039223,0.00019919453717995102,0.00016442287253428018,0.0001991253591134194,0.0001478061093544087,0.000169865692312895,0.00011739280239961635,0.00012117956615848376,7.866351797165582e-05,6.598431032906917e-05,4.094679355158502e-05,1.7784888364910583e-05,7.717423454435439e-06,-4.491828671216034e-06
3,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,20.71477449826906,-8.868573532089968e-06,-1.7969386266008196e-05,7.160559555975096e-05,-0.00016195725964587973,0.0002251191492745842,-0.00038312234595118806,0.00038877299916861136,-0.0006464180929323116,0.0005249821145456924,-0.0008964300422048684,0.0006091903660475153,-0.001079110075982864,0.0006344359370285916,-0.001151663810022659,0.0006110238525973688,-0.0010905608864801436,0.0005617598797776826,-0.0008959887415072021,0.0005139366645845745,-0.000592138898734506,0.0004901642059726551,-0.00022305703284143823,0.0005007615785946886,0.00015544351429345858,0.0005402233232631423,0.00048640228244287197,0.0005890603639132314,0.0007226477831194373,0.000620476302970742,0.0008356325248428739,0.0006097117274730427,0.00082031581990303,0.00054310741312101,0.0006953075474191699,0.0004240753195596704,0.0004985011556737969,0.00027421713435744097,0.00027938717955892906,0.00012948568867462843,8.951621286024193e-05,1.6610782908047364e-05,-9.773670916769863e-06
4,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,27.77300197713509,-1.2044017600085577e-05,-2.3830470616000743e-05,0.0002041478844847288,-0.0003555368013802084,0.000578300123736766,-0.0008905095798277867,0.0009767454249796248,-0.0015281150233151582,0.0013082666932567762,-0.002132200021497407,0.0015132462237140677,-0.0025692715673690503,0.0015743542818903368,-0.002733642176306518,0.0015161172412377515,-0.0025674881873704995,0.0013939253702918873,-0.00207200560928518,0.001274866323816246,-0.001308163481877785,0.0012151733419741313,-0.00038645087563097305,0.0012409546058739485,0.00055329639757067,0.0013387592088151498,0.0013686205479052137,0.0014596861350081095,0.0019421364301635267,0.0015360422088263848,0.0022039052444574776,0.0015051786667328983,0.00214357318540888,0.0013328418563998132,0.001810194880259593,0.0010285753669537219,0.001300593875931861,0.0006483317443934776,0.0007395457493345887,0.0002836519227398519,0.0002560908211058215,2.2118045983407902e-05,-1.3301374404859346e-05
5,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,30.379045401881466,-1.3339476223518118e-05,-2.5764946004715318e-05,0.00034301520870893973,-0.0005434348625816244,0.0009379475880769085,-0.0013954850533868086,0.0015710874129964464,-0.0024121477113734154,0.0020984047653948637,-0.0033754510657241403,0.0024256698037425904,-0.0040713505711570865,0.002524646543289193,-0.004330604402453208,0.002432761351776579,-0.004060882271894493,0.002236713070236488,-0.0032644033649845607,0.002043024879850515,-0.0020390088013561565,0.0019424399983820678,-0.0005618713064612226,0.00197855740375212,0.0009426264996672151,0.002131572616752242,0.0022457526339692917,0.0023237977501651616,0.0031591799408063745,0.0024460224576511075,0.0035712951203818602,0.002396303928350918,0.0034667590384048924,0.0021185211004202086,0.0029257475598397577,0.0016280141364083142,0.002104509610857452,0.001015844068542284,0.0012030167040371538,0.00043027950154454845,0.00042725463024954235,2.401975785262022e-05,-1.4758899027449808e-05
6,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,31.72271125902013,-1.4101259677985797e-05,-2.6578979074131995e-05,0.000483661482904179,-0.0007309011613857259,0.0012989716536166603,-0.0019037585680804878,0.0021663136816465795,-0.0033050812084693512,0.0028898174413187197,-0.004634203435408833,0.003341142876729801,-0.0055956173055604986,0.0034805577321690615,-0.005955967507886912,0.00335688760081365,-0.00558814653342337,0.0030865985944308044,-0.004495128823782364,0.002815047381459984,-0.002811201665678628,0.002668275877333816,-0.0007797658294833752,0.002709196408788526,0.001290450802849036,0.0029135698528357794,0.0030842272171599304,0.003175976867055968,0.004341791045914726,0.003345443756406107,0.004909379580702632,0.003279488849332615,0.0047664291582741065,0.002898701890246625,0.004024112059796119,0.0022234404808631047,0.002897744078498148,0.0013800325479922096,0.0016616878040716515,0.0005741259188810703,0.0005978741081118542,2.4899687193656146e-05,-1.5624977047895753e-05
7,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,32.53497401475968,-1.4638055063879256e-05,-2.691597035031016e-05,0.000625013980863077,-0.0009191216344825547,0.0016601152454122057,-0.0024166182161762047,0.002760997912107457,-0.004208444767362358,0.0036809821451070676,-0.005910423013152821,0.0042581632760481224,-0.007144693838924863,0.004440733153954696,-0.007613217148540116,0.00428737014305507,-0.007153789443265074,0.0039426747234737,-0.00576978020219797,0.00359014128870429,-0.0036313580387411005,0.0033918527128855873,-0.0010475241213459446,0.0034318848813210644,0.0015890178789383972,0.003683578743924391,0.0038764513931632163,0.004014968379149994,0.005483055701630729,0.004233182053937525,0.006212325583226508,0.004153995914160344,0.0060380342979788545,0.0036732286658610297,0.005102007498138949,0.0028153244963429252,0.0036780876273153984,0.0017418557436959716,0.0021141153671413115,0.0007163899589170614,0.0007669398961613329,2.5350466277189412e-05,-1.6238847418086945e-05
8,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,33.072647781792526,-1.5058201611343214e-05,-2.700215425760922e-05,0.0007666441588108334,-0.0011084616950027904,0.0020207806779139453,-0.002934377145111015,0.0033543409278242353,-0.005122542485421715,0.004470919326007251,-0.007204495818125941,0.005175651338451634,-0.008719161091078759,0.005404110723711911,-0.009303241906906618,0.005223270053772949,-0.008759103310582307,0.0048041697142488585,-0.007090113655098732,0.004367666510066807,-0.0045016983086366225,0.004112570026255493,-0.0013677495977890111,0.0041459623524085585,0.0018355096883360513,0.0044408232336320425,0.004619622088640676,0.004839903409514145,0.006580418747888429,0.005108379554319775,0.007477998052354211,0.005019129107494126,0.007279933775263454,0.004441701478663567,0.00615826679731906,0.0034036146618795842,0.00444476033342504,0.0021015529098119884,0.002559790836409259,0.0008574691991429811,0.000934096878336543,2.5580569672732515e-05,-1.6719710163053933e-05
9,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,33.44897393422045,-1.5409346788187093e-05,-2.6937432373826873e-05,0.0009083206260354584,-0.0012990395018314263,0.00238057329360873,-0.003457051972849993,0.003945734813537016,-0.006047297089589642,0.005258808987805168,-0.008516303995421278,0.006092641046099953,-0.010318938105130866,0.0063696930094928154,-0.011026082605319192,0.0061636747480281265,-0.010404332631021975,0.005670321515666335,-0.008456643727493758,0.005147000702585708,-0.005423039896352839,0.004829871586808844,-0.0017415419282726075,0.004850843602011249,0.002028629156640999,0.005184620355011986,0.005312380710762971,0.005649995403908195,0.0076326063401603444,0.005970214216783894,0.008705316862528668,0.005874151037528931,0.008491287886067156,0.0052035892069219455,0.007192282342143585,0.003988050510935151,0.0051973475637682835,0.002459110004605002,0.002998444187338464,0.0009975031390017247,0.0010991694012640637,2.5682122007374228e-05,-1.7120103046234515e-05
10,20.302070109110108,279919494.749458,-40014.32766160177,4098.5696612491565,2.699480602832814,0.5648634444823609,0.25593453795519716,0.013742561702517806,2.9878055031938775,780.8232475543035,7.509538259950208,3.0147427470935932,468.14146425544766,3.9192398549409413,5.703985187838313,361.9647103623312,33.72167617936022,-1.5715665859488635e-05,-2.6772860066569014e-05,0.0010498898815749843,-0.001490877909569714,0.002739181352173666,-0.00398454324158565,0.00453465220457163,-0.0069824777375064265,0.006043899200857274,-0.009845521830808729,0.00700821347502134,-0.011943667318420304,0.007336505834913813,-0.01278142459428559,0.0071076763064783785,-0.012089283683714922,0.0065403659198933544,-0.009869368599360492,0.00592752555255184,-0.006395620808354217,0.005543220081311477,-0.0021693847074912525,0.0055459783300415896,0.0021676965777012724,0.005914330683219673,0.0059539488807970765,0.006444495916083433,0.008638853474275884,0.006817880199078097,0.009893615616115622,0.00671830547453475,0.00967156631246016,0.005958302713259912,0.008203658301153088,0.004568281881725268,0.005935569525779765,0.002814407922953648,0.0034298918717015846,0.0011365281983227258,0.0012620481750700721,2.5702248839088456e-05,-1.7466784326077544e-05
