时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,15.34799005882143,-2.4435069031848145e-05,-3.071546294633499e-05,2.058443712494773e-05,-9.884655577962871e-05,0.00010827495256068363,-0.0001912079477221807,0.00020350488591354562,-0.00030105495949638304,0.00028419111778193366,-0.0004062842705373309,0.0003351207343466586,-0.0004849623482275169,0.0003510198325832425,-0.0005192709494667521,0.0003370414144383984,-0.0004987894769832191,0.00030653889005621756,-0.00042255567823125623,0.0002764817571115855,-0.00029983956649551265,0.00026138611627878647,-0.00014909673270640812,0.00026769706453805183,5.458464864716689e-06,0.00029123636699757594,0.00013928383269434154,0.0003191544735232971,0.00023309923255346814,0.0003352503867507139,0.0002766371442701239,0.0003261081174832784,0.0002698680229729951,0.0002859525597960945,0.00022213204801455145,0.00021905966770602084,0.0001497580561725531,0.0001393407584568758,7.2741701719501e-05,6.699872757145278e-05,1.07371995519253e-05,1.3739604459835665e-05,-8.063423506647868e-06
3,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,31.69233691140354,-5.091012504583393e-05,-6.320290665650463e-05,0.00015825201120476536,-0.00030782214646851735,0.0005269791288359489,-0.0006833736815519469,0.0009297377804105932,-0.001135744732611436,0.001272328037130019,-0.0015696193730988823,0.001488928156002578,-0.0018892633435641818,0.0015559817443735774,-0.0020167272891645645,0.0014949663244057556,-0.0019064953954916405,0.001363456083251591,-0.0015548843758010763,0.001235378869836158,-0.0010037635715318632,0.0011740758258702686,-0.0003361354358671335,0.0012069422303812034,0.0003392919322763946,0.0013138392536303492,0.0009129460720041181,0.001436060527782491,0.001300017947960727,0.0015006360972851076,0.0014573944868754535,0.0014481871738585563,0.0013886142935305326,0.001254672767772028,0.0011389528285097024,0.0009417904442758004,0.0007837968166477309,0.000574236370816852,0.0004131252130308517,0.0002439706527828183,0.00011417128631210287,2.81659979032948e-05,-1.6814718678448115e-05
4,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,37.97510762080473,-6.16827502099255e-05,-7.525722671536297e-05,0.00039163955172622666,-0.0005514242144141376,0.0011598966052948313,-0.0013280503668531595,0.00200099645629375,-0.0022696397016789996,0.0027187183924018508,-0.0031741448854703796,0.0031748949338593372,-0.003837982207391657,0.0033183991013593585,-0.004095807496376167,0.0031918327681522596,-0.003851377475842104,0.002914451471863453,-0.0030970569040632947,0.0026419019979220587,-0.0019217149698265209,0.002509405641089809,-0.0005020231676777942,0.0025768109106051977,0.0009297158331377946,0.002802285387616645,0.002138750337812251,0.003060372833553638,0.002943760482561706,0.0031940269643691995,0.003254203089025564,0.0030752464074225616,0.0030809665212971297,0.0026528018537173774,0.0025244988987825467,0.001974943037424129,0.00174804205285438,0.0011826074817248204,0.0009432012452530986,0.00047408614754219214,0.0002937740765619681,3.336126513147194e-05,-2.041741617925449e-05
5,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,40.43838346516496,-6.639022623735684e-05,-7.960159426038732e-05,0.0006330205282134892,-0.0007846413527891791,0.001799168659948492,-0.0019665184244041212,0.0030770355235052683,-0.003404613496855582,0.004170182103460206,-0.0047880998182112215,0.004868973854976249,-0.005803868698510012,0.005093580338702401,-0.00619873303222526,0.0049049636134763305,-0.005825991429425083,0.004481292796038837,-0.00467398286324069,0.004058944047595841,-0.002877647901926595,0.0038466053809056945,-0.000706142789178857,0.003939964487920282,0.0014849086066696191,0.004278734152233048,0.0033344107337384054,0.004671963591030923,0.004562700483578462,0.0048773072263646345,0.005030712375309984,0.004695522441740054,0.004757057487807024,0.004045990536251715,0.003898527930746203,0.0030030163642645953,0.002706700802370745,0.0017848965949878847,0.0014736587097927546,0.0006977137363716134,0.0004776865417861506,3.510684028106082e-05,-2.202106587067197e-05
6,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,41.74214707176734,-6.925962005561587e-05,-8.15957591420573e-05,0.000876789613396183,-0.0010165444249925592,0.0024395399491772105,-0.0026095723578648936,0.00415273930908743,-0.004553161172198514,0.005621582558360375,-0.00642562256038347,0.006566004295791066,-0.007802701863048351,0.006876465823584217,-0.008343016570415803,0.006629538412365846,-0.007849795243973907,0.00605940192048163,-0.006307334946110736,0.005481941544706955,-0.003895583181435451,0.005180721778953849,-0.0009745841547087083,0.005290712274393942,0.001977585754910026,0.005736757966484942,0.004472838707526419,0.006264161610451064,0.00613151609219054,0.00654443927065069,0.006764707591274985,0.006304574135228683,0.006398599826801757,0.005432101255548607,0.00524688772116027,0.004026367695037886,0.003649417480573728,0.002383560281137827,0.001997237357485682,0.0009185972718204844,0.0006609076149957401,3.580844941867773e-05,-2.3013320746832883e-05
7,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,42.540418281491014,-7.133125490972186e-05,-8.255863133713371e-05,0.0011215170156976338,-0.0012493517924276796,0.0030795316171621746,-0.0032598416095804246,0.005226450096352533,-0.0057183362002335035,0.007071025865060919,-0.008090203960850351,0.008263911494962249,-0.009838415730168274,0.008664932483974356,-0.010533026090728845,0.00836352735230236,-0.009927599452843274,0.007646918955739252,-0.008002426226112806,0.006909160539927783,-0.004981411966360121,0.0065099864659662774,-0.001313793414289416,0.006627068195245049,0.0024009712550365496,0.007174084938318862,0.00554734155107106,0.007834538751679564,0.007644058835453894,0.008193134741285631,0.008450928757610401,0.007900601440726308,0.008001368708863284,0.006810092250233603,0.0065663582568485125,0.00504479937595828,0.004573834998793708,0.002979105636035196,0.0025122541872187702,0.001137649980575105,0.0008422407785224268,3.605815338439745e-05,-2.3735494599527654e-05
8,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,43.072010344156794,-7.298488159953857e-05,-8.297224263962363e-05,0.00136660812624648,-0.0014838303579198435,0.0037183681861058518,-0.003918167928271852,0.006297091762313023,-0.006901056503462819,0.00851710359837786,-0.009782867967297732,0.009961035117674811,-0.01191216918248326,0.010457220529169326,-0.012770057116807442,0.010105232658319937,-0.012060836818389799,0.009242315873110533,-0.009760874925761994,0.008339245514358821,-0.006137030008072623,0.007833104761120266,-0.0017259983111857441,0.007947635714421765,0.0027525799119164163,0.008589114216646085,0.006555386154415714,0.009381327428954134,0.009097995534717934,0.009821631623629454,0.010087412040841279,0.009482083395693812,0.009563815050768571,0.008178892139616284,0.007855762585982215,0.00605778893118341,0.005479077464531473,0.0035715010522680613,0.0030180707127528813,0.001355145075176662,0.0010212336470348795,3.6072449694877144e-05,-2.4312176746992544e-05
9,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,43.44461797259147,-7.439151740933256e-05,-8.305426590883527e-05,0.0016117304218055298,-0.0017202865117653655,0.004355491544480258,-0.004584821706093009,0.007363763207299314,-0.008101552728139186,0.009958548165549424,-0.011503842330747612,0.011655830744703754,-0.014024228051159314,0.012251669470852447,-0.01505442388656954,0.011853046608264329,-0.014249871226342633,0.010844154811448877,-0.011583139909056333,0.00977094499279085,-0.0073630884710883535,0.009148914181560375,-0.002212121892804347,0.009251183539636137,0.0030312429512378038,0.009980430522380226,0.007495704152185284,0.010902936210963832,0.010492142675230425,0.011428296929929417,0.01167317878739649,0.011047548098075987,0.011085183963377843,0.009537382825100726,0.00911452682731649,0.0070646799903789715,0.006364705537562568,0.004160523862437002,0.0035143591892745347,0.0015711449801494861,0.001197661371752032,3.594921708843157e-05,-2.4799494627165633e-05
10,15.82691322046757,297067288.3462559,107685.22254537826,6536.772665921828,2.3920642402035837,0.7065450109943933,0.16822401366869963,0.01656225442154444,2.867730493399452,611.341755303341,2.444417259854041,2.2543107138998195,142.88889140668823,4.226495030056185,8.50414156587575,756.8760235385671,43.7140190965078,-7.563950124998973e-05,-8.291769569128937e-05,0.0018566556408393681,-0.0019588413181907687,0.0049904323235296505,-0.0052598361274899036,0.008425637806627376,-0.009319760721601537,0.01139415327813288,-0.013253005656752586,0.013346802747466824,-0.0161744634036328,0.014046656694284431,-0.017386007788786552,0.013605391984258607,-0.01649459736176237,0.012451027854686733,-0.013469172640488998,0.011203046936044835,-0.008659694698703525,0.010456310583711607,-0.0027725193125644728,0.010536559702090456,0.003236359929526966,0.011346709782809652,0.008367567473396748,0.012397859364420545,0.01182580388567465,0.013011559058575971,0.013207667003558307,0.012595546748905498,0.012565057755139037,0.01088442613608926,0.010342333893078837,0.008064759001003648,0.007230463998694609,0.004745871965218097,0.004000919422270711,0.0017856270032638095,0.0013713898048043512,3.573936087074201e-05,-2.5226470273181073e-05
