时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,1.5249612305345817,-8.136507945815391e-07,-1.826165066448269e-07,8.22874283127237e-07,-7.900794603512888e-06,4.781692368085632e-06,-2.3495919968980435e-05,9.239792607076629e-06,-4.3278372270666186e-05,1.3040355503267677e-05,-6.282079598964355e-05,1.5455731535758005e-05,-7.781097730125232e-05,1.6275559174912292e-05,-8.483781255500747e-05,1.5762764161030934e-05,-8.200435070579808e-05,1.450581838756991e-05,-6.925134074756937e-05,1.3206809256340439e-05,-4.833720232539137e-05,1.2454803075017598e-05,-2.2481898807504332e-05,1.253964532937559e-05,4.257227665697348e-06,1.3357937017757332e-05,2.7761139129373675e-05,1.4444711034273844e-05,4.4630135273553804e-05,1.513046988618006e-05,5.2820496761770844e-05,1.4782025245029574e-05,5.2012553440855796e-05,1.3052522927106312e-05,4.36379081267968e-05,1.0056213119269067e-05,3.056038365660506e-05,6.4039992888361104e-06,1.6475063284837813e-05,3.0834751834019223e-06,5.140885414044026e-06,8.072621751132864e-07,-2.0148054976911214e-07
3,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,3.29266569687249,-1.7583464860498081e-06,-3.9157871947892394e-07,2.344030384981644e-06,-1.89735716239821e-05,1.1967265520783234e-05,-5.669693477273893e-05,2.281233723449099e-05,-0.00010462904283579182,3.20664325422092e-05,-0.0001519904014723653,3.795372576115934e-05,-0.00018823269583200777,3.995566685401418e-05,-0.0002049887528362334,3.870829009560952e-05,-0.0001975951308326255,3.564561880918953e-05,-0.00016590038867365535,3.248454044986514e-05,-0.00011422513438374305,3.0670148244398896e-05,-5.0492019508457306e-05,3.091583638938157e-05,1.5307362468290667e-05,3.296681078373853e-05,7.302226993425096e-05,3.5673027312885625e-05,0.00011426935927590404,3.737429776216152e-05,0.00013400641488174223,3.649671300620543e-05,0.00013144615295912775,3.217525657823617e-05,0.00011013102360276996,2.4691637810384153e-05,7.715552600646995e-05,1.5567333301561506e-05,4.1694666809500924e-05,7.270367055171317e-06,1.3124260841461777e-05,1.7426237060778138e-06,-4.3802785707271716e-07
4,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,5.214525076429753,-2.7879249285541533e-06,-6.137385061701195e-07,5.037229051207595e-06,-3.4521495660004336e-05,2.2778043324467116e-05,-0.00010369988672397217,4.278013905419199e-05,-0.00019174123405226958,5.986212989270284e-05,-0.00027874360549081544,7.074202802169802e-05,-0.000345138896611108,7.445107811591944e-05,-0.0003753605484464315,7.21523011171245e-05,-0.0003607122577431678,6.649091789258634e-05,-0.00030090087587458575,6.0648831129105676e-05,-0.00020398119007974442,5.731720264551792e-05,-8.474535347296504e-05,5.783351169522968e-05,3.813315115853727e-05,6.172656407331117e-05,0.0001456676255306557,6.683933516611544e-05,0.00022216599143071058,7.004429436300165e-05,0.0002581855715072378,6.836657670893445e-05,0.0002522572206443599,6.016495827272268e-05,0.0002110408372068653,4.596764915860207e-05,0.00014788623525168688,2.8656603227748512e-05,8.009591302356762e-05,1.2919531016041986e-05,2.5426274360831492e-05,2.7585617538619985e-06,-7.00533032044335e-07
5,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,7.299016446558843,-3.909142863432922e-06,-8.446143266060273e-07,1.0029864658297793e-05,-5.838941849220515e-05,4.0459245540778194e-05,-0.00017640464669421916,7.476566026831674e-05,-0.00032683001601585977,0.00010408485394640734,-0.0004754822392839269,0.0001227879511130795,-0.0005885906169915859,0.000129192429087771,-0.0006392105520812749,0.00012526327391889556,-0.0006122511466932624,0.00011552204081955064,-0.0005071813099567258,0.00010544586248988942,-0.00033797106043955994,9.970457188917944e-05,-0.0001303216905848723,0.00010065072710357908,8.32822297314138e-05,0.0001074932869867187,0.00026977692768439285,0.00011647480692989094,0.00040181166529830496,0.00012210329998065033,0.0004629188991984215,0.00011912764277969789,0.00045054780399343014,0.00010463577691760858,0.0003763641552816498,7.954989991094293e-05,0.0002637687190476479,4.896521299628769e-05,0.00014315085606440975,2.1184417317884438e-05,4.581655407498489e-05,3.858105275005703e-06,-9.95569028662578e-07
6,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,9.66779617753585,-5.194239388152101e-06,-1.0806015972127044e-06,2.108400351026675e-05,-0.00010375981756132328,7.597071979427435e-05,-0.0003155756178514324,0.00013779909456518625,-0.0005860182119490485,0.00019068241815389577,-0.0008533361064461838,0.00022452211440431683,-0.0010562115058878182,0.0002362406410575025,-0.0011455535417904384,0.00022925946546046037,-0.0010937685939383633,0.00021161765942317724,-0.0008997922145130481,0.00019318508410102577,-0.000589063999857609,0.00018251875274746362,-0.00020853552722118761,0.0001840685921604943,0.0001823321101733459,0.0001965428360416379,0.0005229144216371813,0.00021310233694442484,0.0007629841872666233,0.00022356717841899218,0.0008722567291247227,0.00021810097978671567,0.0008460305017312048,0.00019119356932091507,0.0007058002484951768,0.0001445240189983722,0.0004947475992033794,8.76175228777432e-05,0.0002690634600835027,3.600827670957122e-05,8.68407255921042e-05,5.100901410944396e-06,-1.3568774186633273e-06
7,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,11.149916964785094,-6.011700227107222e-06,-1.1954099410635798e-06,3.4655591910385844e-05,-0.00015482456734718854,0.00011721214150945701,-0.0004729980506915481,0.0002101161125109037,-0.0008798194275030212,0.00028965227597325125,-0.0012822950001824445,0.0003407573460961537,-0.0015877625664603716,0.0003587444562667087,-0.0017218352567418176,0.0003485219240738743,-0.0016425318230596478,0.00032191506516646563,-0.0013479915895607422,0.00029367482957410245,-0.0008765316567799623,0.00027685045524793747,-0.0002991763083969225,0.00027850100000384215,0.0002939177002182653,0.00029700645949784217,0.0008106477800200807,0.0003221341053810547,0.001174554270045137,0.0003382920845279221,0.0013394104553387247,0.00033022099384061483,0.0012978980361491154,0.00028926233552672927,0.0010826171879421043,0.00021789990838300266,0.0007592767098126147,0.00013080057330990558,0.00041353326110197283,5.189737436445565e-05,0.00013414827872890875,5.870216025247518e-06,-1.61443341146952e-06
8,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,12.057268626185836,-6.524137741736629e-06,-1.2369157484833862e-06,4.875610470428286e-05,-0.0002059430933330003,0.0001589809520886939,-0.000631109972362965,0.00028291835259736955,-0.0011755134585550375,0.0003891409258867204,-0.001714863955507955,0.0004577138774401545,-0.0021249711869487002,0.00048230171693487337,-0.0023058889577416606,0.00046911585462505853,-0.00220095280910115,0.00043354345289064165,-0.0018072221784750588,0.0003951035448628712,-0.001175665819392864,0.0003714295591356009,-0.00040126100154874516,0.00037245174894236515,0.0003951148005938384,0.00039650770940122216,0.0010897037458756835,0.0004301169725162525,0.0015795235777379792,0.0004522074598556573,0.0018020786350521369,0.0004418758364704848,0.001747150339377971,0.0003870921615293038,0.0014582546334270953,0.0002910538177628922,0.0010235451668516786,0.0001736400522499236,0.000558165263369926,6.732984042166372e-05,0.00018166944366327102,6.334401556362528e-06,-1.7990957916855602e-06
9,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,12.664958844763259,-6.877965512730506e-06,-1.24017578740358e-06,6.310686466640498e-05,-0.00025711119436855627,0.00020092711465683223,-0.0007897988988127015,0.0003557895562851237,-0.0014729132925360002,0.0004886862317081831,-0.002150895574970008,0.0005749137479404017,-0.0026679101843260704,0.0006064507724295343,-0.0028982244382580245,0.0005906197137456064,-0.002770190054979194,0.0005461268052955645,-0.002279452879653783,0.0004971233094755418,-0.0014893163362779708,0.0004659012818020004,-0.000518470810806506,0.00046552185310391866,0.00048158928069767207,0.0004945832065928119,0.00135538531458088,0.0005365351592755501,0.0019731916358120922,0.0005647920150308911,0.0022559269349330586,0.0005526084522918626,0.0021901354955914934,0.00048436013425066026,0.001829950524715104,0.00036384216261821893,0.0012857419382862124,0.00021617392238069147,0.0007020025740731729,8.247928045383035e-05,0.000229063983473129,6.640045084405592e-06,-1.9454071308670465e-06
10,4.814505737324227,80602473.49651003,3.637978807091713e-12,411.5679357751705,2.993123597901816,0.23806497181985417,0.11359755817135983,0.007653993593222442,3.0428768422522823,1346.5974677606937,4.974423013066435,6.6109536458103735,679.3580645850678,4.974423013066435,6.6109536458103735,679.3580645850678,13.096967693942409,-7.139215148293128e-06,-1.2210021850207805e-06,7.758057600265494e-05,-0.00030832185963554484,0.00024288896336865907,-0.0009490066464131031,0.0004285350878053755,-0.0017719359143098202,0.0005880684603110174,-0.002590346782406807,0.0006921260014590276,-0.0032166672382040926,0.0007309673874332553,-0.003499158901438416,0.0007128324666049148,-0.003350877038428246,0.0006594947543003858,-0.0027656897018614613,0.0005995876518637805,-0.001818872717082827,0.0005601234314638738,-0.0006525354817903994,0.0005575499592616955,0.0005513686331033223,0.0005910380988794389,0.0016056172502141078,0.0006411650665745495,0.002353540641959628,0.0006758184679945235,0.0026991473295320946,0.0006622245013520312,0.0026253734216058035,0.0005809384878538057,0.002196617485752931,0.0004362209205665623,0.0015451744257034012,0.00025843608748222385,0.0008446887103548058,9.743145183824132e-05,0.000276205589225566,6.853247899042275e-06,-2.0689788746822743e-06
