时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,2.742845920132341,-3.144046019604901e-06,-7.2952111712770365e-06,-3.088662751625656e-06,-2.4325463866814987e-05,3.919358729901371e-06,-4.885696864264311e-05,1.1191957002680815e-05,-7.767920972774644e-05,1.7236364436823075e-05,-0.00010588638006777621,2.1122986590977638e-05,-0.0001289464368827391,2.2607012595339128e-05,-0.0001433244306290291,2.2046414956409195e-05,-0.00014696277867196685,2.0213566499826362e-05,-0.00013951878232670492,1.8043581666774425e-05,-0.00012232607298825947,1.637223298307753e-05,-9.80914818088705e-05,1.572011768238606e-05,-7.038196730877842e-05,1.6173162693162537e-05,-4.298974201536441e-05,1.7390129253206887e-05,-1.928515376646422e-05,1.8736430810776313e-05,-1.6707289373690433e-06,1.9507323729913883e-05,8.76641099018976e-06,1.91739872075317e-05,1.2342237343922624e-05,1.7574025790182105e-05,1.0588955982178679e-05,1.4981649023391638e-05,5.831943932450267e-06,1.2101241611589447e-05,5.991497890555806e-07,5.269853161995547e-06,-1.0791699350598487e-06
3,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,5.916974004008136,-6.796086050058018e-06,-1.5731357261156255e-05,-5.856526514199522e-06,-5.476773624004318e-05,1.0549812295220194e-05,-0.00011165190641766368,2.7626451906194983e-05,-0.00017867644793003235,4.1842421413087786e-05,-0.00024425946995833926,5.0984559313632625e-05,-0.0002975831137944955,5.445906972239113e-05,-0.0003301574972675715,5.311215315499789e-05,-0.0003370286192208584,4.8786925893971644e-05,-0.00031738892191671586,4.3720821639424095e-05,-0.0002745072314978939,3.9911458377050256e-05,-0.0002150051182424337,3.858944094542265e-05,-0.0001476120669986199,3.9922643119877084e-05,-8.161431403544932e-05,4.303078588625766e-05,-2.5265354272518964e-05,4.631278593849041e-05,1.556341506343484e-05,4.799930667200749e-05,3.825237114385205e-05,4.6768348716632674e-05,4.3671218324506825e-05,4.223056181340224e-05,3.574752716683426e-05,3.51237674827798e-05,2.0459483266447186e-05,2.7302177377605653e-05,4.42706712664123e-06,1.1379480294164395e-05,-2.3343157657095796e-06
4,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,9.469441886725638,-1.0904276015415455e-05,-2.515600226350082e-05,-7.368598832692114e-06,-9.329999112905956e-05,2.2024180955002137e-05,-0.00019399014589740896,5.269281223984166e-05,-0.00031293274465621286,7.824871374155026e-05,-0.0004291879604972888,9.466752283998564e-05,-0.0005229726721443649,0.00010085431969851593,-0.0005786672519389346,9.834647290292154e-05,-0.0005871473143468547,9.051749465490463e-05,-0.0005469891643385345,8.147282921270734e-05,-0.0004643863859573235,7.487322136114842e-05,-0.0003518244185191816,7.294451662073388e-05,-0.00022575814579628588,7.591279165859652e-05,-0.00010369432619085807,8.202275276325547e-05,-1.1832465067884118e-06,8.815454008463402e-05,7.075308920418904e-05,9.0880594838364e-05,0.00010729982167779529,8.765704208954901e-05,0.00011034194716916602,7.777988520427735e-05,8.769733087812522e-05,6.279592959749453e-05,5.126291425164521e-05,4.648125969773252e-05,1.4414003048882384e-05,1.8230972462163977e-05,-3.7500384978347047e-06
5,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,12.996951270157874,-1.5012372427264238e-05,-3.4477387338671576e-05,-6.06156050803166e-06,-0.00013940853361798746,4.050086792100647e-05,-0.00029678061420647633,8.913949665847775e-05,-0.00048297124088026426,0.0001296589776979605,-0.0006645128485746428,0.00015562607670961107,-0.0008094735312572784,0.00016528217181844624,-0.0008925267592374243,0.00016110588877973209,-0.0008989011340643549,0.00014855241514541998,-0.0008264620821331496,0.000134272989128387,-0.000685643468233098,0.00012419162169897307,-0.0004972981201767016,0.0001218627927809423,-0.00028886545511784523,0.00012751523076193156,-8.951837207549489e-05,0.0001380641647513417,7.48721245442792e-05,0.00014813897060376172,0.0001860704285504657,0.000151875080017554,0.00023633613812499822,0.0001449582395667617,0.00022930832888391105,0.0001262896317161558,0.00017878268225923465,9.873547182602767e-05,0.00010566415839362863,6.906450865517506e-05,3.3680668463797434e-05,2.5047171229545292e-05,-5.173124603251756e-06
6,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,16.637365546032868,-1.929793107089004e-05,-4.401324456722245e-05,8.884931621365055e-07,-0.00020259107297290678,7.354413349341107e-05,-0.0004443941394082901,0.00014938498247656713,-0.0007305298690101223,0.00021243870591259082,-0.001008288065670404,0.0002526579645159691,-0.0012269833557218184,0.0002673158620390977,-0.0013463195007953573,0.00026036256689414874,-0.0013429322758282895,0.00024047143751079712,-0.001213889760871823,0.0002182348494543162,-0.0009766693694417026,0.0002030851971479493,-0.0006657087248896087,0.00020061285263148698,-0.0003261639534341247,0.0002109591787575596,-5.946422494808231e-06,0.00022879220299844107,0.0002525898458682021,0.0002449918753773162,0.0004198455910302552,0.00024965892788909075,0.00048376513253192227,0.0002355935753994277,0.00045136368253130007,0.00020116268300197693,0.0003467601065858741,0.00015162325716928837,0.00020617451971288855,9.892109894136076e-05,7.089126260034442e-05,3.209151176378127e-05,-6.6728311324914965e-06
7,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,20.15489588558119,-2.3522049690809253e-05,-5.3033720527305936e-05,1.9534900229469508e-05,-0.00029690070175536086,0.00013500497478099516,-0.0006752265481756963,0.00025515489384856955,-0.0011221877316501098,0.0003546434683183247,-0.0015531855576519378,0.0004176810683186061,-0.0018865228447729988,0.0004400654259888591,-0.0020573113749503906,0.0004281830510745904,-0.0020283632456532244,0.0003959708723732997,-0.0017960568942649022,0.0003605042236596425,-0.0013903643987434853,0.00033704524378707116,-0.0008691840216632958,0.00033459677539233345,-0.00030799797844011784,0.00035311661538657953,0.0002133957907974452,0.0003833473241206416,0.0006248050027965701,0.0004095984810962045,0.0008777523113788068,0.0004148994925817972,0.0009535618116335784,0.00038705586736491175,0.0008659444343582419,0.0003236825143817427,0.0006576713823737573,0.0002345285890602075,0.0003921151377979432,0.00014086788784727048,0.00014141405707695967,3.8899618063062415e-05,-8.18244073461685e-06
8,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,22.366008652726354,-2.6269491043462374e-05,-5.84602922879814e-05,4.5564677866202954e-05,-0.0003962819631339075,0.00020887880708454027,-0.0009265321246048428,0.0003781969558646072,-0.0015517422826589837,0.0005178973308869733,-0.0021513693571875584,0.0006060138734071886,-0.002608922691738069,0.0006367844339219376,-0.0028321247706942767,0.0006192264239094543,-0.002768666050528529,0.0005729902653901635,-0.0024146766271019118,0.0005223033841423334,-0.001814748271337696,0.0004890137369292371,-0.0010537172015565234,0.0004861276142514525,-0.00024165699955688345,0.000513555284419801,0.0005054223144136644,0.000557624112927385,0.0010858879652380679,0.0005950452727931404,0.0014301980054379426,0.0006005805310445241,0.0015127291574590384,0.0005562000842284429,0.00135550052390662,0.0004587307237818857,0.0010231835341887492,0.0003233424980071743,0.000610579980997553,0.00018228821832243374,0.00022524222093635654,4.317151713717488e-05,-9.199511084282544e-06
9,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,23.726450482063406,-2.8039509493349793e-05,-6.157734652599442e-05,7.416916491394893e-05,-0.0004929952404074478,0.0002852362063061347,-0.0011754285834168886,0.0005034117963690597,-0.0019789590154844373,0.0006830050647100029,-0.002746914671131026,0.000796077762192995,-0.003327922283033303,0.0008353236515324711,-0.003602346859809722,0.0008122016984890022,-0.0035028901070113293,0.0007518116256880705,-0.003025622856104506,0.00068537997108213,-0.0022299595490157236,0.0006414142142281503,-0.001227868982739031,0.0006371907967497988,-0.0001641949217921049,0.0006728696869130627,0.0008086914751999876,0.0007305055928728467,0.0015576341287895613,0.0007791136275779253,0.0019920588900804227,0.0007849223276603183,0.002079569173767708,0.0007238169581885258,0.0018507789542671295,0.000591776751808321,0.0013925762653844392,0.0004095699472692027,0.0008314418818182898,0.00022070166537379712,0.0003104702740761336,4.579211171513778e-05,-9.882815494369142e-06
10,4.736384059464361,248038681.04227448,-13472.323426790448,2707.0883620277928,1.830545666499359,0.1791685714344639,0.15190231347900582,0.011869764375255677,1.8762893184685625,567.9476369570067,6.533484295987284,1.088011267279681,309.4771335674443,3.8651913485375085,7.429789681430396,209.75681855143137,24.64013959914131,-2.9296906135946298e-05,-6.347645019331253e-05,0.00010412366658612006,-0.0005885796243033354,0.0003628324923421641,-0.0014239218990303349,0.0006296225724659857,-0.0024067242321016446,0.000848940787626653,-0.00334405044704692,0.000987045253436301,-0.004049522632487711,0.0010350559260114405,-0.004376068558419874,0.0010066380200531061,-0.004241356703705017,0.0009320396349584822,-0.0036413648548567026,0.000849315725467187,-0.0026502908783226906,0.0007937162772575538,-0.0014071999238531093,0.0007870938058774133,-9.16993129091615e-05,0.0008302191166816018,0.0011074362776793691,0.0009010907994607815,0.0020254470231299586,0.0009609929813067312,0.0025506471534504174,0.0009673845988600071,0.0026438249332713976,0.0008897966593255377,0.0023441853477494065,0.0007232307183428422,0.0017608283859126194,0.000494123195049716,0.0010518649471339299,0.0002574001474623317,0.00039583526298126554,4.75473504439195e-05,-1.0389527911832928e-05
