时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,4.268252003037812,-7.659940301603649e-06,-1.053968867975903e-06,-5.898412995996776e-06,-1.1288039351658817e-05,-2.035875908360883e-06,-2.687056928634164e-05,1.9485641377085156e-06,-4.507956111677746e-05,5.313370939328456e-06,-6.29874638208088e-05,7.621259572513313e-06,-7.791293054185852e-05,8.758304914929666e-06,-8.777008188540551e-05,8.889908110009752e-06,-9.133036113169636e-05,8.373299537442053e-06,-8.834855595432973e-05,7.644437916099477e-06,-7.953522828541817e-05,7.100980204402311e-06,-6.638285694700748e-05,7.0047835305499925e-06,-5.087672926631855e-05,7.425628963711969e-06,-3.514020339201824e-05,8.24042853004017e-06,-2.1075338092322148e-05,9.188786487092914e-06,-1.0061412717532466e-05,9.96933972720747e-06,-2.7644208525586364e-06,1.034732850097608e-05,9.090382828396323e-07,1.0238010731655252e-05,1.705903460149534e-06,9.735893928200708e-06,7.896590937647817e-07,9.083616818475087e-06,-5.850316310443868e-07,7.648585464552425e-06,-1.0831461278339308e-06
3,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,11.508360231280669,-2.0685177207554507e-05,-2.8392912848242183e-06,-1.556663668140945e-05,-3.1708406456121854e-05,-4.577083166679997e-06,-7.594241465574603e-05,6.792964327280657e-06,-0.0001277976752618634,1.6404428304667433e-05,-0.0001788236237176232,2.2982034536524412e-05,-0.00022119303390153236,2.618528676161155e-05,-0.00024877537923993396,2.6489654774738372e-05,-0.00025794553995232134,2.4935226027948722e-05,-0.00024798317630349135,2.279596229281855e-05,-0.00022100873394214238,2.123374133496325e-05,-0.00018147728659748805,2.1007251474394145e-05,-0.00013532236826170304,2.2301634753897134e-05,-8.889772409326896e-05,2.4723573018280998e-05,-4.789926255584469e-05,2.7466765720012727e-05,-1.6454526099844233e-05,2.9602966702075586e-05,3.460844976924072e-06,3.041081106708869e-05,1.2178784675317924e-05,2.963616767300346e-05,1.2043258004285936e-05,2.7593435726196706e-05,6.72511893434928e-06,2.508668219650805e-05,2.7599340772415567e-07,2.065123360577146e-05,-2.926620911165161e-06
4,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,18.20118264313848,-3.27637705288155e-05,-4.485436611079894e-06,-2.3972914056701663e-05,-5.2540851404731366e-05,-5.525838781084371e-06,-0.0001266138031469588,1.360567429886374e-05,-0.00021368487005758258,2.978590223342123e-05,-0.000299368641696452,4.0827338706782206e-05,-0.0003702055590401323,4.613484359370432e-05,-0.0004155906843642801,4.651627811598948e-05,-0.0004292350093742492,4.3757089206574224e-05,-0.00040990350215629423,4.005114031490553e-05,-0.00036133215647457957,3.739895210785323e-05,-0.00029135943089592976,3.709611116951181e-05,-0.00021043255843739887,3.942961400291957e-05,-0.00012974800563864328,4.366467482331541e-05,-5.934675516677084e-05,4.833511683654689e-05,-6.495128833866309e-06,5.176150962721883e-05,2.5366177373895473e-05,5.264314839912388e-05,3.692484473537201e-05,5.0535160488367086e-05,3.250823267051346e-05,4.604881462877004e-05,1.8909719513518408e-05,4.073245101591229e-05,3.7568859717762896e-06,3.270400371219847e-05,-4.639378025481592e-06
5,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,24.326576356721418,-4.3852084538717945e-05,-5.986581089333095e-06,-3.102038173202988e-05,-7.393722422385531e-05,-4.7288023884680544e-06,-0.00017925301918899313,2.2586133827573145e-05,-0.0003033156492261673,4.568596597882282e-05,-0.00042534769446684044,6.13960673287765e-05,-0.0005257389878523987,6.884133694137113e-05,-0.0005889620219948139,6.918885855045472e-05,-0.0006057931933483314,6.503745869050076e-05,-0.0005744560786919389,5.9588808984741046e-05,-0.0005005364779309099,5.576199086090568e-05,-0.00039571830920135694,5.5432845162604324e-05,-0.00027557621395373036,5.8975987105222224e-05,-0.00015680905344199014,6.523837746407574e-05,-5.439163955923171e-05,7.19708425133655e-05,2.0860853606834695e-05,7.660910139715787e-05,6.389114863992516e-05,7.717528782978847e-05,7.588820643853708e-05,7.301524065198202e-05,6.359727656566019e-05,6.512536972777857e-05,3.760676595691852e-05,5.59970060763755e-05,9.949637883867198e-06,4.376299842644273e-05,-6.216271203634786e-06
6,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,29.92910768396325,-5.402463225196331e-05,-7.352686610237481e-06,-3.66773123517731e-05,-9.631268456966725e-05,-1.9998259290113437e-06,-0.00023488420577821913,3.406825209572918e-05,-0.00039838444334819225,6.455246128456511e-05,-0.0005590576188956689,8.520342339527346e-05,-0.0006905132194053622,9.484028889314703e-05,-0.0007717725125086183,9.50252459537919e-05,-0.0007903681270832498,8.925408350308406e-05,-0.0007439648190943902,8.184273854181594e-05,-0.0006402880908018716,7.672594452631146e-05,-0.0004954225750766813,7.641407634240645e-05,-0.00033079940220773283,8.135577635259801e-05,-0.00016939730662633059,8.98920657861956e-05,-3.181294956408085e-05,9.884813331903886e-05,6.711719397726906e-05,0.00010461999027438063,0.00012055416405162302,0.00010444074597758494,0.00013037152474023448,9.742871060396176e-05,0.00010624802352639843,8.507051159602525e-05,6.334604288911011e-05,7.102778931405648e-05,1.9039578898782906e-05,5.390209006600547e-05,-7.668920667103048e-06
7,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,35.471973887326236,-6.412091342506447e-05,-8.69440765416804e-06,-4.1180921630182424e-05,-0.0001222995597696564,3.435812411467348e-06,-0.00030013397735514317,4.98670915549238e-05,-0.0005102013018109145,8.90623061871833e-05,-0.0007163133324530099,0.00011548607488375048,-0.0008838353884037222,0.0001275945640750729,-0.0009851476698236503,0.00012743201817951724,-0.0010038506258604795,0.00011958517036477012,-0.0009369948147522621,0.0001097276493462283,-0.0007950395212868767,0.00010303267049051147,-0.0005996149124682181,0.00010277788305023742,-0.00037950817497631347,0.00010947853275702124,-0.00016557212405755127,0.00012081116867509676,1.456575634018704e-05,0.0001324052495537272,0.0001410744512254665,0.00013932035096633527,0.0002049717490004784,0.00013778426030808784,0.0002091353955638054,0.0001266468160776959,0.00016712984620869534,0.0001080698703536837,0.00010012088699789544,8.728569073718814e-05,3.249994521182974e-05,6.395640874622863e-05,-9.119301993601696e-06
8,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,42.22405147778253,-7.646971365825409e-05,-1.0307725167911944e-05,-4.437577655192094e-05,-0.00016197281984247464,1.5730269203938936e-05,-0.00040077859807833465,7.826002998528521e-05,-0.0006830481026429226,0.0001309106772793912,-0.0009591807198102288,0.00016614230144128497,-0.0011813884185839876,0.00018185693413097677,-0.0013114645563324307,0.00018087333459671707,-0.0013268011453707851,0.0001695159250062467,-0.0012236246507451335,0.00015562524883473483,-0.0010170148780692253,0.00014635660528483058,-0.0007377981877546793,0.00014620995238395627,-0.00042689636876618855,0.00015577490769093933,-0.00012811063290010883,0.00017159047095320084,0.00011941713065003297,0.00018726196018073202,0.00028775378415517235,0.000195595286437728,0.00036458440570905575,0.00019113969534130076,0.0003547199537405784,0.00017233794741635704,0.00027848340625755955,0.000142570784072582,0.00016734996667811067,0.00010982293225314567,5.772568837718321e-05,7.623614208782898e-05,-1.0911646278101149e-05
9,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,49.73110687860562,-9.028364464283196e-05,-1.2051702908786225e-05,-4.26442526105016e-05,-0.00022451428951110323,4.235936692846326e-05,-0.0005611333828003392,0.00013060682821759213,-0.0009588051928260853,0.00020457517549272682,-0.0013458807443513508,0.00025354854919609315,-0.001652975513054334,0.00027458181702077426,-0.001824583398549948,0.0002717680935921234,-0.0018281164003873453,0.000254256778567278,-0.0016588176742069,0.0002334287414214479,-0.0013398748691897926,0.00021970620082038142,-0.0009178482720877383,0.0002196169737234915,-0.0004542581115074678,0.00023385069270254254,-1.4775843032717455e-05,0.000256969065451624,0.0003421272461426036,0.000279059114710241,0.000575093058938554,0.00028901046746882203,0.0006665927181959371,0.0002784837182389099,0.0006252643642608498,0.0002452991837609635,0.0004835167195098454,0.0001950992500888726,0.00029095154713522267,0.00014080959432643817,0.00010494519012262189,8.993323445966778e-05,-1.2958820145484065e-05
10,0.2755157249317662,15248915.269014908,582.8284234090327,6.545529223840635,0.5518674806441575,0.04347755796083956,0.03771390415140258,0.002269174026986397,0.5608700915089501,856.0701899674795,0.6816239251742395,1.5110319769647393,73.64177556718084,0.6816239251742395,1.5110319769647393,73.64177556718084,55.57883971477935,-0.00010113993197198257,-1.333683659744355e-05,-3.3645025061927875e-05,-0.0002999687074932461,8.17384751212954e-05,-0.0007561819251536906,0.00020113601911843978,-0.001294355052142511,0.0003007188362594466,-0.001815409217569373,0.0003660018850609482,-0.0022232112397563676,0.000393064033284235,-0.0024409768636992862,0.0003875392286681634,-0.002424060116134455,0.0003619829880828867,-0.002166927841494253,0.00033209904225183775,-0.0017033549527995242,0.00031237673756959205,-0.001099986915586449,0.000311937838135179,-0.00044443853233645906,0.000331657254279858,0.00017005111004560075,0.00036360296646683444,0.0006607905764608036,0.0003933313114612326,0.0009698045224496673,0.0004046497263782246,0.0010734560952702264,0.00038548233445906703,0.0009857960446062546,0.00033291205342276137,0.0007551078338854043,0.0002556418701969723,0.0004544400138462502,0.00017311591691582332,0.0001680652565802633,0.00010064205951386088,-1.4627099721740596e-05
