时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,5.654643098213019,-4.239027404728346e-06,-2.90313692610873e-06,3.982311418750871e-07,-2.5345999947627947e-05,1.7555993757171856e-05,-6.248611770330875e-05,3.7147757491531043e-05,-0.00010913921645103716,5.417870224944033e-05,-0.0001560250062592526,6.529819859564997e-05,-0.00019393477668683506,6.934206453504219e-05,-0.00021537090685975623,6.726414671612608e-05,-0.0002158761661382756,6.154955819638892e-05,-0.00019476666136070123,5.5285708719138596e-05,-0.00015517003102507684,5.1140064502426195e-05,-0.00010336411999382943,5.0524103395983994e-05,-4.753950058159193e-05,5.318269241726778e-05,3.785662389418669e-06,5.733544262181955e-05,4.3391786113868586e-05,6.0333509708182853e-05,6.669928870502762e-05,5.963105738227551e-05,7.255175514615701e-05,5.37625131235859e-05,6.328882502320803e-05,4.300027945233709e-05,4.4100280519250916e-05,2.946692458868831e-05,2.1822368827789598e-05,1.6656661842940575e-05,3.376530611322019e-06,4.1922661808933125e-06,-2.9703093238255088e-06
3,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,12.94356586921687,-9.730699521713614e-06,-6.6212661471485e-06,7.31669380628282e-06,-6.892925822133073e-05,5.826540271611465e-05,-0.0001759110404270286,0.00011646013582749867,-0.0003109906935256539,0.00016709343761512962,-0.00044653581007586746,0.0002001372734862709,-0.0005547340654809811,0.00021208526364822113,-0.0006128070103693697,0.00020582709896502924,-0.0006072307553425579,0.00018891332279903774,-0.000536102250728428,0.00017073555780550714,-0.0004093223266353165,0.0001593813460764128,-0.00024657849457633286,0.00015903096831391538,-7.350154470404654e-05,0.0001686590373886852,8.329525750936954e-05,0.00018246461948882088,0.00020133201096095226,0.00019194106074388957,0.000266499217068374,0.00018896598544042778,0.00027554319773117144,0.00016893236474106228,0.00023631268895190849,0.00013288069243912407,0.00016575064641714143,8.790172024024116e-05,8.613512076129502e-05,4.564428823108076e-05,2.02503565232313e-05,9.585606249744349e-06,-6.83185780817594e-06
4,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,20.00927961788198,-1.5116115480072484e-05,-1.015325957324298e-05,3.21614281860717e-05,-0.0001420822686873522,0.00014833475576336264,-0.00037814204285014974,0.0002806041997718884,-0.0006771129756842835,0.0003954934090947156,-0.000975881524298927,0.00047025649825301464,-0.0012102853343993179,0.0004969646500975488,-0.0013276454066298512,0.0004823374057087275,-0.0012968872516542905,0.0004438569417683133,-0.0011142782554664622,0.00040330615571644476,-0.0008039599010554394,0.0003794320623130221,-0.0004132305593261379,0.000381751117905357,-3.42722701036545e-06,0.00040736210389997855,0.00036193908725593444,0.0004418923259434214,0.0006294974939120818,0.00046447428901186786,0.0007662584610000739,0.0004553042609695794,0.0007656203907441792,0.00040337187137684375,0.0006479243610683034,0.0003117521565089076,0.00045555083771702117,0.00019860290218431286,0.00024379858429272923,9.3412720703455e-05,6.933594091606849e-05,1.4772376461929178e-05,-1.065717177380026e-05
5,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,24.91112582741945,-1.896266548419629e-05,-1.2454578155245128e-05,8.56562638884696e-05,-0.0002548638978132451,0.00031129436661888796,-0.0007030212732890722,0.0005668812198414302,-0.0012710629752093279,0.0007882463371126,-0.0018361033431059963,0.0009319345339456213,-0.0022727797301866207,0.000982861229247632,-0.0024783415461341156,0.0009540211756683343,-0.002392758581752209,0.0008792462360254015,-0.0020100936329661874,0.0008009703197742351,-0.0013795493860483427,0.0007560123144583517,-0.0005961479626984422,0.0007631842664992921,0.0002173598482938124,0.0008165486951661562,0.000934190831195526,0.0008869193992811961,0.0014483005643970367,0.000931756102023379,0.0016950777914149858,0.0009106699804831609,0.0016634275736241387,0.00080149520501769,0.001396661428948582,0.0006113031536232314,0.0009822722730135965,0.00037831732220176855,0.0005332723072864903,0.00016376094944489842,0.00016502777773460875,1.828036315631181e-05,-1.3461789146736154e-05
6,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,27.13737798759501,-2.0811234786261313e-05,-1.3357610408694645e-05,0.0001439931369416955,-0.00036473967566071606,0.000479311336589569,-0.0010252546132317418,0.0008578691707710594,-0.0018628261310790508,0.0011853115846678292,-0.0026943031550357103,0.0013979807876003773,-0.0033327179557841586,0.0014736691937761658,-0.003625123577442523,0.001431134530826748,-0.003482661889351816,0.001319864537811903,-0.0028974333054905353,0.0012025923000482533,-0.0019439511307816197,0.0011345017958023056,-0.0007652300139098951,0.0011444954286730508,0.0004541979341203229,0.0012243903926974806,0.001523804720730804,0.001330450732749226,0.002284453383485431,0.0013980299827830436,0.0026397969719892094,0.0013653395590804312,0.0025745805352334677,0.0011984482248881788,0.0021557440001562346,0.0009084579984159109,0.0015165491377211132,0.000554309206495095,0.0008280826900548961,0.0002297344469563966,0.00026445248810369595,1.9789208069340443e-05,-1.4871215497427173e-05
7,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,28.396319960943956,-2.1938731930681373e-05,-1.3753762503055908e-05,0.00020408412617665416,-0.00047397954191504287,0.0006489972609350118,-0.0013481509313501348,0.0011501646937494552,-0.002457474686372688,0.0015835495175016538,-0.0035581908914456444,0.0018657155152343298,-0.004401343740346936,0.001967230916482282,-0.004783528203256452,0.0019119436290063665,-0.004586890600154119,0.0017641533521051108,-0.0038013747873567477,0.0016064477506882067,-0.002526515682374626,0.0015126781405036685,-0.0009530135621235293,0.0015227661651539184,0.000672965427690888,0.0016273159618379095,0.00209701202469965,0.0017685882385219387,0.0031065358703024795,0.0018596247154536076,0.003573081535515988,0.001816504528241067,0.0034770280996256468,0.0015928076823193231,0.0029088803027296265,0.0012034031876517796,0.0020475532528429017,0.0007281941037290985,0.001121896705376171,0.0002938208208225653,0.0003643601992904989,2.057741237624765e-05,-1.5773738249828243e-05
8,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,29.198119322606267,-2.272697337508363e-05,-1.3909562136450065e-05,0.0002649644181004066,-0.0005831965063683666,0.0008192429672921798,-0.0016725607100931382,0.0014426123611617132,-0.0030563750484618557,0.001981866714950686,-0.0044300071400767,0.002334196044880491,-0.00548212997324,0.002462802024156226,-0.005958534975213884,0.0023958932711705284,-0.005712056879325773,0.0022116768668177795,-0.0047301022911244725,0.0020121042441225002,-0.0031367377823806925,0.0018899864386747514,-0.0011698490846627568,0.0018972355354227779,0.0008630639435310078,0.002024365486398293,0.002643644137741154,0.0022002886143419336,0.0039054406322077866,0.0023156092874670763,0.004487355532819031,0.0022635545143322305,0.004364958576917501,0.001984425529467603,0.0036519990530841932,0.001496469060837661,0.0025727069671984486,0.0009006590401991564,0.001413237115043324,0.00035685309833985445,0.0004639384736302534,2.102714041785589e-05,-1.6435173020458232e-05
9,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,29.746804265252845,-2.3328707578982312e-05,-1.3931753782926369e-05,0.0003262186258380717,-0.0006925891301371005,0.0009895226944340294,-0.001998700187910837,0.0017346038405676905,-0.0036598759649753396,0.0023796183516768695,-0.005310408135927042,0.00280279629106243,-0.006576229104395959,0.0029598275248752903,-0.007151944750455726,0.002882532000543667,-0.00686068981346025,0.002662083523732355,-0.005686864060267243,0.002419264908598622,-0.003778481643366961,0.0022661114684231565,-0.001420019575535679,0.0022675024319083244,0.0010200695207552737,0.002415029310959071,0.0031594548120574143,0.0026249783144046295,0.004677395065274028,0.002765447279330435,0.005379529651374227,0.002706106591110763,0.005236053173994922,0.0023731534020586358,0.004383517461304162,0.001787751192962091,0.0030910347824829832,0.0010719764843663314,0.0017015548594484272,0.00041917035187304406,0.0005628799919404799,2.1291346935397284e-05,-1.6961901386791473e-05
10,5.697783223813683,226202040.81468475,5.820766091346741e-11,5137.277102573904,2.494706106598233,0.3919747282918336,0.10306291239959181,0.016145241555583435,2.6503670834164144,556.1446868723107,9.46806694655996,8.501531894065225,948.7322664526317,9.46806694655996,8.501531894065225,948.7322664526317,30.139926857064186,-2.3816947056554195e-05,-1.3871472285055128e-05,0.00038762791781309314,-0.00080221921020251,0.0011595252094235469,-0.0023265783500773015,0.002025734522256482,-0.004267980567595915,0.002776324172803406,-0.006199487355126683,0.003270998054763501,-0.0076839411635570625,0.0034578030602457157,-0.008364366193119485,0.0033714186614538424,-0.008033771441437992,0.0031150207485903087,-0.006673034709405344,0.0028276518166142697,-0.00445348519062762,0.002640799165751787,-0.001705542673985005,0.00263327356717971,0.0011418240804686407,0.0027989361929103103,0.0036423221102398293,0.0030422208561014063,0.005420486717436568,0.003208700409381243,0.0062480268534040725,0.0031438060372731536,0.006089124428364094,0.0027587872090798033,0.005102622883197991,0.0020772139459664715,0.0036020346983513265,0.0012422411399208683,0.0019865686158372265,0.00048092616285873107,0.0006610314563033409,2.1443224141681315e-05,-1.7404781718010325e-05
