时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,15.265656096720535,-1.777671086475696e-05,-1.3172945978328455e-05,7.315914468897761e-06,-7.779030900267384e-05,7.780264300886513e-05,-0.0001570300903180596,0.0001578358113038329,-0.0002536032580920028,0.00022827594469838138,-0.00034944343825285887,0.0002753497555908952,-0.00042624932227837127,0.000293364979465103,-0.00046864969914682823,0.0002853673561271997,-0.00046690513552012907,0.00026158778982830343,-0.0004186806755798562,0.00023590650372022783,-0.000329892778961934,0.00022091544110895911,-0.0002141924603463332,0.00022306487059139574,-9.050496116452475e-05,0.0002401342339719605,2.1250032191274076e-05,0.00026245319712544667,0.00010479003200767337,0.0002770760039434713,0.00015070812952081432,0.00027278729280835875,0.00015766438578425614,0.00024415952546507117,0.00013186182504008222,0.0001936723129638243,8.526915114073022e-05,0.0001315551695302078,3.3049339172254615e-05,7.321240179988766e-05,-9.652083671610842e-06,2.0521718673378907e-05,-1.2640549788660787e-05
3,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,34.4803151005773,-4.056438580597922e-05,-2.9522861308968933e-05,9.803689910507066e-05,-0.000247545461909661,0.0003957222227697034,-0.0005601239647838547,0.000732580428797451,-0.0009453160181435361,0.001027948024562134,-0.0013256657900597288,0.0012232173525636174,-0.0016215856383416769,0.0012943552096685777,-0.0017662927593851394,0.0012552607528071567,-0.0017181542817283023,0.0011513272008467146,-0.0014689338370474404,0.0010437655291582735,-0.0010477218040302822,0.000987262890101913,-0.000518465652027671,0.0010080034184579835,3.1711816795818856e-05,0.0010926372854037118,0.0005126449328402805,0.0011946686153154044,0.0008525547142273492,0.0012541907089185648,0.0010125219659723283,0.001220955337781768,0.0009911412946271,0.0010726473348872596,0.0008211605758986707,0.000824049822712646,0.0005606277908100984,0.0005255660432666544,0.00028070488351741694,0.0002509139957068959,5.156043160140821e-05,4.605195735681198e-05,-2.8830169958613155e-05
4,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,43.739571574977326,-5.231416934039539e-05,-3.6868013158761976e-05,0.00031580381063730796,-0.00048394556976315143,0.0010160240095355654,-0.0011961183927821435,0.0018053072983684475,-0.0020787118193435344,0.0024956915133935225,-0.002946941312247508,0.0029502553976357543,-0.0036104379172901,0.003112581470243079,-0.003910476976138727,0.0030152824488534273,-0.0037495433231486677,0.002765966113250202,-0.0031107671898094238,0.0025107283203478718,-0.002067186255287035,0.002380530970863357,-0.0007760044750143147,0.00243741365777449,0.0005496147213625991,0.002647008066455106,0.0016900090997878938,0.0028939644399477195,0.002472203943169085,0.0030306698716215685,0.0028058377970194615,0.0029345355709831976,0.002694012787415017,0.0025533777049157576,0.002223315823280272,0.0019277315754009422,0.001540049635371421,0.0011858367995829142,0.0008190225396072749,0.0005115632196520944,0.00022994654186611523,5.761212357993508e-05,-3.715947252633148e-05
5,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,47.03408816748374,-5.716129063174248e-05,-3.8994095094967416e-05,0.0005475615736445334,-0.0007070233371435304,0.0016495666967077255,-0.001820788823550842,0.0028893261713953877,-0.0032049620391054498,0.003973560361944242,-0.004565149613542885,0.004688437032514902,-0.005598479608968169,0.004944655368589663,-0.006054111408131839,0.004791290540127089,-0.005779499385913585,0.004395660205983087,-0.004749834412379333,0.003987740329000682,-0.00308195809476064,0.003776101203111891,-0.0010258183191711168,0.0038616046721650825,0.0010791742616280931,0.004191606785197461,0.002882480659978927,0.004582705237410417,0.004108239280121239,0.004798085608913856,0.004614109320078975,0.004640230148967479,0.004408984223815941,0.004025274235874694,0.0036355215241328244,0.003019701317003546,0.0025296672741118363,0.0018314972327113798,0.0013692068143272553,0.0007567251398223423,0.0004212921867876889,6.106155004260163e-05,-4.0568218289984e-05
6,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,48.709544690043,-6.013699421253709e-05,-3.969493040859024e-05,0.0007831955811094404,-0.0009283598524374841,0.002286108630299035,-0.002449181799854445,0.003974859316843301,-0.004343358775125264,0.005452748289445422,-0.006204631771571291,0.006430317140416071,-0.007615886661700293,0.00678465247763821,-0.008233876292384338,0.00657869215063076,-0.007851656663920596,0.006036539683413159,-0.006436779463326251,0.005470692677046262,-0.004149075411263803,0.0051685959913660064,-0.0013297572124076295,0.005273312925265964,0.001556359514594032,0.005717523102309988,0.004027208940803836,0.006251540489958188,0.0057024229142237145,0.006548494473615113,0.006386501455483559,0.0063333786202009025,0.006094276046281749,0.005488223327564137,0.005025405018518243,0.0041045845713919985,0.003505689606865968,0.002470924373969448,0.0019144116531368462,0.0009966831533922932,0.0006137361715752188,6.231668989723517e-05,-4.263060231484554e-05
7,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,49.714952165090175,-6.234116216446696e-05,-3.9799702305613306e-05,0.0010204170790045915,-0.0011504475769812783,0.0029231794809009594,-0.0030845218046359176,0.005059336789885464,-0.005498090316443469,0.006930712658578068,-0.007870795535999842,0.008173542833161242,-0.009669504898991816,0.008630545802497,-0.010458178207338974,0.008375833207679822,-0.009976006882530105,0.007687241206021231,-0.008183123843671872,0.006958296863583396,-0.005281420794734797,0.0065565131261594994,-0.0017016862467559208,0.00667060405403309,0.001966975959721817,0.007222401688541605,0.005110519405726246,0.007897993749668472,0.00724242830404133,0.008279793188016438,0.008112613488724012,0.008012750718301048,0.007741630264756279,0.006942185330256254,0.0063867374185223565,0.005183539294105853,0.004463578656794043,0.0031061467931605942,0.0024513539233180733,0.0012338026421503745,0.0008048354303526816,6.267104512905544e-05,-4.412813394392994e-05
8,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,50.37720365735245,-6.415249894771373e-05,-3.959435652872783e-05,0.0012583550080671635,-0.0013740950182355486,0.003559663908318753,-0.003727787876828267,0.006141351567113949,-0.006670390101284628,0.008405792880576687,-0.009565253618583363,0.009916327330818524,-0.01176143998630105,0.010480583939282695,-0.012729668163205473,0.010181128995129067,-0.012155748909670276,0.009346398199497688,-0.00999261367358677,0.008449345121444227,-0.006483285757045826,0.00793864481894103,-0.0021463654556507935,0.00805209359413566,0.002306026141900463,0.008704607909347385,0.0061275456636369855,0.009520281657470434,0.008723897636080488,0.00999029473767059,0.009788838866393151,0.009677042580198487,0.00934824480149991,0.008386458376068067,0.007717431044275434,0.0062565298256017365,0.005401808056726165,0.003737664845455433,0.002978912647975598,0.0014688483842538287,0.00099374609881636,6.257079531323381e-05,-4.5330027214012464e-05
9,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,50.83898187054589,-6.573604524816976e-05,-3.9203942208202935e-05,0.0014965625384701076,-0.001599613035222815,0.004194856694806807,-0.004379291067961344,0.007219849914685404,-0.007860601678769712,0.009876591820603879,-0.011288463094378521,0.011657041856790985,-0.013892344483422714,0.01233307446643945,-0.01504922771273106,0.011992982669830267,-0.014391992030030944,0.011012606083916866,-0.01186660563934541,0.009942618627914755,-0.007756329605788206,0.009313841376878863,-0.002665781454073534,0.009416534508365632,0.002571288611214623,0.010162690909014147,0.0070760482808475324,0.01111678346631784,0.010144817073819276,0.01167837568340735,0.011413540496329807,0.01132485479577229,0.010912875887470981,0.009820066226903916,0.009016564479635482,0.0073230977892898355,0.0063196911445052425,0.004365478960482648,0.003496571520480022,0.0017020912658796744,0.001180082769481176,6.221114696160482e-05,-4.635370622246377e-05
10,10.540276191898538,317545564.8791152,10185.962920473306,10350.792363281536,2.064947795507707,0.622140277521587,0.12006294532598628,0.01952142490569174,2.490084604453818,436.14443001918823,5.561906987058016,8.812934890436075,759.1417568245813,4.74068424426934,9.333005506138479,750.6524197999247,51.17247309403552,-6.717505498628353e-05,-3.869192819266054e-05,0.0017347575234794243,-0.0018271217508942028,0.0048282159970150906,-0.005039083085529454,0.008293923220120248,-0.009068717356709177,0.011341823464667148,-0.013040420238760515,0.013394125379389717,-0.01606229053098598,0.014186349991771359,-0.017417033723175566,0.01380979071950436,-0.016685015833801744,0.012684441439814696,-0.013805508766022897,0.011436891317711624,-0.009101168168447171,0.010680976745224106,-0.0032608237791264295,0.010762738153875722,0.002761634091236864,0.011595276663391317,0.007954813013999687,0.012685943043668596,0.011504079783090343,0.013342432409619695,0.012985838260648487,0.0129547402556899,0.012434876074396306,0.011241912404242918,0.010283660763173061,0.008382607610048061,0.007216859101635551,0.004989386909812222,0.004004041467734403,0.0019336082809414661,0.0013636329384970382,6.169124740090196e-05,-4.725848960418511e-05
