时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,20.402591296735526,-1.6921036779550417e-06,-1.053825277467734e-06,5.8419503099523956e-06,-2.1772370983038134e-05,2.3915130985940367e-05,-5.716355455474784e-05,4.3920045931938205e-05,-0.00010081242597854429,6.086131689431512e-05,-0.00014332585825400926,7.15084456291561e-05,-0.00017548512977687899,7.490808953134059e-05,-0.00018995511512303907,7.228541347419082e-05,-0.00018265438627535597,6.639373468374674e-05,-0.00015348715189459036,6.0506069448476104e-05,-0.0001063358174138198,5.73211384352686e-05,-4.8312611631226895e-05,5.8088431677943517e-05,1.159443311023881e-05,6.22097036368622e-05,6.423400731605589e-05,6.74480994228222e-05,0.0001020331934526369,7.069682906244442e-05,0.00012042094830503152,6.908164386644333e-05,0.00011864455158529461,6.10569036804412e-05,9.982119080290952e-05,4.713953771991151e-05,7.021891860263382e-05,3.003599707997559e-05,3.794122396338151e-05,1.4086223139895023e-05,1.1255006404992176e-05,1.6733575261514114e-06,-1.082881054149762e-06
3,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,45.641326537560474,-3.7945189473961874e-06,-2.3450167242802393e-06,2.131849826894512e-05,-6.249131521394771e-05,7.604056117748744e-05,-0.00016810517385060879,0.0001366361235184125,-0.0002987468515897855,0.00018800158069968092,-0.00042589725559511333,0.00022030107413019146,-0.0005213358831247275,0.000230595204725338,-0.0005625211808539461,0.00022259142856309556,-0.0005368940343471926,0.0002046971501108221,-0.00044420622794178144,0.0001869478262000282,-0.00029654000146938085,0.00017763624957589096,-0.00011601434265801227,0.0001805831579475512,6.941270976600356e-05,0.00019386572329494424,0.00023128181337187293,0.00021044121941159004,0.00034608015383301964,0.00022054084666935341,0.0003997016056869343,0.000215136364289416,0.0003900024535492882,0.00018940300005283736,0.000326951770688895,0.00014504633445974069,0.00023037525475029814,9.07064350427829e-05,0.00012583975922136727,4.0211341868235217e-05,3.9478388382460914e-05,3.7366746039932173e-06,-2.4355474780330346e-06
4,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,73.48813998503122,-6.146312899806335e-06,-3.721061369134495e-06,7.019080556359732e-05,-0.00016072460904252903,0.0002200386761711442,-0.00044568920046374427,0.0003857670039869312,-0.0007991105408370436,0.0005263240136604738,-0.0011426241477785403,0.0006148397276317072,-0.0013981028261109442,0.0006431344231215061,-0.0015029574479960613,0.0006211664091567033,-0.0014223206635630696,0.0005719066768733528,-0.0011557029130280024,0.000523058962017817,-0.0007371554373871178,0.0004977626451572793,-0.00022893886637086877,0.0005068380650302125,0.00029021597415257694,0.0005449552369000852,0.0007401646727104884,0.0005921534823061336,0.0010548253200930514,0.0006205422745156846,0.0011948977167792417,0.0006042664684604966,0.0011551255841682634,0.000529579400361868,0.0009646200732772537,0.00040163036717258296,0.0006803141497218073,0.00024557775319799646,0.0003751752495144165,0.00010141350025610457,0.0001236569466706133,5.9851147799437895e-06,-3.9760904978187595e-06
5,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,85.98914365843771,-7.2408952345612295e-06,-4.277285997789545e-06,0.00013188054513957667,-0.00027186791879375507,0.00039249672117265744,-0.0007655819671175191,0.0006803691982971927,-0.0013788395206316385,0.0009246961771460415,-0.001974907111243295,0.0010790799015180145,-0.0024170617556704263,0.0011290985384829872,-0.0025956907227518444,0.0010914378076988694,-0.0024497295735411567,0.0010054294407173148,-0.0019783538989601125,0.0009191434942517269,-0.0012413075380706164,0.0008733883584080151,-0.000347920126668403,0.0008879070561159012,0.0005633748943967546,0.0009540854032826745,0.0013514942222068145,0.0010370662769102906,0.0019000960194428566,0.00108735645826058,0.0021402098881125537,0.00105867915860769,0.002063142079290083,0.0009262922831202379,0.0017209062231955514,0.0006993851987683614,0.0012143975164946128,0.00042301396521467573,0.000672383604527449,0.00016851606226101978,0.00022597488633606646,6.958871351298879e-06,-4.725753950288696e-06
6,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,92.21963549080935,-7.818224075273187e-06,-4.503477113241347e-06,0.0001951613604435894,-0.00038258892563244537,0.0005665108677520577,-0.0010865606870125199,0.0009763705944113675,-0.0019622551735796983,0.0013246386917077709,-0.0028142233673794717,0.0015456878932689456,-0.0034466790242268083,0.0016186466962328056,-0.003702581935069175,0.0015662323769641243,-0.0034943449928145163,0.0014433593716919857,-0.0028204944378844216,0.0013181255764453234,-0.0017661420628469796,0.0012493896444797838,-0.0004874470173735681,0.0012667549072662135,0.0008174578925449133,0.0013592998090558657,0.0019462502164443482,0.0014777420637052368,0.002731833027290396,0.001550728776129594,0.003075103403358306,0.0015108113176193635,0.002963673272465541,0.0013215264621236386,0.002472386140213587,0.0009958404509746725,0.0017460374714413354,0.0005989691359385467,0.0009690067536848855,0.0002340565993156124,0.0003288250926802899,7.415462134605116e-06,-5.145757491015795e-06
7,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,95.92405037984953,-8.187426132669605e-06,-4.5962178691207476e-06,0.00025904928359373375,-0.00049347350855518,0.0007409283797844322,-0.0014093431201981197,0.0012724982502092922,-0.002550359491394374,0.0017248327307537593,-0.0036620952411290358,0.0020133876097301047,-0.0044892893320297375,0.002110624457288583,-0.0048270768453179055,0.0020445554005524705,-0.0045609713035416905,0.0018848341176686538,-0.0036884219997899907,0.0017191812677515635,-0.002319412028186167,0.0016248516676775338,-0.0006564764159656553,0.0016422688383158275,0.0010427719390057638,0.0017592637745804224,0.002514630839641625,0.0019127170297418461,0.0035408038409276434,0.002009261463538342,0.003991514325905483,0.001959567986385679,0.0038502339094343687,0.00171468362031544,0.0032143108955200645,0.0012909702782543827,0.0022721181331125362,0.0007739140351870071,0.0012632443336433883,0.000298799207977586,0.0004312791840278457,7.664245244208233e-06,-5.4321854448846645e-06
8,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,98.3590384888325,-8.452273565003248e-06,-4.621512424985894e-06,0.0003231998179068246,-0.0006046986822718697,0.00091532161539424,-0.0017341260835370292,0.0015682485281812732,-0.0031434356887306827,0.0021247217658343785,-0.004518998247083985,0.002481610368132424,-0.005545683162066294,0.0026045008704138656,-0.005970392762039994,0.0025259538129349638,-0.005651331532828543,0.0023294880121853476,-0.004584395084294181,0.00212200082876006,-0.002903877174535285,0.0019994581870137673,-0.0008581575937614882,0.002014062851329447,0.001235968004549836,0.0021534943329463837,0.003053329625816771,0.002341442946128166,0.004323989274091248,0.002462425808296135,0.004886902752948079,0.002404544494795476,0.004720865770696408,0.00210556261659178,0.003945308299272293,0.0015847964450426705,0.0027917742035888536,0.0009480445970470017,0.0015546046984693095,0.00036302145793406295,0.0005330686527975543,7.809084155126777e-06,-5.650889475060401e-06
9,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,100.06305045548001,-8.65722205994728e-06,-4.607670223327024e-06,0.00038744986919582745,-0.0007163174018166829,0.0010894596291932304,-0.0020609309309550087,0.0018633118047728567,-0.0037415002524453043,0.0025239226021351777,-0.005385001398499368,0.002949927281249879,-0.006616053724211955,0.0030998477360056043,-0.007132913863589585,0.003010047937126474,-0.0067660502556855405,0.0027770166907070937,-0.005509305018429718,0.002526345453677573,-0.00352069238634999,0.0023729919898324023,-0.0010938654726518383,0.0023818856516633962,0.0013955412102793227,0.0025416709036890973,0.003560836930827806,0.0027635385792318676,0.00508000459447081,0.0029098324764506435,0.005760108208696178,0.002845416370095219,0.0055746811995391905,0.002493963133702375,0.004664761356760723,0.001877261362674131,0.0033046192465991516,0.0011214174914204933,0.0018428701082929542,0.0004268366293258586,0.0006340764766982951,7.894510496370073e-06,-5.830085565750971e-06
10,0.540185533367132,30469075.031714924,-245.67855979689648,25.443269953654166,0.7677530300623607,0.12235559360447529,0.04790180574818849,0.0032084825176455114,0.8169683816096768,894.0224425414699,10.0,10.0,1000.0,10.0,10.0,1000.0,101.3051998453991,-8.824476507217892e-06,-4.5688636137483795e-06,0.0004517050431676753,-0.0008283366129311032,0.001263186288869208,-0.00238971245963731,0.0021574513534836927,-0.004344464142768823,0.002922114551214727,-0.006260007498983638,0.0034179554069207144,-0.007700346061821812,0.0035962647044577647,-0.008314677226575008,0.003496471879383636,-0.00790529712364421,0.003227124100364626,-0.006463483401679206,0.0029319894081607074,-0.004170365714929788,0.002745261663697887,-0.0013642735787241643,0.002745526626965753,0.0015206989448269396,0.0029235233434109615,0.004036318582013911,0.003178671791119868,0.0058080607169324495,0.0033511264782504556,0.006610455344110372,0.0032818676266290745,0.006411153830553051,0.0028796627256047766,0.00537229607566302,0.0021682583463809267,0.003810413465881711,0.0012940243563795877,0.0021279046807001984,0.0004902912425226431,0.0007342343507842163,7.942803233257567e-06,-5.983867920428594e-06
