时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,6.38831701873421,-1.693211280485592e-06,-6.388758035127242e-07,2.8818020626355294e-06,-1.1412710243875525e-05,1.4313534323257098e-05,-3.720744791569513e-05,2.8177782300159285e-05,-7.183201320818349e-05,4.050950772072624e-05,-0.0001071927556585902,4.8618490070400345e-05,-0.00013498588625082732,5.154027380067143e-05,-0.00014838480676718658,5.000707418073057e-05,-0.00014340031064711848,4.597191759390581e-05,-0.0001196443457240045,4.183766016517908e-05,-8.037671361987064e-05,3.960818688169006e-05,-3.183189734449285e-05,4.020352680812809e-05,1.8039801602584388e-05,4.3145875579846414e-05,6.117224003634153e-05,4.672629599661201e-05,9.100434721332681e-05,4.861792275674217e-05,0.00010378705345648421,4.6752191517686423e-05,9.929918166396794e-05,4.017398764003311e-05,8.082245080851543e-05,2.9578579235102808e-05,5.43815688888814e-05,1.7326854596588198e-05,2.7427513015844812e-05,6.870597548005551e-06,7.232299689056871e-06,1.6857953899700587e-06,-6.491466569300621e-07
3,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,14.567735329300698,-3.865157040467665e-06,-1.4532433538268007e-06,1.0042946412297449e-05,-3.27057906818247e-05,4.401361997944533e-05,-0.00010834411021013921,8.519230812122615e-05,-0.00021025316938752536,0.00012186731600438224,-0.0003143976230008327,0.0001460284775734405,-0.00039594108353980953,0.00015477303409173692,-0.00043438438966302207,0.0001502538396103136,-0.00041771716193598406,0.00013828739476113043,-0.00034476921217204684,0.00012606511164055292,-0.0002253854846300785,0.00011960746536733654,-7.841607234525177e-05,0.00012168397649396259,7.207983118652783e-05,0.00013083531850001056,0.00020168047423108095,0.0001418523757718949,0.00029052769130556884,0.00014762962080224745,0.0003273082509097913,0.00014184269775640855,0.00031143883734337496,0.0001215764181035102,0.0002529933709034365,8.898287051165466e-05,0.00017039946164016447,5.133944502898423e-05,8.644659011110246e-05,1.932220307721578e-05,2.3434452157376627e-05,3.8428494085695055e-06,-1.4844842044016038e-06
4,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,23.64308882608525,-6.286109827541898e-06,-2.3444752555821872e-06,2.9408505485788444e-05,-7.83503531002794e-05,0.00011421006840828062,-0.000264509438099159,0.00021680981554164603,-0.0005162647527428906,0.00030828046475811234,-0.0007736758214143,0.0003687047173182415,-0.0009743732972556328,0.0003907632563998674,-0.0010666819654718308,0.00037967910032966093,-0.0010202471138214756,0.00034986850576804927,-0.0008321033618205733,0.00031933429869805837,-0.0005272091652120651,0.0003033104382583197,-0.00015342846299035352,0.0003089317060572891,0.00022806176552485713,0.0003325886933766742,0.0005551036886602645,0.00036099220330196714,0.0007771664638006809,0.00037585515559023956,0.0008655785110826925,0.00036082419653296453,0.0008191496804220131,0.00030835901678375854,0.00066396705054128,0.0002240904939337124,0.0004474667875971383,0.00012696692697839078,0.00022820434219819553,4.4790167773511626e-05,6.35009707542957e-05,6.2298082689489445e-06,-2.4242975813718414e-06
5,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,29.21214439935005,-7.789201062165616e-06,-2.8704243516561134e-06,6.035749049820542e-05,-0.00014326328935500242,0.0002192688539089906,-0.0004898105799630185,0.0004111347194935097,-0.0009597059239783845,0.0005823343073933419,-0.001440617569072133,0.0006958704505510919,-0.0018151790938439661,0.000737931868424692,-0.001985928739390834,0.0007178223782915565,-0.0018954825095642682,0.0006620186640146923,-0.001538077964511168,0.000604078898195369,-0.0009606765476420033,0.0005729183057442383,-0.000253622922508477,0.0005826065753289268,0.0004673598761013485,0.0006269166838223502,0.001084480912718708,0.0006808833605633731,0.0015018842056290864,0.0007095257935260524,0.0016652406409636712,0.0006812453519765207,0.001572530979704377,0.0005813350836634776,0.0012736046861192283,0.00042057370002316366,0.000858777753097211,0.00023546111284489463,0.00043930987603960406,7.945558489166398e-05,0.00012403687388557014,7.68318694681e-06,-3.0218626071238458e-06
6,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,31.916285536073865,-8.535187825876487e-06,-3.106907835202655e-06,9.244642164975202e-05,-0.00020798967506935743,0.0003256341694762725,-0.0007159986418049229,0.0006068066822291458,-0.001406212634583111,0.0008579518732485896,-0.00211365801464234,0.001025246846655347,-0.002665511729259304,0.0010882827108666035,-0.0029180348723660578,0.0010599316277705782,-0.002786367948365516,0.0009781114315525548,-0.0022615572562745805,0.0008916497748947554,-0.0014122466013471607,0.0008434481835687177,-0.00037110270980716573,0.0008552787878481071,0.0006914899870005804,0.0009190797306161326,0.001601690079193558,0.0009985392127860352,0.002217724483898036,0.001041691122225074,0.0024590687810870284,0.0010010232370360763,0.002322566138673765,0.0008540878194537311,0.001881751002818277,0.0006166853386062054,0.0012698419878556363,0.0003431837239599938,0.0006508194975795277,0.00011314058210736074,0.00018508581448416147,8.379350561677025e-06,-3.3303313516379353e-06
7,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,33.5001822919165,-8.985934355025357e-06,-3.2301741397507654e-06,0.0001249435915007663,-0.0002727377200640589,0.0004323117961830668,-0.0009431891483909501,0.0008025890227946269,-0.001855836640288399,0.0011337195841036932,-0.002792979329523631,0.0013553487554650839,-0.0035260284056714748,0.0014403731042644209,-0.0038645725478619565,0.0014046868979748347,-0.0036958399034151524,0.0012969591301563628,-0.003007196659651876,0.0011809188270932693,-0.0018884494878373657,0.0011137030403591125,-0.0005141480949629181,0.0011255585822074069,0.0008908549754900547,0.0012074469935639646,0.0020965105507870065,0.001312161313186918,0.002914674713685281,0.0013705762986325812,0.003238066678452572,0.0013186585311379798,0.0030619044103255212,0.0011256174969635929,0.0024830372892284823,0.0008120350835062169,0.0016772652962466128,0.00045029829352041974,0.0008609852131986284,0.00014633961235879726,0.000245993677468743,8.780331367801072e-06,-3.525577126629189e-06
8,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,34.53167188950115,-9.291842439206427e-06,-3.2976027705736053e-06,0.00015760840058504322,-0.0003375718135892443,0.0005389725569696768,-0.0011714233519917706,0.0009980678228328024,-0.0023086316234676137,0.0014091561521131935,-0.0034787401515840657,0.0016856629002753513,-0.004397122984855425,0.0017937050178987491,-0.004826309893112501,0.0017516475298591026,-0.004625159017227314,0.0016181944380409998,-0.0037768211304859793,0.0014715691449760204,-0.002391676869336198,0.001383361200400099,-0.0006856311937339171,0.0013930597780953903,0.0010622813778801018,0.001491539726506017,0.002565715415254912,0.0016212054926867604,0.003589720070926584,0.0016956493164606643,0.0039996559418255,0.0016337278179168976,0.003788543428857451,0.0013956826108152448,0.0030760741874808206,0.0010065816508680711,0.0020802108406002056,0.0005569199798956513,0.0010693890406869716,0.00017923711677784196,0.00030659517196596165,9.036568535615999e-06,-3.6648809479964384e-06
9,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,35.249416366529196,-9.516137927158672e-06,-3.333323323366856e-06,0.0001903313680766329,-0.0004025033942808242,0.0006454489972802964,-0.0014006677936304523,0.001193008228468724,-0.0027645287280758987,0.0016839604448158978,-0.004170883794180309,0.002015841465996858,-0.005278823238056593,0.0021479214547355913,-0.005803436389259156,0.0021004900073184896,-0.005574741757554565,0.001941554853144842,-0.004571116719152061,0.0017633952043725357,-0.0029228949302723644,0.001652237804212824,-0.0008867651298636647,0.0016575688478786988,0.0012043927000963837,0.0017710835539406474,0.0030078879051632303,0.0019253439479046202,0.004241536212490574,0.0020165757655404883,0.004742712373532635,0.0019459536709197033,0.004501620088122166,0.0016641119192392362,0.003660270182841808,0.0012002721189133471,0.002478326636906153,0.00066308628482791,0.001275857213607787,0.00021190969372771767,0.0003668219620132735,9.211309614535248e-06,-3.772321100952312e-06
10,0.7698783479096961,14348175.83595905,0.0,55.414556668036276,2.0084779707130167,0.2792904662506224,0.02417661091945356,0.006743410873011265,2.1077000077468657,1072.4948383556657,6.456511348616888,9.369768108781436,952.1729274631869,6.456511348616888,9.369768108781436,952.1729274631869,35.7709831466547,-9.689964362409892e-06,-3.349232039857145e-06,0.00022305122205805515,-0.00046752390809699546,0.0007516323266317188,-0.0016308569860722542,0.0013872382671538182,-0.0032233999207118016,0.0019578909121240164,-0.004869245590125611,0.0023455859839895776,-0.006170976173946194,0.002502700927682167,-0.006795866200880631,0.002450914136753689,-0.006544619868019572,0.0022667958156083264,-0.005390272280514201,0.0020562136111526718,-0.0034824728912087235,0.0019201826245080643,-0.00111809596775146,0.0019189224780119152,0.001316506053734555,0.0020458657747134774,0.0034222812277134875,0.0022243117703390327,0.004869397645812525,0.0023330725248670945,0.00546660341288145,0.002255087379517563,0.005200637219979992,0.0019307350291124354,0.004235275722312743,0.0013930288690405317,0.002871398867001343,0.0007687937489705116,0.0014802823849682303,0.000244390120001996,0.00042663379996283333,9.335717306222301e-06,-3.8597552423344695e-06
