时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,2.1150229889673504,-4.0101853506768196e-07,-2.1412969856789161e-07,1.4415431229318557e-06,-7.762366606388614e-06,5.377405625863244e-06,-2.273721178834303e-05,9.75434435773105e-06,-4.153228983780194e-05,1.3447089884149426e-05,-5.986622782587688e-05,1.575504133220532e-05,-7.357912906934134e-05,1.6488618954921125e-05,-7.940322689107331e-05,1.592480984017662e-05,-7.556112053696256e-05,1.4658650150725472e-05,-6.207846756281755e-05,1.3390614978120053e-05,-4.075902129806091e-05,1.270001440699766e-05,-1.4829987300231844e-05,1.286002227862874e-05,1.1675144597813567e-05,1.3746126723802443e-05,3.468185070406105e-05,1.4871153207511728e-05,5.084451110632563e-05,1.5546010160762355e-05,5.8174140585819484e-05,1.5124259681147734e-05,5.640196344451968e-05,1.3255807727459775e-05,4.7007615691398275e-05,1.0065200682256185e-05,3.290607284679995e-05,6.190266179416728e-06,1.785586521841876e-05,2.6624884705605688e-06,5.7017078729966035e-06,3.958693402380967e-07,-2.3124104668580127e-07
3,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,4.563294399437025,-8.661554062404456e-07,-4.594613206450657e-07,3.7145351999169954e-06,-1.8749094190332156e-05,1.3314639658302752e-05,-5.515815601366135e-05,2.399652214430987e-05,-0.00010091246315636208,3.301622285805352e-05,-0.00014555847662808686,3.8660916399285e-05,-0.00017890662318396472,4.046256222458972e-05,-0.00019293656081627127,3.9092392651109446e-05,-0.00018327710455995165,3.6001554898335014e-05,-0.0001499829500924407,3.2904096994970746e-05,-9.747959393240034e-05,3.12226398827247e-05,-3.3696007038253285e-05,3.1632012075834485e-05,3.1450313256936896e-05,3.382933634709752e-05,8.793495915855822e-05,3.66153009589871e-05,0.00012752228582214035,3.828779524374452e-05,0.00014531318919519106,3.724612595699859e-05,0.00014064399038679441,3.2620622064728426e-05,0.00011716042389188135,2.4716808540161305e-05,8.205235082542003e-05,1.5113733617409821e-05,4.4603355501443644e-05,6.369944360519677e-06,1.4334829546282664e-05,8.535035962584504e-07,-5.015337078918788e-07
4,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,7.301002406254396,-1.3879776120704198e-06,-7.289264859624486e-07,7.411166550487234e-06,-3.4863505158929384e-05,2.5456145734862114e-05,-0.00010307011700636372,4.554251439418356e-05,-0.00018889669034188818,6.251867785256767e-05,-0.00027267471130816145,7.316095692340598e-05,-0.00033516569325639116,7.657790296020061e-05,-0.000361192619720813,7.401781229637141e-05,-0.00034246373666678426,6.820218666045614e-05,-0.00027906193221925133,6.236116388236256e-05,-0.00017935452560637164,5.919055467153076e-05,-5.835999651815266e-05,5.9982337623335786e-05,6.511793163290027e-05,6.417524819196064e-05,0.00017205773892075502,6.949516144514722e-05,0.0002468207129721758,7.269676321649171e-05,0.00028009637929233373,7.071696092574678e-05,0.00027061870461015395,6.188443681042982e-05,0.00022531659789553984,4.677669980063284e-05,0.0001578713766767759,2.8413282984296404e-05,8.597430246155061e-05,1.1694964202792743e-05,2.7817465205062574e-05,1.3640093688335034e-06,-8.086929082368312e-07
5,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,10.312243350513423,-1.9653162479541058e-06,-1.0151778128835875e-06,1.3869722561033737e-05,-6.053436442382421e-05,4.556244340626337e-05,-0.00017994745872409253,8.084525339442567e-05,-0.0003304240160466791,0.00011069581200152025,-0.00047738662299026625,0.0001294564156223961,-0.0005868878839998797,0.00013553763805961404,-0.0006320779817101082,0.00013109050873728856,-0.0005982416212334347,0.00012086284676366823,-0.0004854703426661551,0.00011053286282921654,-0.00030853287808977844,0.00010488371295835501,-9.400643118976129e-05,0.00010625099536869961,0.00012478622752292432,0.00011368810393857105,0.0003140978676203908,0.00012317568565132096,0.000446152982033319,0.00012892198810580686,0.0005043939382597889,0.00012542791947631367,0.00048655028357239905,0.0001096734947976691,0.000404926816322573,8.26752376306182e-05,0.00028386114353668053,4.984154665675666e-05,0.00015487290209957542,1.9961788077836568e-05,5.045698483444421e-05,1.9228798033857417e-06,-1.1565313498954199e-06
6,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,13.615547563467983,-2.6069699726281216e-06,-1.3035704373561019e-06,2.6966138921238827e-05,-0.00010872875443392846,8.454701958786918e-05,-0.0003252556021183997,0.00014863426349972535,-0.0005986176480833709,0.00020293793767934512,-0.0008659218523238218,0.00023722930428092247,-0.0010651542122355258,0.0002485594212271697,-0.0011471004332621261,0.00024068028974781285,-0.0010846488379655523,0.0002220638171367375,-0.000877762324915994,0.00020299012021388738,-0.0005533141343112934,0.00019228008305696378,-0.00015989792678983383,0.00019441053895565184,0.0002414059189174188,0.0002078517849375803,0.0005886117607627885,0.00022531276981818747,0.0008305967907371504,0.0002360717482592097,0.0009367948314241531,0.00022982894690047495,0.0009029020657137293,0.0002008561473055912,0.00075145917033915,0.0001509749957516893,0.0005272159084863154,9.023884574672149e-05,0.00028824790959864596,3.500556542334395e-05,9.459309429154504e-05,2.5292487263790818e-06,-1.5627293619434824e-06
7,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,15.595029282689524,-3.0011186122110867e-06,-1.4466399752473752e-06,4.174574338932952e-05,-0.00016082544830431188,0.00012739132221424056,-0.0004831054513866173,0.00022268034900581167,-0.0008906797018612677,0.00030355236617511764,-0.0012899110251533385,0.0003548976409414016,-0.0015881686879196583,0.0003722427331608269,-0.0017117223395742562,0.00036089911106245673,-0.001619727608418226,0.00033317523138014834,-0.001311743265951541,0.0003042517854008653,-0.0008275783541033672,0.0002874277933307336,-0.0002396304169530346,0.0002897492485434589,0.00036084226855578915,0.0003093095674223677,0.0008810129538079,0.0003353855570851297,0.0012441306113395807,0.00035182517780424886,0.001404117865837364,0.00034290402939541145,0.001354214267343543,0.00029974780615643127,0.001127923544686834,0.00022497650610663633,0.0007921174983998254,0.0001337663604067219,0.0004337691213324946,5.084693375031089e-05,0.0001429876959109696,2.8850137691033725e-06,-1.8340812941264021e-06
8,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,16.82205123417078,-3.253853528968295e-06,-1.5097680930761935e-06,5.6817846825568e-05,-0.00021303870451139283,0.00017053374983635582,-0.0006418336883663207,0.00029701634178614815,-0.0011850363992944794,0.0004045414770045106,-0.0017182076677766584,0.000473194717186335,-0.002117897440925269,0.0004969245166352172,-0.0022855659628675464,0.0004824128052476344,-0.0021663037716797037,0.0004455840963145658,-0.0017589427683825831,0.00040641456601847337,-0.0011159651061701191,0.0003827794762719507,-0.0003334219803819668,0.00038455837291039073,0.00046724633833390613,0.0004097547444077857,0.0011622037014545389,0.00044436304339418996,0.0016487749861182246,0.00046674031116446203,0.0018650222990866253,0.0004555237228013211,0.0018014059929211633,0.00039846954443472217,0.001502151716563323,0.0002988935937628184,0.0010561155460756411,0.0001771461467518179,0.000579139829528202,6.645752436105857e-05,0.00019149708607326776,3.0993016796043355e-06,-2.025814925321893e-06
9,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,17.65101425349954,-3.4319535817977708e-06,-1.5305618963502156e-06,7.201814879241696e-05,-0.00026533288213788033,0.0002137364687601476,-0.000801234571624174,0.0003713275654630102,-0.0014813012118965112,0.0005055281702324459,-0.0021503123495682027,0.0005917090120555125,-0.002653866859582153,0.0006221928524513477,-0.0028683689447929744,0.000604838022671371,-0.002724522927722145,0.0005589483694150566,-0.0022200820677081593,0.0005091682673065077,-0.0014198718049371075,0.00047802863428359106,-0.0004433510865003946,0.00047850139702291735,0.000557960929749656,0.0005087992042565456,0.0014291471176041091,0.0005518101416104651,0.0020413772116702686,0.000580369257669443,0.002316521933966994,0.0005672815730496649,0.002241907899507189,0.0004967121281095188,0.001872165206765009,0.00037255148276863837,0.0013178895388246284,0.00022034234566485744,0.0007236464940122221,8.190828642488323e-05,0.0002398563016772483,3.239010400042139e-06,-2.1751374334032536e-06
10,2.2587588675373134,61437285.48737475,-9.094947017729282e-12,109.69378843998305,2.1695867048039865,0.1754832024228631,0.08403445611417008,0.004450956589465738,2.2068633074516137,1651.583081638699,6.642452207386011,3.8253923549165787,317.1439491589357,6.642452207386011,3.8253923549165787,317.1439491589357,18.24434870353719,-3.5660384865838076e-06,-1.5262590985645008e-06,8.727166017025542e-05,-0.00031769301553766205,0.00025689124371319267,-0.0009612221145774242,0.0004454693448741434,-0.0017793200927028005,0.0006063353751639486,-0.0025860405778416417,0.0007102430084747645,-0.0031959274041246408,0.0007478479419711258,-0.0034600969051832944,0.0007279912823047113,-0.0032945449582410993,0.0006731118180378255,-0.0026955772558574795,0.0006123811672387634,-0.0017400013659123082,0.0005730520189186728,-0.0005703965482863456,0.0005714420489833391,0.0006317868788294073,0.0006062785587943017,0.0016805171124846172,0.0006575352316915015,0.0024205993646474015,0.0006925118832528346,0.0027573823341559955,0.0006779984441272551,0.0026746837799955267,0.0005943454674528579,0.0022371844839667553,0.00044588436821342813,0.0015769302267228849,0.0002633504979988478,0.0008670184278643615,9.723720761662126e-05,0.0002879639588158301,3.3348081099092678e-06,-2.2991298518450154e-06
