时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,5.61600976408457,-1.5430735406732523e-06,-6.85543585320591e-07,4.069936516189846e-06,-1.84857804770164e-05,1.549968399172122e-05,-4.749051102584912e-05,2.7656390883744393e-05,-8.217471062075162e-05,3.785501719630331e-05,-0.0001157787874436261,4.4449180923914414e-05,-0.00014188723133422003,4.701273871351155e-05,-0.00015549328874897008,4.622897044618476e-05,-0.00015382125575240442,4.3539090963444043e-05,-0.00013674161300350815,4.064384648537417e-05,-0.00010672193297683478,3.897950054947008e-05,-6.832818139395399e-05,3.929769837634938e-05,-2.736808079658961e-05,4.145928503555354e-05,1.0171842126808176e-05,4.450288065200043e-05,3.92041861885219e-05,4.69760614738193e-05,5.6434936231658276e-05,4.743858766777762e-05,6.0905631953713806e-05,4.4988709528093075e-05,5.4082092598369146e-05,3.964625918182984e-05,3.947329714920523e-05,3.246375231035728e-05,2.18628024907754e-05,2.532274575009481e-05,6.294704094319232e-06,1.8904586038079122e-05,-1.9425354503565938e-06
3,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,12.815272275787148,-3.5264268634769985e-06,-1.5587789557521426e-06,1.2447490000155685e-05,-4.911073183682255e-05,4.355311068246229e-05,-0.0001275484634746625,7.668550827242472e-05,-0.0002215674682464061,0.00010445960013339773,-0.00031249950260746193,0.00012230893462970174,-0.0003824470677100765,0.0001290372307814033,-0.0004173725595628294,0.00012654083849705078,-0.0004094894812982985,0.00011884425108409568,-0.00035849030118488345,0.00011070861715137784,-0.00027144185106229565,0.00010615239221702444,-0.00016138834062291927,0.00010725159862420811,-4.491997704348316e-05,0.00011353981390012698,6.086184097791843e-05,0.00012219298243286507,0.00014143558751957442,0.00012897564921252665,0.00018743535019528088,0.00012969528677504537,0.00019622453784302164,0.00012173612493775684,0.00017217319019787602,0.00010518914832247354,0.00012559257718650015,8.320148120130479e-05,7.056145640656723e-05,6.141657076342164e-05,2.2061283674524857e-05,4.317074219791096e-05,-4.4601424008600226e-06
4,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,19.6723412887918,-5.423734953234928e-06,-2.3789275986987744e-06,2.6883362002249676e-05,-9.244571397587002e-05,8.686951242849541e-05,-0.00024277517572452375,0.00015076238136024314,-0.0004231801520626545,0.00020421509422279268,-0.0005971429317584018,0.00023831102662357227,-0.000729373923401747,0.0002507036678658592,-0.0007921004488778589,0.00024511942386455285,-0.0007699478885204024,0.000229494923182373,-0.0006624817217637981,0.00021324644527678717,-0.00048405614820552095,0.0002043285212855709,-0.00026104446606493414,0.00020681145171497342,-2.6960388553649338e-05,0.0002196373308058263,0.00018366787713577568,0.00023696009722339408,0.00034156613058080015,0.00025005440627496136,0.00042796007926010614,0.0002502953378133298,0.0004377990792368912,0.00023233067034309328,0.00038034869322772866,0.0001964398792680025,0.0002770581063927553,0.00014928874711497074,0.0001571760667462334,0.00010280232283997355,5.198323812424276e-05,6.631177868970177e-05,-6.90316291470833e-06
5,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,27.65999472307521,-7.655307672012383e-06,-3.2956844454225867e-06,6.48817072893282e-05,-0.0001895644546059734,0.00019143207438420632,-0.0005047858435589429,0.000325883589514446,-0.0008829684670810529,0.00043789163452263565,-0.0012456747891327964,0.0005085844657552767,-0.00151663420283514,0.0005329991689020738,-0.0016357545784009527,0.0005190939904109552,-0.0015700063035309012,0.0004838952519393908,-0.0013191453279579866,0.00044774694896486947,-0.0009154741202987274,0.00042796559424198894,-0.00041779869514644636,0.0004334401531627921,9.93314547372449e-05,0.0004616923395282318,0.0005592298453286255,0.0004994479861303067,0.0008970829409346759,0.0005268403405341302,0.001071733246696818,0.0005241990138243803,0.0010729423194736157,0.00047939813521283677,0.000922721326531209,0.0003933671291985287,0.0006705259908800444,0.000281854916877258,0.000383402131730831,0.00017277298339513395,0.00013310942807246142,9.328248003337396e-05,-9.870993984445972e-06
6,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,31.58768403202633,-8.77514527937591e-06,-3.7008468411241096e-06,0.00010822733827189291,-0.00029196097575832865,0.00030559399192463656,-0.0007832303107904179,0.0005147552400571246,-0.0013723007351523972,0.0006885688030139848,-0.001935553458933915,0.0007977851708358687,-0.0023525788099595015,0.0008346594663086223,-0.0025285794186339153,0.0008114343313890311,-0.002411724863294874,0.0007545537233558573,-0.0020022697182386544,0.000695934070867496,-0.0013521904278587726,0.0006631005037441408,-0.0005556091939243704,0.0006704965688448804,0.00026831016797582976,0.0007144577997677709,0.0009970790806677703,0.0007737712575276728,0.0015273445538942934,0.0008162714161671969,0.0017938438410495478,0.0008099019563063801,0.0017810888607637902,0.0007348814328071233,0.001525444397702218,0.0005928748961245122,0.0011072945732369915,0.0004098795832992063,0.0006351180688954618,0.00023168308947586066,0.00022484483321580902,0.00010653114482774078,-1.1458427357152647e-05
7,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,33.76970789092014,-9.415438695071152e-06,-3.887806382580762e-06,0.00015260912212061324,-0.0003942097634338028,0.00042053528358711374,-0.0010623073562977022,0.0007039584839502276,-0.0018634012955455646,0.0009392527563462109,-0.0026284851467057004,0.0010870226617501484,-0.003192789888622757,0.0011366708634563856,-0.0034266539188241812,0.0011043539503684087,-0.0032593516897234335,0.0010254913055713257,-0.002691573619108855,0.0009433583700483012,-0.0017949211582493172,0.000895872995446455,-0.0006988229330801856,0.0009035340281789463,0.00043286783599690866,0.0009620244925381258,0.0014316867190255346,0.0010424535715122803,0.002155520249762622,0.001100212881927208,0.002514826517309616,0.0010904340083128718,0.0024888111674572794,0.0009852632169665239,0.002128242964278006,0.0007869574291627276,0.0015445115603964703,0.0005319507732153177,0.0008875535899173168,0.00028424514044449314,0.00031744158479111144,0.00011388053280221608,-1.2440795102871099e-05
8,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,35.14653495669818,-9.834713695901097e-06,-3.973695071280297e-06,0.0001974532542091958,-0.0004966902419989063,0.0005357101199160339,-0.0013427353009358713,0.0008930674237238273,-0.0023576567905922363,0.001189723574797856,-0.003326910766990651,0.0013763432789125046,-0.004041139325877235,0.0014393665430357536,-0.004335580445075022,0.001398445083413906,-0.004120381176401201,0.0012974841585340902,-0.00339641975499579,0.001190873136045798,-0.0022546612022640365,0.0011271059411722796,-0.0008596182420985304,0.001133276172917111,0.0005802696287086218,0.0012050215456883872,0.0018504952325266795,0.001306122911724799,0.002769970021365754,0.0013794591437615049,0.0032245948374664676,0.0013669540965847134,0.0031880112225704496,0.0012322346952665683,0.0027251779688797443,0.0009779177012168914,0.0019782858315891016,0.0006509408249277316,0.0011385067146405911,0.00033374261261906907,0.00040986038700767255,0.00011851624160622796,-1.314212783339834e-05
9,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,36.08703842691267,-1.013446289844315e-05,-4.0045023331727535e-06,0.00024251473234955734,-0.000599510747156503,0.0006508574927945353,-0.0016247052899371573,0.0010818420375376557,-0.002855491498642746,0.0014398020746490359,-0.004031677365593953,0.0016656636679069294,-0.004899084161871141,0.0017427825772397515,-0.0052575703983389925,0.0016938678098461428,-0.004997848969743019,0.0015707961922078472,-0.004120643744440688,0.0014388028302811204,-0.002735920643936804,0.001357130714012181,-0.0010429591757432036,0.0013600190432813842,0.0007053909105762083,0.00144370117171657,0.002248546554267117,0.0015650248264755782,0.0033662120063463535,0.0016543254806731403,0.00391938382128241,0.0016399380958055688,0.0038757749302864,0.0014765035128918593,0.0033141985711687303,0.0011667175668423737,0.002407329833365703,0.0007680291323635664,0.0013872713023237544,0.0003814912651777576,0.0005017582224182646,0.00012168938242678174,-1.3689990792061699e-05
10,2.570022242381849,41025871.328294344,250.4790713867551,111.65582612446107,1.6214584672477126,0.1976737511548211,0.10695297249581942,0.005802707171623709,1.683604059408356,1020.5356407329276,6.136214635122652,6.55937551281194,128.74887608630002,0.508790213439207,2.436046649910777,150.9231935394306,36.76326038743799,-1.0362039410804229e-05,-4.001709419072543e-06,0.0002876643749551091,-0.0007026922455442514,0.000765815996466358,-0.001908232529662321,0.0012701006875750016,-0.0033569883995015408,0.001689305741705334,-0.004743041582202264,0.0019548256975937387,-0.0057671663453683865,0.002046812357170903,-0.006193542231875394,0.0019905871610693925,-0.005893100878946391,0.001845466829423155,-0.004866017529172325,0.001687241629029938,-0.003240839794979477,0.001586059977202674,-0.0012512423533275496,0.0015838571406037575,0.0008057340068019156,0.0016781223908883677,0.0026234181919520655,0.0018191977209339103,0.0039420652654862795,0.0019248749869664314,0.004597379669188878,0.0019095324849061725,0.004550719655159924,0.0017183466200792385,0.0038943506847755886,0.001353779081206449,0.0028310582370701916,0.0008837590651478811,0.0016335334477812062,0.00042810595629770343,0.0005929829403279137,0.0001239840128736856,-1.4143983971221957e-05
