时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,6.923532523280893,-3.7574172328958988e-06,-2.1161731731113846e-06,4.425471761604475e-06,-2.4700752744272605e-05,2.0722081671520745e-05,-5.97235204927007e-05,3.781932658781907e-05,-0.00010091940167393278,5.183384073529787e-05,-0.0001399187005227258,6.0389502071070774e-05,-0.00016874215582096907,6.293958184309759e-05,-0.00018121047402464702,6.0622122794521604e-05,-0.00017403558594126213,5.5717703918428804e-05,-0.0001473714001857929,5.086072457698802e-05,-0.00010475188274675944,4.82057688353205e-05,-5.242853018626697e-05,4.876739636285232e-05,1.7752002240262232e-06,5.211620153352363e-05,4.989138202694651e-05,5.652633273189326e-05,8.525678652712542e-05,5.954511819524142e-05,0.00010371083253825827,5.8828159045047016e-05,0.00010431155919000029,5.299482768367604e-05,8.9434981104085e-05,4.223818640922513e-05,6.423976857304367e-05,2.8492016569344747e-05,3.5619479703110404e-05,1.508322131259133e-05,1.0827556423610373e-05,3.728645845671299e-06,-2.160957635049027e-06
3,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,15.60627289051304,-8.48478212547953e-06,-4.753094626109775e-06,1.7324383719499794e-05,-6.919576229283656e-05,6.540226811777429e-05,-0.00017132763997630717,0.0001159143232586751,-0.00029179424060050605,0.00015734726746088223,-0.0004056837603778521,0.00018261161005298716,-0.0004890742936688629,0.00019004869681659838,-0.0005233771664967162,0.00018303563552434237,-0.000498696745631886,0.00016839008053089871,-0.0004155489261452086,0.0001540155454844322,-0.00028470646780011936,0.0001463859999992467,-0.00012520785459133282,0.00014852972596645899,3.911960604605647e-05,0.00015908022639377794,0.0001840131535824247,0.00017270469312810125,0.0002892088076249652,0.00018183896826499165,0.0003421147113694232,0.0001792572828501683,0.00034000878088132834,0.00016071943558551783,0.00029034283912694,0.0001268670353692666,0.0002091066690074708,8.374956153866504e-05,0.00011762672338653202,4.1758373395204156e-05,3.839740841255765e-05,8.397680807540305e-06,-4.8901404816400306e-06
4,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,25.723414920327482,-1.404252666240713e-05,-7.756969619498085e-06,6.0989774678222505e-05,-0.00017388179572133672,0.00018999246608932536,-0.00044452108098630476,0.00032555884659713836,-0.0007645812364368281,0.00043678758808549784,-0.001066485304014166,0.0005045574936431521,-0.0012848973543683514,0.000524286397672726,-0.0013689133327619185,0.0005049673339270872,-0.0012914693061812465,0.0004650001444945324,-0.001054210485590254,0.0004259106855292856,-0.0006871545853165967,0.0004054935406375521,-0.000243253254735045,0.00041215614821701267,0.0002112168836584427,0.00044210094889999516,0.0006087772060768854,0.00048034533594052103,0.0008931726495710399,0.0005055115719400794,0.0010297054399431482,0.000497115419332622,0.0010114124810649586,0.0004431699076144144,0.0008598724551018899,0.00034565932733862626,0.0006205485919048113,0.0002220326968759525,0.000353756183039642,0.00010207848453563528,0.00012306575366298952,1.3802261144425553e-05,-8.139801916810985e-06
5,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,30.77752156933689,-1.688326679141678e-05,-9.159023903636201e-06,0.00012292756240467987,-0.00030070023104039823,0.00035357380810567947,-0.0007829318084921602,0.0005958182401004374,-0.0013541171759705194,0.0007947042184918153,-0.001892563754527211,0.0009161723267675045,-0.0022802825081657927,0.0009518139084352772,-0.0024252791807240306,0.0009172471256537287,-0.0022786707927033275,0.0008450060201432681,-0.0018435474726109667,0.0007736491820881629,-0.0011744151741586125,0.0007355680582310962,-0.0003674360236659631,0.0007465700798023865,0.000456916526823543,0.000800315927639592,0.0011758800424340307,0.0008697264163897016,0.0016871235881733922,0.0009155367385070747,0.001927733965377942,0.0008997946690466589,0.0018855625572722552,0.0008001722749017935,0.0016006157139506771,0.0006203258074078405,0.0011563692034736242,0.00039265832027577015,0.0006631235697482878,0.00017228377801970383,0.00023691649967454907,1.644852830285778e-05,-9.856295303270086e-06
6,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,33.25774430998956,-1.8331540367075096e-05,-9.76213433346007e-06,0.0001872669729617076,-0.0004265564572403771,0.0005194042879748155,-0.00112174420341238,0.00086810288888327,-0.0019463500052320712,0.0011547492628259251,-0.002724230071359871,0.001330573179949029,-0.0032843190435187224,0.001383123033305917,-0.0034931623465444222,0.0013340297021573713,-0.0032797569491350522,0.001229307994016424,-0.0026483677279154905,0.0011242846060077684,-0.0016777461844403724,0.001066290173104338,-0.0005071250583540031,0.0010793337188350718,0.0006887574039839954,0.001155361677815589,0.0017315442384752942,0.0012555981862800555,0.002472372276649658,0.0013226721838422364,0.0028196959095457075,0.001300510637040439,0.002755948405858037,0.001155790064856737,0.002339514200589633,0.000893572204694611,0.0016918868474948424,0.00056142944945149,0.0009732880907025594,0.00024024979398741027,0.00035211238869357794,1.7702314720142035e-05,-1.0774976218507455e-05
7,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,34.71918794693529,-1.9229447041414152e-05,-1.0048010350466189e-05,0.0002525056957586228,-0.0005524503134607931,0.000685868634216919,-0.0014622176883869005,0.0011407318797630297,-0.0025429761562104545,0.0015152524738048282,-0.0035638950356632034,0.0017461877535807707,-0.004300475215102736,0.001816810837695571,-0.004577439751690898,0.0017541064482291865,-0.004301303478469762,0.0016168490565171578,-0.003477101050015066,0.0014768039723605988,-0.002207384904896374,0.0013965519499340043,-0.0006740720262651032,0.00140913098523099,0.0008940137766784612,0.0015056862874855824,0.0022627996791367987,0.00163626603319948,0.003236512380288407,0.0017252859654891272,0.003694498634833857,0.0016979575041337442,0.003613356393792833,0.0015092828871189833,0.003069527228982854,0.0011653575536086226,0.002222223399472109,0.0007289841178508512,0.0012812464199586295,0.00030712287215742154,0.00046703820415990255,1.840630671368601e-05,-1.1376310065094869e-05
8,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,35.67452185943112,-1.985475350433679e-05,-1.017553403107402e-05,0.0003181345008640674,-0.0006786921726287489,0.0008523979162547897,-0.0018047305184495466,0.0014130863319774469,-0.003144521392025128,0.0018755699774318268,-0.004412352418779722,0.00216238593561085,-0.005329949190185427,0.002252304506805678,-0.005679837021249379,0.0021769931647155918,-0.0053456482197929535,0.0020072350995527784,-0.004332724257303571,0.0018308675127285848,-0.0027668995952157974,0.0017260057625195998,-0.0008723035915429497,0.0017355457005872126,0.0010684159385973265,0.001850779208782371,0.002765404391432022,0.0020111555046118815,0.003975607235784729,0.002122823040753469,0.004548740783667252,0.0020917070918075476,0.004455062360831842,0.0018604393941078405,0.003788645729448593,0.001435723900121703,0.002746026116860354,0.0008955875280949947,0.0015861718353673516,0.0003733106990305866,0.0005812276037612327,1.8838484755373268e-05,-1.1818815315856052e-05
9,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,36.34054523359669,-2.0324926861926297e-05,-1.0211954393721321e-05,0.0003839194995943574,-0.0008053838822503667,0.0010186990911094501,-0.0021493671380920978,0.0016848067832754324,-0.003751086354771732,0.002235284081164511,-0.005269783749946378,0.0025787196285031637,-0.006373081885475331,0.002689168056565872,-0.00680092756812621,0.0026023076389656927,-0.006413650982755484,0.0024001588433029642,-0.005216409713644158,0.0021862307324480345,-0.0033577657159779496,0.002054427616541894,-0.0011035444146945987,0.002058322414164373,0.001210091125710213,0.0021903204761204807,0.0032374731853819574,0.002379889198743613,0.00468790091961219,0.002514897335823585,0.005380910641555501,0.0024814354763826978,0.005279865062608048,0.0022090598325849716,0.0044959920221169436,0.001704622204001963,0.003262709463862816,0.0010613231513961516,0.0018877097277579535,0.000438979139302044,0.0006944823432579778,1.9116480056681176e-05,-1.2169534390833742e-05
10,5.042030127901925,163084961.57564357,13285.04247775155,746.7902407139644,1.82403553533291,0.26374376075114614,0.11633577039947074,0.007424921374543265,1.9211539865199168,897.7797744855966,3.952744700910695,3.968497587200954,95.87318901022559,3.952744700910695,3.968497587200954,95.87318901022559,36.82473242311685,-2.069817710706435e-05,-1.019065768542749e-05,0.000449729115538509,-0.0009325501876410748,0.0011845816456070813,-0.002496100489080244,0.001955628737278147,-0.004362604238783825,0.002594056455257964,-0.0061361222522418706,0.002994799117766613,-0.007429861219982055,0.003127002450064077,-0.007940808914009802,0.0030296884251785968,-0.007505564513097296,0.0027953273513986686,-0.006128597171833913,0.002542668219880177,-0.0039806224925688005,0.002381625905814664,-0.0013686172223302485,0.002377253881490484,0.0013180843305630882,0.0025240491072766893,0.003677999936217593,0.0027421480192949175,0.005372427566749808,0.0029011659209053258,0.006190159567914073,0.002866833682309656,0.00608707946359362,0.002554923765813032,0.005191058311574137,0.001971947715380932,0.0037719307153450286,0.001226192162453732,0.002185653181883168,0.0005041981904537503,0.0008066921601378085,1.9298656273497687e-05,-1.24616905503831e-05
