时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,5.085835609549069,-4.810307159061718e-06,-6.765044258674604e-07,-1.4380712238249154e-06,-1.3585200032319326e-05,6.858165381359788e-06,-3.67829047518606e-05,1.603890874194383e-05,-6.554659576650339e-05,2.386668810326609e-05,-9.39187119126416e-05,2.8931851549997496e-05,-0.00011613212398429721,3.082173182432767e-05,-0.00012761903353640278,3.004384695935258e-05,-0.00012579810627285143,2.7742198467039955e-05,-0.00011048587502042506,2.5285911683451754e-05,-8.387148507431956e-05,2.3832322630652078e-05,-5.006543949349617e-05,2.3974452166580824e-05,-1.4307862017657845e-05,2.556803680003416e-05,1.8019202975819656e-05,2.7792249989648385e-05,4.23924983403292e-05,2.943497838991746e-05,5.5971510514999296e-05,2.9323841311338385e-05,5.8085823817532804e-05,2.6771769552500542e-05,5.0291380450907584e-05,2.1891438159928337e-05,3.59847147076139e-05,1.5668220234963153e-05,1.9657518601702795e-05,9.75252707759661e-06,5.9334840961440345e-06,4.792958391319011e-06,-7.078186442092572e-07
3,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,11.95886790543768,-1.1323114685352284e-05,-1.5835159604375605e-06,-1.3234411030064989e-06,-3.684161479214789e-05,2.1818752258922607e-05,-0.00010097870021427146,4.7462529387352755e-05,-0.00018072944154893714,6.93381888611348e-05,-0.0002593448930145715,8.346326250790017e-05,-0.00032045943249862767,8.865743896820924e-05,-0.000351046651185685,8.634809133662711e-05,-0.00034373073797156894,7.9779045442286e-05,-0.0002980105305869756,7.284546763646111e-05,-0.0002202157331466989,6.884349323388702e-05,-0.00012222483169304786,6.94497768093419e-05,-1.9188939853721128e-05,7.42104706761281e-05,7.33225716917615e-05,8.07057649689973e-05,0.0001422254959479184,8.537328979195958e-05,0.0001793213361463355,8.476695404918404e-05,0.00018272802985581438,7.686893947052376e-05,0.00015706350080721014,6.20260963934563e-05,0.00011235055952333701,4.318427565560301e-05,6.188084155498372e-05,2.5306226084384607e-05,1.945562723866413e-05,1.1273079548143634e-05,-1.674050760190207e-06
4,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,18.483965882394735,-1.7523744839182405e-05,-2.4299093648967884e-06,2.798448598160419e-06,-6.846351787213928e-05,4.703459678991243e-05,-0.00018998982390405205,9.60573881343747e-05,-0.00034138778189685446,0.00013786091081495236,-0.0004904133156924884,0.00016477611163242723,-0.0006053191584567613,0.00017451150274833775,-0.0006607400315279028,0.00016981251474076025,-0.0006423077126795072,0.0001569590067111664,-0.0005491235759482363,0.0001435211666326801,-0.0003937225847402431,0.00013592165833828203,-0.00019958264629571057,0.0001374158831293478,3.34708933000837e-06,0.000147052452026121,0.00018428436534489187,0.0001599678270060268,0.0003173735899861112,0.00016900848029686067,0.00038646822112829693,0.0001672500246631242,0.0003879993537661722,0.0001506469670271519,0.0003313703103161417,0.00011994132390202079,0.00023681382187657762,8.116151973000764e-05,0.00013118206303310153,4.4480181323582296e-05,4.251092855862535e-05,1.7425120468257528e-05,-2.6087788788711583e-06
5,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,26.57925271079345,-2.526048220815627e-05,-3.4293509721946547e-06,2.128782206934337e-05,-0.00013955719282375068,0.00011477147665563272,-0.00039373971648027294,0.00021816109727262027,-0.0007107541077583231,0.00030616507753119756,-0.001021835802386304,0.0003625849305919719,-0.0012587976262987697,0.0003825446688396711,-0.0013670080473579013,0.0003718248381196136,-0.0013155927085271928,0.00034377585754453516,-0.0011029575820492776,0.00031463083431611515,-0.000756815379608325,0.0002982948954200357,-0.00032882364891636,0.00030188548955563757,0.00011516157522480017,0.00032329588727577767,0.0005074647983646917,0.0003516819280351106,0.0007913194012756456,0.00037098599574391674,0.0009314979837643399,0.00036560211601336816,0.0009207257234465092,0.0003264353065102051,0.0007805931313204122,0.00025530709229093366,0.0005568278386941106,0.00016611992582756877,0.0003099831295523134,8.225165193216291e-05,0.000103458450112063,2.5044538555393674e-05,-3.8221458483413065e-06
6,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,30.947610194418047,-2.948479458975259e-05,-3.902932465578912e-06,4.832376795050209e-05,-0.0002187468130952471,0.0001976195803304277,-0.0006231636567825046,0.0003623469731310631,-0.0011276959779601776,0.0005023777834707142,-0.0016218804255684568,0.0005920461878102483,-0.00199588191901994,0.0006235531875588141,-0.002161648469701937,0.000605916927285261,-0.002069524748811963,0.000560248432494593,-0.0017172646567516633,0.0005125088045345032,-0.0011501311719818552,0.00048526253601456756,-0.00045226730448761916,0.0004903610353077073,0.0002690744320511167,0.0005246819651670675,0.0009036597232267464,0.0005706042906211457,0.0013590744092249424,0.0006016360290436449,0.0015781760467781585,0.0005918261387593945,0.0015496497455728814,0.0005260013898577904,0.0013094979842607603,0.0004072522278207292,0.000933243809982651,0.0002588778183801003,0.0005206400068666727,0.00011990581869804752,0.0001761070471306224,2.9134000016495034e-05,-4.542100204231754e-06
7,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,33.37674622516884,-3.187572652076786e-05,-4.109916599276681e-06,7.78223723212435e-05,-0.0002976391517825596,0.000282842022860983,-0.0008529037839240042,0.000508654226504617,-0.0015459654396528444,0.0007005403196969267,-0.00222450256046192,0.0008235688247876178,-0.002736821396995834,0.0008669755574671625,-0.0029612581486734703,0.0008427130197873535,-0.002829224212934555,0.0007792750919904198,-0.002337700229394054,0.0007121613787600835,-0.001549411439253819,0.0006727497514282957,-0.0005809649248047506,0.000678057652155463,0.0004188996379623818,0.0007244068956639446,0.00129717586594077,0.0007876143142739492,0.0019255237630798532,0.0008306090020141661,0.0022246481560910278,0.0008167097210858737,0.00217908358911246,0.0007243061006943545,0.0018392689010812183,0.0005576542927766649,0.0013106160278684486,0.0003496388833801061,0.0007321663783165743,0.00015524465950004701,0.0002494346235923843,3.1389837539354616e-05,-4.996199363649149e-06
8,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,34.91135323136123,-3.3422777008987235e-05,-4.1936147061900434e-06,0.00010843856789343487,-0.0003765679394803071,0.0003690494912035026,-0.0010835101323962357,0.0006557173025768701,-0.0019665824629189225,0.0008993801498010968,-0.002831515477664273,0.0010560291250678014,-0.0034845662310037983,0.0011118662758127678,-0.0037702290753310903,0.0010814381689145899,-0.0036007314421194,0.0010002027061462148,-0.0029720080752930166,0.0009129757113792351,-0.0019639682020367094,0.0008600930314132537,-0.0007254553310687304,0.000864195384614409,0.0005534021457350732,0.0009215679552585409,0.0016767450142286316,0.0010017584449127923,0.002480070360166143,0.001057042620760728,0.0028616254730474302,0.0010396578200074157,0.0028015148305417085,0.0009211773679997226,0.0023643944600756847,0.0007068453043295948,0.0016853817875099341,0.0004392104755103244,0.0009426357577722317,0.00018940996183387668,0.00032264496568219916,3.280199047312216e-05,-5.326909782652431e-06
9,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,35.96087875641404,-3.451418233772222e-05,-4.210281017111746e-06,0.00013963280975346588,-0.00045563761702873903,0.0004556692748532721,-0.001315142074002153,0.0008029586278189432,-0.002389883931053345,0.0010983462094284724,-0.0034435962769974997,0.0012889315677961535,-0.0042403017050370705,0.0013578070343110672,-0.004590391901465416,0.0013217588740502908,-0.004386599063203407,0.001222769932466667,-0.003623459013665439,0.001114729199020359,-0.002397696936740306,0.0010470636772749722,-0.0008900768641632836,0.001048501822492638,0.0006680550882280106,0.0011158393538098573,0.002037945778405095,0.0012126877572784364,0.0030186854032781974,0.0012806300598947476,0.0034857032348388287,0.0012604842140348624,0.0034143010520526584,0.0011166114926911533,0.0028830221917691985,0.0008550243026353748,0.002056399389539388,0.0005279636739979807,0.0011514551035015689,0.0002228745942357555,0.0003954888341586059,3.375884960531149e-05,-5.590208390124212e-06
10,2.8307683227444453,60638041.60912351,-1.8189894035458565e-12,157.6557993139828,1.5059582905563504,0.16988174388842583,0.07837026827388562,0.005501062197463936,1.5556043093125795,964.7543501802909,2.0069494160741383,6.2205475884170625,437.37160359222105,2.0069494160741383,6.2205475884170625,437.37160359222105,36.716516945019876,-3.53313534112386e-05,-4.186235019110136e-06,0.00017114270086888875,-0.0005348745067992755,0.0005424052781111871,-0.001547816313989964,0.0009500572809491151,-0.002815938185154844,0.00129710761527011,-0.004060957682962763,0.0015219555774595374,-0.0050044860740009805,0.0016045103917459746,-0.005422535734715357,0.001563438804815522,-0.005187997501960009,0.0014467953413038743,-0.004293609168855188,0.0013172796533740855,-0.002852493074425683,0.0012335278250952735,-0.0010769677450411731,0.0012308193985254186,0.0007606157677305522,0.0013070246800041898,0.0023785917620141664,0.001420180516169503,0.0035393933909978505,0.0015011643429470882,0.004095235859392756,0.0014790473654471097,0.004016190025967364,0.001310571666138783,0.0033942954209578587,0.0010022699605543182,0.0024231558813464856,0.0006160709386051889,0.0013583659139743283,0.0002558617656757479,0.00046785853279879757,3.444192256899466e-05,-5.812258013368866e-06
