时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,1.425982863946394,-1.8911127683795717e-07,-6.289104318377653e-08,-8.963810118716487e-06,2.6782017920624608e-05,-1.6062529839286008e-05,5.0930593892670036e-05,-2.1024574048800984e-05,6.989734717063965e-05,-2.375664948301962e-05,8.16986799777024e-05,-2.4511378794198705e-05,8.505982783816564e-05,-2.380960444769091e-05,7.954966079087993e-05,-2.232380037346492e-05,6.562938800276389e-05,-2.074436669956571e-05,4.4610613244820635e-05,-1.9651592129401872e-05,1.8526313192475862e-05,-1.9413895172702005e-05,-1.0071431861302608e-05,-2.0127246863583075e-05,-3.836590850879314e-05,-2.1603170123946865e-05,-6.355628666620218e-05,-2.340480612345175e-05,-8.313609853363507e-05,-2.492364444314867e-05,-9.514250656951091e-05,-2.5484551751718494e-05,-9.835262929988755e-05,-2.4464008687310804e-05,-9.240829873130293e-05,-2.1405885186331582e-05,-7.785749412933913e-05,-1.6120054225647408e-05,-5.6106999832511056e-05,-8.751330895542013e-06,-2.929040865307833e-05,1.8910896664084092e-07,-6.28968015081428e-08
3,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,3.2540151616655097,-4.3160609106336865e-07,-1.4352289509701147e-07,-2.4003006480553067e-05,7.202099108313916e-05,-4.3091089362499454e-05,0.0001370137310314671,-5.643946005166621e-05,0.00018813623624978464,-6.378844833330067e-05,0.00022003932346710892,-6.581517818276438e-05,0.00022927962869468755,-6.392229261507411e-05,0.00021468283160707232,-5.992159845705797e-05,0.0001774753906528373,-5.5671883833847156e-05,0.00012117182719401973,-5.273306607044472e-05,5.1227411271142646e-05,-5.2092601041569876e-05,-2.5506420457964567e-05,-5.4004178217166996e-05,-0.00010146686712321646,-5.795793805975561e-05,-0.00016913406967289913,-6.277982275296616e-05,-0.0002217791795242281,-6.683912861841572e-05,-0.0002541331485576063,-6.833033545586769e-05,-0.0002629126290153894,-6.558854743416279e-05,-0.00024715322975411597,-5.739687101527207e-05,-0.00020831864237762183,-4.324706628603863e-05,-0.00015017136996347733,-2.3520545047092466e-05,-7.84157185972631e-05,4.31599916062262e-07,-1.4352147573347874e-07
4,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,5.003774723994511,-6.638117239024341e-07,-2.2071615844525464e-07,-4.429582388272976e-05,0.00013336425743063575,-7.966131983841862e-05,0.0002538060352766706,-0.00010439847408516971,0.0003486688095804347,-0.00011801016117884804,0.00040801304787181484,-0.00012174963880798404,0.00042542856639284364,-0.00011822401213334687,0.00039871054241368876,-0.00011080118701639773,0.0003301062021784548,-0.00010293213735562073,0.00022610663713887658,-9.750603674769274e-05,9.680243311271694e-05,-9.63432851181588e-05,-4.5127248069602475e-05,-9.990053357410762e-05,-0.00018568528110748977,-0.00010722176429713922,-0.00031095486929001297,-0.0001161284763563603,-0.0004084846266869451,-0.0001236076532050255,-0.00046852519495940373,-0.00012633300942904195,-0.0004850000609000587,-0.00012124400110775314,-0.0004561191760537137,-0.00010610664034970156,-0.00038457740754358307,-7.99867457975141e-05,-0.0002773121127790817,-4.357667398597897e-05,-0.0001448387842522707,6.63800347466269e-07,-2.2068363695098398e-07
5,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,7.405456131158989,-9.828243311787074e-07,-3.2671065730817636e-07,-9.051078424036985e-05,0.0002732455758326917,-0.00016315725240367073,0.0005202436301080613,-0.0002139565665921577,0.0007150560666849978,-0.00024184203397087094,0.0008371777965850743,-0.0002494033664030251,0.0008733450461006761,-0.00024205078635879568,0.0008189404097231302,-0.000226764973346395,0.0006785126384315018,-0.0002106733271673108,0.0004653526907974281,-0.00019970571176341898,0.00020016553458200272,-0.00019755245099811977,-9.1016546244675e-05,-0.00020507670689830557,-0.0003794543244451945,-0.00022024384417403982,-0.0006365799274386574,-0.00023854174715304613,-0.000836841300507119,-0.0002537954122005949,-0.0009602355769974912,-0.0002592358073772124,-0.000994292926368135,-0.00024866734471343536,-0.0009353265352210276,-0.00021758425417948887,-0.0007888313540085743,-0.00016410437565396333,-0.0005689807243767534,-8.96098017828749e-05,-0.00029725672344778445,9.828011376071445e-07,-3.265598860592736e-07
6,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,9.188267926735268,-1.2202589379434471e-06,-4.054606753428952e-07,-0.0001568303921702159,0.000472824753974722,-0.0002831610663490383,0.0009004081478298639,-0.00037137388788921125,0.0012377201120281468,-0.0004195587676209493,0.0014489725986798422,-0.0004323026355690101,0.001510959298150276,-0.0004191843707109059,0.001415537770492953,-0.0003925209987304004,0.0011705621714755007,-0.0003648123048356541,0.0007991523014380842,-0.0003463540859422932,0.00033736903022636965,-0.00034342545721791236,-0.0001694426383758243,-0.00035731437691355024,-0.000671238869932554,-0.00038427159958713596,-0.00111830027737051,-0.0004163182183298162,-0.0014661810709544764,-0.0004427093553934505,-0.001680104389189935,-0.0004517922275262761,-0.001738396197262648,-0.0004329872169646827,-0.0016346450512977942,-0.0003786483106289637,-0.0013783874033102203,-0.0002856024640411449,-0.0009942314716747177,-0.00015620344309406764,-0.0005194749750140612,1.2202188067416299e-06,-4.0509038000493655e-07
7,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,10.17595644379829,-1.3525827915668164e-06,-4.491508830697565e-07,-0.0002232229677145608,0.0006704629519462138,-0.00040333343937489863,0.0012767377517249618,-0.0005288468283494159,0.001754664080795992,-0.0005970049714062822,0.00205308868824786,-0.0006145040151270042,0.0021387991218895933,-0.0005952736227214827,0.0020001131217972728,-0.0005571469852702664,0.0016482433985768566,-0.0005181023256364396,0.0011162587532082165,-0.0004927898982962568,0.00045574296513782684,-0.0004899484492511218,-0.0002684635032227627,-0.0005110866206412842,-0.0009848442084732767,-0.0005505303959824013,-0.0016223956932982992,-0.0005966869250222945,-0.0021176892364890183,-0.0006342011137822984,-0.0024211263562189693,-0.0006466059071109668,-0.0025018175809660217,-0.0006190790297914816,-0.0023506492727277672,-0.0005409836281268638,-0.0019812574713239405,-0.0004079481169995889,-0.0014287842064469292,-0.00022329177449817707,-0.0007464854019607961,1.3525257093027503e-06,-4.4853716096909806e-07
8,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,10.797049399975617,-1.4366417415462668e-06,-4.766754190343683e-07,-0.0002892828490924015,0.0008647440813429643,-0.0005228683313900291,0.001646469372700837,-0.0006852708315050849,0.0022619604513088648,-0.0007728968656753077,0.0026447331292249634,-0.0007946594369670058,0.002751592990930129,-0.0007689983327583892,0.0025673523313531513,-0.0007194076231056781,0.0021066401142544526,-0.0006694104741507794,0.0014125530255516701,-0.0006379643520560392,0.0005522815387125072,-0.0006361135202256717,-0.00038977186731510756,-0.0006653735804992494,-0.0013205859876530863,-0.0007179425017622338,-0.0021478806007077496,-0.0007784876641565012,-0.002789283140061456,-0.0008270344494007202,-0.003180429346258824,-0.0008424056723152681,-0.003281272321046009,-0.0008057097861180684,-0.0030800485535283514,-0.0007034924414669801,-0.002594541284235517,-0.0005302878502627153,-0.0018704770726239606,-0.00029037296804215236,-0.000977132957979507,1.4365677972611177e-06,-4.75809159895558e-07
9,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,11.219073101849098,-1.4946642416874054e-06,-4.95420793822279e-07,-0.0003548726950878121,0.0010552680429425426,-0.0006414868001153653,0.002008812806926206,-0.0008402587030135681,0.002758467867290134,-0.0009467803442376959,0.003222486404633375,-0.0009722894066124334,0.0033477441461396908,-0.0009398881762376403,0.0031156009701644653,-0.0008788640517169709,0.0025441666585236515,-0.0008183368815919584,0.0016866382247066097,-0.0007815101204150493,0.0006258768027858111,-0.0007815693574806424,-0.0005341177503106794,-0.0008198193775750156,-0.0016788259208832714,-0.0008861295202038997,-0.0026947387989112834,-0.0009613099595448284,-0.003480616798402633,-0.0010207693133192004,-0.003957416378957578,-0.0010387375336300211,-0.004076012396935479,-0.0009924388515318865,-0.003822054449720214,-0.0008657829497456018,-0.0032175205885220754,-0.0006523176385444541,-0.0023187622387044033,-0.00035726812597520796,-0.0012111206915700011,1.4945735639388452e-06,-4.942987606491159e-07
10,0.5566589438352169,12974388.786028467,-579.8855244228052,21.877645822168727,1.8889123219568007,0.15684236936670023,0.01516637808262297,0.004604696250326613,1.9230874916757625,1480.956162787391,10.0,10.0,0.0,10.0,10.0,0.0,11.521255580500439,-1.5371619904704186e-06,-5.088802480343744e-07,-0.0004199094215384596,0.0012418820930607752,-0.0007590229424295134,0.00236346409895312,-0.0009935824277641295,0.003243744242023799,-0.001118390997982269,0.0037857960706871962,-0.0011471184429531957,0.003926630307376166,-0.001107676638542402,0.003644216763965877,-0.0010352700640689596,0.0029602150175152544,-0.0009646570737612696,0.001937993118944208,-0.0009232172019751104,0.0006761384321965538,-0.0009261078316946629,-0.0007017307399231407,-0.0009742043458686063,-0.0020596210675144955,-0.0010548504761310456,-0.0032628618958155118,-0.0011448886124536155,-0.0041914403952401395,-0.0012151216042318985,-0.004751733511353805,-0.0012353115644193472,-0.0048856259948798515,-0.001178989422380872,-0.0045762482063922,-0.0010276136523450666,-0.003849821053782826,-0.0007738538741715154,-0.0027733570959086835,-0.000423871983997166,-0.0014482962510314183,1.537054735276021e-06,-5.075021939234479e-07
