时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,3.263519643401861,-2.981326951662317e-06,-1.355476089000927e-06,-5.515800247558758e-07,-9.968232448825765e-06,4.519664629029731e-06,-2.750031696727017e-05,1.031906088517946e-05,-4.9903886882391006e-05,1.5328765233902665e-05,-7.230389982195177e-05,1.8594591445898406e-05,-8.991610154451558e-05,1.9821403560642906e-05,-9.892111707252951e-05,1.932262139355486e-05,-9.714249968603344e-05,1.783472828122472e-05,-8.440846887847981e-05,1.624728560223472e-05,-6.253871346296566e-05,1.5314079632071624e-05,-3.496367751564581e-05,1.541719495145811e-05,-6.049996848345798e-06,1.6449040048996852e-05,1.9741389525125266e-05,1.7852236313768065e-05,3.870493777447846e-05,1.8814274134144482e-05,4.858383309793156e-05,1.856358717550137e-05,4.897032513529925e-05,1.6674599908459965e-05,4.133373654969218e-05,1.3278602000634455e-05,2.8670563324259355e-05,9.101895959861778e-06,1.484941108176293e-05,5.287545180957622e-06,3.7843028923142325e-06,2.9750619267345265e-06,-1.364767694169315e-06
3,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,7.194734786787093,-6.576998410055634e-06,-2.987173791133832e-06,-4.463458556254702e-07,-2.4241209277069866e-05,1.2221247017614466e-05,-6.775982626524523e-05,2.671981849800458e-05,-0.00012351278052643284,3.925505295767288e-05,-0.00017926764966600393,4.742350378178252e-05,-0.00022294080350978313,5.0473759965991866e-05,-0.00024484886509669516,4.9188720166944746e-05,-0.00023946063571559867,4.5423778282224544e-05,-0.00020633949671536612,4.1427711549922426e-05,-0.00015012497144620626,3.911034729160091e-05,-7.957184183276536e-05,3.943865254919813e-05,-5.833820313788015e-06,4.212919962397877e-05,5.968595824920051e-05,4.574368559610049e-05,0.00010751021639962663,4.818450588746862e-05,0.00013186794038952773,4.7456321891087096e-05,0.0001317288399958478,4.245589821989232e-05,0.00011088739903071373,3.3522868032267425e-05,7.708202259075604e-05,2.254781553378738e-05,4.033492498370844e-05,1.2532310890487695e-05,1.085310923490379e-05,6.5610120379174585e-06,-3.0111074919988234e-06
4,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,11.49386895937986,-1.0515794605810638e-05,-4.769005350603986e-06,1.2016348409563724e-06,-4.4358947950068015e-05,2.5110532743788654e-05,-0.0001259187053839553,5.2481433091867505e-05,-0.00023065834106024844,7.615836297418871e-05,-0.00033538312295167117,9.15759439915663e-05,-0.0004170307568693708,9.729197330299571e-05,-0.0004570501678688327,9.478085159027289e-05,-0.000444822567852708,8.756917635215861e-05,-0.000379518476261523,7.995061643916845e-05,-0.0002700938379462728,7.558556837138091e-05,-0.00013345840390551348,7.633051546661905e-05,8.82616876034055e-06,8.16263086045587e-05,0.00013469894969671097,8.866482437240414e-05,0.00022581626047331904,9.334209123674604e-05,0.00027101545173030203,9.17446295836486e-05,0.0002683410530024788,8.170399840122216e-05,0.00022523225023567725,6.389035491668896e-05,0.00015684210981447904,4.204143577578332e-05,8.284687888364856e-05,2.2135220815927078e-05,2.340160015104628e-05,1.048493016021591e-05,-4.815688352805714e-06
5,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,15.280491400305241,-1.3992718858509444e-05,-6.33409412884947e-06,4.966939128824685e-06,-6.888742257259891e-05,4.3170452020920445e-05,-0.00019841245446754687,8.688298867741137e-05,-0.0003650381826741121,0.0001246981965093427,-0.0005315564442928824,0.00014930279192983898,-0.0006607855164480714,0.00015836707841430486,-0.0007227308723198585,0.0001542327545102238,-0.0007002009419188261,0.00014255076084928147,-0.0005918786652806902,0.00013023757853842204,-0.0004123583439147995,0.00012322197846069102,-0.0001891973489772922,0.00012452981838351863,4.244267051693953e-05,0.00013325164282117712,0.00024656258174093545,0.00014477747494511843,0.0003932199599051707,0.00015234017584141678,0.0004642126346285265,0.00014946578535839875,0.000456422254051085,0.00013255994409847,0.0003821521469034532,0.0001027402126525614,0.00026640801587082135,6.623400931760118e-05,0.00014170644874500962,3.3045525668636955e-05,4.148068496779315e-05,1.394245051210197e-05,-6.41080718593274e-06
6,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,20.114142559850944,-1.8449009571801528e-05,-8.318434084678576e-06,1.647613665653805e-05,-0.00011996878712443363,8.556664701389882e-05,-0.0003525887883072032,0.00016447132939922395,-0.0006523788654060474,0.00023270338207021524,-0.0009517009016199124,0.00027707727990668765,-0.0011826008678902339,0.00029333996154727474,-0.001290093598601744,0.00028563060327908705,-0.0012426272262077258,0.0002641057827235879,-0.0010378552457690608,0.00024133796713322704,-0.0007027979784030904,0.00022825266730766737,-0.00028847528550629916,0.00023055329133550684,0.00013995174370152723,0.0002466689462848308,0.0005157031867260042,0.0002680396627805061,0.000783207233314866,0.00028192606205005883,0.0009087321684523141,0.0002760425648095686,0.0008866854331042055,0.00024353220110644747,0.0007403043297482742,0.00018652180327768012,0.0005166349413862857,0.0001169072027281024,0.0002768975275460973,5.385548232251417e-05,8.423168509268156e-05,1.8356014664857604e-05,-8.461965847966807e-06
7,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,23.0153756606637,-2.1144572510706096e-05,-9.491885649208054e-06,3.175025972082047e-05,-0.00017541247286977896,0.00013508105511707486,-0.0005224152274686931,0.0002528638378972681,-0.0009701465239355859,0.0003546966038792048,-0.0014170900069707872,0.00042100550288537767,-0.0017609525502720656,0.0004453920696626173,-0.0019188122919343257,0.00043382438075809354,-0.0018430203185044627,0.000401247596881383,-0.0015300090086560415,0.00036641213817067107,-0.0010206205314670122,0.0003458936376139488,-0.000392076392467975,0.00034862655198776327,0.00025687331521791353,0.000372556567111895,0.0008249006007540296,0.00040481274670471856,0.0012276018379723862,0.0004258664061639421,0.0014137389384814441,0.0004166872970251298,0.0013749113625849878,0.00036656186343207286,0.0011466631022812757,0.00027871738936077696,0.0008008609603522801,0.00017155598204204967,0.00043104665201011905,7.475306852310121e-05,0.00013381823414334966,2.1003759849019502e-05,-9.710694211099505e-06
8,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,24.77098592802747,-2.2794460711238374e-05,-1.0186462080837051e-05,4.820246201340835e-05,-0.00023044811424810106,0.000185737520208116,-0.000692310908832587,0.00034227376869708253,-0.0012889168785028737,0.00047764727841027226,-0.0018847992726475893,0.0005660221227934887,-0.0023431614938566265,0.0005988262537824844,-0.0025529345947730092,0.000583653943128563,-0.002450150107802365,0.0005399805988169276,-0.00202980972329979,0.0004925990987265142,-0.001346410443595199,0.00046383406426192753,-0.0005032920248911757,0.00046614548477359497,0.0003671664362889268,0.000497316200223493,0.0011289154224077686,0.000540321502038017,0.0016684538867669434,0.000568754393806126,0.0019167616167975467,0.0005565820570354456,0.001862423767717667,0.0004889868822980883,0.0015531890759491605,0.00037021362788260543,0.0010857341693495488,0.00022527743680216523,0.0005859748020315559,9.455472731733126e-05,0.00018407483378769595,2.2605719598912834e-05,-1.048094841247279e-05
9,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,25.938919811052052,-2.3909408671010963e-05,-1.0635248793543488e-05,6.524049174360981e-05,-0.00028533615416769697,0.00023689759616495032,-0.0008625855738668916,0.0004320422629901935,-0.001609157002700187,0.0006009060423445923,-0.002355625597277537,0.0007115184581942907,-0.0029305649756382096,0.0007530996190084194,-0.003194550774310867,0.0007346524917939003,-0.003067033161045612,0.0006799025998146072,-0.0025412937517337135,0.000619527443317593,-0.0016852040961498108,0.0005816866618054376,-0.0006280058310150903,0.0005826662012551016,0.0004643841360939018,0.0006204341253445289,0.001421123809119925,0.0006740110485212368,0.0020993978436425168,0.000710063637222753,0.0024121083350767854,0.0006953215902098747,0.002344531365208612,0.0006106093831576451,0.0019563749199717055,0.0004610694184944377,0.0013689394924307015,0.00027837883006146447,0.0007403918654137334,0.00011374241868039959,0.00023442817609895179,2.3672771839614235e-05,-1.1005474505011801e-05
10,0.4233202680668868,15344483.59065044,757.9164865654429,32.39478529358647,1.6868460436103898,0.15408245735110648,0.02607953134694266,0.005043343892182763,1.7236599750486095,1186.2881239107123,1.8678141607736372,1.4936329747720887,129.73139272293508,1.8678141607736372,1.4936329747720887,129.73139272293508,26.765883215099624,-2.4715479619663036e-05,-1.094135941276129e-05,8.259799260397226e-05,-0.00034018006339725065,0.0002882686308273149,-0.0010333521912774912,0.0005218618495330227,-0.0019310513597042799,0.000724164436264536,-0.002829921900480996,0.0008572011362974646,-0.0035237954815070653,0.0009079498678008749,-0.003844674768016298,0.0008865996952811923,-0.003695135798871584,0.000820834843908451,-0.0030664030032818493,0.000747045083239,-0.002039383877903433,0.0006993002744706242,-0.0007689438103670651,0.0006980130780044403,0.0005456090485282094,0.0007416993731823808,0.0016986058480950245,0.0008056483098250891,0.0025177070819163783,0.0008495751677342845,0.002897415342016682,0.0008327478604044366,0.002819348519697211,0.0007313715707374227,0.0023548570694349015,0.0005513433219259564,0.0016496044337527536,0.0003310214744247202,0.0008938204700179386,0.00013254047416431009,0.00028465875238737823,2.443103371381287e-05,-1.1387250096399524e-05
