时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,6.258594591628535,-1.0101275675443885e-06,-4.1506396711729877e-07,9.171767797245048e-07,-1.1523631515013241e-05,6.866231116194554e-06,-3.130922947699278e-05,1.3423451853500222e-05,-5.573019454047206e-05,1.895918100655228e-05,-7.971556702883933e-05,2.246302808188553e-05,-9.839610608238169e-05,2.365216061240596e-05,-0.00010794207488880271,2.2905932397811102e-05,-0.00010621341370811172,2.105758388491935e-05,-9.309522157088762e-05,1.909875051850558e-05,-7.046699586502282e-05,1.7867189935463675e-05,-4.1816239015866724e-05,1.7793868018890178e-05,-1.156921398175439e-05,1.877694958183239e-05,1.5739246260293136e-05,2.022300742725554e-05,3.630400990233357e-05,2.1251268227801908e-05,4.773851701771784e-05,2.100577925770526e-05,4.948218816248819e-05,1.89807604816529e-05,4.2848013473847553e-05,1.5252483142562191e-05,3.0701185552266426e-05,1.0535657812946848e-05,1.683504152996062e-05,6.036691496301301e-06,5.164886094619749e-06,1.807491455930428e-06,-4.4635884032547914e-07
3,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,14.175355980938047,-2.290710041061859e-06,-9.360405947300836e-07,3.204968663093454e-06,-2.9204118754931165e-05,1.865335329900966e-05,-8.006178271407658e-05,3.569689901430153e-05,-0.0001429830717554519,5.0102383290594985e-05,-0.00020476293142030245,5.922704396858372e-05,-0.00025262329711384747,6.232180599458897e-05,-0.0002764708170749819,6.037281462423091e-05,-0.00027065250726805907,5.556297424005625e-05,-0.00023487186229326524,5.0498692554646406e-05,-0.00017412613693812046,4.7385467751689454e-05,-9.769225278000353e-05,4.7353372976047066e-05,-1.7353569431644044e-05,5.0114653818345454e-05,5.4809020144345505e-05,5.406630057400167e-05,0.00010865469803537616,5.683217833950389e-05,0.0001378282000406157,5.6100732748704e-05,0.00014085912655170275,5.050456216835804e-05,0.00012130422915580862,4.025373070836287e-05,8.690799379372212e-05,2.730044678908884e-05,4.7957602136959205e-05,1.4960453228078676e-05,1.5156673615342873e-05,4.094010942297211e-06,-1.0161086274740462e-06
4,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,22.4584646493091,-3.6352433037551947e-06,-1.4730649434246576e-06,7.822588254727624e-06,-5.382438804052599e-05,3.7063249814632584e-05,-0.00014901867645737344,6.932636960357754e-05,-0.0002670205936879175,9.661362928749602e-05,-0.00038277616525144033,0.0001139033182130379,-0.000471865128719693,0.00011975710990175004,-0.0005149224329867925,0.00011604044233221527,-0.0005010864450463437,0.00010691343422858925,-0.00042981885803042633,9.736350268321933e-05,-0.00031082046540103765,9.162341988854582e-05,-0.00016209299557428083,9.185884782856504e-05,-6.5152106886026425e-06,9.748477235845938e-05,0.00013244269295961236,0.0001053450188107517,0.00023507692115151853,0.0001107600619487262,0.0002890588984903555,0.00010917062558430243,0.00029160043478820017,9.787896964052136e-05,0.0002497589440031407,7.731487694708411e-05,0.00017883278980897966,5.138162542143028e-05,9.918773402350058e-05,2.6732908162751643e-05,3.2151179947849506e-05,6.485198580521398e-06,-1.62184709169854e-06
5,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,31.424660161502718,-5.099607044190357e-06,-2.0362991812822587e-06,1.776973223853511e-05,-9.411480093995192e-05,7.043625481767277e-05,-0.00026349144219272187,0.00012847924875347474,-0.0004737291748740019,0.00017756755624399358,-0.0006796051028172933,0.00020867019323310114,-0.000836751791406303,0.00021917735426882029,-0.0009098717808188326,0.00021242844698128862,-0.000879164512334304,0.0001959327740047396,-0.0007437553465048401,0.0001787486711266613,-0.0005216065363125641,0.00016861250391626484,-0.00024599521693325786,0.00016950356607311462,4.077540574354982e-05,0.00018032344553724894,0.0002952913503520851,0.00019516738545065143,0.0004811141587095834,0.00020524451230594857,0.0005755088947961495,0.00020196292218809496,0.0005735084352024751,0.0001802386707349891,0.0004885244274778798,0.00014092380779495296,0.00034940726616096706,9.148949933640865e-05,0.00019458730339857539,4.46772619998903e-05,6.449228461516797e-05,9.068731459004864e-06,-2.29790958495506e-06
6,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,39.84638058965786,-6.493216107174108e-06,-2.5244089420128478e-06,3.8219681312202776e-05,-0.00016268044808821628,0.00013181931402776254,-0.00046054884471766856,0.00023470592309234056,-0.0008305125278717133,0.0003216624644476516,-0.0011920235513598622,0.00037679405376671223,-0.0014656831624276843,0.00039545774855807516,-0.0015881978792019447,0.00038345532693358453,-0.0015241030795588662,0.0003540055129107041,-0.0012720646609228163,0.00032323220877361565,-0.0008648084622390563,0.00030509816425919323,-0.00036282284246026486,0.00030694638195913495,0.00015698932412262757,0.00032691816155566375,0.0006156768828690888,0.0003542498845577358,0.0009469972489296553,0.0003726965538281472,0.0011097585880913753,0.00036626080595973643,0.001095316988496927,0.0003254497135836321,0.0009287408696931858,0.0002519045256458385,0.0006634576556651015,0.00015970454936011338,0.00037055618442182516,7.27983850010829e-05,0.00012496916837782004,1.1481778172934794e-05,-2.9766473309446043e-06
7,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,44.387129388017286,-7.262370000800644e-06,-2.7459877152664546e-06,6.0434580770567784e-05,-0.00023077134783990342,0.00019508053669224317,-0.0006575401879881672,0.00034277221517816384,-0.0011878327437436845,0.0004675696534802125,-0.0017055726832537952,0.0005468550319103156,-0.002096081307655837,0.0005739328007617232,-0.002267853291896592,0.0005568751089144228,-0.0021696245824202234,0.0005143735212032668,-0.0017995693721101673,0.0004695142306295565,-0.0012052600542024317,0.00044261502537307895,-0.00047460404844613675,0.0004446852400754194,0.0002805686724986381,0.00047339836863568576,0.0009453666396032772,0.0005132243667797905,0.0014233568016153739,0.0005402906437008686,0.001654637129235335,0.0005308628700373857,0.001626853792061491,0.0004707640025193517,0.001376932067331083,0.00036238674540586553,0.000983248333436573,0.00022664773426292142,0.0005499989337236787,9.906044524402504e-05,0.0001870709788959509,1.2768667994642741e-05,-3.3853149028508582e-06
8,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,47.19472787626556,-7.752816720332307e-06,-2.8482862331441047e-06,8.34193426980738e-05,-0.000298777703729248,0.00025907574861201466,-0.0008550213467344199,0.0004514436221286896,-0.001546646179077387,0.0006140392032394513,-0.0022219691586264135,0.0007176620870391053,-0.0027308798847487667,0.0007535232002839614,-0.0029534807081857076,0.0007317316277625135,-0.0028225206563722047,0.0006761627180341911,-0.0023354979280687978,0.0006167148390354705,-0.0015546690415342453,0.0005801681279102465,-0.0005952575874187183,0.0005815204881044507,0.0003959790802873658,0.0006183337533745553,0.0012680871513130992,0.0006704979922619355,0.001894229899281679,0.0007064360130195047,0.002195561439098215,0.0006944097562451516,0.00215583318194301,0.000615287220034122,0.0018237181760550872,0.0004721052463398313,0.0013024906332627724,0.000292711206028307,0.0007294352362745756,0.0001243677580788776,0.0002494112887889598,1.3553298248074302e-05,-3.6726041735093904e-06
9,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,49.09064619661444,-8.096993594455896e-06,-2.8876405467302762e-06,0.00010679237577966662,-0.0003668485104619872,0.0003233743621077698,-0.001053237701495732,0.0005602723124875802,-0.0019074377790111873,0.0007606388646052048,-0.0027421227838834673,0.0008888262663575857,-0.003371608972425156,0.0009339007132640364,-0.0036474002737595787,0.0009077590174369159,-0.0034860117745880324,0.0008391515672905413,-0.0028839940648313716,0.0007646206012994299,-0.0019180196840206762,0.0007175075718120468,-0.0007304144207678378,0.0007171301182955581,0.0004972357211306513,0.0007613222552887909,0.0015778590844229877,0.0008256198319963494,0.0023540185714096694,0.0008707002266559652,0.00272764945280197,0.0008565726444700301,0.002678329252119857,0.000758869020866478,0.002266238134922726,0.0005811253841481229,0.0016193505642988007,0.0003581593148379946,0.0009078850944221692,0.00014911440339391037,0.00031159276063370535,1.407457803930702e-05,-3.895598418039357e-06
10,1.0000086338548542,16700607.273573816,-230.63463342662726,20.49801658868524,0.9686219250516765,0.09450455639620917,0.05244721425162067,0.003955327711033368,0.9926764823579554,896.0204972514521,9.801726171713824,8.96693157045111,670.4362931847502,5.48840891608212,8.86030243102243,966.4092751676002,50.44595952544201,-8.354775449175412e-06,-2.889528186384604e-06,0.0001303739303316251,-0.00043503329880465775,0.0003877633458317412,-0.0012522604942929914,0.0006690254481965507,-0.0022703779505797396,0.0009071324873406584,-0.0032664088922800655,0.0010601256488377401,-0.004018959673528664,0.001114873515138012,-0.004350710873422527,0.0010848045837492492,-0.004161657888548208,0.0010032229945562848,-0.003447080143793265,0.000913131918212089,-0.002297739970923933,0.0008545234838847498,-0.0008827943285763763,0.0008513685842482033,0.000581487756140441,0.0009021735717653194,0.0018718872938982307,0.0009783705866691053,0.0028001667970009884,0.0010328731496428091,0.003248733603067091,0.0010171977560403717,0.0031926542510934885,0.0009014496934601178,0.00270330572097319,0.0006894944666193841,0.001933097025068654,0.0004231293377594838,0.0010849718774450842,0.00017348759349729198,0.0003734626746534668,1.4440527385157659e-05,-4.080127745488117e-06
