时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,5.147639729061925,-5.112935155918679e-07,-3.088060238381901e-07,-3.463201544706647e-05,5.674913602562328e-05,-6.289853500073219e-05,0.0001095038366579133,-8.326498119006517e-05,0.00015206882109005884,-9.49531809348921e-05,0.00017969555708887013,-9.863080297373442e-05,0.00018915766243663456,-9.6165964195475e-05,0.00017910381125720517,-9.018262966582467e-05,0.00015022083033331413,-8.351532328327514e-05,0.00010518826247971247,-7.864977744330981e-05,4.841321911646353e-05,-7.724644757654176e-05,-1.4427834389176942e-05,-7.982928812552413e-05,-7.699179964935371e-05,-8.569308395260437e-05,-0.00013294495482945207,-9.304192083227537e-05,-0.00017663174410453058,-9.932869786199681e-05,-0.00020365964045823562,-0.00010173162208820787,-0.0002113398268746799,-9.768444916391634e-05,-0.00019894384786906015,-8.537632700140407e-05,-0.00016776301230613818,-6.414439880116389e-05,-0.00012096260079709747,-3.4721176856375616e-05,-6.325596111831681e-05,5.112810122683479e-07,-3.0870511658427066e-07
3,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,11.64087527860448,-1.1564445314453612e-06,-6.986081458894339e-07,-0.00011651962691046515,0.00019289013020513542,-0.0002122293793207941,0.0003717005338887903,-0.0002811471202032145,0.0005161323238557712,-0.000320645734431347,0.0006101848997980202,-0.0003330019343369813,0.0006429181199836849,-0.00032456131108957967,0.0006096888402019943,-0.0003042327151742423,0.0005127461904190771,-0.0002816287606677656,0.00036110267879102927,-0.00026515975391668353,0.00016964717221840713,-0.00026041640776238497,-4.241319820292967e-05,-0.00026912494731696866,-0.0002536101868293842,-0.00028885348338606305,-0.00044252110260570375,-0.00031350549829763775,-0.0005900444301847832,-0.00033448902376088377,-0.0006813808272199931,-0.0003423359290521175,-0.0007075156442699725,-0.0003284855951159352,-0.000666073274559481,-0.00028694868840298775,-0.0005614991286506941,-0.00021560264065860176,-0.000404554636978405,-0.00011697644330273308,-0.00021120107720343383,1.1564004765321303e-06,-6.978600804278312e-07
4,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,17.555000382148886,-1.7447166775398855e-06,-1.054518712090036e-06,-0.00031748737151350055,0.0005276252982968098,-0.0005796681007418665,0.0010154198449346518,-0.0007680614270742157,0.0014095047573612711,-0.0008754986429598967,0.001666216252959877,-0.0009084195099054338,0.0017554833764827217,-0.0008845150512398334,0.0016643776745273676,-0.0008285039895357623,0.0013989002571080638,-0.0007669053118290073,0.0009837046566743746,-0.0007227221445518401,0.00045966640979651607,-0.0007109984839274992,-0.00012045549871934265,-0.0007360389302712318,-0.0006977490147059292,-0.0007907553942807349,-0.0012135426758248836,-0.0008581848620207503,-0.0016156635664029604,-0.0009148111306689996,-0.0018638347273630146,-0.0009350258825062058,-0.0019336731413009964,-0.0008959334347444467,-0.0018189668522192385,-0.0007817411717362108,-0.0015321236358655534,-0.0005871197637967223,-0.001102779345694238,-0.00031914738873811894,-0.0005747357200399696,1.7445915924040974e-06,-1.0514618807016328e-06
5,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,19.872468159263473,-1.976222382387028e-06,-1.1948738841874155e-06,-0.0005265882397455782,0.00087176066426526,-0.0009621528511595262,0.0016767209599854824,-0.001274382866828142,0.0023265568155991954,-0.0014514022307582039,0.002748779511116727,-0.0015043237770830302,0.0028932510099768517,-0.0014631827207902048,0.002738287739334214,-0.0013696836508503914,0.0022938098430067885,-0.0012682556530777115,0.0016009465541255619,-0.001197050967185591,0.0007279468313375716,-0.001180554071577208,-0.00023716427767014192,-0.0012251224507239577,-0.0011962510389283984,-0.001318171967718683,-0.0020517766960456425,-0.0014309801520868183,-0.0027171981938400665,-0.001524393922862885,-0.0031258574525098283,-0.0015562681991994698,-0.003237522356113078,-0.0014893034820016532,-0.0030421000048183274,-0.001298071852221305,-0.002560368441762413,-0.0009743103400466955,-0.001841715812348735,-0.000529907096139046,-0.000959113647157828,1.976011341592166e-06,-1.1891394980021113e-06
6,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,21.061508857628766,-2.0961420186766526e-06,-1.2675756421418688e-06,-0.0007350048616547892,0.0012094805471063413,-0.0013432484159367018,0.0023254127354341673,-0.0017781813473345801,0.003225360605747845,-0.002023262140663269,0.0038080504719655824,-0.0020946176009118992,0.004003199042207801,-0.002035141135958305,0.0037802992456593258,-0.0019040054702821783,0.003153232985763291,-0.0017637938866022081,0.0021797811956249867,-0.0016676913226128232,0.0009558154233660831,-0.0016491582692626497,-0.0003951551595509007,-0.001715936903110379,-0.0017356740968418496,-0.001849296705756983,-0.0029293933736223984,-0.002008339147538966,-0.003855564470630231,-0.002138222656957902,-0.004421339191262751,-0.0021805789066240457,-0.004570772535082997,-0.0020842530633373396,-0.004289936916824522,-0.0018147512161541585,-0.003607964538268386,-0.001361247113163308,-0.0025939948563280086,-0.0007404617300056005,-0.001350269508519966,2.095844672878358e-06,-1.2590930146694095e-06
7,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,21.777935704059182,-2.16963412284787e-06,-1.3119356795055718e-06,-0.0009423097307433109,0.001540071838829138,-0.0017220937450836962,0.0029601763064940937,-0.0022782809277886685,0.00410408087216914,-0.0025897198659991633,0.004841804788949284,-0.002677884938452882,0.005082875726370878,-0.0025990168901021205,0.004787919812771715,-0.002430200558971011,0.003974831992873461,-0.002252373147440481,0.002718206458332041,-0.00213359499953629,0.001141745569515468,-0.0021158107364558673,-0.0005954031464705011,-0.0022074719609200496,-0.0023164407779967056,-0.0023830656053084017,-0.003846332877418487,-0.002589130342192851,-0.0050303418232546335,-0.0027551204976372316,-0.005749645012140465,-0.0028067902023129216,-0.005932719018397619,-0.0026796986868483463,-0.005561826010872024,-0.002330861205847536,-0.004674402629116526,-0.0017472483487167316,-0.0033592990987412223,-0.0009504145114335302,-0.0017480863301688305,2.169250513182434e-06,-1.3006883797094957e-06
8,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,22.250408064522283,-2.2194192605154465e-06,-1.341659537873688e-06,-0.0011482432881414874,0.001863297438705187,-0.0020981821590033297,0.003580569992627914,-0.002773994368708294,0.0049620971777325435,-0.0031499833509224763,0.0058492819466052495,-0.0032533007386584736,0.006131432004883552,-0.0031540091923769227,0.0057602753323746396,-0.0029475271607897024,0.004757779144785885,-0.002733319210062153,0.003215511638539997,-0.0025941393958665883,0.0012852005762268594,-0.002579908337871542,-0.0008382400960719935,-0.002699108200364508,-0.002938680005813455,-0.002918816749593845,-0.004802553037562492,-0.0031726421248546416,-0.006241367833548548,-0.0033743413542469945,-0.0071105481324230365,-0.0034341567854350367,-0.007323120415429527,-0.0032749448543774678,-0.006857549541965452,-0.0028458105412594325,-0.00575951482319727,-0.002131877489736874,-0.0041375252013276876,-0.0011595216682201569,-0.0021525276475042538,2.2189495824587756e-06,-1.327652565223753e-06
9,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,22.579868640632327,-2.255526943344545e-06,-1.3627964793270804e-06,-0.0013525792666287206,0.002179048463072312,-0.0024710827448178535,0.004186387280180136,-0.0032647427410686116,0.005799115742216833,-0.003703390428411369,0.006830119417154772,-0.0038201800545400125,0.007148464051088698,-0.0036994566478244072,0.006696957536653092,-0.0034553730307912223,0.0055017061579695535,-0.003206071336103296,0.003671414168584361,-0.00304879713298934,0.0013860205980903459,-0.003040926581814182,-0.0011236848955805431,-0.0031902928305416653,-0.003602275310116378,-0.0034559484558377247,-0.0057978287432558845,-0.003758221300723093,-0.00748834755942311,-0.00399519777001063,-0.008503724144634395,-0.004061991257121766,-0.008741657692307274,-0.003869350047798425,-0.008176821482987021,-0.003359054159229858,-0.006863070284845226,-0.002514733898384184,-0.004928515220901715,-0.0013675650352966912,-0.0025635191308858974,2.254971485660108e-06,-1.34604665716465e-06
10,0.8689385243784373,23804160.48021937,697.0993454451709,48.62698611114037,1.6637915179009313,0.2519772472048963,0.03438397120621177,0.005064061731829987,1.7605789224816075,1231.8086699051034,10.0,10.0,0.0,10.0,10.0,0.0,22.817416065923485,-2.283034826007024e-06,-1.3784076526226006e-06,-0.0015550976134456143,0.0024872423682730247,-0.0028403811835730035,0.004777467049790405,-0.003749970640109649,0.006614903356622198,-0.004249305791596239,0.007784025614097673,-0.00437786501978421,0.008133643644970453,-0.0042347229904742085,0.007597632245613237,-0.00395314811712668,0.006206311145119306,-0.0036700881951779595,0.004085684970965396,-0.0034970584150612093,0.0014440828734849428,-0.0034983579929289306,-0.0014517368742178913,-0.003680490506217631,-0.004307106619446868,-0.003993877150142072,-0.006831943242793678,-0.004345232730201085,-0.008771000797300123,-0.004617018848420017,-0.009928863836533713,-0.004689619746055789,-0.01018802260366501,-0.0044622823483618035,-0.009519359499220826,-0.003870052951079879,-0.007984834802676108,-0.002895420826267449,-0.005732103301144339,-0.001574330692047056,-0.0029809781961663223,2.2823939499662875e-06,-1.3589399647988064e-06
