时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,14.261309428089216,-1.629423686601955e-06,-2.0444785121008733e-05,2.4659197797664368e-05,-5.1030475966331883e-05,8.426217462877947e-05,-0.00012228115973552295,0.0001569576966371054,-0.000218558252083267,0.00022309236627940607,-0.00031763545937418466,0.0002680901078571954,-0.0003958204865132604,0.00028575448421204854,-0.00043283739715970003,0.0002790868852414104,-0.00041604707499738407,0.00025841780227957707,-0.0003431436914456713,0.00023735673697574235,-0.00022298561843620771,0.00022764682316291898,-7.418549374982191e-05,0.00023462337275847835,7.856242626378987e-05,0.00025506348483688606,0.0002097827720639566,0.0002783851036628277,0.00029877868234171143,0.00029070945777648566,0.0003339258400685796,0.00028018078583872134,0.0003147219483142397,0.00024167939862124272,0.0002513976156795996,0.0001794268146969331,0.0001623949037649153,0.0001067593618880676,7.041919505086788e-05,4.285854807186603e-05,-2.331619070747834e-06,6.909609942188782e-06,-3.8272815838433305e-05
3,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,29.738936287216056,-3.5021766939947273e-06,-4.260493138116337e-05,0.00012598777729759365,-0.0001871798648914712,0.00041592227382429217,-0.0005327309316152994,0.000771036668240428,-0.0010037271761202064,0.0010957163326028917,-0.0014909268576836674,0.0013180281124854757,-0.0018762271381335069,0.0014063521205183664,-0.0020578381489294896,0.0013739551851428566,-0.001971659567398338,0.0012707599494781935,-0.00160514374117806,0.0011640580017685217,-0.0010018410085191245,0.0011130569101819251,-0.0002548090207968649,0.0011456089531268802,0.0005116003237348599,0.0012465185691716673,0.0011686902057315286,0.001362923045250248,0.0016121191683912306,0.0014247263692122878,0.0017841293928704878,0.0013719090557963254,0.001683821866806393,0.0011788205142806171,0.001364355934978575,0.0008674174001890063,0.0009191988428457209,0.0005054039504101919,0.0004614486926982821,0.0001889428664134849,0.00010028264684148879,1.4384599204531179e-05,-7.989011590834139e-05
4,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,34.29444071495132,-4.1686681219112705e-06,-4.906440624552476e-05,0.00024762609158153714,-0.00032742964340214077,0.0008087305770691004,-0.0009993678740458796,0.00149672263963962,-0.0019192440638326604,0.0021275852579515347,-0.0028739326603876188,0.0025623171236141486,-0.003631857465846584,0.002738368299883475,-0.0039933023785657775,0.0026787493497484314,-0.003832242665441373,0.002477662200108759,-0.003123074770280107,0.002264899916499539,-0.0019493815492198283,0.0021572204820640476,-0.0004916679793179263,0.002212243022342185,0.0010073440114858364,0.0024036440458193825,0.002295130547880148,0.002629723913158064,0.003166274950182062,0.0027527019852117175,0.0035071855205361514,0.0026530900169925787,0.003316742031110552,0.0022789393697311665,0.0027000211490632096,0.0016728989544850486,0.0018398987418664508,0.0009681810034106022,0.0009556318721177251,0.00035332402780003026,0.0002576264015976065,1.6506860733490878e-05,-9.213628648838254e-05
5,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,36.199985734259485,-4.536178775474541e-06,-5.171322500984769e-05,0.0003697154278811365,-0.0004646218786027215,0.0012014362282078844,-0.0014671272473637804,0.002221498303246185,-0.002843915738691596,0.003158915935898779,-0.004276680418128588,0.0038087874600265478,-0.005418658623436033,0.004077107009405706,-0.0059711149474714975,0.003994227665176261,-0.005745595831932048,0.0036956936530779367,-0.00470281743768368,0.0033722650454516235,-0.0029651574087906332,0.003199333242541677,-0.0007990812120088562,0.003267594922927946,0.0014350688017065773,0.0035433003267554587,0.003360280511754953,0.003877899645538301,0.004668363313742679,0.004065244217488994,0.005188305015118582,0.003923817356778772,0.004918136202426855,0.0033727936853033724,0.00401489947149175,0.0024744337895448924,0.0027505186922364144,0.0014280119465103817,0.001448971267790633,0.0005155181614956465,0.0004200846859978575,1.7331941911234505e-05,-9.724260823593861e-05
6,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,37.23662144082495,-4.80629966475596e-06,-5.311142884508105e-05,0.0004919274189867772,-0.0006014799224924708,0.0015935479436541083,-0.0019387864056948723,0.0029445166139022696,-0.0037804791170241428,0.004188387467504627,-0.005701817937365933,0.005055708973387862,-0.007239242680016054,0.005420661835685725,-0.007994018950482353,0.005318603342997316,-0.007714880281227937,0.004923400165138397,-0.006348338769509254,0.004485045165221229,-0.004054330253612117,0.004238429871345324,-0.0011836100937573472,0.004310543078595422,0.0017869559304724283,0.004664012971182111,0.004355557712041985,0.005105673287425577,0.006109699953560995,0.005360564590975418,0.006819281821253276,0.005182682762619847,0.006480612782810261,0.004459664921231695,0.005302483761001628,0.003272078439936363,0.003645303306154131,0.0018855573644745891,0.0019362264254046602,0.0006764669940449629,0.0005826899557016612,1.7734394383577435e-05,-0.00010000504563280987
7,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,37.878853063926904,-5.0328052310305266e-06,-5.394139696182658e-05,0.0006141298002687035,-0.0007386893425286332,0.0019847547247357294,-0.0024149527706660147,0.003665138812421463,-0.0047294189126839085,0.0052149517063222305,-0.007149714816418734,0.00630167835293744,-0.009093917203902863,0.00676745202091788,-0.01006232890579348,0.006650345401886997,-0.009740505248783875,0.006159478497442573,-0.008060281025049743,0.0056022078959215285,-0.00521795676574037,0.005273630484445117,-0.0016468613114992033,0.005340148604803052,0.00206086987900421,0.005764616331738375,0.005278498788720212,0.00631164152669553,0.007487773730837269,0.006637180387167192,0.008397776519926427,0.006428369983588081,0.00800209617449802,0.005538622474225877,0.006560955257513795,0.004065383673017702,0.004522643048408734,0.0023407817054031457,0.0024159437324871498,0.0008363670289960344,0.0007440927496089196,1.7947694252604928e-05,-0.00010170202788816133
8,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,38.30694730650144,-5.236093607303921e-06,-5.446251166991546e-05,0.000736226910694117,-0.0008764665814261941,0.002374762650010775,-0.0028957068938948263,0.0043827302093045195,-0.005690632804987126,0.006237559382391667,-0.008620103334930823,0.007545285593331202,-0.010982311704009333,0.008115876892710164,-0.0121756358469389,0.007987881469879794,-0.01182208445649882,0.0074025627901896885,-0.00983837845108745,0.006722650971795821,-0.006456040377027315,0.006304000366077123,-0.0021892412229220786,0.006355448602534582,0.002255983898903859,0.006843947661770591,0.006127988711058738,0.007494406359407561,0.008801384966292382,0.007893582776543279,0.009922662626547287,0.007659478134354244,0.009481592645413938,0.006608585741762497,0.007789447583881631,0.004853703494085455,0.005381783368907466,0.0027934412300434953,0.0028874750810068185,0.0009952277908897096,0.0009037411283616555,1.8060668758457916e-05,-0.00010281928233676786
9,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,38.60439819919245,-5.4255711315722866e-06,-5.479501179929362e-05,0.0008581349703694136,-0.0010148716501885361,0.0027632847368324,-0.0033809457925240037,0.005096661681864574,-0.006663800842047917,0.007255166209021181,-0.01011246506708988,0.008785120658831665,-0.012903778073120233,0.009464324704574076,-0.01433323019982348,0.009329614195334684,-0.013958902924242008,0.008651252412513634,-0.011681995754290053,0.007845239260369879,-0.007768163711755198,0.007328587909925564,-0.00281068714223835,0.007355486178709106,0.002371968842227304,0.007900866696817254,0.006903410000845769,0.008652592107677111,0.010049805481388995,0.009128267233150281,0.011393242251252038,0.00887458157436413,0.010918486929808036,0.007668420166121756,0.008987423878011706,0.00563631953197766,0.006222259930284784,0.0032432176961040638,0.0033504399773142393,0.001152994973650866,0.0010613453375673087,1.8114521286199153e-05,-0.00010358173798575798
10,2.5862015847474904,41430067.62250756,-604.0002676042641,158.94623204373386,2.7710326921266204,0.6821026005916395,0.06752730605791339,0.007125564311839844,3.1692754985072513,1618.0528237449432,6.239440099010681,0.4820837583956319,812.3689985690283,1.444782722469352,0.257753931330603,79.03897772200128,38.815121859342106,-5.60614557736827e-06,-5.5002222149392624e-05,0.0009797753937291927,-0.0011539001170770885,0.0031500390726770474,-0.003870488937871651,0.005806311701588434,-0.007648507944319133,0.00826673754028379,-0.011626169504601854,0.010019781208599404,-0.014857544750109057,0.01081118517135248,-0.01653427324734397,0.010673939706065708,-0.016150110782962333,0.0099041344804744,-0.013590350596350503,0.008968826310493155,-0.009153743282631936,0.008346439255430991,-0.003510951348888533,0.008339314932624143,0.0024086904806863213,0.008934252056093902,0.0076043375095778765,0.009784840619495075,0.011232487919696737,0.010339736202421226,0.01280898339356746,0.010072246269425569,0.01231231389829105,0.008716968033748102,0.010154481248509307,0.006412481199933591,0.0070437275511948715,0.0036897600209015876,0.0038045673717554706,0.0013095871868983374,0.00121672256724547,1.8130966973220958e-05,-0.00010410764163629352
