时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,5.907376013632243,-3.1135466523204065e-06,-2.868202805115151e-06,1.5476922269711313e-06,-1.7338694149431144e-05,1.4066104749178617e-05,-4.653717861728314e-05,2.8778421136901063e-05,-8.44569746095374e-05,4.1691187861497704e-05,-0.00012284455676118096,5.0141603213331776e-05,-0.00015338915529507197,5.3201999500164757e-05,-0.00016931711046050063,5.163040163322496e-05,-0.00016665991017927314,4.7392131243400414e-05,-0.00014495613061740975,4.290555948311043e-05,-0.00010727984668540146,4.0217739502329616e-05,-5.959681325561188e-05,4.033690950269053e-05,-9.574375249471162e-06,4.2915893442260006e-05,3.4928980407892764e-05,4.639021388758209e-05,6.739937030730242e-05,4.854177313254389e-05,8.391911664417584e-05,4.7320695580325984e-05,8.387586082907799e-05,4.1663068292276535e-05,6.998536115584009e-05,3.202653577971302e-05,4.762497221065605e-05,2.0454087849183953e-05,2.363106568831905e-05,1.0077123318358834e-05,4.8039834584074805e-06,3.0815682204637787e-06,-2.9172488024683436e-06
3,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,13.212321860197807,-6.9783885060548475e-06,-6.400050178361371e-06,7.184822332630358e-06,-4.593443424811976e-05,4.270772517451913e-05,-0.00012723865090894743,8.44608221400095e-05,-0.0002332726850610498,0.00012115390553691569,-0.0003405896867702264,0.0001451864491812868,-0.0004253439908426755,0.00015388592479820547,-0.0004680016250105633,0.00014940751886842284,-0.00045710046877908293,0.00013738975836529368,-0.0003913555602821984,0.0001247952960384172,-0.00027978503421538373,0.0001175240781887778,-0.0001398591468689928,0.00011845714835518557,5.966167224112728e-06,0.00012650879456480946,0.00013467416595907896,0.0001370116178397736,0.00022720509164632957,0.0001433685876693022,0.0002721512237117496,0.0001394882851634009,0.00026786057890964334,0.00012222507828741036,0.00022251967815458133,9.299210934729182e-05,0.00015221224469116375,5.79725280226744e-05,7.740569511032383e-05,2.669295083965458e-05,1.859023778944059e-05,6.885254852597466e-06,-6.544376844220309e-06
4,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,21.57645309549623,-1.144516010203612e-05,-1.0390838081843398e-05,2.6124643485900093e-05,-0.0001026937187414144,0.0001129084092941234,-0.00029688723311955834,0.00021467891400849993,-0.0005510552785935494,0.00030411741699328757,-0.00080788290845288,0.0003627038060080713,-0.0010085564524635925,0.00038387765173181025,-0.0011047033710088073,0.0003728722574919946,-0.0010679603367184857,0.00034352011506864807,-0.0008953865940766259,0.00031301479351776134,-0.0006098826036049817,0.00029601021437897164,-0.00025561624552810253,0.00029966613757207567,0.00011066658758625414,0.0003211363613393273,0.0004308210335781055,0.00034842490701873937,0.0006567906067780554,0.0003645478145121672,0.0007600491924158282,0.0003538106049256074,0.0007369933164750131,0.00030817194076661374,0.0006091549555095028,0.0002314796366601478,0.00041824842757718055,0.00014002682515072923,0.00021722730768260697,5.890305323071458e-05,5.9238653828955005e-05,1.1211592391474214e-05,-1.0757091957287949e-05
5,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,27.058944412312293,-1.4443766598342418e-05,-1.2905333426751941e-05,6.159610495182898e-05,-0.00018441652230008653,0.00022764124018042999,-0.0005509849852626552,0.00042170385761064114,-0.0010316400978675796,0.0005921356369384595,-0.0015165932457850886,0.0007038922924208845,-0.0018927218818616505,0.0007444616482152335,-0.0020668838537860855,0.0007235709535903507,-0.001984584453005759,0.0006673612095820814,-0.0016405525461902761,0.000608695459511779,-0.0010796233888741478,0.0005759739457672326,-0.0003879581471620176,0.0005834055060454669,0.00032376489659054366,0.000625733057547868,0.0009421244920670261,0.0006795114187018001,0.0013734893790702638,0.0007111213007608336,0.0015626395321298905,0.000689298042526821,0.0015034058381779125,0.0005980324619061872,0.001239009909278299,0.00044519152688068833,0.0008521862309934892,0.0002635649756522164,0.00044752269549478086,0.00010342462707686876,0.00012985298658232952,1.3990701913527484e-05,-1.3621286778471796e-05
6,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,29.663931872271334,-1.5933147247401502e-05,-1.4005502173087512e-05,9.964124976048164e-05,-0.0002644070266986538,0.0003451305156266078,-0.0008040250716815049,0.0006313914866386193,-0.0015124806718106567,0.0008827911393277932,-0.0022271897714150734,0.0010480749118677607,-0.0027803187237063075,0.001108737049597091,-0.003033630849222979,0.0010785466004336322,-0.002906293709410954,0.0009953790427885724,-0.002390585721903717,0.0009074923753552696,-0.0015532235570328663,0.0008573034814728392,-0.0005224223431198585,0.0008667645516722324,0.0005369574427101836,0.000928904917619109,0.0014557761936535277,0.0010090922962497646,0.0020943272339853055,0.0010567491855930965,0.0023703529022616877,0.0010243794277284032,0.0022750792885919036,0.0008874732450321829,0.0018736459729199637,0.0006578658941935559,0.001290120337315181,0.00038526351915504355,0.0006809533184566624,0.00014567262325651046,0.00020279595532511003,1.5259803639640814e-05,-1.507349431274857e-05
7,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,31.172380541142765,-1.684857429574385e-05,-1.4566113769114185e-05,0.00013864415099532266,-0.00034392586333843495,0.00046350118207763943,-0.001057584561178259,0.0008417217504256054,-0.0019957777833628605,0.0011740538490868197,-0.002942961727392423,0.001393342304393072,-0.003676288842163291,0.0014750043159100616,-0.004012111221137679,0.0014363230585373208,-0.00384294772900221,0.0013262408151551734,-0.003158282723633852,0.0012080549240183365,-0.002046332439750865,0.001138438059108885,-0.0006770317354569619,0.0011478272327564867,0.000730719208476064,0.0012283622728417232,0.0019519199644920276,0.001334657274405272,0.0028004118193085564,0.0013990078756685302,0.0031664609850404575,0.0013570982988672133,0.0030383461063033606,0.0011753376241234522,0.002502897192997387,0.000869309699314568,0.0017253043840087543,0.0005058123993180539,0.0009136238608217558,0.00018688850827028588,0.0002761083289043692,1.5955158625521236e-05,-1.5986241770742775e-05
8,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,32.14759551589613,-1.7486154826344218e-05,-1.486403328113786e-05,0.00017807949557498593,-0.00042334808273447084,0.0005821284213829314,-0.0013121208776172187,0.001052011478198814,-0.002482213358744071,0.0014652328703686655,-0.0036650224403671954,0.0017390482702283403,-0.004582403518573336,0.0018427042674304661,-0.005004950035434689,0.001796445758234404,-0.004798146642288268,0.001659577039685037,-0.003948234283602201,0.0015100411714370017,-0.0025644219779230306,0.001418985439563598,-0.000857898712792102,0.0014260873638052664,0.0008986537273394567,0.0015234729274527306,0.00242429938397126,0.00165550694323596,0.003486043610265776,0.0017372474891644953,0.003946151489415231,0.001686987042798821,0.0037894678462768107,0.0014614363957160105,0.0031241201385884486,0.0010796314064690808,0.002156058336318223,0.0006255507502876447,0.0011445756257295874,0.00022751403562065774,0.00034926683517717176,1.6373086873123902e-05,-1.663584536144896e-05
9,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,32.82296845937128,-1.7968607213193736e-05,-1.5014069555955602e-05,0.00021771509369401652,-0.0005028020099816553,0.0007007098800080746,-0.0015677452222332658,0.0012618960194043507,-0.0029719383539368507,0.001755920053120925,-0.004393665845935707,0.002084771717411439,-0.005499221590784247,0.002211440745397574,-0.0060130796516609936,0.0021585765369060085,-0.005773266501471951,0.001995119704781236,-0.004762277869109258,0.0018132339680614583,-0.003109748970642802,0.001698733175300955,-0.0010675928378359332,0.0017012863509474614,0.0010380454510302234,0.0018139068599990788,0.002870256471345017,0.001971260412169201,0.004148820603668387,0.002071098899038842,0.004707427510159983,0.0020137659953671826,0.004526925301090547,0.0017456364263726553,0.0037362659809316123,0.0012888545967753874,0.002581730947234341,0.0007446186640247777,0.0013734414849792156,0.000267735907693268,0.00042206603307728204,1.6636421710135848e-05,-1.713684342105476e-05
10,3.277032536353222,71739903.40196736,-1.4551915228366852e-11,579.2144206948498,2.1038521291907744,0.2930502006917989,0.05075147048758279,0.009543834916517847,2.20812544233134,777.113498215074,6.478321641418126,3.8705899245942117,636.7189674005913,6.478321641418126,3.8705899245942117,636.7189674005913,33.311860336224655,-1.8355531524215063e-05,-1.5072047034537099e-05,0.00025742708050468946,-0.0005823295369180315,0.0008190631826924324,-0.001824449533905184,0.0014711275039338367,-0.003464915897144,0.002045806563552894,-0.005128885185094069,0.0024301642634557805,-0.0064268450428298166,0.002580862718011311,-0.007036786316186678,0.0025224021260414967,-0.00676883299838017,0.0023326186384463447,-0.0056012054892401126,0.00211744153895661,-0.003683365700025987,0.0019775126207914728,-0.0013073812260529184,0.0019732307926361493,0.0011475003296751456,0.0020994138663909786,0.00328838912845963,0.0022816161905178326,0.004787454532334653,0.002400252915871807,0.00544920804421782,0.0023371788269182505,0.0052498913755123595,0.002027782011539707,0.004338761208862915,0.0014969370002360456,0.003001965734010759,0.0008630617162911648,0.001600023151548908,0.00030763977229606636,0.0004944002090477092,1.680486068126093e-05,-1.754486195959409e-05
