时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,9.50447456917266,-4.778562007391732e-07,-6.066230759131885e-07,-0.00022159436377537176,0.00017650995092820192,-0.000414143917033388,0.00034500001508554857,-0.0005607110818880154,0.00048686527365257587,-0.0006520346847048322,0.0005861728927867112,-0.0006879373277235988,0.0006305123710848243,-0.0006770042353537013,0.0006122620168211023,-0.0006350713583509781,0.0005296692017835875,-0.0005826180735797013,0.00038792179219513274,-0.0005407338935197054,0.00019997086304373058,-0.0005257123999865654,-1.3737457793105196e-05,-0.0005437211407738827,-0.0002278509102702075,-0.0005884600105645273,-0.00041695595032637754,-0.0006435077689322968,-0.0005603927862562815,-0.0006876520756540678,-0.000644776619996943,-0.0007002740959995839,-0.0006642249494350135,-0.0006653182597416892,-0.0006195706328892082,-0.0005738287437077908,-0.0005174643059327343,-0.0004253286608757808,-0.00036945698141583916,-0.00022826466331011982,-0.00019107054184142793,4.780284228558368e-07,-6.051000781375405e-07
3,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,16.008109620033377,-8.048071429347598e-07,-1.0258945161509114e-06,-0.0010039266754180323,0.0007915153255691193,-0.0018751980542121485,0.0015445305575109646,-0.002536331342598851,0.0021786684418916616,-0.0029460680952888897,0.0026223663953154406,-0.0031043691296218515,0.0028187018548238474,-0.0030510086005280075,0.0027318091069107116,-0.002858780202399616,0.002352772477378452,-0.0026213777992703056,0.0017051236928122312,-0.0024346415632731117,0.0008487724169256416,-0.0023715724504207248,-0.00012166305381545134,-0.0024581052574500608,-0.0010895787082238863,-0.002663182613862762,-0.001939318263341745,-0.0029105871186517547,-0.002578282931918863,-0.003104076171151626,-0.002947850600267249,-0.003152030979734517,-0.003023573169982157,-0.0029849648101358366,-0.0028109783129594704,-0.0025660415806571368,-0.002341242261191252,-0.001896313449939865,-0.001667265035090774,-0.0010155952740002767,-0.0008595979990470017,8.055511315341393e-07,-1.0149742571999704e-06
4,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,17.513286711809403,-8.805762460450457e-07,-1.126954714144414e-06,-0.0017972698841352357,0.0013955168850171718,-0.00335571212132753,0.0027233544410385554,-0.004535284648914541,0.0038422874030648387,-0.005262405828936396,0.00462419438131322,-0.005538394773504903,0.004965744163388359,-0.0054366227028841505,0.004800974982673283,-0.005089711964428231,0.004113009687789265,-0.004666949821058851,0.002944503094741875,-0.0043399214051205335,0.0014045153781921135,-0.0042374301329283414,-0.0003354123520599032,-0.004402589838147411,-0.002065287755400053,-0.004776336755859408,-0.003578474896558174,-0.005220075479377884,-0.004710970132432255,-0.005561520766522351,-0.005359893476725682,-0.005638757965381748,-0.005482820910713577,-0.005330811582813849,-0.0050898443182750275,-0.0045753163303826954,-0.004236082978180538,-0.0033767462126567576,-0.003015444459722532,-0.0018070145404938192,-0.001554094663196626,8.818903797015249e-07,-1.1057694042965033e-06
5,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,18.17614818027223,-9.14174279611899e-07,-1.1743575161741968e-06,-0.0025897923534172755,0.00197905937882777,-0.0048337154696910445,0.003863615925945157,-0.006528081430886483,0.0054529244458900025,-0.007566993857544244,0.006562016207917448,-0.00795430698064091,0.007039830018128942,-0.007798971584349208,0.006788906059759286,-0.007295495046182236,0.005783796885380908,-0.0066900250782895914,0.004086840552408796,-0.006229706189170006,0.0018576769921923968,-0.006097364520501504,-0.000653784312637824,-0.00635049999482358,-0.00314362872192804,-0.006899357079985563,-0.005314964441833825,-0.007541439708137688,-0.006933849930439462,-0.00802851504955401,-0.007854403962553463,-0.008129879716801819,-0.008016547922229873,-0.007675356144018157,-0.007434196086851953,-0.00657929509964218,-0.006185065786007486,-0.004851003522583728,-0.004402931026808063,-0.0025945179880900717,-0.002269420509784704,9.160544156936528e-07,-1.1428096458282725e-06
6,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,18.548462410240536,-9.333535060470743e-07,-1.2032274395094563e-06,-0.0033801800270665512,0.002541874332874011,-0.006306782651941899,0.004964843413100486,-0.008511497895149961,0.007009935195436744,-0.009856133972227381,0.00843504305372795,-0.010348227253010359,0.009040066481631703,-0.010134241071516711,0.008694687298251876,-0.00947255018078569,0.007364338491786429,-0.008687323536053755,0.00513164082659537,-0.008100956416558504,0.0022082147984072947,-0.007948427121674453,-0.0010763298762155485,-0.008298822669651089,-0.00432378146051728,-0.009029096169860727,-0.007147840316927911,-0.009871454008004207,-0.009246119412388525,-0.010501908378719137,-0.010430915163271765,-0.01062250897700116,-0.010624682377021065,-0.010016143397697444,-0.009844289269813974,-0.008576079210598614,-0.008188629436178296,-0.00631781487878614,-0.005830179115826587,-0.0033774777994148505,-0.0030058881067355934,9.357950116278402e-07,-1.161318090432314e-06
7,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,18.78629916472099,-9.4596623645542e-07,-1.2234951565289897e-06,-0.0041673948426504195,0.0030840196119575184,-0.007772987375963153,0.006027135715253384,-0.01048295658997572,0.008513423792833407,-0.01212684761010301,0.010243339453802104,-0.012717001494200032,0.010966437906798212,-0.01243928849883377,0.010518216784029847,-0.011617879626858193,0.00885449999336404,-0.010656048548619311,0.00607884361993108,-0.009951039999538499,0.002456253873159827,-0.00978804169136793,-0.001602690285745988,-0.010244917205560276,-0.0056052071843884525,-0.011162784639157276,-0.009076518144986603,-0.012207243064964785,-0.011647295883488609,-0.012978814734219768,-0.013089137777958587,-0.013113881892850416,-0.013307135147764515,-0.012350677785500905,-0.012320175321128451,-0.010563594425122795,-0.010246886375389737,-0.007775682096350329,-0.0072973015561992195,-0.004155105172246453,-0.0037635754100372822,9.489635244713043e-07,-1.1712624306442264e-06
8,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,18.95077419007979,-9.550897841645715e-07,-1.2390455435222782e-06,-0.004950448724063546,0.003605637937896354,-0.009230491911723168,0.0070507365196816815,-0.012439992118702696,0.009963677328474542,-0.014376278900404363,0.011987169943095503,-0.015057598156324787,0.012819127356043175,-0.014711084686250625,0.012259574064828022,-0.013728583709965785,0.010254297439199509,-0.01259348336733731,0.006928497468412361,-0.011777388685465337,0.002601980632336656,-0.01161368607305865,-0.002232489954483284,-0.012186194000606476,-0.006987380211594886,-0.013297702292092891,-0.011100431873302294,-0.014545971540310116,-0.014136892074045523,-0.015456365309693737,-0.01582873269784613,-0.015601216706085498,-0.01606371325737979,-0.014676407643980578,-0.014861756298704622,-0.012539683166097597,-0.012359779314636785,-0.009223021070148526,-0.008804258449674605,-0.0049265555342967535,-0.004542465208156684,9.586361922438873e-07,-1.1765500585362263e-06
9,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,19.070706909391838,-9.621777005670543e-07,-1.2517071162598555e-06,-0.0057283660789194555,0.00410691446571953,-0.010677479749310303,0.008035961318283645,-0.014380165251862191,0.011361070526428313,-0.01660160117654579,0.013666891166643881,-0.017367017210326505,0.014598407456295402,-0.01694663346908303,0.013918922716493122,-0.015801795275961275,0.011563824570143112,-0.014496940288544966,0.00768072154348834,-0.013577457377234732,0.002645643481254851,-0.013422855497596154,-0.00296530111417236,-0.014120077523817331,-0.00846973048873991,-0.015431142087351569,-0.013218972267380572,-0.0168848156433417,-0.01671436909312413,-0.017931697289846844,-0.018649292267884476,-0.018081727392041815,-0.018894134977819593,-0.016990764963834604,-0.017468829855251257,-0.014502162565640705,-0.014527143569388836,-0.010658221239072877,-0.010350918579473282,-0.005690966937525507,-0.005342485830288317,9.662654518124267e-07,-1.1790271512088614e-06
10,0.5911289594845962,21707395.787116714,2618.123140518419,72.26707419387274,2.5565193915514826,0.8138336492021836,0.033013117246603496,0.0064156681677351385,3.1357940484430125,1718.6251297941512,10.0,10.0,0.0,10.0,10.0,0.0,19.161444228145587,-9.680064808899683e-07,-1.2624505696659163e-06,-0.0065001742642130786,0.004588065514602118,-0.012112138717626586,0.00898317830860706,-0.016301041914036828,0.01270604121668262,-0.018799995050564174,0.015282924635274255,-0.019642270120042105,0.016304613863056597,-0.019142955538852167,0.015496488403095901,-0.01783466815026583,0.012783239218286934,-0.016363753015766785,0.008335703030484563,-0.015348718685057902,0.0025875617744587683,-0.015213057397780297,-0.0038006252121493963,-0.016044000583467707,-0.010051619628941886,-0.017560404587745233,-0.01543146318839934,-0.019220960273017947,-0.01937911851030297,-0.02040195671837927,-0.021550332129038282,-0.020552634519484563,-0.02179803289640507,-0.01929118432964191,-0.020141102001979272,-0.01644884850916062,-0.016748725567577675,-0.012079668671324807,-0.011937077887867617,-0.00644747451951665,-0.0061635234264691635,9.726266706772837e-07,-1.1796800936785894e-06
