时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,2.5975928048460273,-9.176463139182594e-07,-2.0547777428600942e-07,1.7100124005899915e-06,-7.687088708376835e-06,7.772765476475225e-06,-2.5460525089330906e-05,1.4965055524143277e-05,-4.906795540333954e-05,2.1265550553013234e-05,-7.288205756921431e-05,2.5346218565737358e-05,-9.123114151650981e-05,2.677050656058461e-05,-9.9524897340199e-05,2.5950556601165796e-05,-9.515034650382683e-05,2.3894500187491593e-05,-7.796430522001104e-05,2.181988700356142e-05,-5.029962712131514e-05,2.073506879305469e-05,-1.6489764983328142e-05,2.110051874918243e-05,1.799397786863286e-05,2.2669285140490937e-05,4.762624094538379e-05,2.4564201239560285e-05,6.792037658157903e-05,2.5582045055436666e-05,7.631113402689938e-05,2.4639164949731705e-05,7.264598093176338e-05,2.1217073765852466e-05,5.91833166915829e-05,1.565450413436954e-05,4.0096963919936305e-05,9.175137079692211e-06,2.059343334958882e-05,3.6157964164868156e-06,5.819101331480525e-06,9.127453041888109e-07,-2.157143960768419e-07
3,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,5.968526790748353,-2.1101499036471723e-06,-4.697017231046411e-07,5.208388442377664e-06,-2.0929988583089256e-05,2.1955605179305468e-05,-6.976885731726292e-05,4.1827589855817e-05,-0.00013477628828575993,5.925340112105502e-05,-0.00020039734382297993,7.055616451384906e-05,-0.0002508859658674354,7.451565167997851e-05,-0.00027346476384581414,7.225895742546696e-05,-0.0002608426386879389,6.657013029761898e-05,-0.00021260532848270958,6.082606284259644e-05,-0.00013524582521699514,5.7835595421566535e-05,-4.0847408727195925e-05,5.88904690269455e-05,5.5319072806459236e-05,6.330810656910881e-05,0.00013782106125572724,6.863551928508185e-05,0.00019412116360842383,7.149527951300942e-05,0.00021705080093849117,6.883755839123263e-05,0.00020619077381278607,5.9198528015663024e-05,0.00016787209302947882,4.352852315888229e-05,0.00011379686605185582,2.5275241909340024e-05,5.857783998073086e-05,9.628138675384949e-06,1.6695094427590464e-05,2.0965017866446786e-06,-4.982632474050836e-07
4,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,9.800338338873068,-3.4694884872394023e-06,-7.638453308538587e-07,1.2413197993101987e-05,-4.4238828786448174e-05,4.8385294888119753e-05,-0.00014856451819968253,9.106045033219468e-05,-0.0002877495335741135,0.00012852358608976292,-0.0004283648068474504,0.00015287641579675974,-0.0005364099209912783,0.00016146457763323378,-0.0005842114002650069,0.00015666159897879215,-0.0005559286014760476,0.00014441799698723963,-0.0004506126445887387,0.0001320042417317726,-0.00028230715243702685,0.00012551822825397345,-7.721785309861996e-05,0.00012781014486592686,0.0001314880624887466,0.00013744339521370812,0.00031025536737425396,0.00014909173292744444,0.00043180194001114807,0.00015536370678942635,0.00048052395862031275,0.00014955191601902188,0.00045552275225377124,0.00012841972932002392,0.0003706199388488032,9.40437156087042e-05,0.0002513642619400883,5.400487700815602e-05,0.0001296855856256392,1.9736278427983426e-05,3.729166468798143e-05,3.439926779082645e-06,-8.258454590462309e-07
5,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,13.855068349159195,-4.918125558880148e-06,-1.0572646501692648e-06,2.9218977556317914e-05,-9.245260331619415e-05,0.00010559539262379771,-0.0003130357472549507,0.00019612526589906344,-0.0006081300199497776,0.0002757151739273162,-0.0009067156948550927,0.0003276796517744136,-0.001136186819972296,0.00034629617158867025,-0.0012372335365551936,0.00033637364836507463,-0.0011757407584362875,0.0003103183813603672,-0.0009494406078177026,0.00028351796147730094,-0.0005882204040863457,0.0002691207108334052,-0.0001481452829407984,0.00027352402246840456,0.0002996307400422687,0.0002939385495454834,0.0006829631333389578,0.0003190291494666268,0.0009430815606686552,0.00033276028229829046,0.0010463049106077108,0.0003204151647253991,0.000990635445059155,0.000274799076021021,0.0008058257725699549,0.00020036667891425964,0.0005469380823472753,0.000113647640956243,0.00028284214176771107,3.9589959653706235e-05,8.205166238453027e-05,4.854883451485247e-06,-1.1902132953007862e-06
6,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,15.983903704234633,-5.6905859447165645e-06,-1.1907418556003536e-06,4.856430603188482e-05,-0.0001448742275561554,0.00016907668002041074,-0.0004929029212483223,0.00031181191386556065,-0.0009595033036994294,0.0004374823426484547,-0.0014325440506549115,0.0005199508495278427,-0.0017969881185893773,0.0005500714697582447,-0.0019585982389300157,0.0005350076027647486,-0.0018628978706014898,0.0004938552654627392,-0.0015058093722305505,0.00045070313652799794,-0.0009342495064544237,0.00042657758689242125,-0.00023678665190050646,0.00043219281671879803,0.00047382247139360773,0.00046373063246026686,0.0010829538278523114,0.0005034780967845829,0.0014969846339658757,0.0005257830621737649,0.0016620449128809621,0.0005067836501285461,0.001574632089398462,0.00043461536044714453,0.001281776706115716,0.0003162465100196651,0.0008708037528685988,0.0001781721657696837,0.00045105956924911293,6.039887079507102e-05,0.00013148273415955906,5.590459302867773e-06,-1.4014910828272277e-06
7,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,17.197709312396757,-6.141458677095335e-06,-1.2497015865008363e-06,6.832118274460177e-05,-0.00019737613143317904,0.00023296334715770025,-0.0006737044089417239,0.0004278576671504558,-0.0013135938659434476,0.0005997131262800276,-0.001963748845419645,0.0007130937450166932,-0.0024664380856695054,0.000755355219435727,-0.0026921112013054103,0.0007356852763209731,-0.0025654861330925696,0.0006794669481299542,-0.0020802220061812786,0.0006192883784722673,-0.001299861874398152,0.0005842226090920355,-0.00034520934892434484,0.0005897749817271138,0.0006294221081649915,0.0006316118673811298,0.0014667165174232133,0.0006859003548745054,0.0020377824197873634,0.0007172474093193242,0.0022680693069078305,0.0006922595774691592,0.002152132291456687,0.0005940239485269829,0.0017539602970365598,0.00043187515276023406,0.0011929381415176396,0.00024238558657718447,0.0006187954789524107,8.083307784836694e-05,0.00018094923796623989,6.004412545009076e-06,-1.5383673402908102e-06
8,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,17.975758797661882,-6.439734693760835e-06,-1.273188544140768e-06,8.823943292288536e-05,-0.00024993839041525417,0.00029689694914748397,-0.0008552499753111194,0.0005437878404103607,-0.0016700146896716692,0.0007618342805469031,-0.0024998182718870164,0.0009064782057817742,-0.00314406285143298,0.0009615150658568124,-0.003437560201433794,0.0009378209825525843,-0.003283794982185613,0.0008666373070465787,-0.002673674659434677,0.0007888124339147839,-0.001686880617944855,0.0007416025163531868,-0.0004760595850700824,0.0007457693792840954,0.0007631047046644104,0.000796999763515893,0.0018305157861143208,0.0008656446317714816,0.002561672355011829,0.0009064946747233728,0.0028608593299224074,0.0008762671391853524,0.002720192400387094,0.0007526169078822477,0.0022201873789398077,0.0005470594420066695,0.0015119447773541427,0.00030629915740627877,0.0007853422208851151,0.0001010400132499174,0.00023021536629564264,6.26582495783675e-06,-1.6396741056567393e-06
9,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,18.512165657673123,-6.653880681177158e-06,-1.27702413932671e-06,0.00010821566034336172,-0.0003025481693947409,0.00036072517780505995,-0.0010374514930910604,0.0006593933646527043,-0.002028597786000619,0.0009235826780768475,-0.003040543836435499,0.0010998042298504727,-0.003829688439160604,0.0011682440046979843,-0.004194899777932463,0.0011411332649253442,-0.00401800078997739,0.0010551307803287463,-0.003286639429999918,0.0009590822768935603,-0.0020961108341840764,0.0008985398645867716,-0.0006304616615600334,0.0008999776566564875,0.0008734976652812568,0.0009596504781549153,0.002172849639000325,0.0010424253521116001,0.003067165436913495,0.0010932309735504845,0.0034390738527402286,0.001058552704841885,0.0032777203114544924,0.000910222625631154,0.002679666836476711,0.0006617269606723511,0.001827331526876682,0.0003699267596797165,0.0009504555940801762,0.00012108406506265034,0.00027919939976629314,6.443196928325812e-06,-1.7211531143577021e-06
10,1.3313686707863333,14217153.248178454,986.8039532145094,49.38793561368556,2.8958852968187156,0.30328540906402646,0.03324343160761528,0.006467488097601402,2.978485889756826,1598.0539346296873,4.036556648666844,7.281921210742173,476.7946872558356,4.036556648666844,7.281921210742173,476.7946872558356,18.90055224475036,-6.816917255766161e-06,-1.2688491624421572e-06,0.0001281956726396906,-0.0003551876075865517,0.00042435973141229143,-0.0012202263808800686,0.0007745418353197224,-0.002389184364898419,0.001084778298220795,-0.0035857093927903127,0.001292852987698808,-0.00452308522363303,0.0013753073044408674,-0.004963944425204824,0.0013454018006511521,-0.004768021290056758,0.0012447655741009767,-0.003919187614877232,0.0011299595241998624,-0.0025278094246296303,0.001054921616039812,-0.0008088619159939232,0.0010522808313734309,0.0009599960859848475,0.0011194131958596376,0.002493016830671544,0.0012160556805897258,0.0035535429005046438,0.0012772546672356168,0.004002052308153598,0.0012389356046586472,0.003824170596164694,0.0010667135014922609,0.0031319988730612136,0.000775816657769353,0.0021388468487205155,0.0004332646812890751,0.0011140095929898374,0.00014099421775170474,0.0003278592789415991,6.569570637336724e-06,-1.7903953958943291e-06
