时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,0.3122984977663196,-1.2429635257752833e-06,-4.3357685085093206e-07,-2.639704603637209e-06,-7.000689209051504e-06,-6.996810352360658e-07,-1.5417256794459278e-05,1.2902545221943193e-06,-2.523804897143052e-05,2.968829935978759e-06,-3.518448862540313e-05,4.0964986952350335e-06,-4.4112645206465675e-05,4.591854997477623e-06,-5.110439734386147e-05,4.509284497521655e-06,-5.554744417119059e-05,4.001545739366178e-06,-5.7175033476207e-05,3.273194800557142e-06,-5.6060025645014224e-05,2.532372559418943e-06,-5.256551353277641e-05,1.9490566715949735e-06,-4.726097994074907e-05,1.627089370119254e-06,-4.081813613262727e-05,1.5947502586211332e-06,-3.3903880288259215e-05,1.8143397306820916e-06,-2.7088460330452903e-05,2.2060568945708893e-06,-2.0784536553646517e-05,2.677009608906824e-06,-1.5227446922291274e-05,3.144006075783021e-06,-1.0499775980149381e-05,3.5398830368066266e-06,-6.595233089416241e-06,3.838462263655839e-06,-3.523297773440497e-06,1.238031133158709e-06,-4.461084862587794e-07
3,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,1.8288326637095358,-7.300521439717997e-06,-2.53832120186543e-06,-1.5351314038926153e-05,-4.1559954323159816e-05,-3.669123448080057e-06,-9.198329603051266e-05,8.386428869625728e-06,-0.00015110908375324687,1.8605429334817364e-05,-0.0002111623713680127,2.5502730507313874e-05,-0.0002650688485179128,2.8557611509238992e-05,-0.0003070890561382631,2.8090746020512642e-05,-0.00033336751499610825,2.5038781536170483e-05,-0.00034221781787336953,2.066535224093928e-05,-0.0003341086258071109,1.6257190047915587e-05,-0.00031136434196646655,1.2857909766265537e-05,-0.00027763760601246125,1.1087647366688993e-05,-0.00023724403920464193,1.1081138210113106e-05,-0.00019447106575950685,1.254956512003219e-05,-0.0001529771374087489,1.4938042934842044e-05,-0.00011538270400640274,1.76213795973173e-05,-8.311988263402007e-05,2.0065956386402753e-05,-5.6561397895251886e-05,2.1892245204438385e-05,-3.539707935671933e-05,2.3041720021972683e-05,-1.9258602099490695e-05,7.268895873412121e-06,-2.6188100900933153e-06
4,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,3.388059316362763,-1.356748986717375e-05,-4.700003324865164e-06,-2.8134116801215305e-05,-7.83735096008644e-05,-5.727205849497553e-06,-0.00017445770848623023,1.7535631407665533e-05,-0.0002876911455374999,3.7348471222826014e-05,-0.0004030114789264253,5.0780287094787734e-05,-0.0005064724346889141,5.677358118996735e-05,-0.0005866349785111544,5.593225754153276e-05,-0.000635762127258623,5.008949502134257e-05,-0.0006504644356693139,4.1736097617323236e-05,-0.0006317211996416026,3.3409232827183394e-05,-0.0005843031861037342,2.715019943983233e-05,-0.0005157120901236315,2.413270487646916e-05,-0.0004348210406796166,2.4533014415912505e-05,-0.00035044539749994324,2.7658261279576898e-05,-0.00027008364602537437,3.2279837282116985e-05,-0.0001990386573247379,3.705679560485118e-05,-0.00014005984350484016,4.09015908298926e-05,-9.355142605478311e-05,4.31527727721059e-05,-5.8284111893513646e-05,4.392598653527614e-05,-3.259531511228843e-05,1.3502580852242014e-05,-4.865479822866302e-06
5,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,4.788128302482493,-1.9230639438725504e-05,-6.637204531017488e-06,-3.9193151055013505e-05,-0.00011305584822023779,-6.288606253358918e-06,-0.00025312834511940894,2.8048406889233217e-05,-0.00041893068324421536,5.740756090389966e-05,-0.0005881438323821458,7.738020637820335e-05,-0.0007397751385544323,8.633996579738396e-05,-0.0008564410592604913,8.516369449431255e-05,-0.0009263206123083316,7.659760788983428e-05,-0.000944244645144096,6.439414931342102e-05,-0.000911797132445996,5.23746527753831e-05,-0.0008364635126148723,4.358795350000135e-05,-0.0007300019435513606,3.9727204072926276e-05,-0.0006063232184798438,4.092330844639891e-05,-0.000479237509361712,4.594865353795212e-05,-0.00036044527916425105,5.2754932264056754e-05,-0.00025810596224108223,5.916818217679415e-05,-0.00017621058412365574,6.350901730090357e-05,-0.00011483536325302383,6.492258989658163e-05,-7.118353837332234e-05,6.393065790090818e-05,-4.137119387085049e-05,1.912900423407975e-05,-6.896685208357031e-06
6,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,5.65512562916037,-2.275564651920165e-05,-7.833891713122078e-06,-4.573909015865864e-05,-0.00013561567710420155,-5.7713548180133235e-06,-0.00030484943205476213,3.6059213932458427e-05,-0.0005056960892514602,7.190274741841307e-05,-0.0007108933663290954,9.633041921035807e-05,-0.0008945514401296268,0.00010731586877336394,-0.0010351103882117805,0.00010592072767131764,-0.0011178686011098032,9.552530110953721e-05,-0.0011364179391720208,8.076206010428883e-05,-0.00109282281629702,6.634615438617776e-05,-0.0009965822427193895,5.601763477115839e-05,-0.0008625930464779307,5.1803145295983997e-05,-0.000708473061195391,5.375240407637797e-05,-0.0005516967787028961,6.019891774082528e-05,-0.0004070227868972377,6.845408238841889e-05,-0.0002846393751525405,7.571303290860519e-05,-0.00018932041920095543,7.987697884524419e-05,-0.00012069507058488788,8.001523346334058e-05,-7.451907862392705e-05,7.705962285884817e-05,-4.487615937285387e-05,2.2626996067501053e-05,-8.162626085842347e-06
7,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,6.440565005817603,-2.596186792973156e-05,-8.915190263255085e-06,-5.1386825846700276e-05,-0.00015701677071496616,-4.529258705696666e-06,-0.000354337748496421,4.463277022105411e-05,-0.0005890508874676384,8.683088627478625e-05,-0.0008290298411478374,0.0001156272423407481,-0.0010435031985746943,0.00012859704587515224,-0.001206721206158541,0.000126985508862961,-0.001301089826976979,0.00011480651902389752,-0.001318976483870878,9.757288988364962e-05,-0.0012629816215725647,8.089164838936578e-05,-0.0011447170855824152,6.918447363473193e-05,-0.000982351625848469,6.478877362561254e-05,-0.0007973569495436601,6.76348213919816e-05,-0.0006110044466570928,7.556709679663003e-05,-0.000441198624826674,8.520553824015027e-05,-0.0003001718605051834,9.307883197792551e-05,-0.0001934036110129871,9.666740113448354e-05,-0.00011989766192509203,9.501320608395901e-05,-7.368713505015029e-05,8.955525723421554e-05,-4.6463132023914396e-05,2.580512251581498e-05,-9.316015159234354e-06
8,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,7.116864596212248,-2.8732809187584606e-05,-9.843346703852702e-06,-5.5968792825422626e-05,-0.00017637584728010292,-2.7103519402368415e-06,-0.00039946888539167566,5.3273864269338466e-05,-0.0006653272469509091,0.00010138804130680157,-0.0009372720264835395,0.00013424936661340792,-0.0011799176806454599,0.00014905941412435178,-0.0013635370760107957,0.00014723860503722911,-0.0014677929883887308,0.0001334022061475545,-0.0014839139627778023,0.0001138981293038416,-0.0014150644056328931,9.517696308997521e-05,-0.0012749499463942306,8.229790012399634e-05,-0.0010849579510372781,7.787308093474756e-05,-0.0008703386339913359,8.1686579056384e-05,-0.0006560722376888197,9.107654026152594e-05,-0.0004631135987806678,0.00010196448756846053,-0.0003056366431122848,0.00011021867583201731,-0.0001897138481767525,0.00011292193657773386,-0.00011359588006817312,0.00010913399666400334,-6.944507432673976e-05,0.00010085772786775957,-4.638323934348106e-05,2.8548497333689725e-05,-1.03149592103163e-05
9,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,7.8494174505762615,-3.174557906008946e-05,-1.084482789491867e-05,-6.055594675109766e-05,-0.00019856258316282904,2.4051009214587045e-07,-0.0004516173180532501,6.426281897972387e-05,-0.0007537346991082681,0.00011934375484889075,-0.001062837409539762,0.00015698392012086085,-0.0013380263210358014,0.00017394505526870755,-0.001544808694587135,0.0001718614112167784,-0.0016595693176619448,0.0001560710703615882,-0.0016722088933352705,0.0001339235320015516,-0.0015866426326537086,0.00011287763741622849,-0.00141919798332044,9.874591471668948e-05,-0.0011952584138136078,9.444616269500815e-05,-0.000944746385296064,9.954870595004352e-05,-0.0006972084580447396,0.00011073546903732936,-0.0004773248701080456,0.00012304215253271543,-0.0003015892330187387,0.00013151433830754723,-0.00017668496894325588,0.00013276277740183935,-9.976532219198349e-05,0.00012592175173303132,-6.047246632958276e-05,0.00011376623162896938,-4.450825043573006e-05,3.1527139551432454e-05,-1.1404129378584992e-05
10,51.10289260302892,606083613.110202,220136.83590964135,51688.656615537875,2.792996488152455,0.25648213924585417,0.22473544055883451,0.03287976414550288,2.8545905166420704,309.10958150995594,10.0,10.0,1000.0,10.0,10.0,1000.0,8.567884268921429,-3.4712854644425883e-05,-1.1821803386135596e-05,-6.455473262637835e-05,-0.00022191438005470364,4.416751627886498e-06,-0.0005069975077933395,7.715033762260016e-05,-0.0008478962883659564,0.00013976870376592856,-0.0011966375033838853,0.00018256322893470437,-0.001506264273802467,0.00020182394320764034,-0.0017370417233876446,0.00019942811943186962,-0.0018617665712501498,0.00018151422933322146,-0.0018689336086061725,0.00015653656381725475,-0.0017633850270851864,0.00013306141601381416,-0.0015644768835470877,0.00011771848011677023,-0.0013021610025947732,0.0001137345826531232,-0.0010116736216274017,0.00012039965925010712,-0.0007277268828253467,0.00013361554622944323,-0.000479175516800762,0.00014738641873659008,-0.00028504682044676365,0.00015581756084917278,-0.00015256786272972413,0.00015500795126634662,-7.74468404433874e-05,0.00014423860200150784,-4.6225064277960394e-05,0.00012724663092707165,-4.045243930986321e-05,3.4455534629834376e-05,-1.2481060762863614e-05
