时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,8.38104456451355,-1.1936179437673213e-06,-1.1117039094130442e-06,-9.720115643959802e-05,9.996064948637925e-05,-0.00017915077629046647,0.00019744113752213918,-0.00024067563704097155,0.00027880115273779704,-0.00027804087619928187,0.0003344103837596655,-0.0002917890565559944,0.0003571193227709014,-0.0002863390600926443,0.0003430846104134197,-0.0002689613244823484,0.00029230914605094676,-0.0002482852329138823,0.0002088911621675796,-0.00023247531859324358,0.00010082960643166471,-0.00022738969721881208,-2.0720383844302085e-05,-0.0002351636504860772,-0.00014276956378335605,-0.00025366021308268676,-0.0002522014614863602,-0.00027698011206896074,-0.000337481600114734,-0.0002968381319265515,-0.00038999011189583705,-0.0003043623310812997,-0.00040480074440694887,-0.00029186742595635343,-0.0003809374231622633,-0.0002543126590018227,-0.0003212513989434491,-0.0001902775269542939,-0.00023197459340860207,-0.00010241711939022956,-0.00012209674217655638,1.1943975824639569e-06,-1.1096402079900991e-06
3,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,17.58784323512438,-2.5046843553644203e-06,-2.338491213997697e-06,-0.0004761261726085962,0.0005034492312266911,-0.0008801014257847048,0.0009835839766212061,-0.0011809838858539315,0.0013825448613743177,-0.001361773118201833,0.0016543554962107445,-0.0014261435085208634,0.0017645737535107035,-0.0013965567755032996,0.001694553421123647,-0.0013092764995476188,0.001444485835218518,-0.0012069434180770578,0.0010348256679163462,-0.0011295180174282092,0.0005053828812488114,-0.0011052002909028415,-8.849851859250557e-05,-0.001143595409532772,-0.0006827177237881565,-0.0012333157181298703,-0.0012130614891516752,-0.001344880850209587,-0.0016236971861943912,-0.001437812119850639,-0.0018736095292551617,-0.0014695993846578627,-0.0019401728194318028,-0.0014042886066735285,-0.0018201460591287372,-0.0012192878323177164,-0.0015288461174544328,-0.0009097514412702498,-0.0010979208965925403,-0.0004903500371034056,-0.000572169187189145,2.508289164793856e-06,-2.3231012178618475e-06
4,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,20.45605852608952,-2.913025397853471e-06,-2.7276385131086788e-06,-0.0009422755779880677,0.0009956799048222705,-0.001742702413998208,0.0019389834027984797,-0.0023360790394744645,0.0027211971013259397,-0.002689650687477888,0.0032520058974083448,-0.0028120054378947524,0.00346332463360291,-0.002749131788759112,0.003318151796943361,-0.0025741816610424153,0.0028170749731769766,-0.0023723086005409196,0.0020012807274406032,-0.0022224130936458007,0.0009506241367367277,-0.002179137630462478,-0.0002243478617409978,-0.0022596821044776963,-0.0013962851649305414,-0.002439692290929843,-0.0024384294186656297,-0.002659695405936131,-0.0032413687242607383,-0.002839622852524782,-0.0037254287530308285,-0.0028966416646249203,-0.003847298068210013,-0.002761821390487964,-0.0036016836907258824,-0.0023929674728015043,-0.0030195821623545727,-0.0017826023903675804,-0.0021640474862958817,-0.0009608524900864315,-0.0011240540898974439,2.9200099823352836e-06,-2.6940094392047215e-06
5,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,21.650528704623287,-3.0835395675428633e-06,-2.8950800424055618e-06,-0.0014082961900395645,0.0014774496408624241,-0.0026046328816804313,0.002873636836054122,-0.0034884982494232334,0.00403010612559246,-0.004011525626484185,0.004812156637112557,-0.0041880564468343715,0.005117605131209013,-0.004088875497028333,0.0048906548141636344,-0.0038252569167283312,0.004132236721725432,-0.003525565285159115,0.0029047221707763026,-0.003307476313375813,0.0013287909186007196,-0.003251037319396792,-0.0004290755393040041,-0.0033794662989620073,-0.002177952851220366,-0.0036538809871530828,-0.003728758567105465,-0.0039838189147606475,-0.0049191152523297916,-0.00424951624209934,-0.005631353779438072,-0.0043286008282218125,-0.005801865463944227,-0.004120527198373599,-0.005423286389041902,-0.0035649335973203682,-0.00454198729677235,-0.0026527001815140954,-0.0032521476425928877,-0.0014295837088965937,-0.0016869885149102257,3.0938768464980658e-06,-2.842862813588863e-06
6,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,22.300243441251055,-3.1771392911034527e-06,-2.990292455275563e-06,-0.0018727275834863946,0.0019468170862237978,-0.0034630982332777903,0.0037843307113560884,-0.004634619608554196,0.005305169086582621,-0.005323419717139265,0.006330224464450485,-0.00555034715944435,0.006722762673968149,-0.005412134271461255,0.0064077333608686775,-0.0050592748904389065,0.005386308026813994,-0.0046639084330249774,0.003742401268109752,-0.004382215034748875,0.0016381519184557024,-0.004318560432505098,-0.0007034729797447004,-0.0045006284018544885,-0.003027825338184736,-0.004873532918168796,-0.005083837654760456,-0.005314933355356492,-0.00665680233528555,-0.005665349707955472,-0.007591638392625287,-0.005763680241648196,-0.0078046714792403766,-0.005479083986638743,-0.00728626103345174,-0.004734371361947541,-0.006097675573873074,-0.0035196419650957325,-0.0043638107434521255,-0.0018963277566668613,-0.0022621366834859927,3.1908033197178235e-06,-2.919439138338371e-06
7,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,22.704333976940305,-3.23646779975098e-06,-3.052873618601173e-06,-0.0023348289336192958,0.002403316669569068,-0.00431670245049781,0.004670296857395081,-0.005772611588710211,0.006545402509726722,-0.006623283929405073,0.007805103835846191,-0.0068967957232150354,0.008277665203320581,-0.006716926314290075,0.007868328152619624,-0.006274424832645067,0.006578402537449228,-0.005785704885792717,0.004513691277377101,-0.005445124983393973,0.0018783872178394598,-0.005380252482453482,-0.0010475704606731893,-0.005621690183421774,-0.003945731162668376,-0.006097110955133931,-0.0065034301657200585,-0.006651460928452487,-0.008454270410987019,-0.007085569065688288,-0.009606301709036678,-0.007200437833121788,-0.009855947710783962,-0.006836250579247248,-0.009191016183476826,-0.005900311318940413,-0.007687147208002811,-0.0043827695001955715,-0.005499517601767918,-0.0023607347663554697,-0.00284984141737284,3.2534288689746e-06,-2.963431242762949e-06
8,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,22.976063872758093,-3.2776762169768184e-06,-3.097810323568629e-06,-0.002793995391964689,0.0028467985016707993,-0.005164314183635782,0.005531281303463246,-0.006900975507337054,0.007750465855094773,-0.007909419250074929,0.009236389951804294,-0.00822564909020047,0.009781873428210837,-0.008001553316664734,0.009272009121801887,-0.0074691245487494735,0.00770815927533544,-0.00688949813950565,0.0052183663548440225,-0.006494837967164243,0.002049455397788705,-0.006434767873334817,-0.0014612170932842802,-0.0067412636360630876,-0.00493137100008616,-0.0073231482806527986,-0.007987170924697244,-0.007991862686560507,-0.010311178829718956,-0.008508610668905132,-0.011675093609414834,-0.008637360804015164,-0.011955559101912415,-0.008190654903737082,-0.01113751906518826,-0.007061615518847301,-0.009310439510607591,-0.005241264475340336,-0.006659340447914586,-0.002822368013494483,-0.0034501757775912325,3.297899456416488e-06,-2.9898763705400203e-06
9,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,23.16767423165608,-3.3082185319758962e-06,-3.1320091782996767e-06,-0.0032496630778248597,0.0032772095893667122,-0.006004881324433213,0.0063671840893763,-0.008018310041154136,0.008920205255572468,-0.009180225651840512,0.010623873359331449,-0.009535243289612949,0.011235131268774477,-0.009264389910142307,0.01061850123625788,-0.00864184739604001,0.008775334188507233,-0.007973872309273423,0.005856276397008822,-0.0075300158862587774,0.002151353882754553,-0.007480784838111493,-0.0019442487312489676,-0.007857980374717103,-0.005984440917759599,-0.00855019176004951,-0.009534679211922832,-0.009334601991656933,-0.01222714254661271,-0.00993289484831529,-0.013797679080589459,-0.010072897194797266,-0.014103243706377529,-0.009540863903579113,-0.01312557838699329,-0.008217072870131148,-0.01096742127039636,-0.006094241552165275,-0.007843202638192982,-0.0032807540462475742,-0.004063115638050549,3.331663432930568e-06,-3.0057172178855102e-06
10,2.0780444267885465,89905976.20977822,16886.81334646269,491.66174076008934,1.9839553030238564,0.46582031841207916,0.09852107104460026,0.008083565638955372,2.2456734930549254,960.3016743308015,10.0,10.0,0.0,10.0,10.0,0.0,23.306663165626805,-3.332021564618426e-06,-3.159100716920354e-06,-0.003701289854867595,0.0036945567245406517,-0.006837393999727624,0.007178005664953916,-0.009123268912693648,0.010054593528163715,-0.010434164918743086,0.01196748401987052,-0.01082397819082788,0.012637324332110792,-0.01050387249869904,0.011907666671087119,-0.00979112263740936,0.009779812297726929,-0.009037458158770903,0.006427390804987037,-0.008549355871597736,0.0021841901052108126,-0.00851700503989161,-0.0024963989324830365,-0.008970484918839491,-0.00710453855281106,-0.009776792709365953,-0.011145474001986065,-0.010678139895400056,-0.014201668069485942,-0.011356833520899036,-0.01597360219416519,-0.011505480750449644,-0.016298606288409977,-0.010885425122795982,-0.015154863568063344,-0.009365450342982048,-0.012657828791025767,-0.0069407955914208615,-0.009050919415619202,-0.003735408869462595,-0.0046885717300129024,3.3586418768161186e-06,-3.014614364506809e-06
