时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,14.002881043139311,-1.9323075695973118e-05,-6.531667701143123e-06,-1.0954923190302162e-05,-3.2522807020775284e-05,1.3763082520289559e-05,-7.697593806335459e-05,4.259173068967866e-05,-0.00013384234269237842,6.830318617850961e-05,-0.00019196205083307929,8.584919620037487e-05,-0.0002400536428226013,9.326818852715395e-05,-0.00026873046009417517,9.170208240311058e-05,-0.00027219211478917153,8.462194154427998e-05,-0.00024920253317487856,7.649793738766155e-05,-0.00020322923796790127,7.127823024030712e-05,-0.00014170446570707965,7.111453106523313e-05,-7.453334754952076e-05,7.572259266423285e-05,-1.2125156506677598e-05,8.258307008938684e-05,3.6650298205003845e-05,8.791717442717506e-05,6.61443021197579e-05,8.811237140108923e-05,7.489090984375516e-05,8.112444972118014e-05,6.566833212430262e-05,6.738197153140602e-05,4.466848838510598e-05,4.9891360469744895e-05,2.0004422791039144e-05,3.349952311230185e-05,-2.2106460811420644e-07,1.9216022434893567e-05,-6.644389503938545e-06
3,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,31.231411778110573,-4.319869834391189e-05,-1.4527562952371119e-05,-1.5014293775124123e-05,-8.624477457219716e-05,5.808627433300267e-05,-0.00021406424259602904,0.00014340134736938427,-0.0003785535542829641,0.00021941179740138933,-0.0005463006386638686,0.00027093460434011687,-0.0006829579392258932,0.00029206192573565657,-0.0007597833447422244,0.0002863446522242143,-0.0007590924789037837,0.000264484167895384,-0.0006774615341277116,0.00024023641417113164,-0.0005262423955767216,0.00022566185936567727,-0.000329265227596699,0.00022710729909937788,-0.00011811015627035476,0.00024317840995388514,7.417737437248579e-05,0.00026539469133258305,0.00021963597062251593,0.0002813469983315273,0.00030078442073085343,0.0002793273292113172,0.00031370051101881004,0.0002528992365524564,0.00026819862541647575,0.00020387122440941791,0.00018516464905084384,0.0001426804449670617,9.17814414502669e-05,8.601879882328981e-05,1.5467847850609784e-05,4.2861844402542465e-05,-1.4888792459632133e-05
4,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,48.242064884759344,-6.699764498898065e-05,-2.2259908570263995e-05,1.3386858833981752e-05,-0.00018633801679627032,0.00019459201437665289,-0.0004932843478625547,0.00040514385493970964,-0.0008894717559588076,0.0005917787360213601,-0.0012909943182367477,0.0007168611000907078,-0.0016106641267016777,0.0007659073615158397,-0.0017754925773574663,0.0007482323296105922,-0.0017411280500674454,0.0006912753998174747,-0.0015003972386477878,0.0006302424518126799,-0.0010847319977723715,0.0005958561071010791,-0.000558168373814378,0.0006037865031552041,-4.8483758210926335e-06,0.0006491855524229472,0.00048772611835952087,0.0007083641304136395,0.0008462533811449235,0.000747316064173012,0.0010261235251394535,0.0007343802964052634,0.0010195982201892414,0.0006528138199532175,0.0008560458064706378,0.0005089582447913823,0.0005945027559590463,0.00033316589580774164,0.0003106184715592691,0.00017297267671778193,8.055599806485178e-05,6.611443799882594e-05,-2.3224177429695654e-05
5,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,56.81792261829388,-7.926818732695545e-05,-2.5905594781022597e-05,7.538944885903839e-05,-0.00030630059275570803,0.00039884894586756357,-0.000845914534180833,0.0007727776383808469,-0.0015425612647584012,0.0011027632962751276,-0.0022450554281430043,0.001322417230525496,-0.0027960235399843206,0.0014063781381736687,-0.0030642150952326277,0.0013714393993229386,-0.00297083992869425,0.001266751869082643,-0.0025050118010202563,0.0011556601864680805,-0.001726194180660594,0.0010937686365119442,-0.0007531936975431708,0.0011094987835307745,0.00025871851308776635,0.0011935692952941021,0.0011486402827170965,0.0013016211209718278,0.0017826005035243972,0.0013699140061837298,0.002080523263535312,0.0013392268535220363,0.00203128885257909,0.001178828055419215,0.0016926834394018033,0.0009019907470296867,0.0011769367198488203,0.0005674033408474593,0.0006260047945034692,0.00026553226030607836,0.00018191131045233342,7.765338957789034e-05,-2.7684643088245478e-05
6,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,60.858430281613224,-8.527819364973806e-05,-2.7401546013146725e-05,0.00014561388057955028,-0.00042306072568116127,0.0006111807065356942,-0.0011959676835075054,0.0011476077495351752,-0.0021940371251581822,0.001619991177651313,-0.003198179544605314,0.0019338693717513861,-0.003980359981581562,0.002053072863237798,-0.004351001780157895,0.00200121727409961,-0.004197140282446334,0.0018482460520375282,-0.0035045100898494965,0.0016851459353817947,-0.0023608174879440787,0.0015927384786585648,-0.0009397556349124632,0.0016132008774410905,0.0005320844004554405,0.00173385442366717,0.0018200502748802673,0.0018900664608987872,0.002729153029728143,0.001987893536912258,0.0031438133692071758,0.001939608415186866,0.0030499678223671915,0.0016997860124954081,0.0025345326450786653,0.0012886806121671097,0.0017634643716657014,0.0007940394461989503,0.0009450390606407833,0.00035002245049467256,0.0002867345254288399,8.293125412109097e-05,-2.9998406859973514e-05
7,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,63.18728239699963,-8.893156288814192e-05,-2.808393598499228e-05,0.00021897112579029912,-0.0005390944380979367,0.0008264472703431057,-0.001546980059310526,0.0015248052946346257,-0.00284928473009804,0.002139276960784865,-0.004158499141396269,0.002547885282967354,-0.005175403527671451,0.002703544760567785,-0.005651813932967831,0.002635843459105644,-0.005440495069225483,0.0024344366830310006,-0.0045236710261465415,0.002217377833084895,-0.003016980533659968,0.0020910872849041846,-0.0011486050885162094,0.0021126854538327236,0.0007837673163184485,0.00226741654903833,0.0024715886297701595,0.0024710681492410374,0.003658417805618468,0.0025992244013199983,0.004192752370668484,0.0025347216501367493,0.004057418788828756,0.0022165424199132736,0.0033684768243685687,0.0016716134156939061,0.0023454871514508543,0.001017052146744983,0.0012625780920849372,0.00043116992096909473,0.0003920620399801204,8.585354753103803e-05,-3.149843364682287e-05
8,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,64.68807026957344,-9.14514620960779e-05,-2.837149153096684e-05,0.0002938131856713815,-0.0006551043959066791,0.0010429017627899564,-0.0018998829734162036,0.0019026409475604031,-0.0035097494997698014,0.0026590385027978765,-0.005128338329960139,0.003163136097867723,-0.006384714403969995,0.003356772972433391,-0.006971708487930345,0.003274590387700751,-0.006707557852394046,0.003024803343795798,-0.005570653011549606,0.002751905213975444,-0.0037040559201316956,0.002588290108361756,-0.001389850608015571,0.0026072640044350246,0.0010035456470291395,0.0027934233672626493,0.0030935977355710897,0.0030437940027958636,0.004561905817115112,0.0032033013703393963,0.005220432241244037,0.0031244140792356287,0.005048467484543338,0.002729531494018856,0.00419097012017282,0.002051792289997798,0.0029207811182883694,0.0012378435833027646,0.0015773062688704946,0.0005105261960232185,0.0004970766555542604,8.764385852950603e-05,-3.2602559012136044e-05
9,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,65.72263658600328,-9.333908719584143e-05,-2.8435927619622535e-05,0.0003694336778337349,-0.0007713377118625597,0.0012597370403888085,-0.0022549474556718832,0.002280237577328838,-0.004175846084338855,0.0031783832044074366,-0.006108434851312677,0.0037787808199590874,-0.007609542823244233,0.004012030835092964,-0.008312593426760584,0.003916882400872814,-0.008000960952242689,0.0036189137962270744,-0.006648789599995743,0.003288383082730627,-0.004425964536866627,0.0030840024753880954,-0.0016677945216435034,0.0030965158080507324,0.0011870230058134972,0.0033113574227427367,0.0036819139689459658,0.0036076894395163967,0.005435980712402409,0.003799654813563769,0.006223936096532011,0.0037084338794113585,0.0060209728922556915,0.0032388039226408675,0.005000579488893172,0.0024295680319957004,0.0034884681734026943,0.0014569746815910462,0.0018887110565033861,0.0005887294796486987,0.0006014548557111288,8.880368897075456e-05,-3.348199805110654e-05
10,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,66.46723328308987,-9.48385924375988e-05,-2.8361026939220354e-05,0.00044546750400072,-0.0008878864433563283,0.0014764947058181304,-0.002612223370449772,0.0026570399838960037,-0.00484763384024124,0.0036966795719056336,-0.007098958043615206,0.004394157688856093,-0.008850285201935105,0.004668688411693993,-0.009675188338432379,0.00456217825026284,-0.009321800353178021,0.004216342244383215,-0.007759561094920259,0.0038264815055368733,-0.005184534707566347,0.003577928921131669,-0.00198452481850549,0.003580106827354552,0.001331997950053883,0.0038208050997343515,0.00423440779053376,0.004162282620889472,0.00627876197740371,0.004387833892478059,0.007201750451736457,0.004286451429168434,0.006973824004156221,0.00374422532360196,0.005796560295678457,0.002805015208269206,0.004048090462605762,0.0016746771364359288,0.0021965260609665667,0.0006660809794700556,0.0007050330950001226,8.957748568564703e-05,-3.4220140959154215e-05
11,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,67.01783301399936,-9.608288288610467e-05,-2.8192512692257172e-05,0.0005216998161728834,-0.0010047785308666863,0.0016928737750432344,-0.002971671486564862,0.003032641816402327,-0.0055250261519116176,0.004213419048363185,-0.00809983611251072,0.005008689837457734,-0.010106966297397772,0.005326160422144289,-0.011059686370458528,0.005209949910126177,-0.010670483789997989,0.004816661446521191,-0.008903612123432342,0.004365873044040202,-0.005980648777848659,0.004069793528595717,-0.002341130111581558,0.004057741435779893,0.0014372536206939883,0.004321399170679904,0.004749852438056931,0.00470713651921379,0.00708913676311157,0.004967390218612869,0.008152963535417859,0.004858092859731066,0.007906340581877358,0.0042455677573725445,0.0065784468726921615,0.003178075946540188,0.004599354488515357,0.0018910311883653436,0.0025005795150533374,0.0007427324446159351,0.0008077123096725193,9.009844602208892e-05,-3.486235872068632e-05
12,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,67.43096980290112,-9.715020907442543e-05,-2.7957399536393038e-05,0.0005979904550084645,-0.001122012251880007,0.001908652481389021,-0.003333214675776801,0.0034067121994584893,-0.006207876024665097,0.004728155781339807,-0.009110896198496468,0.005621844376618916,-0.011379451841284926,0.005983886114635255,-0.012466051636133298,0.005859678744752161,-0.01204711608956106,0.0054194458012266486,-0.010081216780059502,0.004906231843658049,-0.006814768334610426,0.004559326980841757,-0.002738255134663566,0.004529135837010222,0.001502007664425468,0.004812784457986948,0.005227414943173658,0.00524181805654536,0.007866321425910571,0.005537862821746834,0.009076915691273427,0.005422949725079593,0.008818017321941818,0.004742546477188691,0.007345882451817959,0.0035486191300789878,0.0051420286552229105,0.0021060376330713226,0.0028007361188651385,0.000818760263788022,0.0009094218633750596,9.044511730758448e-05,-3.543532807251077e-05
13,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,67.74242071282868,-9.809000978773817e-05,-2.7672856114247628e-05,0.0006742397580775612,-0.0012395694769029822,0.0021236550988868994,-0.003696750420941171,0.003778968246543724,-0.006895989288579071,0.0052404870115476685,-0.010131882162127615,0.006233119196066101,-0.012667476045870218,0.006641319079047861,-0.0138940606972907,0.006510845991462694,-0.013451556259680813,0.0060242631117423395,-0.011292349681090075,0.005447229939023644,-0.0076870144836334465,0.005046271213018757,-0.003176184030359568,0.004994032972569667,0.0015258323474786333,0.0052946419070346185,0.005666585515283042,0.005765928230206605,0.008609805021889171,0.0060988113854863815,0.0099731598378089,0.005980614149982813,0.009708500797084121,0.005234857178574736,0.008098608078208981,0.0039164795831861466,0.0056759372625106875,0.002319657011419445,0.0030968898683939577,0.0008942015861411989,0.001010108505167337,9.066723037234635e-05,-3.595589481366527e-05
14,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,67.97566757237081,-9.89346905282075e-05,-2.7350213684562575e-05,0.0007503718543308852,-0.0013574236971586966,0.0023377319968301015,-0.004062167241747105,0.004149152846026545,-0.007589158652798443,0.005750032229469795,-0.011162515617699608,0.00684202867172275,-0.01397073715817091,0.007297923220716945,-0.015343437462460792,0.0071629382242742725,-0.014883592849046086,0.006630683503032491,-0.012536898333253695,0.005988540626726326,-0.008597408685502675,0.005530369604106494,-0.0036550960373699024,0.0054521772726054156,0.0015084009194336317,0.005766652352030775,0.0060669428716541894,0.006279063957612526,0.009319147075996317,0.0066497855569816475,0.010841299527593166,0.006530661355931573,0.010577469883274173,0.005722172374079603,0.008836382772882368,0.0042814649950170605,0.0062009138147152785,0.002531822401187956,0.003388940953771978,0.0009690690471116679,0.001109726199081687,9.079748673177128e-05,-3.643506912155791e-05
15,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.1469087384668,-9.970653917724281e-05,-2.6997346536623137e-05,0.0008263256509009554,-0.0014755427485782136,0.0025507517605594743,-0.004429344407160855,0.004517029701669742,-0.008287158525946286,0.006256431239917045,-0.012202485063892871,0.007448102852371728,-0.015288881172903598,0.007953170656876488,-0.016813832090640152,0.007815443090763024,-0.016342918651639334,0.007238274718201094,-0.013814633829788016,0.00652983697595732,-0.009545839633653184,0.006011372361831417,-0.004175029274717124,0.0059033284809023754,0.0014495252821660717,0.006228517338405054,0.006428191300839656,0.006780842265582175,0.009994012241214167,0.007190348666361086,0.011681020030792237,0.007072670637622519,0.011424662189271,0.0062041592174508315,0.009559003807396408,0.004643371125579079,0.006716813695238943,0.0027424523379052414,0.0036768006789477704,0.001043361293411069,0.0012082350996309365,9.085846710250283e-05,-3.688041102494986e-05
16,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.26765485370093,-0.00010042133469864145,-2.6619903706822717e-05,0.0009020497920743137,-0.0015938909533090742,0.0027625955818395415,-0.004798155512081129,0.004882377746415237,-0.008989751907671931,0.006759339548257688,-0.01325145817927816,0.00805088476904286,-0.01662152128696964,0.008606541378794004,-0.018304848919865203,0.008467850875649106,-0.017829167446278115,0.007846604309703535,-0.015125255633583863,0.007070793052582451,-0.010532113985677377,0.0064890355937590955,-0.004735934281237523,0.006347258427256316,0.0013491034666462632,0.006679954555742668,0.006750112758187273,0.007270895994391484,0.010634129787654127,0.007720075252225239,0.012492056680854626,0.007606225542209204,0.012249851470159268,0.00668048224573699,0.010266292240991987,0.005001986273383625,0.00722350609374262,0.0029514559332799186,0.003960387397305235,0.0011170679093777205,0.0013055992973847901,9.086624029286047e-05,-3.7297260390059374e-05
17,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.34625840476127,-0.00010109048782639242,-2.622203414052677e-05,0.000977499153714577,-0.0017124305261788236,0.0029731519640119816,-0.005168472163984899,0.005244983791582431,-0.00969669939916679,0.007258419984988991,-0.01430909923378096,0.008649923103561566,-0.017968266392349913,0.009257518924680718,-0.019816087726603548,0.00911965362879441,-0.019341968644965204,0.008455240482994031,-0.016468458968494058,0.007611083184664111,-0.01155603408437069,0.00696311576466317,-0.005337757835559992,0.006783739256158316,0.0012070351980325948,0.007120681062377076,0.007032487654153893,0.007748855309132567,0.011239224428941687,0.0082385346133566,0.013274138786561035,0.008130902064001376,0.013052805590975011,0.007150796895855059,0.01095806445932141,0.00535708921657425,0.007720857187350024,0.003158733661649779,0.004239618478378268,0.0011901716160902431,0.0014017839372161367,9.083251011057364e-05,-3.768945513376118e-05
18,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.38903404773271,-0.0001017225532232213,-2.5806919720302206e-05,0.001052633810173013,-0.0018311216516738761,0.0031823187800269414,-0.0055401600078532525,0.0056046493841691546,-0.010407746680241308,0.007753353485246054,-0.015375043943515167,0.009244783344436187,-0.019328680211578225,0.00990559784021001,-0.02134708540898227,0.00977034735173791,-0.02088087111700366,0.009063751552641448,-0.01784384148014791,0.008150384413425747,-0.012617290026991895,0.007433381237713658,-0.005980325283660769,0.007212567149056268,0.0010233422552767609,0.007550447476304571,0.007275209787987309,0.008214386614721536,0.011809118787002847,0.00874532758917864,0.014027074965532576,0.008646298405954888,0.01383335276583376,0.007614770622262028,0.011634178874519138,0.005708462647514373,0.008208758530437314,0.0033641850803625625,0.004514423446925361,0.0012626521557233224,0.001496758342377091,9.07661142721089e-05,-3.805987749337001e-05
19,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.40074800551072,-0.00010232395482579112,-2.5377006657602083e-05,0.0011274168012859165,-0.001949923545734144,0.0033899973467826777,-0.00591308440783203,0.005961179812628567,-0.011122640467113335,0.008243824518419937,-0.01644893114640686,0.00983503386655812,-0.020702333008671844,0.01055027485897863,-0.02289739048663863,0.01041942973280514,-0.02244544136004521,0.009671707011505902,-0.019251024050313596,0.008688374181082368,-0.013715599357355869,0.007899599640226242,-0.00666349226100412,0.007633536063557985,0.0007980143038678532,0.007969000299341522,0.007478140270430236,0.008667150186858848,0.012343604350252798,0.00924004740665227,0.01475064688516185,0.009152004545519869,0.01459130030823574,0.008072062918416511,0.012294479574190767,0.006055882190767104,0.008687093293874308,0.003567704158200993,0.004784728174352324,0.0013344854325615903,0.001590491458275042,9.067376372433706e-05,-3.841067027650193e-05
20,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.38512943460134,-0.000102899663406936,-2.4934248716549694e-05,0.0012018140574992877,-0.0020687943548336153,0.0035960948735837776,-0.006287107393538594,0.006314390371837891,-0.011841118976068132,0.008729530495974044,-0.017530383489483225,0.010420255651750735,-0.022088769881211667,0.011191055786383523,-0.0244665174201267,0.011066402883674152,-0.024035203412663856,0.010278677972686912,-0.02068957693374183,0.009224732835320368,-0.014850621455423534,0.008361547180197233,-0.00738705112389037,0.008046456323992285,0.0005311047167817134,0.008376108593098076,0.007641199050297427,0.009106830572708143,0.012842522938102728,0.009722308387372655,0.015444676922339008,0.009647625465168815,0.015326486950695703,0.008522341587600662,0.012938833120033745,0.0063991264578969745,0.009155758563247293,0.003769184678597166,0.005050465297810791,0.0014056458744734462,0.0016829545137253662,9.056071013320124e-05,-3.874349090146874e-05
21,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.34512629610107,-0.00010345356119267394,-2.448022847379935e-05,0.0012757936803932312,-0.0021876915156986017,0.0038005230871448214,-0.006662089036723798,0.006664104190114898,-0.012562915545664502,0.009210179174928262,-0.018619014305164102,0.01100004018784212,-0.02348752180146112,0.011827454574061168,-0.026053962341538315,0.011710773725872927,-0.025649659455587157,0.010884238127028248,-0.02215904498426795,0.00975914377645587,-0.016021986548419825,0.008819006604647081,-0.008150762261279466,0.008451149933029112,0.00022269905968817083,0.008771557230815324,0.007764335324467813,0.00953312913609415,0.013305740781430184,0.010191739373938224,0.016109006948829316,0.010132776267937195,0.016038766696423266,0.008965279873197377,0.013567117439193812,0.006737975729148151,0.009614658787440368,0.003968519922270649,0.00531157116686471,0.001476106650241077,0.001774120090929549,9.043111220116196e-05,-3.905963009069417e-05
22,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.28307694567044,-0.00010398869496621018,-2.4016239309829157e-05,0.0013493249491001152,-0.0023065718605476473,0.004003195452155868,-0.007037888684439216,0.007010146950582004,-0.013287762921128085,0.009685481308472707,-0.019714437136615005,0.011573981591898501,-0.024898122150127527,0.012458986925144099,-0.027659227905446476,0.012352050066765105,-0.027288323670707885,0.011487961489507585,-0.023658990364360293,0.010291290568826923,-0.017229346171835174,0.009271761035582804,-0.008954409961352768,0.008847439433750557,-0.0001271427109513211,0.009155131183353794,0.007847471897528296,0.00994574607810409,0.01373309871054922,0.010647966479223845,0.016743456912903736,0.010607068223791394,0.01672797693889654,0.009400546783860297,0.014179199547116777,0.007072206366263547,0.01006369227008732,0.004165600167862877,0.005567979415664843,0.0015458391123082044,0.001863960230437476,9.02882965969423e-05,-3.9360086271525835e-05
23,2.505411125097417,35449919.0724899,3.637978807091713e-12,219.82736448791175,1.2852185890305219,0.23718508063214389,0.04415858631801042,0.008371474236636913,1.393882811902048,559.7485925544297,2.357319579621614,5.047406240919981,729.7303037957513,2.357319579621614,5.047406240919981,729.7303037957513,68.2009168635199,-0.00010450752845172955,-2.354338230968953e-05,0.0014223793924527162,-0.002425391780186788,0.004204032187741353,-0.007414362690522107,0.007352357749487713,-0.014015384449091667,0.010155166723885015,-0.02081624589512209,0.012141694429847102,-0.026320071915055306,0.013085185348462449,-0.029281770830746442,0.01298975037306684,-0.028950650887208915,0.012089428397590422,-0.02518890273641365,0.010820864111933474,-0.018472267042825247,0.009719608316790002,-0.009797684500772657,0.00923517335076042,-0.0005182636757592113,0.0095266514506797,0.007890623699105898,0.010344421940263642,0.01412451855280843,0.011090653271321041,0.01734791349848445,0.011070141987371305,0.01739400700108979,0.00982783077733278,0.014774983724989477,0.007401605263504088,0.010502780578721338,0.004360319909398157,0.005819634975018795,0.0016148153000712826,0.0019524503355494514,9.013499308437077e-05,-3.964567974921513e-05
