时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,27.85945408588796,-2.5047450376969355e-06,-2.4761137346636515e-06,2.770721136747686e-05,-3.6746940083530854e-05,8.659035933745338e-05,-0.00010296931501044419,0.00015454817446745102,-0.00018757484406149445,0.00021422815356142143,-0.0002715391249426912,0.00025321267200187683,-0.000335235681222585,0.0002667319507998445,-0.000362296906460104,0.0002582068647998399,-0.00034291264079488364,0.0002374773034072284,-0.0002758958382996161,0.00021713414269919798,-0.00016930581797591448,0.00020786237528023908,-3.927101339282284e-05,0.00021432646402039343,9.311242516301864e-05,0.00023329333255510672,0.0002063075823061113,0.00025488409974999346,0.00028303434989240616,0.00026638777097328736,0.00031376404193273367,0.00025705487437773476,0.000298254144557953,0.00022221562791562897,0.00024510606294088144,0.00016550758689630173,0.00016967238224880875,9.868010486904885e-05,9.08838520580134e-05,3.8810127639446636e-05,2.7376511686816433e-05,2.7324900317432143e-06,-4.658015773360701e-06
3,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,61.472662422953874,-5.60922383075232e-06,-5.389568380101653e-06,0.0001413733838975218,-0.00016224828723901912,0.00042275612647132174,-0.0004769823277587499,0.0007494275761626551,-0.0008829017336195169,0.0010381995881787803,-0.0012882053609921415,0.0012285953333458163,-0.001596870302312076,0.001296379550343717,-0.0017282306914903345,0.0012567334720477276,-0.001633329030215712,0.0011564853433339692,-0.001305392967804505,0.0010568030857005778,-0.0007832704786273409,0.0010104472014613873,-0.0001460505207074962,0.001041075787398048,0.0005020816274444182,0.0011333545216254599,0.0010544995391581196,0.0012387643081475206,0.0014259394403798845,0.00129451659757282,0.0015701878222450086,0.0012475917108891901,0.0014875293259138285,0.001075349829526851,0.0012218364541548407,0.0007964667914323328,0.0008494048421030992,0.0004693240698191797,0.00046264350184936127,0.00017759929313798138,0.00015139073457409106,5.949170688018779e-06,-1.0350453207394267e-05
4,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,73.04359035240857,-6.792078690870321e-06,-6.287626928225582e-06,0.00029236132198156043,-0.00031951807163931555,0.0008610817089381463,-0.0009579125943526548,0.0015228248794627143,-0.0017853616580336656,0.0021101160092179823,-0.0026147117078380465,0.0025003646502548553,-0.0032491606318400756,0.0026429132829260964,-0.0035232065293411253,0.002565989026324351,-0.003336043086094833,0.0023624169030917836,-0.002672742273188336,0.0021559043896279945,-0.0016113187440334274,0.0020552607394020692,-0.00031235255368359876,0.0021114073385900094,0.0010112688107623469,0.0022955578785404957,0.002140623080094353,0.0025096658695070834,0.0029002582262380875,0.0026247550270692903,0.003195429548723498,0.0025309066566740306,0.0030276737712075547,0.0021806951875970367,0.0024880361940356455,0.0016123301770868362,0.0017328714527047261,0.0009459084882968256,0.0009495549253448037,0.0003527340261253789,0.00031897253490325916,6.944630991447149e-06,-1.2407407432297315e-05
5,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,77.80208893433597,-7.370417628150788e-06,-6.571303672519012e-06,0.00044424944557303286,-0.0004768081146835538,0.0012998070976752174,-0.0014429100906369762,0.0022961888983704616,-0.0026991479045829813,0.003182871751095366,-0.003961676619167296,0.003775901830402231,-0.0049313898509621805,0.003997443347744157,-0.005357077366243099,0.0038865862490601744,-0.005085733305319227,0.0035797724062189857,-0.004093799472765365,0.0032622195712410356,-0.0024974835077817377,0.0030999418501356855,-0.0005377632207390621,0.0031739787234213897,0.0014641497724861478,0.0034450746525341584,0.0031762372697931797,0.0037671113136461703,0.004331334031098937,0.003944202958979323,0.004784939065147779,0.0038073652289375357,0.004539572310485192,0.0032822939570018635,0.00373379656620706,0.002425924452905151,0.002603975274895116,0.0014206331308810613,0.0014313550725447936,0.000526344519871003,0.00048628357466754094,7.265400264622669e-06,-1.332874556438688e-05
6,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,80.37812585221751,-7.75539107698306e-06,-6.656967444932138e-06,0.0005964272374767118,-0.0006349991947156562,0.0017381959192233215,-0.0019330433247691633,0.0030684077813699245,-0.003625340209516707,0.004254817155165336,-0.005330029568363178,0.005053057193935295,-0.006644294901730629,0.005357541143797996,-0.007230517747636555,0.0052161113977274385,-0.006883336862111973,0.0048063666694452625,-0.005570237206781421,0.004373807519582068,-0.003444646573530476,0.004142601359393623,-0.0008266296887662913,0.0042266796279446005,0.0018550448207773616,0.004579414465710259,0.004154852909307205,0.005008319510871793,0.005712597481353536,0.00525011338389921,0.006332747118464259,0.005074674747944346,0.0060182993114390754,0.004378641237674368,0.00495538338604047,0.0032366368444386156,0.003460065656061791,0.001893620841756466,0.0019062175190070019,0.0006989727650449079,0.0006520279536409012,7.371153081943915e-06,-1.3884113420078455e-05
7,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,81.97899455108777,-8.054183680705323e-06,-6.653219606691487e-06,0.0007487163622142793,-0.0007943132412381108,0.002175964614753809,-0.002428569556094784,0.0038389608616239907,-0.004564190415654142,0.005325116122853315,-0.006719988857243548,0.006330711414771537,-0.008388054438648781,0.006721934577256049,-0.00914368100034248,0.006553308868662705,-0.00872903635328664,0.006041091021088057,-0.007102385215301206,0.005489733259690615,-0.004453442390916528,0.0051823855173755385,-0.001180002031268894,0.005268583818005309,0.0021825146641804905,0.00569746831100233,0.005074817320326658,0.0062320115775855115,0.007042422468796153,0.006541175822415744,0.007837444279852371,0.0063316910206961535,0.007462743457681528,0.005468928301417742,0.00615197195771013,0.004044060772898084,0.004300546441370075,0.002364804066708579,0.0023737083956635414,0.0008707410180515481,0.0008158781682949741,7.381809566555446e-06,-1.4274216543071075e-05
8,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,83.05677842237628,-8.306882353195408e-06,-6.6007697227875065e-06,0.0009010132244969265,-0.0009548060673122562,0.0026128704578250654,-0.0029295038744280243,0.004607355304941073,-0.005515651782795389,0.006392972624859262,-0.008131451834672156,0.007607810826648201,-0.010162530295237334,0.008089439378559733,-0.011096409163241158,0.007897018137460467,-0.010622677583915125,0.007282925869053605,-0.008690157622184719,0.006609145081203164,-0.005523959944642019,0.00621853240999068,-0.0015982338902364103,0.006298881844615516,0.0024459426449430976,0.006798271286248151,0.005935360371770828,0.007437060823618012,0.008320039090121311,0.007816205054354304,0.00929837235232042,0.007577333091143855,0.008872391235508242,0.006552330048292239,0.007323174229017479,0.004847703999776715,0.00512512656666137,0.002833993062412238,0.002833616123662861,0.0010416483916847797,0.0009776898658420455,7.342339771701026e-06,-1.457419408790036e-05
9,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,83.81946572088015,-8.531883601722332e-06,-6.5183890434867495e-06,0.0010532362985571676,-0.0011164750079237908,0.0030486796772783956,-0.0034357653783835245,0.005373101289976397,-0.006479543942708554,0.007457594500783582,-0.00956415438799856,0.00888330820756153,-0.011967407699385882,0.009458877791367722,-0.013088359122480043,0.009246082144998058,-0.012563907142873955,0.008530852957267457,-0.010333240520518382,0.0077311976193935985,-0.006656017533666268,0.00725030161217402,-0.0020813638033982075,0.007316806411541252,0.00264505690382695,0.007880916392453552,0.006736060038527849,0.008622399736054599,0.009545000527932074,0.009074058834729472,0.010715148958627475,0.008810534021020949,0.010246945616235128,0.007628003762964549,0.008468758426956168,0.0056470336399027776,0.005933621072827218,0.00330094964978415,0.003285802559099419,0.0012116508029304475,0.0011373772249616556,7.273488148844675e-06,-1.481860217628375e-05
10,1.2681747354679611,16214088.638288919,842.2748859979088,18.41747189893049,1.2552928382777369,0.3287775261323096,0.05270727170067546,0.00387236788030665,1.4569981440947348,1367.0684548560787,4.797824805235891,4.937477372554098,177.83171017210725,4.3117652678026275,2.6833392130800213,79.88145192536138,84.37576848925748,-8.738762902515338e-06,-6.41592652180955e-06,0.0012053127898713385,-0.0012792937025375899,0.003483161497440253,-0.003947234937221217,0.006135709103166001,-0.007455634821454484,0.008518189791372957,-0.01101777320819065,0.010156158178694166,-0.013802313330768385,0.010829075572923536,-0.015119135314589948,0.010599347825471152,-0.014552324196867118,0.009783857319515957,-0.0120312705740086,0.008855048736843367,-0.007849373992676111,0.008276958187727728,-0.0026293574509960414,0.008321599434597518,0.002779668371056904,0.008944507933870895,0.00747657931881877,0.009786969964098254,0.010716939430110794,0.01031359732455312,0.012087460261394675,0.010030219328600976,0.011586164258043229,0.008695088943164802,0.00958853324666026,0.006441492402383659,0.006725873909959832,0.0037654110199518195,0.0037301521178920174,0.0013806846324344343,0.0012948758080998462,7.186148492649376e-06,-1.5025489859993282e-05
