时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,2.0857879726457673,-6.258998537279734e-06,-1.5484737559014915e-06,-4.509499253059389e-06,-8.32458398761345e-06,-6.318475945581525e-07,-2.328778446665586e-05,3.9032960534698555e-06,-4.289155690494144e-05,7.906119613564732e-06,-6.287421259248663e-05,1.0614377961789477e-05,-7.902463921731017e-05,1.1769775380419375e-05,-8.793053798905116e-05,1.1581698507283046e-05,-8.756980439413633e-05,1.0590906477010176e-05,-7.763805610614235e-05,9.469599405865739e-06,-5.9557667674012655e-05,8.804444443524725e-06,-3.6170842313989744e-05,8.91450135808445e-06,-1.1176299011137227e-05,9.753193403922129e-06,1.1584605080290532e-05,1.0927135357278971e-05,2.8857279751190036e-05,1.1833569322596094e-05,3.857855059558267e-05,1.1879588309591299e-05,4.02382611048068e-05,1.0714528316312396e-05,3.492671507863865e-05,8.396251810311056e-06,2.5058853578080064e-05,5.429105287189356e-06,1.3831973710615904e-05,2.6418592121803493e-06,4.525720401249281e-06,8.957820307580392e-07,-2.0007179034695412e-07
3,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,4.548379610203981,-1.3657005772153817e-05,-3.378527636864312e-06,-9.421231714333061e-06,-1.9554779035493544e-05,-9.119840165889966e-08,-5.542730793666223e-05,1.0833760420210208e-05,-0.00010253825235575518,2.0483495850419562e-05,-0.00015058145548245934,2.7006341953085587e-05,-0.0001893017390052942,2.9768843696544317e-05,-0.0002103557169681564,2.927476221941062e-05,-0.00020878615769438216,2.6837828504337802e-05,-0.00018384470112793708,2.409671713291532e-05,-0.0001390272710647619,2.2484680895500417e-05,-8.132792237759126e-05,2.278051240549854e-05,-1.9857124840981882e-05,2.4862964368077375e-05,3.5915470575239776e-05,2.7752579023175145e-05,7.796124953439416e-05,2.9948700959483175e-05,0.00010118955186138603,2.997279618826428e-05,0.00010434860881543025,2.6948341015188778e-05,9.015405323840738e-05,2.1019604236131734e-05,6.462210862509102e-05,1.3453989482514489e-05,3.5747087162225674e-05,6.352182441176986e-06,1.1790698411608952e-05,1.9542611849152935e-06,-4.36752290359483e-07
4,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,7.40819037813941,-2.2260558436522563e-05,-5.506464508868753e-06,-1.428196430132958e-05,-3.544732453881718e-05,3.1404847460303447e-06,-0.00010214501426616681,2.3556725787708307e-05,-0.00018994974506552893,4.159780500504037e-05,-0.0002795061461782637,5.3775328846750536e-05,-0.0003514091166526472,5.888426807704578e-05,-0.00038980243403638097,5.78640527070794e-05,-0.0003852404257437086,5.319125669836216e-05,-0.000336299112155236,4.7968917221443686e-05,-0.0002496731205485717,4.49205880840535e-05,-0.00013876722679288822,4.5527644389838763e-05,-2.105981516717802e-05,4.954673623948849e-05,8.526519414661925e-05,5.507723799191182e-05,0.00016478063793409737,5.920345085737625e-05,0.00020770622788684006,5.904598882279078e-05,0.00021166093328422208,5.289403409902663e-05,0.000181934885827011,4.1031385825684865e-05,0.00013023480487299357,2.5951237603388383e-05,7.216951972490559e-05,1.181843309092129e-05,2.398749833255386e-05,3.184658096454676e-06,-7.124915737558085e-07
5,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,9.93739959433269,-2.9882016515235993e-05,-7.391102374085357e-06,-1.7353087799279926e-05,-5.3638779448915395e-05,9.757001296217097e-06,-0.00015703036480345346,4.152529077370776e-05,-0.00029337688980607987,6.959624444757141e-05,-0.00043241083067777503,8.851372028537713e-05,-0.0005436046878346052,9.637889848895613e-05,-0.0006019283643147956,9.464813317902733e-05,-0.0005924443666080736,8.71976299742974e-05,-0.0005129150594613774,7.890756179917262e-05,-0.00037399621202506317,7.408104961063214e-05,-0.0001970267043128671,7.506799647362454e-05,-9.850417151304221e-06,8.147517332300107e-05,0.00015854377384634383,9.024948487564878e-05,0.00028355050533386626,9.669241961120761e-05,0.0003495797998568528,9.615086063986316e-05,0.00035288356570509016,8.585512539988194e-05,0.00030202245605009416,6.627129880463982e-05,0.0002158955673152295,4.146712826315036e-05,0.00011975572396582058,1.8270853000283993e-05,4.002430323540063e-05,4.273872879479423e-06,-9.575518493216335e-07
6,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,13.404845428522654,-4.035575540667509e-05,-9.979935284634895e-06,-1.795224828768613e-05,-9.073023667363031e-05,2.980083900011909e-05,-0.00027200910962197185,8.568538052390178e-05,-0.000511482235309024,0.00013502566073797715,-0.0007554667770531741,0.0001681987110057797,-0.0009494403862176073,0.00018182404119715745,-0.0010485238696988186,0.00017842740926356362,-0.0010258906514914365,0.00016483852049604597,-0.0008775850136982192,0.00014973954402425923,-0.0006229626444732755,0.0001408712902586823,-0.00030075948946564726,0.00014252606976682155,3.843818760046227e-05,0.00015403189945003057,0.000341914414023119,0.00016981027197859695,0.0005649027250646238,0.00018118314062397006,0.0006790778395299174,0.00017949874208767014,0.0006777811145506555,0.00015958831679645013,0.0005769436080501514,0.0001223375601719952,0.0004115528234295144,7.540417399513538e-05,0.00022843074269572776,3.1688109666077745e-05,7.680404594074393e-05,5.7687883370000865e-06,-1.2968070281386941e-06
7,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,15.918080232151366,-4.797772093910399e-05,-1.1861609752027243e-05,-1.2722347286337476e-05,-0.00013671374623632128,6.145204559386153e-05,-0.00041773539110809163,0.00014807229077531291,-0.0007893365512917849,0.0002244734428463656,-0.001167684611596603,0.0002757919391814338,-0.0014672727061659015,0.0002967582389281589,-0.0016175460451392021,0.00029116999829864067,-0.0015762833713198125,0.0002695065467946947,-0.001337311083820028,0.0002452616339900015,-0.000931295217022395,0.00023066102592219295,-0.00041960958816094935,0.00023266933500361214,0.0001175229178889837,0.00025042140164093613,0.0005964187946492771,0.0002751205954414921,0.000945967268831449,0.0002928223740957107,0.0011212060353712205,0.00028948460852879746,0.0011117280345781157,0.00025666171883342273,0.0009432248750477411,0.00019577801204483051,0.0006719054841043733,0.0001193254840729044,0.0003730214580069634,4.836508478669507e-05,0.00012586695371512576,6.853861181677637e-06,-1.5475928743080445e-06
8,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,17.42444426271937,-5.257349376498403e-05,-1.2993065495472541e-05,-4.344412417673679e-06,-0.00018204163246639688,9.62247986288113e-05,-0.0005631804057360299,0.0002134494454826443,-0.0010675745884456771,0.0003167925650099339,-0.0015811508743284026,0.00038626271143065414,-0.0019872531217220517,0.00041470163987090297,-0.002189459394684341,0.0004070394043848187,-0.0021299765935598896,0.00037721047898183266,-0.001800282321094109,0.000343410217067108,-0.0012422953945447192,0.00032241701585122964,-0.0005400680195194688,0.0003240887240004973,0.0001963880400461082,0.0003476096603897444,0.0008521726884158042,0.00038107760181421273,0.0013295402098773203,0.0004051956498609358,0.0015666426568161694,0.00040031002360830354,0.0015491940660020645,0.0003544924287445384,0.0013126668009729157,0.00026964999338250956,0.000934643575624017,0.0001632317919904808,0.0005190437533401849,6.467447355605475e-05,0.00017550716441329584,7.50563125596241e-06,-1.7022816501605866e-06
9,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,18.418375716234088,-5.5631823990591724e-05,-1.374225468551388e-05,5.62093582000524e-06,-0.00022708085579145872,0.0001325177913665968,-0.0007087461050459955,0.00028020279726081895,-0.0013467615114745683,0.000410391159003768,-0.0019968056705308443,0.0004980784595211711,-0.0025109710244548044,0.0005342107806481313,-0.0027668005684659104,0.0005246932109574913,-0.002690722255643396,0.00048669537758293355,-0.002271644247748477,0.0004429788465438743,-0.0015625356072342324,0.0004149279417061314,-0.0006699837499209747,0.00041552112867181666,0.0002662521791473164,0.0004442654220207313,0.0010999731218855886,0.00048631360297218134,0.0017066101003928153,0.0005169806438317701,0.002007191477780371,0.0005108129904415574,0.0019833302553913974,0.0004521946797069887,0.0016801144417345412,0.00034342252915178166,0.0011964001188636301,0.00020695526614884863,0.0006647335899746152,8.073021720464868e-05,0.00022512487431391513,7.937304602465615e-06,-1.8079811328354697e-06
10,1.2790013651972345,29164695.139180083,-1181.0112682157778,65.3214573556004,2.130507149456229,0.17246002959378412,0.03150584396553625,0.005313809841144504,2.1671699679251413,1448.0840216805766,0.5392803402219073,0.7075399871079,215.44230998176204,3.7397018940106035,5.453984735177684,86.16621346192755,19.119146015317796,-5.7814005882257584e-05,-1.4272568431527381e-05,1.6478006431409896e-05,-0.00027198588396079603,0.00016961650813161245,-0.0008546018891551841,0.0003476148126855335,-0.0016271636871667036,0.0005045658276789047,-0.002415134392948954,0.0006105666279115435,-0.0030392705607968575,0.0006546578321410957,-0.0033509036231978533,0.0006435556526294441,-0.003260440578810353,0.0005974339936190946,-0.002753942082401006,0.0005434724380174775,-0.001895151603135642,0.0005077054954735536,-0.0008129685188031561,0.0005064607936704505,0.0003232166092082638,0.0005398556273997034,0.0013358772339699754,0.0005902824558759117,0.0020734523518618443,0.0006276566926219784,0.0024395866808887895,0.0006205504179781512,0.0024115086925116246,0.0005494504742035667,0.0020436661793070557,0.00041692751048673924,0.0014559833580991828,0.00025046875753263303,0.0008094923659493964,9.660279241117638e-05,0.0002745222686285128,8.243568581255219e-06,-1.8856058937864545e-06
