时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,3.433736742692609,-7.08560884354373e-07,-4.1716347306017895e-07,-3.4542593907292644e-05,5.7220231174984345e-05,-6.257283184565523e-05,0.00011059948959804122,-8.277660376343508e-05,0.00015365754493175445,-9.437902812451633e-05,0.00018151365015594238,-9.80401386721622e-05,0.00019085636738960928,-9.561795510459878e-05,0.00018029681051834982,-8.972264968446923e-05,0.00015053319101433776,-8.317145472985939e-05,0.00010430158941323007,-7.843197677574809e-05,4.6103217678086624e-05,-7.714961736877768e-05,-1.826367338368222e-05,-7.983967406398004e-05,-8.231732058546898e-05,-8.579559681446428e-05,-0.00013957966268094327,-9.322516547025683e-05,-0.00018425675698599862,-9.958516209758658e-05,-0.00021183566397919759,-0.00010205224495589586,-0.00021953681042657233,-9.804878692638555e-05,-0.0002065805453747879,-8.574064449530644e-05,-0.0001742527377734226,-6.443112901482715e-05,-0.00012576032836807737,-3.482337729238193e-05,-6.589458886126502e-05,7.084366002060114e-07,-4.172036121593835e-07
3,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,7.740227449828857,-1.5976448553001533e-06,-9.406556256101772e-07,-0.00011694448753906275,0.0001966894266350203,-0.00021261420451941708,0.00037938818090566825,-0.0002814937085251604,0.0005269080055172701,-0.000320965897000199,0.0006227447984182,-0.0003333176990189977,0.0006556297340586729,-0.000324915981396959,0.000620782538630746,-0.000304688528730618,0.0005205160650049642,-0.00028225465278620493,0.0003640945209835959,-0.0002660176242488613,0.00016681605193848956,-0.00026155250838918277,-5.158743437161809e-05,-0.0002705682850932249,-0.0002690554590021005,-0.0002906175580836014,-0.00046355638796843603,-0.0003155866592082957,-0.0006154151348777405,-0.00033685605230982847,-0.000709346189314429,-0.0003449101288712618,-0.0007359846294355222,-0.00033111602307130285,-0.0006927797559002067,-0.0002893899189675155,-0.0005842002387081202,-0.0002175043519300993,-0.00042123184558170166,-0.00011791586811108394,-0.00022022636790197209,1.5972249560824117e-06,-9.402346187455342e-07
4,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,11.600106517987616,-2.3957738307461845e-06,-1.4107460062571917e-06,-0.0003193362279759379,0.0005413099033355715,-0.000582333944146656,0.001042099239697971,-0.0007711648404640951,0.0014464160343933012,-0.0008787179128311524,0.0017092424638191,-0.0009115490680933146,0.0017996326100258064,-0.0008875091002852911,0.0017043303446411012,-0.0008314654313865013,0.001429582246983903,-0.0007700318163610867,0.0010008212086054763,-0.0007262372667904633,0.0004601442735099689,-0.0007150945684483378,-0.0001381518678997992,-0.0007408457008295434,-0.0007334434950061079,-0.000796330294393736,-0.0012653212079370578,-0.0008645088014655592,-0.0016799965574419208,-0.0009217728344856071,-0.0019358455572619031,-0.0009423880786332294,-0.0020075414291362164,-0.0009032879600233482,-0.001888440016005223,-0.0007884695000461457,-0.0015910916282989252,-0.0005923809008135496,-0.001145854460928154,-0.00032194789776848905,-0.0005977500409776772,2.3946300362771526e-06,-1.408230656103947e-06
5,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,13.080062964723101,-2.703482976071224e-06,-1.591859846884176e-06,-0.0005268545980002099,0.0008907949353025522,-0.0009616550459928435,0.0017134712495963337,-0.0012729823062846916,0.002377027137765898,-0.0014491530195054835,0.0028071985680598785,-0.0015014778530787806,0.0029527372375622685,-0.0014601598475738238,0.0027916017150656914,-0.001366974650857407,0.002334126857872217,-0.0012662919118557854,0.001622559666665059,-0.0011960940276471688,0.000726833152515248,-0.0011806505523763377,-0.0002629509589329526,-0.0012261394336713447,-0.0012463717964172076,-0.0013198901584478048,-0.002123582169165921,-0.0014331960868398683,-0.002805886519513292,-0.0015269808262747173,-0.0032248180596917485,-0.0015591656564361916,-0.0033388603630740356,-0.0014924367712740934,-0.0031373146748605303,-0.0013012277727077071,-0.0026411297440776227,-0.0009770138622369055,-0.0019006605825649012,-0.0005313875093565122,-0.0009905443645345355,2.7015974368923023e-06,-1.5868453072489668e-06
6,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,13.840749833314435,-2.86349262822341e-06,-1.6856197253372139e-06,-0.0007336068461203391,0.0012336317784852277,-0.0013394450659231344,0.0023717120097128948,-0.001772057337134949,0.003288560239555523,-0.0020152387780759747,0.003880726579533429,-0.0020854139491761556,0.0040766040594173636,-0.002025671631947829,0.00384532044726677,-0.001895191451357302,0.003201362671656847,-0.0017563448902617187,0.002203983669544373,-0.001661939720210135,0.0009512089965758857,-0.0016450158025211263,-0.00043083918561703013,-0.0017129934263308947,-0.001801858056864531,-0.0018470211935515248,-0.003022636101863236,-0.0020063005150560654,-0.003969758621795834,-0.00213624267592007,-0.004548130955268264,-0.002178759345986378,-0.004700205241094466,-0.0020828670671804404,-0.004411292594182794,-0.0018140334347165141,-0.0037107371712578018,-0.0013611492437460048,-0.0026688966724655538,-0.0007404969645353817,-0.001390125726738709,2.8608678437771857e-06,-1.6780184150557192e-06
7,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,14.298722977030774,-2.9617939819224793e-06,-1.7426095117615207e-06,-0.0009391341510448445,0.0015689658686579427,-0.00171477469799695,0.0030152598745507237,-0.0022671254720917217,0.004178864761873348,-0.002575522737514929,0.004927240824490695,-0.002661852721991,0.005168396491863869,-0.0025825944183265693,0.004862602772393504,-0.002414785320012256,0.004028565036838646,-0.002238997679706847,0.0027427139816819986,-0.0021226942063380986,0.0011313788094389,-0.0021071706483796458,-0.0006431493911428644,-0.0022003891247192294,-0.0024006776529286165,-0.002376661303169847,-0.00396277374292713,-0.0025827020965486637,-0.00517154101136424,-0.0027484021397338305,-0.005905492729331122,-0.002800029779888242,-0.006091201580167501,-0.002673528915430024,-0.005710026788244085,-0.002326002072292848,-0.004799667417098858,-0.001744131038199403,-0.003450447217684564,-0.0009488872469823469,-0.0017964961319279819,2.9584339070033257e-06,-1.7324023205942235e-06
8,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,14.600286714722916,-3.028590509934453e-06,-1.7805941687282677e-06,-0.0011431482779064796,0.0018965071339088167,-0.0020870813563520834,0.0036435823409433606,-0.0027574281188816902,0.005047204260296057,-0.00312913764562287,0.005945853168000423,-0.0032298988901857265,0.006227139767746011,-0.0031300668181173746,0.005842462963721019,-0.002924963842110629,0.004814818326809698,-0.0027135321563281473,0.0032379817234271203,-0.002577692773010027,0.0012667792674635938,-0.0025664668613864447,-0.0009002108517366474,-0.002687656127920663,-0.003042933416086141,-0.002908091558313285,-0.0049439110362704845,-0.00316162866916069,-0.006411021801332017,-0.00336265327069726,-0.007296626995025138,-0.003422177130932705,-0.0075115641751265835,-0.003263681358301234,-0.00703326561710697,-0.0028365079411189604,-0.005907730905966956,-0.0021254990214623873,-0.004245199603304161,-0.001156300045776542,-0.002209619663337754,3.0245000999095898e-06,-1.7677896261281092e-06
9,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,14.809818771234127,-3.077172072282439e-06,-1.8073891450762505e-06,-0.00134539445773782,0.002216102228129517,-0.0024558801360865046,0.004256392006633035,-0.003242315458122831,0.005893176445425921,-0.00367534259423214,0.006936075568345583,-0.003788788687388833,0.007252299105828342,-0.0036673538955180516,0.006784367837128082,-0.0034250488763833643,0.0055596457150352205,-0.0031793287992398583,0.003689420333923707,-0.0030263536758301755,0.0013571961826675234,-0.003022326299966393,-0.001202065646260856,-0.003174185312996994,-0.0037285029748332955,-0.0034406492342576073,-0.005965792864023451,-0.0037423612373255364,-0.007687858811919826,-0.003978240046415033,-0.008721152543630487,-0.004044446311825123,-0.008960915187649342,-0.003852620644320667,-0.008380669105244404,-0.003344953865068681,-0.007034653386224614,-0.0025048144895607888,-0.00505296701746714,-0.0013624958926219182,-0.002629409241471824,3.0723572153716136e-06,-1.7920112516065016e-06
10,3.1201993791456983,38655220.30122257,2718.718368104488,239.54250093363294,2.4967456317904326,0.36879292308121703,0.04667002969016502,0.00878652950295676,2.6352174384889633,1058.593547261871,10.0,10.0,0.0,10.0,10.0,0.0,14.960101128501547,-3.114304936802542e-06,-1.8269727288678314e-06,-0.0015456296623786228,0.002527650472824901,-0.0028207142276068524,0.004853495562977731,-0.0037211778360110165,0.006716506920067138,-0.004213444494317994,0.007897573140303813,-0.004337809519840613,0.008243509140990271,-0.004193771207122084,0.00768796096622555,-0.003914408629287396,0.006262746031932849,-0.0036358077831675616,0.004096830433507208,-0.003468127009654483,0.0014025683870696564,-0.003474195039819887,-0.0015486203408570634,-0.003659385558892166,-0.004457146514167431,-0.003973685343785468,-0.007028062624990436,-0.004324192030859058,-0.009001620421929262,-0.004594416192397214,-0.010178606450626881,-0.004666090731156479,-0.010438799761366425,-0.004439650039002529,-0.009751824539609306,-0.0038507481003818814,-0.008180094988915679,-0.0028816432529760122,-0.0058735098393492505,-0.0015672405985832638,-0.0030557452264244446,3.1087724321137613e-06,-1.809056232052445e-06
