时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,17.676786338251254,-5.245476148100719e-06,-2.010401058128971e-06,-3.715959753950106e-07,-1.6793030228632955e-05,9.927538958721824e-06,-4.2729826296881284e-05,2.115552479153563e-05,-7.44683276225952e-05,3.062833056889192e-05,-0.0001053447742177174,3.6666368843735886e-05,-0.00012892370894625633,3.8810524754783e-05,-0.0001401445823014757,3.772929456028017e-05,-0.00013621344444047655,3.486508290369398e-05,-0.00011706441575317947,3.1919429843486784e-05,-8.532410676813142e-05,3.03073761244664e-05,-4.5790898153765906e-05,3.072100693441358e-05,-4.526239163523016e-06,3.292167511378482e-05,3.227780909005356e-05,3.5826679928932444e-05,5.944593991246874e-05,3.7875983884397774e-05,7.376459817466734e-05,3.757837444623432e-05,7.454120931664479e-05,3.4073160651499906e-05,6.366945587954257e-05,2.7526721962159666e-05,4.518763741532823e-05,1.9227905764280535e-05,2.442557692973223e-05,1.1333759036832519e-05,6.899701638126519e-06,5.224964442520005e-06,-2.0459567156983962e-06
3,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,40.3684940212193,-1.1990876005809421e-05,-4.581520473334049e-06,2.164958821724566e-06,-4.4935454324137924e-05,3.079666956944079e-05,-0.00011656325611193925,6.204513627966287e-05,-0.00020441335863921264,8.841162326285827e-05,-0.00028980461199411365,0.00010517159184044381,-0.00035455459671519704,0.00011101771303583071,-0.0003843074328069495,0.00010782195131663836,-0.0003711251996761825,9.9652981180898e-05,-0.000314844812292826,9.132651886412399e-05,-0.00022300329729690023,8.685372968544431e-05,-0.00010936480115356899,8.818619563805564e-05,8.675521267299218e-06,9.460584128105024e-05,0.00011334168536022915,0.00010296029848625948,0.0001897811382334011,0.00010871373053926606,0.0002287949720940145,0.00010752894969467585,0.00022846166386365579,9.69056656954603e-05,0.00019433911468495977,7.734645810819794e-05,0.0001382095440086034,5.265063916740504e-05,7.564172962741491e-05,2.9195417654772855e-05,2.284053640473482e-05,1.1932230641214793e-05,-4.683982176105598e-06
4,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,65.16999925178017,-1.9387505770711834e-05,-7.365177817563578e-06,1.2970493796188849e-05,-9.326251175672419e-05,7.51378768100775e-05,-0.0002476914332351431,0.00014298327683919548,-0.0004374145906176883,0.0002001877685948195,-0.0006215008457748639,0.0002364172367042172,-0.0007598238669077615,0.00024878056452465303,-0.0008205925872143745,0.00024135479052027754,-0.0007862260140670614,0.00022307531716185064,-0.0006564649356897022,0.0002045756417297856,-0.00044826548054410857,0.0001947548768417875,-0.00019254536460905998,0.00019794795662096774,7.161407269026906e-05,0.0002124988424913087,0.0003042687557780675,0.0002312327962710262,0.0004720690073679284,0.00024380604389865707,0.0005544461194088461,0.0002403113520649035,0.0005473079486264054,0.00021504933929925518,0.00046351603932856826,0.0001692327421293311,0.00033006857706872574,0.00011168355672280583,0.00018261317590929696,5.719992314250741e-05,5.838075273519205e-05,1.9256372732767834e-05,-7.59627052631126e-06
5,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,88.04081595112787,-2.6259268906977825e-05,-9.862767524676827e-06,4.346826008440662e-05,-0.00018289322643506983,0.00017080905246844328,-0.0004977197491507898,0.000309558731347303,-0.0008848512960430885,0.0004263983945197762,-0.0012596774724262705,0.0005001954890520349,-0.001538831788842031,0.0005249529702532651,-0.0016561399000535873,0.0005088929461911682,-0.0015750577700555833,0.0004702890419247482,-0.0012953031314105253,0.0004311271854826833,-0.0008527208843537892,0.0004100520142502984,-0.0003125324178331833,0.0004163447612293149,0.00024280573049145697,0.00044667623813419153,0.0007289922157354339,0.000485857133456939,0.0010756988070936737,0.0005117215101321298,0.0012397602265190428,0.0005028989397896998,0.0012130752300323067,0.0004470801323396745,0.0010236166572024337,0.0003469840091575173,0.0007294061984830228,0.00022187803196016298,0.0004068265656114984,0.0001039497582438428,0.00013568255332848785,2.598398153708293e-05,-1.0351798439669039e-05
6,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,98.94945460412742,-2.958630085337232e-05,-1.0982570582791792e-05,7.887372908494376e-05,-0.0002717062818510871,0.0002719338142025571,-0.0007490259976338766,0.00048199904041538625,-0.001336363583762792,0.0006588441109855952,-0.0019047377445627596,0.0007706311967963663,-0.0023267879474486064,0.000808164723955772,-0.0025013436129493836,0.0007835292612360287,-0.002372540957881614,0.0007240541978896577,-0.0019400173909183882,0.0006630385298380816,-0.001258753800093003,0.0006291827668343702,-0.00042881643153713117,0.0006372431830757307,0.00042317413150646756,0.0006826587495712559,0.0011676442707068378,0.0007422924504479927,0.001696452001650477,0.0007817775058985653,0.0019433128512373911,0.0007676656946654636,0.001896061700928062,0.0006805582152582409,0.0015981934473876798,0.0005246379852164502,0.0011394818753269241,0.00033005675130709885,0.0006378884835191981,0.00014707338710397773,0.000216602704005061,2.9164586470905297e-05,-1.1734700743908956e-05
7,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,105.22951184384004,-3.154274934515263e-05,-1.1569201313233758e-05,0.00011602459527289304,-0.00036015403738509844,0.00037467042210502776,-0.001000920473044562,0.0006558208822472434,-0.0017900886885696167,0.000892615279862118,-0.0025541547908424244,0.0010427015234845,-0.0031215182605859163,0.001093587509000945,-0.0033557530819417975,0.0010608328244274634,-0.0031814238989398675,0.0009803696782477761,-0.0025978351988126536,0.0008965926129258656,-0.0016788619985810287,0.0008484491818933539,-0.0005592416812706187,0.0008566928949122892,0.0005902685182007887,0.0009160970121024413,0.0015946653264529516,0.0009958713118095493,0.002307697140539709,0.0010493285956760167,0.002639638629715549,0.0010305261944287584,0.0025740160303304926,0.0009125498238951938,0.002169701156891985,0.0007008687931287802,0.0015481222787038682,0.0004366457611463999,0.000868718656479592,0.0001884735498606909,0.00029798734305536563,3.097468944198956e-05,-1.2584827745408776e-05
8,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,109.28039176289273,-3.284100870474854e-05,-1.1898746835957989e-05,0.0001539894082986159,-0.0004486159218000193,0.00047805008473456896,-0.0012538785839769978,0.0008300569613731232,-0.0022467496116422903,0.001126791761819995,-0.0032091030556189236,0.0013155773450504926,-0.003924869775320448,0.0013805150326951703,-0.004222085141834147,0.001340228209722913,-0.004005426647876759,0.0012387668523582782,-0.0032735157811424834,0.0011313734046233862,-0.0021187580917468884,0.0010674198823108563,-0.0007102565956533821,0.0010741934637309124,0.0007372419030537544,0.0011464110975622798,0.0020032267734362698,0.0012459830233307611,0.002903056744437451,0.0013138340242161005,0.0033231872837037194,0.0012911323282424646,0.0032424723362852914,0.0011430021948002711,0.00273485845222515,0.0008759637605516322,0.0019531652154244935,0.0005422404346169317,0.001098065681554474,0.00022895333773033594,0.00037919500811804674,3.212694251617135e-05,-1.3177658233393756e-05
9,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,112.08842930796823,-3.377409363545931e-05,-1.2084765455971158e-05,0.00019237455220264522,-0.0005372266394060175,0.0005816467216985629,-0.0015080450543351704,0.0010042613069939268,-0.002706572634192228,0.0013609266818045576,-0.0038699941129787824,0.0015888351232068393,-0.004737551898772109,0.0016685726984171387,-0.005101443137123847,0.001621408139496384,-0.004846105625839055,0.0014990068683177285,-0.003969077304031189,0.0013671893812108194,-0.002580872540796336,0.0012859131829255435,-0.0008845942951062508,0.0012895359683536844,0.0008612208415319034,0.0013733489218211682,0.0023905082114394397,0.001492350910675016,0.003479953878527643,0.001575042971402103,0.003991776735307645,0.0015493227137459394,0.0038997298115227997,0.0013718938446809447,0.0032924579037033825,0.0010500572155929368,0.00235384070392138,0.0006471058591227707,0.0013254916169616901,0.0002688544764454909,0.0004599922062142558,3.29144786340193e-05,-1.3626499659068726e-05
10,0.15344571692396083,2798718.3332654517,-2.842170943040401e-14,0.6415256334078924,0.5193827830027077,0.06359665519575271,0.03137190084490392,0.0016095877937077438,0.5394588487355876,1126.7586751849158,1.5088425693367162,1.8984293082568269,251.22390312203436,1.5088425693367162,1.8984293082568269,251.22390312203436,114.12886427552345,-3.448323117940367e-05,-1.2182017015565316e-05,0.0002309809901289006,-0.0006260328655495813,0.0006852279934997787,-0.0017634417144528317,0.0011781681819316185,-0.003169589982774946,0.0015947284678156546,-0.004536931463884779,0.0018621750618556447,-0.005559809952577161,0.001957478093684757,-0.0059942769644487645,0.0019041324314046186,-0.005704156962842145,0.0017609038008923944,-0.004685475112592739,0.001603899850229549,-0.003066399906294835,0.0015038055950512552,-0.001083632920266579,0.0015025806213535078,0.0009607325887392819,0.0015967342898204821,0.002755052425114584,0.0017347691976333254,0.004037056308424281,0.0018327536184252326,0.004644284978490237,0.0018049453328361361,0.004544922313426176,0.001599159800565799,0.0038418921839813084,0.0012231833374138448,0.0027497670458823276,0.0007513583995262267,0.001550782933163959,0.000308339804907592,0.0005402666566539222,3.347861497769422e-05,-1.3985949853726581e-05
