时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,10.590640123529477,-1.349133944948039e-05,-2.61829609942939e-05,-8.086612852465272e-06,-4.500226839439568e-05,7.42088325356081e-06,-7.959429606040412e-05,2.564613674431837e-05,-0.00012385185183096906,4.1788669588390736e-05,-0.0001690202071487506,5.2651125622168356e-05,-0.00020634757086626274,5.704409260086941e-05,-0.0002286529365723256,5.5734954317019714e-05,-0.00023155450271416053,5.0922685728816806e-05,-0.0002141538557768102,4.5403241960623174e-05,-0.00017908059111315834,4.164817553050017e-05,-0.0001318948673830669,4.104541971005788e-05,-7.996292695735235e-05,4.3515451276189675e-05,-3.1016291078571256e-05,4.761613288691336e-05,8.32468496648042e-06,5.1104551974265066e-05,3.376581538884923e-05,5.177762214459332e-05,4.4044073106711955e-05,4.831659181418577e-05,4.09853496479654e-05,4.084720836574485e-05,2.8910174484625004e-05,3.102397605441906e-05,1.3533659638714325e-05,2.150212854198502e-05,6.035589320412928e-07,1.3176172179626919e-05,-4.368397009751977e-06
3,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,23.40874334643533,-2.987675084811768e-05,-5.792557696695837e-05,-1.3946241799616367e-05,-0.00010649069548684934,2.7841537763340487e-05,-0.0001974201923695344,7.69309740306532e-05,-0.0003143144381514461,0.00012044844283047545,-0.00043352402021851677,0.0001496879854774124,-0.0005310448092640642,0.00016138488206368442,-0.0005870376696051189,0.00015765032214334264,-0.0005894006080417609,0.00014455998806707846,-0.0005357922838570186,0.00012984539056042053,-0.0004338210210516071,0.00012031068510335896,-0.0002993892859471547,0.00011968153638200012,-0.00015351310708623512,0.00012750522128719425,-1.8212999972736073e-05,0.00013944566920200607,8.772123372564798e-05,0.0001489024829484618,0.00015223488634017119,0.00014945380874953603,0.00017206104434564298,0.00013733258407533673,0.00015292121582159555,0.00011309982271068146,0.00010786486368776934,8.194782331292521e-05,5.4164272859016243e-05,5.229022684273953e-05,9.457368895185496e-06,2.9147309018732804e-05,-9.674104491590862e-06
4,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,35.88806203921033,-4.5904176931213326e-05,-8.88937728854992e-05,-1.0414008598664572e-05,-0.0001827059600669023,7.41122455026369e-05,-0.00036161495365645167,0.00017301464890936237,-0.0005922044260423956,0.0002605384955024365,-0.0008265908872142938,0.0003190900185285281,-0.001015614701850194,0.0003420824006914241,-0.0011184725939372238,0.00033391116793547477,-0.001110396454252257,0.0003071269956310306,-0.0009870604774241932,0.000277693257509084,-0.0007650784434356901,0.00025959926783926065,-0.00047856007671209875,0.00026030956203738383,-0.00017237973637495001,0.0002783950593804211,0.00010659102214897834,0.00030414111671184566,0.00031857590271876235,0.0003230413914304381,0.00043845458177705515,0.00032113083853135805,0.0004602119577283306,0.00029043755116119903,0.0003973892342649968,0.00023270524952489626,0.00027952699465080334,0.0001601046210529514,0.00014549881111258428,9.229007841158336e-05,3.521978644357573e-05,4.47126880659833e-05,-1.4874067118762581e-05
5,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,48.48385977785047,-6.221359463999364e-05,-0.00012024610259511686,2.14908818917113e-05,-0.00030967721091386223,0.00020074045870728698,-0.000677739653156415,0.00040856852720350144,-0.001151875908693495,0.0005914750911347359,-0.0016304069452775817,0.0007128457847471468,-0.002008358235438167,0.0007591626631727031,-0.0021986979918864062,0.0007400189821335045,-0.00214932047708344,0.0006822980191878496,-0.0018528120090753018,0.0006202169788419075,-0.001347584102035238,0.0005837661459555075,-0.000710317806676974,0.0005886675819142762,-4.108618114232988e-05,0.0006309210165911039,0.0005561636445996575,0.0006879663816066615,0.0009939940998833765,0.0007265257150709474,0.0012184975415073847,0.0007148724057346709,0.0012192670361472512,0.0006355177766074465,0.001030222566984733,0.0004938802428335687,0.0007213316189170956,0.0003197984512608496,0.0003833601675014451,0.00016068053794972555,0.00010907749848684226,6.040864157674934e-05,-2.0210074928481996e-05
6,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,54.17018904303953,-6.968787572442119e-05,-0.00013446350517333863,6.667094448370543e-05,-0.00042156515693521156,0.00034418411479281125,-0.000984240919311396,0.0006638878056520109,-0.0017081697997564037,0.0009441983051557651,-0.0024355695022713745,0.0011294784622397655,-0.003003563108844748,0.0011993240708301342,-0.0032775561301082684,0.00116849231614876,-0.0031778070940848245,0.0010782417037801032,-0.002694580072142909,0.0009813937431007612,-0.0018897736039936372,0.0009246276893232875,-0.0008850223193230151,0.0009326454087645454,0.0001616584102988467,0.000999136370879989,0.0010866222053954858,0.0010881469007444804,0.0017528742516882976,0.0011463804950043468,0.002077113886059414,0.0011230118629866608,0.0020454860340935583,0.0009904112285077631,0.001714570651095333,0.000758281424720086,0.0011977755827985606,0.00047586297617513917,0.0006407754403934114,0.00022050577020961006,0.00019162582889092317,6.745951985187036e-05,-2.270524535994491e-05
7,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,57.287652217736884,-7.387331941406738e-05,-0.0001422990348264738,0.00011625415746813391,-0.0005272298188364501,0.0004921763760498858,-0.0012855604133872067,0.0009234095563874637,-0.0022606463602718252,0.0013007376342983393,-0.003238174653897777,0.0015499463416300838,-0.003997045739284797,0.00164377673937952,-0.004355020672016391,0.0016016829271573477,-0.004204836404734405,0.0014786486583841664,-0.003534601535601615,0.0013457429627079661,-0.002429809014797502,0.001266562790626343,-0.0010571009087396797,0.0012754999862934846,0.0003674738511375065,0.0013646882630998208,0.0016203872318267384,0.0014851082614207992,0.0025148928251640316,0.0015631729054724644,0.0029382611361702055,0.0015283334123585297,0.002873410122091075,0.0013423232355722658,0.002399953246281634,0.0010191184311927346,0.0016750109427837682,0.0006277949186580318,0.0008991434508412591,0.0002761359003849904,0.0002754102883672214,7.129820140945162e-05,-2.4139708712354716e-05
8,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,59.23904014678753,-7.65703185404813e-05,-0.00014723504521370397,0.00016783826803177252,-0.0006303742523903471,0.0006421294743725269,-0.001585756954426204,0.0011845779853705573,-0.002814231648998715,0.001658769967669399,-0.0040446360062074815,0.001972296057645653,-0.004997301524806183,0.002090976367703026,-0.005442107225760528,0.0020383881724238702,-0.005244121875613593,0.0018825019141609214,-0.0043891382915503515,0.001712234216291525,-0.0029860017544680907,0.0016083518692028404,-0.0012460917343258562,0.0016157425237403296,0.0005566590060543503,0.0017258869284025886,0.0021387559891840463,0.0018771824896241316,0.003263420475741595,0.001975581213795372,0.0037881908588564294,0.0019301877416778488,0.003692580783839247,0.0016914905592868206,0.0030791609592472342,0.0012775272500121992,0.0021486227882125527,0.0007774183752673079,0.0011560943204878234,0.0003297001994862017,0.0003592508964268089,7.368401667461179e-05,-2.5091547043936253e-05
9,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,60.56219641718454,-7.847036444702976e-05,-0.0001506078895261881,0.0002204655059000132,-0.0007323610975395452,0.0007929590782941449,-0.001886243663206835,0.0014462659202310595,-0.0033706083568704024,0.0020172173939080854,-0.004857202265662478,0.002395577382642224,-0.006007442497024094,0.002540145771760191,-0.006543013922641738,0.0024780036068793336,-0.006301039671740451,0.002289321441596083,-0.0052646769054606486,0.0020804280768582026,-0.003565717196000315,0.0019495060017220864,-0.0014598595367981072,0.0019527785485105868,0.0007213353416324409,0.0020820460774037095,0.002634354822241255,0.0022636856002889298,0.003992045842173809,0.002383072210197175,0.0046217628692385255,0.00232834027742729,0.00449923859657957,0.002038063767337364,0.003749723314338396,0.0015340283573472128,0.0026171766248350957,0.0009255068239633507,0.0014108866274591292,0.0003820498031411435,0.0004427584519443732,7.529242766017043e-05,-2.578263581420347e-05
10,1.6800314358798254,41754423.59699463,-8054.405017158202,231.02298799349774,1.240840097581247,0.19132831167302386,0.028102639848681714,0.008438129832899242,1.315538447838064,559.2773011119342,2.8163451649940825,0.9011412278272619,132.4019609322329,2.8749280809708457,5.368341754637023,240.16892550607656,61.50644309887176,-7.989434203932157e-05,-0.00015303740461850137,0.0002736706011589872,-0.0008337882336310957,0.0009441027298284336,-0.002187584331857321,0.0017078432779122318,-0.003930409605244235,0.0023754264071736086,-0.005676737116521835,0.0028191643861719476,-0.00702873591845996,0.0029907328807975216,-0.007659548544496963,0.0029200782162600914,-0.007378004639582686,0.0026987529155594416,-0.006164220483255256,0.0024500282494469804,-0.004172440676188716,0.0022897272733689803,-0.001702183861645096,0.0022862564801820265,0.0008576815895099017,0.002432748006878926,0.003103598663534005,0.0026441772051142543,0.0046976665257218875,0.0027852698949672777,0.005436518670263117,0.0027225734751424235,0.005291617185083414,0.0023820422008899826,0.004410506457701286,0.0017888327599533817,0.003080032618331125,0.0010724148028355114,0.0016631982913945323,0.00043358241083527244,0.0005257619635102226,7.64368466322143e-05,-2.631587717839833e-05
