时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,2.7104685364960672,-8.025036495482313e-07,-1.8585824088133222e-07,2.4061966131756507e-06,-1.0095992368230206e-05,9.397116590181687e-06,-3.0125295295079513e-05,1.7278301517744667e-05,-5.5530840250776786e-05,2.3989988871584427e-05,-8.047848448438232e-05,2.821872408932623e-05,-9.922719872310801e-05,2.9585762309319173e-05,-0.00010722295670275452,2.8584983891586235e-05,-0.00010195761726830396,2.6310781383659416e-05,-8.342448650138401e-05,2.4055477936262787e-05,-5.409753582163659e-05,2.2879491953919505e-05,-1.8443408306525915e-05,2.3266398266140106e-05,1.7940127198983654e-05,2.4961145892570296e-05,4.9398494357239454e-05,2.704791393976591e-05,7.130367725118359e-05,2.8257804307045984e-05,8.093615355844292e-05,2.742264724308848e-05,7.798984662775174e-05,2.3935837166720966e-05,6.459884498713253e-05,1.8067343725041676e-05,4.4879395661879286e-05,1.1019984130933005e-05,2.4083094971149044e-05,4.6923911248991294e-06,7.524623337662606e-06,7.97037717682079e-07,-1.9671689368465134e-07
3,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,6.202926537046565,-1.8383425371992652e-06,-4.2259839668907395e-07,7.299417084213166e-06,-2.7590016032660566e-05,2.66912218224634e-05,-8.288775236811535e-05,4.857023713875777e-05,-0.00015316392502607546,6.722295960634084e-05,-0.00022220493399147627,7.89919757155925e-05,-0.00027398433327507335,8.281001820066205e-05,-0.0002957553237381374,8.003657341445713e-05,-0.00028048003420665584,7.3710511308456e-05,-0.00022812544943208012,6.743574864772298e-05,-0.000145618764235966,6.418221525434812e-05,-4.54878737770263e-05,6.531326005232802e-05,5.655196610755631e-05,7.011882976456336e-05,0.00014461534010645516,7.602179762040291e-05,0.0002056954385587933,7.943852063875537e-05,0.00023215047708337715,7.706140961053817e-05,0.00022313091602950582,6.716836035945386e-05,0.00018466040253801384,5.052144386791453e-05,0.00012835377569577706,3.053096857289844e-05,6.904287703404872e-05,1.2587990893515391e-05,2.177558362079893e-05,1.8230333100925228e-06,-4.5306905809422944e-07
4,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,10.19949603218235,-3.028040693046608e-06,-6.86224584970457e-07,1.7619592036400158e-05,-5.9438400087988905e-05,6.0100810667685945e-05,-0.00017999769753106263,0.00010805257888382689,-0.0003335352469451464,0.0001489830983105396,-0.000484462059460522,0.0001748673429963167,-0.0005974275743015369,0.00018332517689125162,-0.0006442291259753529,0.00017728379521682105,-0.0006092449368807459,0.000163375590787797,-0.000492352311029605,0.00014952570158101034,-0.00030886592606691826,0.00014232185417420407,-8.655257501067125e-05,0.0001448391670162556,0.00013970650450953963,0.00015555238005904027,0.0003346147131185365,0.00016874262742968377,0.00046925103289682785,0.0001763922428980448,0.0005266240481109409,0.00017106382591577208,0.0005048700419514214,0.00014886651963896513,0.00041744614385787995,0.0001115015365754613,0.0002902856673882934,6.663870565272483e-05,0.00015652430371642528,2.640864299590814e-05,4.985113299313074e-05,2.9941593135774594e-06,-7.5380755900362e-07
5,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,14.197272487339289,-4.229395728851595e-06,-9.297872732300158e-07,4.087562903816155e-05,-0.0001238186168197217,0.00013073955369513236,-0.00037813092771342335,0.00023216264878023318,-0.000702800244304132,0.0003188801274910293,-0.001022372903287834,0.00037397941817299437,-0.0012615221252815713,0.0003923101078172614,-0.001359940471374984,0.0003798051922869771,-0.0012840573694521524,0.00035025649009587384,-0.0010333752912457534,0.00032039819450193746,-0.0006404303558212893,0.0003044100898914058,-0.0001644995148644475,0.0003091917556929798,0.00031975497407866056,0.00033180752027872347,0.0007366220054907911,0.0003601258315844813,0.001023955213471728,0.0003767954534345101,0.0011451842451837035,0.00036553358659867157,0.0010962629789725712,0.00031771925710791574,0.0009061156348128233,0.00023697099117943145,0.0006305224081942321,0.00013997878641590418,0.0003407906049675137,5.312883207383882e-05,0.00010953531166852365,4.1570864475184604e-06,-1.0743539158093438e-06
6,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,16.196462153965005,-4.842375995818506e-06,-1.0297644799188642e-06,6.641268516412071e-05,-0.00019117537124428995,0.00020601004270878664,-0.0005866024395224468,0.0003635183504355968,-0.001092428174162737,0.0004984155182469088,-0.001591240360111365,0.0005845954865203168,-0.00196543750441387,0.0006138996109100122,-0.0021206125065785573,0.0005950799343069971,-0.0020039449521054046,0.0005490653959335523,-0.00161418056245582,0.0005016767938642343,-0.0010016710406906108,0.00047526278391606737,-0.0002586766196485792,0.0004812109704941585,0.0004982534293968749,0.000515584157485128,0.0011506408389196823,0.0005597250754146325,0.0016009935224773955,0.0005863118206097691,0.0017917378061986415,0.0005693593309114901,0.0017162253909336822,0.0004948987397462519,0.0014194865953615443,0.00036844371825840955,0.0009886504102831666,0.0002163320424363347,0.000535209378476663,8.021834103244227e-05,0.0001728477554546479,4.72962369893339e-06,-1.2554839351912435e-06
7,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,17.34270845411402,-5.204162719453402e-06,-1.0691748683880486e-06,9.239148794222508e-05,-0.0002586509051463566,0.0002816728420363354,-0.0007961685968793372,0.000495191801723621,-0.0014850652679375782,0.0006783809421424149,-0.002165899803856549,0.0007960902684755367,-0.002678528259750172,0.0008370522875329528,-0.0028940651914726684,0.0008124778401474722,-0.002740007763539957,0.0007500119049695182,-0.002213899744232568,0.0006843588018760624,-0.0013835052947967885,0.0006462166068842047,-0.00037378973887178073,0.0006519552032597561,0.0006568768592960347,0.0006971735782903898,0.001547064246661579,0.0007569710578096533,0.0021635464829974317,0.0007939470272372569,0.0024272737244585597,0.0007720252658008309,0.0023285600127937378,0.0006714863336672047,0.0019282058383629109,0.0004995576357423557,0.0013444536621676515,0.00029231289962332357,0.0007288419026686944,0.00010688429871919798,0.0002361221821659358,5.050978077512439e-06,-1.376117191097741e-06
8,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,18.07997808802574,-5.445859582570315e-06,-1.079516958892036e-06,0.00011853976853269871,-0.0003262404419397837,0.0003573571332751073,-0.0010066785046426057,0.0006267077209962848,-0.0018804130680065752,0.0008582152128307027,-0.0027459877688111103,0.001007856556975402,-0.0034005221453883025,0.0010611659724830943,-0.003680318964839958,0.0010314465667867823,-0.0034927662635571375,0.0009526131258108871,-0.002833722887277905,0.0008680146910865252,-0.0017878828853338075,0.0008168492041623151,-0.0005125269404557757,0.0008209552115491994,0.0007923438021959126,0.00087602740585135,0.0019222690061429515,0.0009512481052864245,0.002707962969544386,0.0009990767794109865,0.0030484289898059635,0.0009729849630296633,0.0029304512161822155,0.0008470954722320674,0.0024301629715137046,0.0006301321335702577,0.0016965596895289654,0.00036793930652045053,0.0009209618341290886,0.00013328452011703644,0.00029908716599999236,5.252344725751101e-06,-1.4675620792547434e-06
9,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,18.589435351431103,-5.620978762112731e-06,-1.0736528861505669e-06,0.00014474256575778614,-0.0003939331088526296,0.00043289924349027627,-0.0012180475058896042,0.0007578456848998474,-0.002278316067021178,0.0010376444288902745,-0.003331320839262594,0.0012195848532307488,-0.004131281772341621,0.0012859260620386307,-0.004479371270223372,0.0012516993004029096,-0.004262438542121178,0.0011566304026371745,-0.0034741547929542952,0.0010524504385335742,-0.0022156263702009242,0.0009869839619752198,-0.0006760117969155081,0.0009880147445783995,0.0009032991752618867,0.0010519040248679462,0.002274781944671872,0.0011422713841399124,0.0032327862667309733,0.0012014051899286516,0.0036538902601358264,0.0011719800535286479,0.003520823987959867,0.001021548531909475,0.0029245702631396893,0.0007600897680914605,0.002044467176150709,0.00044322330696266494,0.0011113085378183466,0.00015948727458438844,0.0003616449125907053,5.387275672421442e-06,-1.5426040540121434e-06
10,3.933861338770779,133711398.25696243,8670.859242868086,504.7298817974222,2.856493327552879,0.3045792600970306,0.1233148995477357,0.006744136588377631,2.9408750931131205,1513.6702865895102,5.1579967822290955,9.111051912841084,893.6593660289726,5.1579967822290955,9.111051912841084,893.6593660289726,18.958599429143252,-5.755370424569124e-06,-1.0578073500489634e-06,0.0001709382719613111,-0.00046170839161014385,0.000508200798184248,-0.0014301880312958953,0.0008884598948868829,-0.002678614069789235,0.0012164727260002756,-0.003921689840461451,0.001431040165301259,-0.004870595373347087,0.0015110837543866062,-0.0052910654899503366,0.0014730051419573533,-0.005048980558212209,0.0013618745588051579,-0.004135311505148395,0.00123752179693048,-0.0026670403614193323,0.0011565014674321764,-0.000864737773133998,0.001153006450694818,0.0009890941544357709,0.0012246415827534035,0.0026038623115834437,0.0013298403691441962,0.0037372625846028803,0.0014007149844657144,0.004242965966823868,0.0013688138040881942,0.004099105383158956,0.00119470355219764,0.0034110035508883884,0.0008893589316280124,0.002387903634990964,0.0005181558111616771,0.001299739584196645,0.00018552195297456787,0.0004237427964817595,5.481649856806776e-06,-1.6074165755523954e-06
