时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,24.31530128639227,-9.130061304672404e-06,-4.1800032598336736e-05,-2.938578286403052e-06,-9.052568750036315e-05,2.4053079130510685e-05,-0.00014435515782577248,5.059849272347342e-05,-0.00020388406379638797,7.188626236112991e-05,-0.00025984152354520005,8.493654210270546e-05,-0.00030372146224339814,8.912644388788877e-05,-0.0003289572560312685,8.597668240022807e-05,-0.00033187726232624103,7.849460236093718e-05,-0.0003121812498525682,7.023224342911544e-05,-0.0002728967303053559,6.427748743996238e-05,-0.00021981116159098732,6.242584438354282e-05,-0.00016046353726684252,6.474691959490479e-05,-0.00010285556142695318,6.96615842769631e-05,-5.410772092705723e-05,7.450451041949145e-05,-1.93061038795899e-05,7.640747435106517e-05,-7.516270045866806e-07,7.324786565143088e-05,2.2635137615974478e-06,6.438490391758813e-05,-6.877213208065991e-06,5.0974591511232516e-05,-2.2904013964061542e-05,3.597487821923278e-05,-3.987582412831849e-05,9.08637349508162e-06,-4.176725727506076e-05
3,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,49.59195881681476,-1.866404227826149e-05,-8.52807659241242e-05,2.630892849413769e-06,-0.00019815903372528382,6.906023137303494e-05,-0.0003274660435553938,0.00013444747987179665,-0.0004705551760865665,0.00018678206578071605,-0.0006042856744688576,0.00021864614241414457,-0.0007072062228050225,0.0002285279732294714,-0.0007627389411162028,0.0002203323811056142,-0.0007617237536809776,0.00020172803794183498,-0.0007037095651053882,0.00018173444624078956,-0.0005968684091623645,0.0001681158916829617,-0.000456523367557904,0.00016523274293572975,-0.0003025055128418771,0.00017292035996323778,-0.00015576169719712748,0.0001867114281596289,-3.480990550995543e-05,0.0001993435462163354,4.730365668403407e-05,0.00020312160102492832,8.498315706479549e-05,0.00019245829109339646,8.066644831650668e-05,0.00016585708724793763,4.3946262018113365e-05,0.00012677820779007594,-1.0509892273340589e-05,8.355120274151833e-05,-6.607828561799018e-05,1.855038633112704e-05,-8.52225361790636e-05
4,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,79.34025538001261,-2.9963710771147706e-05,-0.0001364821149156011,3.6395167142788684e-05,-0.0003673564645034329,0.0001845207349520547,-0.000646276592779138,0.00033006427424768834,-0.0009544262960250899,0.00044594104868457367,-0.0012393199106409698,0.000515609086234764,-0.0014518950195750917,0.0005359171044615015,-0.0015543479976991093,0.0005160794619726414,-0.0015262673202799371,0.00047391682436334664,-0.001367787227998569,0.0004302579738103064,-0.001099422532076782,0.000402818836370535,-0.0007585625458990798,0.00040110767074994397,-0.0003931176377624002,0.0004237582236393133,-5.332249035136968e-05,0.00045910499262332604,0.00021685756750909396,0.0004889062672070411,0.00038710643447394366,0.0004941879052872382,0.00044552776725001095,0.00046154231956544367,0.00039998231744396614,0.0003880532260357726,0.0002758594835915513,0.00028343238112271284,0.00011092113172159737,0.0001693817721166026,-5.213385109990816e-05,2.9693348983379682e-05,-0.00013641996197613336
5,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,103.77052482996031,-3.938235627485677e-05,-0.00017852110987278655,0.00013792191968008946,-0.0006221106965484703,0.0004477372518719607,-0.0011886166943045064,0.0007506838235957638,-0.0018118675776967097,0.0009900798228796293,-0.002380224644829943,0.001131942567805745,-0.0027892059183121753,0.0011703747868542483,-0.0029590402957636445,0.0011254692455537293,-0.0028480564272740966,0.001035490598564422,-0.0024595145771927327,0.0009450370875386583,-0.0018411381030563657,0.0008918495032810961,-0.0010773251546228972,0.0008955914007976432,-0.0002750500235099863,0.0009518044976331712,0.0004544095692892227,0.0010330774089754855,0.0010147262748419399,0.0010974389726353972,0.0013410745950007189,0.0011017582346493462,0.0014107091880588766,0.0010162968835033027,0.0012456162049520917,0.0008360650264759886,0.0009070155634888964,0.0005855560682239132,0.0004832719926699131,0.00031616155306934577,7.326820781187493e-05,3.87879792801586e-05,-0.00017852396162198173
6,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,114.0614596127633,-4.346684394768783e-05,-0.00019618761152037493,0.0002535077714751124,-0.000844921109192672,0.0007242293383920283,-0.0016968670341306205,0.0011830604059858533,-0.002631833715898752,0.0015443761227137735,-0.0034784770504850382,0.001757356668210414,-0.004076752259228327,0.001813433048840728,-0.004305312894272335,0.0017431647442245784,-0.004102003460542855,0.001604726989429486,-0.0034741424465185057,0.0014662486064970744,-0.0024975817286424454,0.0013857400873022842,-0.0013045879051321629,0.001393583365038156,-6.20036571908397e-05,0.0014826916123747039,0.0010571669839242832,0.0016098750626996115,0.0019038735835948712,0.0017088094408193265,0.002378997566300037,0.0017113012275248181,0.0024498593907287054,0.0015706493362666611,0.0021540164505996023,0.0012799008720285354,0.0015900702780695076,0.0008792539091799698,0.0008981641453862731,0.00045098141545999733,0.0002339636069546139,4.254654578641361e-05,-0.00019628398632696645
7,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,119.66112176244073,-4.57808585447242e-05,-0.00020575585398178488,0.00037377611038457424,-0.0010584811350427825,0.0010048934580301856,-0.0021974185968946422,0.0016188684497328916,-0.003445856700577677,0.002101735030947739,-0.004572252261291441,0.0023861925339987945,-0.005360735496389403,0.002460762778653378,-0.005648424307174418,0.0023657455502520447,-0.005352877411945529,0.0021784489839423364,-0.0044856305712202,0.001990194318068458,-0.0031506790669735604,0.0018796075011511242,-0.0015280847172546557,0.0018886659176111792,0.00015545253315062056,0.0020085966691006304,0.001665055621057138,0.002180933707855747,0.002798713965970814,0.002314820793779842,0.003422883359850312,0.002316312525243906,0.0034950758352620733,0.0021210117543478853,0.0030687535551212693,0.0017196818231537514,0.002280186752403366,0.0011684656018635126,0.0013212651951806096,0.0005810253745648418,0.0004040527510261641,4.453536087023474e-05,-0.00020595480639480258
8,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,123.15044315638782,-4.7300958718637354e-05,-0.00021167490755390772,0.0004961156776463779,-0.0012689606896343427,0.0012871673034698917,-0.0026974862453953896,0.002055775981750614,-0.004262718875369598,0.0026602234887687483,-0.005672440974634534,0.0030170032055839967,-0.006654612586170342,0.003111383621654089,-0.007004674248669209,0.002992570932325027,-0.006619847420703149,0.002756146618881025,-0.005515758391444461,0.002516254642655741,-0.0038242694981344993,0.002372518350138124,-0.0017729004670726785,0.002379494191271631,0.0003519966770938261,0.0025278223855677013,0.002253600973255292,0.0027444259845562763,0.0036766290155835143,0.0029138535980671575,0.004452754149931191,0.002915743322531183,0.004529475350963959,0.0026671870984453067,0.003976122668976914,0.0021561739349341257,0.0029665790948647983,0.0014548218533574687,0.0017441924988373667,0.0007085334631860822,0.0005769053184220966,4.573146710751511e-05,-0.00021198029397327537
9,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,125.50866979552255,-4.83981598054089e-05,-0.00021563356000624568,0.0006194786046945608,-0.0014786354768479627,0.0015699469450444635,-0.0031996682404089615,0.002492692206929875,-0.005085565996396541,0.0032188452603585955,-0.00678298777695442,0.0036489510498624316,-0.007963347478712982,0.0037646456260295295,-0.008380182973768982,0.003623161765245658,-0.007910212196903608,0.0033374484840160614,-0.006572899638813978,0.0030440699069544637,-0.004527573859314425,0.0028640240349482827,-0.002048760650239423,0.0028654635667091756,0.0005178284599614314,0.0030396096772111786,0.0028133913684344255,0.0032995224924050703,0.0045290176363383,0.003505156511262982,0.00546112635565366,0.0035090867050479183,0.005546838509686054,0.0032090409215535676,0.004871149858916876,0.002589659370722126,0.0036453640760268267,0.0017389642054005357,0.00216391349299634,0.0008343784010229975,0.0007500725133498626,4.650616925479805e-05,-0.00021604724249685474
10,1.513907038447181,30337832.73821501,1.8189894035458565e-12,65.00910244618146,0.543272982794435,0.09371136248704441,0.045228478284979785,0.0050234403804608665,0.5837282522176463,398.7639642561011,7.461845630261444,1.1302691922996644,32.984927123461034,7.461845630261444,1.1302691922996644,32.984927123461034,127.18593875080113,-4.924309805589389e-05,-0.00021840835621793814,0.0007433421978072184,-0.0016885078145798215,0.0018526227814520202,-0.0037050605294557553,0.0029289442724945375,-0.005915700561540708,0.0037769093301369605,-0.007905540577693947,0.004281379870742391,-0.009289062022981999,0.004419973814368047,-0.009777631722231159,0.0042570482618416025,-0.009227238441687153,0.003921979955721904,-0.007660870689896463,0.0035733154194722005,-0.005264861276768878,0.0033537829435026944,-0.0023602284321346243,0.0033461547104303327,0.0006483045198421685,0.0035434383862886546,0.0033399460498590135,0.0038456359373713125,0.005351788029981602,0.004088159744468593,0.0064444598130243445,0.004095896601009909,0.006544248485090752,0.0037463392498745182,0.005751523770915187,0.0030201536936710306,0.004314750595423795,0.0020211302108905085,0.0025790352064717307,0.0009589439514504833,0.0009224299159265213,4.703036857754625e-05,-0.0002189312413240502
