时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,7.355009682315202,-1.923476215364501e-06,-7.84820403698341e-07,3.3050578883323825e-06,-1.4172356575709302e-05,1.5353714986742487e-05,-4.148725336161925e-05,2.926929665006919e-05,-7.671254942467162e-05,4.1333579761979695e-05,-0.0001118806787639731,4.908052939506661e-05,-0.00013900284966541194,5.170925393029801e-05,-0.00015163123696744594,5.002454469792219e-05,-0.00014610555454704413,4.5963788585027824e-05,-0.00012223179221075806,4.185902164448635e-05,-8.328861165836676e-05,3.9636699534611055e-05,-3.5365494549765815e-05,4.017761274595401e-05,1.383886686084052e-05,4.302596720168688e-05,5.653000817972551e-05,4.654715045776504e-05,8.634721813217539e-05,4.8502435198942656e-05,9.960060498538694e-05,4.687277712892191e-05,9.595967032578583e-05,4.067110960024427e-05,7.845258302178741e-05,3.0468357195078573e-05,5.277659837923299e-05,1.844417334050653e-05,2.607645042857851e-05,7.9099352051227e-06,5.421790279551747e-06,1.673171367712341e-06,-3.2234172269178766e-06
3,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,16.736751723627705,-4.383131888512667e-06,-1.779391745194047e-06,1.1570313099807793e-05,-4.009027363548394e-05,4.700227340814588e-05,-0.00011949889068994414,8.79721485091445e-05,-0.00022227084344790497,0.00012354065065389301,-0.0003249044041736584,0.00014640920757405496,-0.00040366326966162947,0.00015417994736085657,-0.00043931662343112376,0.00014920914474145645,-0.00042092225991538447,0.00013723028505247494,-0.00034790509351895936,0.00012517639422924244,-0.00023010792771373318,0.00011879449437701979,-8.582680729009034e-05,0.00012071384418073943,6.178935047092313e-05,0.00012954574488415366,0.00018929356978297242,0.0001403347288842756,0.00027755896340463245,0.00014628445182520436,0.0003155226545642034,0.0001412584443003887,0.0003022737267686227,0.00012225981718553384,0.00024705450751689664,9.104448848785274e-05,0.00016718419303579592,5.428304206916417e-05,8.438082293995948e-05,2.2117769470569878e-05,2.0200581085188833e-05,3.8018578468347456e-06,-7.346754422604481e-06
4,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,27.094199300988922,-7.115856933859341e-06,-2.8560513753198637e-06,3.368455898437183e-05,-9.390434789664025e-05,0.000120471055987846,-0.0002860699403640471,0.00022083247724360362,-0.0005356632859010996,0.0003080609744849999,-0.0007849324251030956,0.0003642575179022616,-0.0009751356637012007,0.0003834520654432105,-0.0010585091396187278,0.0003713069778678965,-0.0010078172948164467,0.00034184297431434727,-0.000821645484609512,0.0003121718559503789,-0.0005246101897839085,0.0002966192652877655,-0.00016251916387475125,0.00030184316236272433,0.0002065990834749604,0.0003244360494967655,0.0005239201724032397,0.00035191993489793285,0.0007414728716885948,0.00036704503681694466,0.0008316212327543659,0.00035416723867148553,0.0007923595857577523,0.0003056409028143291,0.0006473016550117176,0.00022599497167345465,0.000440414919345837,0.00013233742881521893,0.00022673308006009897,5.06201486214459e-05,6.093835331647301e-05,6.132274085903146e-06,-1.193290690518516e-05
5,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,33.702501277520135,-8.887806830750614e-06,-3.5055802621846474e-06,7.025587084423299e-05,-0.00017200301261399955,0.00023377090949923036,-0.0005320620037600708,0.000422719575245876,-0.001000928802269798,0.0005871094185070102,-0.001469474936224166,0.0006934004971163747,-0.0018262298722532299,0.0007301991249729159,-0.0019803619359640597,0.000707742612203019,-0.0018799709430485378,0.0006520333623205532,-0.0015222487633569995,0.000595262415273719,-0.0009539693199246385,0.0005648568929161008,-0.00026239580791718764,0.0005740437102819015,0.0004417103196107171,0.0006168583749302421,0.0010458803897548789,0.0006696264760448881,0.0014583144649530301,0.000699044478294929,0.0016261977285249253,0.0006746122657419676,0.0015459462155667366,0.0005812946674648342,0.0012631400243397553,0.00042782861292840345,0.0008623001234061812,0.0002474673236819751,0.0004489992557730389,9.049819295708573e-05,0.00012809617847153368,7.58438430341414e-06,-1.4914256901584027e-05
6,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,36.898180983248544,-9.770840521584667e-06,-3.785518113690493e-06,0.00010829212734047677,-0.0002496635869648,0.000348621221363725,-0.0007786625384418378,0.0006261554696512105,-0.0014688693008560363,0.0008679034391269933,-0.0021595085597240857,0.0010249092194449783,-0.002685931228058367,0.0010802267550659346,-0.002913776402442621,0.0010481650836898216,-0.002766069439568853,0.0009661270909330765,-0.0022382543816678157,0.0008811331257862092,-0.001398984608408846,0.0008340200136660894,-0.00037685963504138726,0.0008453177464125925,0.0006644857682057264,0.000907243275502513,0.0015585190132301938,0.0009852327493388546,0.002169036746134099,0.001029648123986925,0.00241753203445145,0.0009944908785429183,0.0022985571115395494,0.0008567739221186515,0.0018796049963080662,0.000629302393161101,0.0012858038346074217,0.0003617682854478508,0.0006733153958008037,0.00012922162198641802,0.00019725176056204052,8.255773636905002e-06,-1.6404568707463054e-05
7,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,38.76733949116992,-1.0309155325500064e-05,-3.921694720451539e-06,0.00014685359290097052,-0.00032729079350808166,0.0004638613834066166,-0.0010262647869767856,0.0008297729421975348,-0.0019399279719250124,0.001148937208608505,-0.0028557452102625875,0.0013572431274712867,-0.003555583080357687,0.0014320665658119618,-0.00386117708278488,0.0013912473325472675,-0.0036700684425999726,0.001282936103400047,-0.0029754954080042887,0.0011686525017304706,-0.0018675062474744729,0.001102898862095438,-0.0005156316879271415,0.0011142497822719528,0.0008637921386265931,0.0011939188075171152,0.0020500128042295904,0.0012968824406729476,0.0028619922815388225,0.0013570079842170517,0.003195001473394098,0.0013122226993039696,0.0030412694959989534,0.0011310050647315168,0.0024898573025302047,0.0008299808417968455,0.0017062045927022066,0.00047541166108060147,0.0008967778214926538,0.00016737483954967148,0.0002667686785203853,8.624647172739756e-06,-1.7314545025727956e-05
8,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,39.98328309016876,-1.067849853195401e-05,-3.987016742054069e-06,0.00018563545244849666,-0.0004050149861480082,0.0005791146992798234,-0.0012750128077316017,0.0010331263580957083,-0.0024143143272719486,0.001429715274801055,-0.0035585621981396045,0.0016898922981150673,-0.004435864270177874,0.001785238067587877,-0.004823680838197215,0.0017365740962092245,-0.00459363373537972,0.0016021189507449847,-0.0037362474597814437,0.0014575242032762732,-0.0023624090302700324,0.0013711846615322035,-0.000682086441146131,0.0013804597430982773,0.0010359457831648061,0.0014764077667935194,0.0025166256638752345,0.0016040299566251405,0.0035336653248549264,0.0016805881365749885,0.003955542350412326,0.001627378480932684,0.0037716194676445294,0.0014037412567241404,0.0030920781886542162,0.0010298228121461027,0.002122275612484146,0.0005885249315468976,0.0011186225103754334,0.00020517563135005214,0.00033617776700411143,8.84540061848271e-06,-1.7938281652650448e-05
9,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,40.8294153260559,-1.095285449332969e-05,-4.012192237867262e-06,0.0002244999917856772,-0.00048287300560426703,0.0006941928056291801,-0.0015249131995622135,0.0012359680977806697,-0.0028920217239020093,0.0017099333046916348,-0.004267990714220039,0.0020225149968511216,-0.005326915640344708,0.002139397077770972,-0.005801611750262466,0.00208383749849865,-0.005537332403514157,0.0019234281334020971,-0.004521356987627865,0.001747555672404607,-0.0028848232735523196,0.001638704472321092,-0.0008776002416172521,0.0016437470276159077,0.0011794099480155677,0.0017544507286248873,0.002956783042281981,0.001906363229622899,0.004182574754701503,0.002000067928088655,0.004697874034328947,0.001939690361860713,0.004488588696193746,0.0016748167855921742,0.0036855242002165403,0.0012287796825132765,0.0025335190760422343,0.0007011528510745978,0.001338539119886589,0.0002427154918168235,0.0004052854600322684,8.983040715375517e-06,-1.8399590955266182e-05
10,1.3309154194588424,32137185.96049361,3680.549842831424,94.89527590488646,1.7162583685528343,0.23570930269978,0.04671693083347253,0.005994743706131459,1.799044480308726,1046.9441815853195,5.917421549100543,7.752089764954569,376.6802195560043,6.752160705317521,1.9483244652879537,691.5294937212968,41.444177250604895,-1.1168364163084706e-05,-4.012238018645177e-06,0.00026337114828113323,-0.0005608670498011915,0.0008089745209887513,-0.0017759214547826906,0.0014381171562724872,-0.003372962559465172,0.0019893466487527086,-0.004983932234566143,0.002354817975024989,-0.006228678334308917,0.0024942357976373733,-0.006795004704317452,0.0024327564061488705,-0.006501339425155809,0.0022466381831342972,-0.005331172478176719,0.0020385775961206773,-0.00343528641510891,0.0019053148983930572,-0.0011028875585590355,0.0019039492108009434,0.001293340326348468,0.002027833295374222,0.0033695883215641154,0.0022036160073424078,0.004807858974729296,0.002315164205434395,0.005421242197930951,0.0022489101653450526,0.005191572445418023,0.001944061417030804,0.004269751661003252,0.0014267739119295238,0.002939639211384864,0.0008132937251348945,0.0015563489601443145,0.0002800333158949993,0.00047398894351084834,9.069341250769435e-06,-1.8758947794225606e-05
