时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,3.55387662452514,-1.0218133110957762e-05,-3.331863722840868e-05,-1.537344858518634e-05,-6.910375059680135e-05,1.339241608471007e-06,-0.000107734067054782,1.8651468989206772e-05,-0.00015273632799761312,3.332587210214831e-05,-0.000197440844572767,4.3117805875778504e-05,-0.00023566205151843942,4.7262719647902206e-05,-0.0002623793442359754,4.638115090770113e-05,-0.00027436519963262027,4.211718804575486e-05,-0.0002705346596984461,3.6607481918955456e-05,-0.00025197526655948893,3.1895900872090954e-05,-0.000221653687541245,2.9426513124794224e-05,-0.0001838476500798088,2.973310460821847e-05,-0.00014339537964217497,3.2396470016256946e-05,-0.00010489160404340603,3.626957284747107e-05,-7.197383313421808e-05,3.989545321706595e-05,-4.682869466995436e-05,4.1987002104526876e-05,-3.000321825383331e-05,4.1815605348394206e-05,-2.055108047394723e-05,3.939752105365555e-05,-1.6474078730645042e-05,3.5690136142291795e-05,-1.5513296509731514e-05,1.5392975463209862e-05,-5.221770049194379e-06
3,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,7.810826907617903,-2.2544796818164947e-05,-7.333333730293795e-05,-3.164876984249741e-05,-0.00015591492057741578,8.53145649473995e-06,-0.00024731914842029967,5.0316126469798214e-05,-0.0003541615871037262,8.578596661056074e-05,-0.00046023567219701764,0.00010943104124115947,-0.0005502741159611994,0.00011936141407492677,-0.0006118099611901909,0.0001171169682959151,-0.000636847755065936,0.00010678520132360786,-0.0006228083414798522,9.367005115716816e-05,-0.0005726380056011577,8.28089934311992e-05,-0.0004940726733052206,7.76822260008119e-05,-0.0003981816025657541,7.942329437650061e-05,-0.0002974291038689603,8.672103941123092e-05,-0.00020358898685875678,9.641892725567999e-05,-0.00012588537001609164,0.00010462165483042819,-6.969729618321095e-05,0.00010797210518106151,-3.60481286682888e-05,0.00010470355613469658,-2.1954726407679136e-05,9.517324149239225e-05,-2.15320680037433e-05,8.23198995239754e-05,-2.7934057399846378e-05,3.3886042490140537e-05,-1.149862995246333e-05
4,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,11.126518726873572,-3.221866480111003e-05,-0.00010457237355975424,-4.1663893377697284e-05,-0.0002283646729538837,2.0884484373459038e-05,-0.00036857599786381014,8.606794018454189e-05,-0.0005327952803097269,0.00014140646058650677,-0.0006955895285885382,0.00017821592595577846,-0.0008327242311048703,0.00019351974256234081,-0.0009243367250941927,0.0001897961925351979,-0.0009577372608243057,0.00017358862054609446,-0.0009290108202984709,0.0001533652979092322,-0.0008432327753028367,0.00013711550570117271,-0.000713281596631259,0.00013024815197852237,-0.0005574504075175927,0.00013430806681088173,-0.00039624977180116296,0.0001468318920711296,-0.0002489550181515033,0.00016236242606006124,-0.00013051852773333244,0.00017431307488009135,-4.9408646085847385e-05,0.00017712620230302025,-6.744462867638109e-06,0.0001680698854384294,3.151113235648056e-06,0.00014817466590061177,-9.046810793224778e-06,0.0001229000430968283,-3.0765119440776e-05,4.832960704347909e-05,-1.6408346496257782e-05
5,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,14.797018949133259,-4.30147128839696e-05,-0.00013921272823457875,-4.7996286423186986e-05,-0.00031698062581705277,4.636104346244058e-05,-0.0005245015281799592,0.00014478498777252246,-0.0007678362620366409,0.0002282260469200252,-0.0010082767661754217,0.00028347784198966286,-0.00120852361503605,0.0003060586246562922,-0.001337934542681223,0.00029989080742596965,-0.001377079625194891,0.0002751744004253977,-0.0013203731223977095,0.0002450450679202465,-0.0011764678472445812,0.00022178623273611087,-0.0009663806161708557,0.00021350096156440412,-0.0007196647971859456,0.00022208114521162943,-0.0004692573675621137,0.00024301042447389518,-0.0002458929701693667,0.00026704997970137195,-7.309364865676747e-05,0.0002833200465696472,3.6347788590507574e-05,0.00028287600982123193,8.17832113402854e-05,0.0002617081788683202,7.382649086845746e-05,0.0002223290942779488,3.145476332337857e-05,0.00017464141904510928,-2.2858902879486823e-05,6.435476480065339e-05,-2.187203822223399e-05
6,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,18.21267396850739,-5.316516943448706e-05,-0.0001714741448499336,-4.573039641046959e-05,-0.00041366587760203696,9.00252598039883e-05,-0.0007061058803715554,0.0002314889134121489,-0.0010488780351852573,0.0003510190035977697,-0.0013858176242581791,0.00042961604380101215,-0.0016623612533973684,0.00046097147371332444,-0.001833703916090838,0.00045105807905066603,-0.0018717683535133078,0.0004150261600944061,-0.0017692529129320054,0.00037225109927764777,-0.0015402625116765648,0.000340674332663602,-0.0012174692439712016,0.0003318038264736605,-0.0008462703979761496,0.00034766453935794754,-0.0004768928373005103,0.00038055053028307283,-0.00015580913412381698,0.00041568727697638923,8.19746559272355e-05,0.0004360733016132665,0.00021832887065425884,0.0004281059598770195,0.0002541536098123465,0.00038631510346150307,0.00020797471922868826,0.0003158620006120378,0.00011142618701483852,0.00023349159371384936,1.900215397159064e-06,7.929289948848534e-05,-2.6995967308040957e-05
7,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,20.920131033915354,-6.131252479366088e-05,-0.00019702232982716348,-3.319736777656774e-05,-0.0005088858773954157,0.00015064434486137103,-0.0008976017737901126,0.00034172689544340745,-0.0013524206113851272,0.00050245529527139,-0.0017967258990805061,0.0006072879138867011,-0.002155781508288306,0.0006479905850161237,-0.0023684063538454052,0.0006330935058868379,-0.002396808016123369,0.0005836402006579207,-0.0022322884330516295,0.0005263486579817847,-0.0018961131226747177,0.00048574543151615976,-0.0014354685686221603,0.0004771761283741163,-0.0009151534782623464,0.0005025347562180259,-0.0004063342781341441,0.0005499677408953683,2.5698318735998224e-05,0.0005977575910685969,0.00033253201874594297,0.0006213669463862932,0.0004903222322097695,0.0006016288939625354,0.0005027768898115783,0.0005316341567979935,0.0003990139144392526,0.00042031380906138203,0.00022695330915671608,0.0002932713713554679,4.290018344884234e-05,9.113956400915432e-05,-3.11015299202257e-05
8,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,24.322092272827504,-7.177619093395387e-05,-0.0002289504579646423,1.2896683179444802e-05,-0.0006810040002673305,0.0002998024771930013,-0.001272232026795001,0.0005961671369891696,-0.00196076855468258,0.000843289024200275,-0.002625707153049207,0.0010021956499277943,-0.003149023947621581,0.0010610274634303037,-0.0034349725838233674,0.0010340910378645323,-0.0034260305834825588,0.0009551764872913389,-0.003112032176307809,0.0008667555450636599,-0.0025313658781131775,0.0008074199102186166,-0.0017641496964833523,0.0008005679760692727,-0.0009184111741168113,0.0008474089886456025,-0.00011140930553075855,0.0009265164743201181,0.0005507238961363261,0.0010004462854026315,0.0009912569106369446,0.0010277998012702995,0.0011754971747766605,0.000977287790839259,0.001115391256738503,0.0008395041660168568,0.0008654177975695386,0.0006328163025712001,0.0005110099584631103,0.00040339177808801775,0.00015121705450187002,0.00010599516732025172,-3.636859755898387e-05
9,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,26.636627735334645,-7.921399750003577e-05,-0.00025030416441956956,9.281731921740882e-05,-0.0008825591620573116,0.000517548049967584,-0.001742780421843033,0.000953391069586465,-0.002739569850259161,0.0013139302145099012,-0.0036920513516924694,0.0015430634708990746,-0.004424240674962145,0.001624563781094147,-0.004794906705762883,0.0015804492976468783,-0.004721520262942741,0.0014612533397234996,-0.004193663711931472,0.0013302603094965265,-0.0032743616546006588,0.0012448765966724695,-0.002089316470207355,0.0012394725461071414,-0.0008055730303367856,0.0013144585664959878,0.00039724521326207343,0.0014353543740090624,0.0013583366049209871,0.0015430273328504347,0.001963893888189313,0.0015727745177006027,0.0021663763567304497,0.0014767498735400169,0.0019910013089029224,0.001242671965405264,0.0015284879892598863,0.0009027883883801735,0.0009162590609128016,0.000532144495230504,0.00031156259419752884,0.00011602491811508962,-4.0109860905143125e-05
10,27.18805126583777,985575235.1821516,-239060.39312446094,55346.46697062565,2.3405882343158457,0.37146143069283677,0.2209355477556611,0.02636743761878654,2.4894411859817818,332.20166897860275,6.438737930353965,1.2569306102987685,265.0760927152861,4.226880322310777,7.916962521954181,84.29168696318493,27.918846779149366,-8.361617421937879e-05,-0.00026175076675587824,0.00018166148577494255,-0.0010725795692442732,0.0007445617449771001,-0.002203844687990419,0.0013195053991843985,-0.003510447352274795,0.0017928452365027466,-0.004750681578895023,0.002091896103239384,-0.005690169663877516,0.0021961388480236203,-0.006142329941436008,0.0021348593935888675,-0.006000196677799353,0.001974711215379776,-0.0052538555545303305,0.0017994567602563326,-0.0039916892215713495,0.0016855474350907986,-0.0023855817637991506,0.0016790207203660563,-0.0006620793848430576,0.001780230001464556,0.0009364558498029475,0.001941961258512203,0.002194385642590094,0.002083086659723468,0.0029610369794661343,0.0021148768870343396,0.00317669832251876,0.00197229633447235,0.0028808615349649983,0.0016401113986116737,0.0022014521431487286,0.0011650289241883782,0.001328420438244553,0.0006517604702551458,0.0004772041527771182,0.00012150787104157753,-4.231877796516053e-05
