时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,3.3213031712130348,-1.1794182522770315e-06,-4.975830607824334e-07,1.2702890439894182e-06,-9.862366231909246e-06,8.0183665283866e-06,-3.0044670162341293e-05,1.599622968854614e-05,-5.647829234561562e-05,2.297785649564457e-05,-8.328660134709922e-05,2.7514307867034405e-05,-0.0001045925369119092,2.9115916404691984e-05,-0.00011563474947156353,2.8205270010675272e-05,-0.00011364590074701768,2.5849460981610766e-05,-9.83340748632814e-05,2.3353982609189153e-05,-7.18886779567434e-05,2.1823877190516114e-05,-3.851638385445426e-05,2.180725130603245e-05,-3.5991016421983703e-06,2.3122274017845476e-05,2.7365245274810092e-05,2.492588073282912e-05,4.983401323683744e-05,2.601422671344326e-05,6.109077958714964e-05,2.5269127635771088e-05,6.0739160814560774e-05,2.2108626376273436e-05,5.0718994903078946e-05,1.678736345823332e-05,3.4841401406600186e-05,1.0437134971011427e-05,1.794263969969058e-05,4.784685881285117e-06,4.834087029771394e-06,1.1690577645172208e-06,-5.190107718668659e-07
3,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,7.936702716258964,-2.8226041107103114e-06,-1.183612066509528e-06,4.6056967616027506e-06,-2.7412831694173978e-05,2.4030186704896035e-05,-8.462833082770234e-05,4.6997648949280175e-05,-0.00015983908021389195,6.713191121626834e-05,-0.00023613901135514134,8.024376903188254e-05,-0.00029647559567922875,8.490232737179059e-05,-0.0003269673538919048,8.231810580653654e-05,-0.00031952527452873994,7.558046193513911e-05,-0.0002733034066278414,6.848444607797332e-05,-0.0001947434882317752,6.425029687917625e-05,-9.62289585695713e-05,6.447092915878742e-05,6.383656385810551e-06,6.858954604788699e-05,9.688447860053551e-05,7.408935006370002e-05,0.00016187673571465416,7.737654740139762e-05,0.00019336059003060912,7.510822635500268e-05,0.00019020836130254572,6.554289523683062e-05,0.00015823080963910604,4.945004171763836e-05,0.00010882476610482705,3.0246917414656428e-05,5.649728098806132e-05,1.3193990476263582e-05,1.5788027545128357e-05,2.7921602858082007e-06,-1.2467346687045246e-06
4,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,12.245662976512133,-4.363679369889385e-06,-1.8134633649744337e-06,1.073821335885382e-05,-5.119425955031161e-05,4.827702558007739e-05,-0.00016013853304449734,9.261855381075055e-05,-0.0003037536766176906,0.00013152847440954434,-0.00044940723495805185,0.00015691246005620807,-0.0005639544475588026,0.00016598261221637998,-0.0006203105108363217,0.00016105878814024488,-0.0006026671671865861,0.00014812019034748906,-0.0005094043980472063,0.0001345484478070385,-0.0003532260932315459,0.00012663447928803532,-0.00015854629058598013,0.00012749673259108686,4.33543707860248e-05,0.0001360162730404709,0.00022047978474613365,0.00014717569762522976,0.0003463863473526042,0.00015379356604808454,0.00040531763683620685,0.00014917510322289947,0.0003951537331774505,0.00012983232498394736,0.00032757054503299347,9.73310230024357e-05,0.00022538996530271213,5.858446227124145e-05,0.000117706477003532,2.42910462793733e-05,3.381999521019586e-05,4.303790910680854e-06,-1.937928615203718e-06
5,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,16.94401887249142,-6.059781963759742e-06,-2.4730291622462532e-06,2.5041720161504693e-05,-9.582522932637114e-05,9.804679030936393e-05,-0.00030433621085200447,0.00018405487100402567,-0.0005798771446458496,0.0002595529775646708,-0.0008590876660170804,0.00030891114499644496,-0.00107721747420015,0.00032669745332441634,-0.0011811850675031218,0.00031732527630395967,-0.0011399880573796438,0.0002923354188975785,-0.0009505586612879278,0.0002661059911079796,-0.0006381214207826641,0.0002510192988389834,-0.0002510993362676477,0.00025330831213489567,0.00014842922093702947,0.0002708122800560493,0.0004969249081175528,0.0002935113933523819,0.0007418818475853374,0.00030693126103350794,0.0008521154513093426,0.0002975045941309709,0.0008237054350973617,0.000258152092002635,0.0006803524437828018,0.00019210059027770498,0.00046811220838537197,0.00011349500595373693,0.0002456938116570349,4.426919164538085e-05,7.238279862873041e-05,5.941336335347428e-06,-2.7198230202330483e-06
6,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,20.10899174194158,-7.225797083105475e-06,-2.8747335670163474e-06,4.649296176529686e-05,-0.00015501410729326548,0.00016763469805976624,-0.0004977800034223225,0.0003099383193552101,-0.000951467149122113,0.0004348651017697917,-0.0014110150024093206,0.0005167813244582344,-0.0017686827618203194,0.0005466814465952529,-0.0019359884113683144,0.0005315983554592332,-0.0018612241172613724,0.0004903182899599747,-0.0015393384201794482,0.00044655865354797583,-0.0010126208962415464,0.0004210909167753026,-0.00036227304042917686,0.0004247082396350859,0.00030749949753404167,0.00045415284208118477,0.0008899258122158528,0.0004926858110736206,0.001296730057166556,0.0005156916972123369,0.0014755633567958687,0.0004998730834979133,0.0014201168284918534,0.0004329878293399378,0.0011707480028858874,0.0003205498679846442,0.0008055706698702771,0.0001868707621794809,0.0004240749326542843,6.96268330451764e-05,0.00012679655498613158,7.027418635919289e-06,-3.2887965614581316e-06
7,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,21.839687389937048,-7.884911460583355e-06,-3.0555121659047356e-06,6.893663243994016e-05,-0.0002139328001894305,0.0002383043963090522,-0.0006915274899532039,0.0004368494610585526,-0.0013245221322627594,0.000611224705190008,-0.001966016510010806,0.0007259854631959526,-0.0024650294870799177,0.0007685202386367289,-0.0026974007885784182,0.0007481843542415523,-0.002590455835704499,0.0006906264678571615,-0.0021369314833198237,0.0006287067804088889,-0.001396010672935501,0.0005917441844911455,-0.00048160760203019317,0.0005955400534406499,0.00045984921939907364,0.0006362128619616293,0.0012780896777566735,0.0006905154612216819,0.0018486989564579584,0.0007235260335214603,0.002097822657790394,0.0007018120909620035,0.002016560064829749,0.0006076092087705497,0.0016618837730767375,0.00044863296211827364,0.001144028798328511,0.00025956373433448757,0.0006033702901515661,9.412721932093529e-05,0.00018182895927882395,7.606374711606479e-06,-3.637451594191027e-06
8,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,22.92170957149494,-8.315337517411857e-06,-3.1362871380837865e-06,9.180608955700041e-05,-0.00027280818329215444,0.0003093431262876136,-0.0008858871163436618,0.000563974172254804,-0.0016995837858525963,0.0007877733223950928,-0.0025251254689297484,0.0009356819465305551,-0.0031681099609013248,0.0009914377894948625,-0.003468434380631951,0.0009663918419823472,-0.0033321421020717883,0.0008926300942909616,-0.0027494076132307237,0.0008119177265989309,-0.0017959539476683007,0.0007622573487769834,-0.0006181237541960913,0.0007649201785174574,0.000595554434303026,0.0008159271728497102,0.0016512146240919149,0.0008858117245088462,0.0023880134258550995,0.0009292544263934276,0.0027102125834147237,0.0009023218357955676,0.002605964534315903,0.0007813515657029121,0.00214857450318618,0.0005761027444640872,0.001480174967947998,0.0003317175052717785,0.0007818508097252597,0.00011815927292689164,0.00023682981918683342,7.956711540812664e-06,-3.88602843142824e-06
9,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,23.65617193925389,-8.62380209045204e-06,-3.163448580209029e-06,0.00011487721939823079,-0.0003317115030902498,0.0003804610253858231,-0.001080944212107681,0.0006909746807444176,-0.0020768317185606965,0.0009641488120347205,-0.0030887472826039973,0.0011455118969203382,-0.0038787089901421963,0.00121510520961114,-0.004250395459102108,0.0011859392624131236,-0.004088209902995254,0.0010960932604857187,-0.003379347065925967,0.0009959760737295056,-0.0022156347510627985,0.0009323936777539969,-0.0007754719305480601,0.0009325507352205971,0.0007107149744700872,0.0009929217744792675,0.0020054186634231625,0.0010781489040400554,0.0029110838092300437,0.0011324597939168075,0.0033096664689308396,0.0011010685138288937,0.0031859340735176517,0.0009540235527719248,0.002629138202911702,0.0007029295194237054,0.0018129811202675275,0.00040343520880651527,0.0009589978812465466,0.0001418916214695142,0.0002915994983066516,8.185245928362048e-06,-4.08070483625873e-06
10,3.3177527516047984,38841817.54393083,3250.411220570615,292.5662775410239,2.388882184598819,0.26094428591613406,0.04961744488714731,0.009728092095364136,2.462851320635455,897.3788585487175,10.0,10.0,1000.0,10.0,10.0,1000.0,24.182108176514067,-8.85960231985108e-06,-3.1584487243286537e-06,0.00013803899695177666,-0.0003906578041420538,0.0004515012127937874,-0.0012766856360808836,0.0008176512551102492,-0.0024562605418173046,0.001140117781638064,-0.00365695749781563,0.0013552255403739188,-0.004597074167659828,0.0014392801460130181,-0.005043789961825508,0.001406614637796988,-0.004859485192343669,0.0013008452701196802,-0.004027919728594355,0.0011807430013175294,-0.0026565455068686982,0.0011020181508829211,-0.0009553969800514077,0.0010982673290108732,0.0008034485652612031,0.0011669840865629268,0.0023388259877404716,0.001267275707757261,0.003416186153780836,0.0013328890219707068,0.0038947294243250863,0.001297845580601526,0.0037553509760106115,0.0011255028824451927,0.0031028063018745445,0.000829085399022637,0.0021419884735608473,0.0004747628609308752,0.0011345855613794475,0.00016540356488613727,0.0003460515189217491,8.341325885485317e-06,-4.2428161349189e-06
