时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,0.8174663990534594,-2.221237004179361e-06,-2.71525948177112e-07,-3.208233271360879e-06,-5.39523629713112e-06,-1.7838382476553391e-06,-1.2174197184187578e-05,-3.480712990302571e-07,-2.0051983348985855e-05,8.67166576113948e-07,-2.8016257197557046e-05,1.7052459011824456e-06,-3.517377162561881e-05,2.1138222601836074e-06,-4.081399265989339e-05,2.1299359576911823e-06,-4.44638420078915e-05,1.8548276824634336e-06,-4.591417339626212e-05,1.4239780046617001e-06,-4.521322813286546e-05,9.764435696805737e-07,-4.262874949491417e-05,6.281372342462154e-07,-3.858539574247429e-05,4.5343134107444006e-07,-3.358781665910493e-05,4.78113164299152e-07,-2.8142047709552423e-05,6.841917801470086e-07,-2.268824900799947e-05,1.0238384606883083e-06,-1.7556043869165437e-05,1.436840264845043e-06,-1.294988025245982e-05,1.8642751134064923e-06,-8.966737964504441e-06,2.2539959331052247e-06,-5.6433612909098015e-06,2.587218101046638e-06,-3.031762850538509e-06,7.93249690226874e-07,-6.873364848896594e-07
3,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,4.700072767405396,-1.2804656148232107e-05,-1.5610042786561134e-06,-1.8425230002292677e-05,-3.13452449778979e-05,-1.0081225918113004e-05,-7.09728175675775e-05,-1.6320027532210556e-06,-0.00011719746844372985,5.544702791563931e-06,-0.00016403857247145027,1.0508790725283819e-05,-0.0002061483480399387,1.2937517789525477e-05,-0.00023923466467990907,1.3043722032820714e-05,-0.00026042124404140925,1.1428357413676571e-05,-0.00026842960314550445,8.900980946263152e-06,-0.0002635536224841225,6.293600519145651e-06,-0.00024743691698277505,4.296818661466514e-06,-0.0002226937113251465,3.3458826787472818e-06,-0.00019243692751535368,3.576318285510221e-06,-0.0001597914082425394,4.853454752410649e-06,-0.00012747265952740437,6.860254911743401e-06,-9.750073808241014e-05,9.209658527867039e-06,-7.109540442838963e-05,1.1537022861236252e-05,-4.876716325191773e-05,1.3544836376771939e-05,-3.058668620299465e-05,1.5167568184383771e-05,-1.662124674554885e-05,4.571539408340547e-06,-3.9568433348746545e-06
4,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,9.904502073102986,-2.707876357532111e-05,-3.28854915681405e-06,-3.871142190330534e-05,-6.717161650147709e-05,-2.061010797504923e-05,-0.00015283790162930286,-2.1712293272559618e-06,-0.0002532597338480293,1.3560504394107255e-05,-0.00035531614945196035,2.448135205421801e-05,-0.00044706475291767965,2.984547805815995e-05,-0.0005188078182474763,3.0103939943139655e-05,-0.0005639939504669721,2.6585255525379183e-05,-0.000579696172209759,2.1094180591191474e-05,-0.0005665978630876029,1.5488167844218184e-05,-0.0005285085729951157,1.1299344327913646e-05,-0.000471502872837417,9.468034247339892e-06,-0.000402829403897793,1.023683650368382e-05,-0.0003297710061265693,1.3219302805770199e-05,-0.0002586434141034735,1.7610670204479176e-05,-0.00019409585762868604,2.2464478562434544e-05,-0.00013882289638258055,2.6932798699401595e-05,-9.372358820915666e-05,3.0402500962730254e-05,-5.846824788261916e-05,3.287802158225745e-05,-3.2436856083975443e-05,9.663673809079876e-06,-8.35392703152008e-06
5,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,12.992763828693501,-3.559942469969571e-05,-4.312622341612589e-06,-5.0632972706986124e-05,-8.920749921697467e-05,-2.6392731943752238e-05,-0.00020362629584377392,-1.6141416263493657e-06,-0.0003381459652069683,1.957990955297373e-05,-0.00047507447826407567,3.4321062136431836e-05,-0.0005981348784280268,4.157455372755302e-05,-0.0006940175153966969,4.193718093001136e-05,-0.0007536902878248637,3.7210101506575915e-05,-0.0007731114166033157,2.9851767629024896e-05,-0.0007532470591974824,2.2394020106276262e-05,-0.0006994223265636208,1.6916368302366122e-05,-0.0006201341200686486,1.4672256039115919e-05,-0.0005255304052296092,1.5938744007310722e-05,-0.00042580854994797823,2.0112884021935488e-05,-0.0003297956677148611,2.6012507384510384e-05,-0.000243941155564849,3.227676081321856e-05,-0.00017187686971953674,3.772368275267955e-05,-0.00011459809737072237,4.15670985612671e-05,-7.121151356381821e-05,4.394838564348335e-05,-4.019290222490291e-05,1.2700794033917956e-05,-1.0972749768774941e-05
6,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,16.5687628174923,-4.5514054373729726e-05,-5.496809718985409e-06,-6.426135693749334e-05,-0.00011568762266441045,-3.2490679289976633e-05,-0.00026511444536750963,1.1167289385054327e-07,-0.000441370150950119,2.8072788127899214e-05,-0.0006210788966852471,4.755789931423491e-05,-0.0007824667112440134,5.715854435497334e-05,-0.0009075894424930842,5.7648441678149445e-05,-0.000984212279864217,5.14245855962594e-05,-0.001006859912850738,4.177518477164617e-05,-0.0009768984871389782,3.208813426975315e-05,-0.0009016842008801942,2.5130914865632024e-05,-0.0007929520077354804,2.2533535971175268e-05,-0.0006647244092597697,2.4577873091692164e-05,-0.000531088329002078,3.0331618670553208e-05,-0.0004042043919125051,3.8073820136953684e-05,-0.00029286977912617044,4.587027802839219e-05,-0.00020185418327599378,5.210166016391807e-05,-0.00013208757739257578,5.580327982004785e-05,-8.162939441112014e-05,5.7388962005438736e-05,-4.7330141729760824e-05,1.6231898118209435e-05,-1.4015860929009887e-05
7,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,19.926550887400357,-5.4873542767271145e-05,-6.606322348968602e-06,-7.680008599957206e-05,-0.00014180822623056238,-3.741975496728564e-05,-0.00032628004530786345,3.1302216286055403e-06,-0.0005445156257495443,3.798539926618886e-05,-0.0007673141287582797,6.23086446293545e-05,-0.0009671603642997545,7.429737954316787e-05,-0.001121218234909795,7.4904871301147e-05,-0.0012138578903664909,6.714870089993763e-05,-0.0012381001527342274,5.518555378794666e-05,-0.0011957910012606718,4.32984457906374e-05,-0.0010965447314014347,3.496594051137932e-05,-0.0009556762813645543,3.2187297794465826e-05,-0.000791484077737998,3.520435060069597e-05,-0.0006223359879536969,4.267786839385568e-05,-0.00046403538991315787,5.225606536372868e-05,-0.0003278911397253358,6.135352055864572e-05,-0.00021978493718352604,6.788228958829251e-05,-0.00014034655240222687,7.074229918790603e-05,-8.615103481446317e-05,7.074632318493377e-05,-5.181064209878581e-05,1.9561789957671523e-05,-1.6885955086604017e-05
8,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,22.287491711703147,-6.148450787569424e-05,-7.384460959115157e-06,-8.540579478952202e-05,-0.000161119637619842,-4.0276498013840756e-05,-0.00037183143459457223,6.29699793311397e-06,-0.0006215967322892586,4.6383665350362363e-05,-0.000876763795514817,7.437664291379599e-05,-0.0011053702863928147,8.81685205533423e-05,-0.0012807640206740963,8.885064930072822e-05,-0.00138466296513679,7.992160896481826e-05,-0.0014089298964934565,6.621251923377552e-05,-0.0013558333245832278,5.2700352720305444e-05,-0.0012368341685585562,4.340926217893045e-05,-0.001070154926666053,4.060838555214653e-05,-0.0008775573208645159,4.4478692921404415e-05,-0.0006808653044802511,5.332449236107987e-05,-0.0004988023155312274,6.426134903176256e-05,-0.00034465127471798406,7.416668721412796e-05,-0.00022509305788685812,8.058439577253153e-05,-0.00014036207427350087,8.234556464002133e-05,-8.562241455770392e-05,8.064754252791737e-05,-5.3404326508884456e-05,2.1911359863965068e-05,-1.891276010753562e-05
9,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,24.751989674276153,-6.841352184658851e-05,-8.19430367355669e-06,-9.413425663282979e-05,-0.00018236064825004618,-4.2554103641641696e-05,-0.0004222621316231007,1.0789967518229963e-05,-0.0007071667955666395,5.675713938703315e-05,-0.0009983801599067503,8.886859511545166e-05,-0.0012588508043556797,0.00010467137774268945,-0.00145753954178639,0.0001054161214060665,-0.0015731172891867405,9.515337055587344e-05,-0.0015961400429364743,7.94880878778378e-05,-0.0015294216149515508,6.419176530882632e-05,-0.001386642483088463,5.390722625998057e-05,-0.0011894926610263317,5.1195727498097436e-05,-0.000963850091838477,5.613813894541645e-05,-0.0007356312174330597,6.658916360840609e-05,-0.0005269924798941828,7.901098877239888e-05,-0.00035349368996612235,8.963484939027513e-05,-0.00022265540988681596,9.558052485617724e-05,-0.0001340849667114056,9.563915787917701e-05,-8.106368457055353e-05,9.15249977384663e-05,-5.339386755828547e-05,2.437128978819926e-05,-2.1037771221765776e-05
10,1.9823334241875141,41608033.017350964,154.04467501892213,179.26229640321975,0.7076667864282927,0.055887209476709325,0.06596628709385116,0.007113457888271085,0.7192662854966618,346.52439886804206,3.422365574554957,8.479504724280034,735.6383315425732,9.44887429825787,3.440002963564019,853.9608445340102,27.030711774547516,-7.484690658795395e-05,-8.940200603105737e-06,-0.00010190188182438516,-0.00020323810191831754,-4.3849086809226426e-05,-0.00047215680147837406,1.629281742731836e-05,-0.0007920279038227735,6.815827024233526e-05,-0.0011190493649811813,0.00010438933044521699,-0.0014109739659049362,0.00012218630622964392,-0.0016322700466450506,0.0001229658505833824,-0.0017584960086977426,0.00011134466957458809,-0.0017789040770041125,9.372006074667278e-05,-0.0016969381535417091,7.667478925905939e-05,-0.0015286607980606825,6.54771220647443e-05,-0.001299448912332514,6.296917829888767e-05,-0.0010395382883473252,6.90984016197186e-05,-0.0007791588622254954,8.121808281147763e-05,-0.0005440565124416613,9.507934267983006e-05,-0.00035212264263792867,0.0001062231308985612,-0.00021164715625564723,0.00011133568749258646,-0.00012141003350367705,0.00010920913125005458,-7.249420671404982e-05,0.00010216396830213761,-5.1572376161292084e-05,2.6652348243877533e-05,-2.3012572505069406e-05
