时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,11.017170212759039,-4.859767522086145e-07,-1.7702105490770099e-07,1.570851717157336e-06,-7.71388305168373e-06,6.568978533287846e-06,-2.394708078621475e-05,1.233927004663769e-05,-4.499366014758301e-05,1.7318430783786683e-05,-6.599677655372883e-05,2.049613520406577e-05,-8.214161491638617e-05,2.15592793274705e-05,-8.957349908146157e-05,2.0847764405515596e-05,-8.61224165730901e-05,1.915521848165529e-05,-7.169388680083844e-05,1.7432934182717116e-05,-4.826094260188399e-05,1.6471822421639873e-05,-1.946342654027877e-05,1.664442274104765e-05,1.0107248407767673e-05,1.7780589925462937e-05,3.580224197351593e-05,1.922097299224541e-05,5.381657928062918e-05,2.0043016805536042e-05,6.19206540943844e-05,1.9397466442972318e-05,5.987513909929727e-05,1.6850103975306785e-05,4.944534514608246e-05,1.2612705678684682e-05,3.4011498539507206e-05,7.578286187980575e-06,1.7856201860907455e-05,3.137788877069551e-06,5.26713462674871e-06,4.807023334399861e-07,-1.8974883791509787e-07
3,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,24.992861658641814,-1.1037505560447612e-06,-3.991453373547647e-07,4.4619003943986585e-06,-1.999576617365392e-05,1.7624389512099806e-05,-6.247665552838399e-05,3.283097671568024e-05,-0.00011766408502642403,4.596795688587864e-05,-0.00017276084459873884,5.436682734230528e-05,-0.0002150212764063461,5.71928794087208e-05,-0.0002342138321494022,5.5335052837575e-05,-0.00022456591425683338,5.088570049521189e-05,-0.00018581854897610327,4.636202116376695e-05,-0.00012321593626800722,4.3863927736182646e-05,-4.6446276055530644e-05,4.438455507349414e-05,3.2259046203649295e-05,4.747153612637072e-05,0.00010050750009639295,5.1361962567108856e-05,0.00014815106243011572,5.358240100789442e-05,0.0001692425198753404,5.18507103261557e-05,0.00016314900643895236,4.499661463944698e-05,0.00013459734048197603,3.358699559518099e-05,9.264224602532354e-05,2.002562111759255e-05,4.8774632833559255e-05,8.065829414774124e-06,1.4540852727708697e-05,1.0897205145181025e-06,-4.330374366065712e-07
4,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,39.30100098806638,-1.738474138926499e-06,-6.219946628270925e-07,9.097045889492103e-06,-3.722985732392658e-05,3.4003973100510774e-05,-0.00011710663108381628,6.27882231247576e-05,-0.00022107070807240295,8.768096361318222e-05,-0.0003248994591326923,0.00010362704641431083,-0.0004043597107973013,0.00010902945946442303,-0.00043994649565020077,0.00010555184871283016,-0.0004206302247035506,9.714783766728409e-05,-0.00034590009641068397,8.859721508992305e-05,-0.00022576619359550236,8.390823116811191e-05,-7.875069871817374e-05,8.499237220599641e-05,7.173892846680729e-05,9.099567960011364e-05,0.00020196826373618528,9.85364134578969e-05,0.000292490395501553,0.00010284734653410869,0.0003319074171566461,9.951548459708961e-05,0.0003190195362232095,8.626989697621369e-05,0.00026292520434238417,6.4202155299006e-05,0.00018105575262276278,3.7967012744378047e-05,9.556215905212121e-05,1.484401066217096e-05,2.8770489835701423e-05,1.7116680447759146e-06,-6.868201988004085e-07
5,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,55.489685055151796,-2.4616318671421922e-06,-8.634094667407859e-07,1.8264077417153166e-05,-6.766059003677793e-05,6.435234470596224e-05,-0.00021448853211011423,0.00011760491326548371,-0.0004059783301182215,0.00016370847072671752,-0.0005973013547560432,0.0001933275561785202,-0.0007433963194309068,0.00020347302991644066,-0.0008078867080424216,0.00019715477877396402,-0.0007701438061126936,0.00018163416871944612,-0.0006291629329467107,0.0001657650160302594,-0.0004036161279802329,0.00015704743593343817,-0.00012813555917432144,0.000159127746156607,0.00015344807000064418,0.00017047791828158376,0.0003966386999979176,0.0001847704239014556,0.0005649442429554493,0.00019299494564037627,0.0006369680713630529,0.00018675900680716775,0.0006104795213012031,0.0001617171612484592,0.0005026286767595419,0.00011992546304426239,0.0003462753743894811,7.023417397490927e-05,0.00018322359757668157,2.6491774697288115e-05,5.5721709753299194e-05,2.4115329971408483e-06,-9.84715363287989e-07
6,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,70.13099966801941,-3.1259599251526243e-06,-1.0591491705557589e-06,3.478132263665726e-05,-0.0001181860794529963,0.0001165180118725058,-0.0003774327930970942,0.0002108876371045057,-0.0007162361428415658,0.0002926916577603898,-0.0010550721468995487,0.000345485021251927,-0.0013136572688642529,0.00036390088684641657,-0.0014269866224370113,0.0003530496866304052,-0.0013580526354217304,0.00032556795973636804,-0.0011048650536126076,0.0002970875312669203,-0.0007006341407831464,0.0002810934426239219,-0.00020721238405135115,0.0002843933603251863,0.00029693757608415845,0.00030454812017751646,0.0007320071896485394,0.00033032755673984807,0.0010324278184419672,0.00034542350285755733,0.0011596825869776587,0.00033447408252979764,0.0011097018110195424,0.00028943015847736125,0.0009132987110245518,0.00021395627400341721,0.0006295937782727745,0.00012415919951782938,0.0003338791991273294,4.523392074680102e-05,0.00010240697688483336,3.0364135007229804e-06,-1.2762210017366669e-06
7,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,78.14111420019235,-3.499735432624793e-06,-1.1436894798084836e-06,5.198496118348867e-05,-0.0001687764074156538,0.0001695495985025783,-0.0005414019269428591,0.00030519043559879423,-0.0010292009015667313,0.00042291642321000785,-0.001517739210051788,0.0004992539217212703,-0.001891149170920672,0.0005263979730246783,-0.0020553910710157954,0.0005113433750326173,-0.0019567075346628763,0.000471855499715498,-0.0015918446055618307,0.0004302472182920047,-0.001008410727182936,0.00040614125995793484,-0.0002955159362034344,0.0004098473234237883,0.0004335122871041993,0.00043834962019833224,0.001063154048030363,0.0004756430329761699,0.0014982907985445102,0.0004979708112975597,0.0016828659634607773,0.00048267928491421236,0.0016107141617564347,0.00041773297220864923,0.0013262589115094388,0.00030833386517875074,0.0009150052727995253,0.00017800647896263312,0.0004859802430915391,6.355338727066063e-05,0.00014977152198132704,3.370451281644569e-06,-1.4573017749452001e-06
8,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,83.14719325797857,-3.7420910506368956e-06,-1.1778547513393058e-06,6.94665983745255e-05,-0.0002194117926278941,0.00022284086267544,-0.000706056573084988,0.00039970048953410597,-0.0013441635985463561,0.0005534053480394415,-0.0019843568685987975,0.0006535682931006039,-0.002475003094319915,0.000689894267838137,-0.002692753230467212,0.0006710253567953562,-0.002566776558753438,0.0006195648600381112,-0.0020922201375139795,0.0005643571493658074,-0.001330789349933763,0.0005312763419733791,-0.0003986463575622316,0.0005344686599164994,0.0005560638201861513,0.0005707107619304413,0.0013819708635749073,0.0006194165749596855,0.001954114505159128,0.000649304362193643,0.0021985404330753175,0.0006301592762520829,0.0021066559542804093,0.0005456849887532184,0.0017362420436727306,0.00040250395152903386,0.0011990222519953364,0.00023162792387856394,0.0006376788591002979,8.161434582385963e-05,0.0001971674512091593,3.573049169554502e-06,-1.5880991686038386e-06
9,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,86.55085709476147,-3.91456863080649e-06,-1.1851323752200925e-06,8.707618540436061e-05,-0.00027010674675082577,0.0002761836496475575,-0.0008713506528829582,0.0004941519264096374,-0.0016610356159896286,0.0006838475508239563,-0.0024548651125936515,0.0008080949323584192,-0.0030653011760080947,0.0008540617257144236,-0.0033394319430260825,0.0008317957785057367,-0.003189023764492419,0.0007684325934042514,-0.002607255371819076,0.0006991778233850541,-0.0016695686934092343,0.0006562536521063261,-0.000518895566468302,0.0006579739992946187,0.0006619302279172608,0.0007012919441765449,0.0016856162954109824,0.0007612627363831563,0.00239710459989899,0.0007990324225144702,0.002704179610988102,0.0007765719487351115,0.0025954444573346625,0.0006730451541123059,0.0021417095906361653,0.0004963536974790532,0.001480660376212363,0.0002850311192378309,0.000788465907771616,9.950425259015216e-05,0.0002444121750552879,3.7058176699200677e-06,-1.6919250730597745e-06
10,0.15543650949008367,1928717.428799229,37.36883672326259,0.36189308703856926,0.5438001659192022,0.05225871708663359,0.015253633048180636,0.0015020953886898717,0.5569100136688271,1285.669039856965,10.0,10.0,1000.0,10.0,10.0,1000.0,88.99587372534846,-4.045445983676965e-06,-1.1763167454601654e-06,0.00010474275431397506,-0.0003208632506321832,0.00032947592154954596,-0.001037253289385994,0.0005884091628356254,-0.001979768424886127,0.000814077931186264,-0.0029292410465581852,0.0009626511242666163,-0.0036621081557641215,0.0010187183162995825,-0.003995646558140618,0.0009934916280203117,-0.0038238808396192404,0.0009183240869273514,-0.003137630629822143,0.0008345971558818074,-0.002025682885918763,0.0007809638244985313,-0.0006574189798439782,0.0007802328133138515,0.0007498054663773277,0.0008299273292041747,0.0019727332550435956,0.000900985793241881,0.002825963044512511,0.0009469541663109767,0.003198643364038336,0.0009217451782366254,0.0030761672248457517,0.0007996981237821171,0.0025420074967352087,0.000589835315573491,0.00175951356960621,0.00033822614103411425,0.0009381369215530486,0.0001172667537664006,0.00029143250602686537,3.797064358837476e-06,-1.7794988289742923e-06
