时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,4.320925562696577,-1.9398451481632795e-06,-1.150194695996035e-06,4.0759422785145556e-07,-8.164996772921311e-06,5.738275849046917e-06,-2.4541954943854597e-05,1.2058400293668872e-05,-4.630728255390908e-05,1.7650347462262527e-05,-6.847372326683117e-05,2.137775939907007e-05,-8.598995708111764e-05,2.284381490313423e-05,-9.469297167307628e-05,2.236134039736298e-05,-9.207988414011026e-05,2.0754621852640665e-05,-7.775743260726802e-05,1.905081223670448e-05,-5.34955764820558e-05,1.813834359071206e-05,-2.2880005087053874e-05,1.8478385176071222e-05,9.370142291192179e-06,1.9948548689138493e-05,3.8294049724128945e-05,2.187059366435859e-05,5.962474481552884e-05,2.3225893992352418e-05,7.05904817345194e-05,2.300440063722359e-05,7.042583233550464e-05,2.0584265398242464e-05,6.049170682140901e-05,1.60198359436729e-05,4.397956090747506e-05,1.0137171786689679e-05,2.5261201571807925e-05,4.38322561558776e-06,9.010518391817745e-06,4.390082966281415e-07,-7.129354948537602e-07
3,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,9.827166912370693,-4.4142004889451084e-06,-2.6136081925612833e-06,1.933370945536256e-06,-2.128622279387868e-05,1.6227260908343926e-05,-6.502941754309021e-05,3.317836332911448e-05,-0.00012326705732786341,4.81890316695414e-05,-0.0001826141393914262,5.820426243579937e-05,-0.00022945713196398956,6.214897094749187e-05,-0.0002525482974617913,6.085402074531828e-05,-0.00024511069911310984,5.6529839857253364e-05,-0.00020606890175507418,5.194138678304487e-05,-0.00014020459006229829,4.9489113163425875e-05,-5.7223113276299044e-05,5.042576885423971e-05,3.0090519391409657e-05,5.442498149256191e-05,0.00010828774814181879,5.964728236135098e-05,0.0001657957002671511,6.332000026905547e-05,0.00019509596698002898,6.268704079668831e-05,0.00019411718122305213,5.604785552687505e-05,0.0001665660682026246,4.3548814811662366e-05,0.00012113028020839253,2.7448793122626682e-05,6.972005809070633e-05,1.1715995910448263e-05,2.5093503984354604e-05,9.978684082958838e-07,-1.622927273432671e-06
4,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,15.940303167691201,-7.1659287979888996e-06,-4.232848355281931e-06,5.901684784471432e-06,-4.199817685358211e-05,3.503135718305949e-05,-0.00013078829392340244,6.95713904511924e-05,-0.00024921516143265067,0.00010018287055811467,-0.00036997948689172165,0.00012063507248551874,-0.0004651934502786099,0.0001287146452103721,-0.0005117516761494339,0.00012608634365882565,-0.0004956969146599089,0.00011723860926499982,-0.0004147843482064286,0.00010781901821599556,-0.00027882730610249935,0.00010276242395162901,-0.00010779523499656268,0.00010467290500772102,7.197240928300005e-05,0.0001129080801720472,0.00023274343834851899,0.00012368414953058384,0.0003506375931772959,0.00013125674735951572,0.0004101373955090691,0.00012989128271095567,0.00040697906786589614,0.00011603697886445691,0.00034884825874834227,8.999116347491947e-05,0.0002537432510692024,5.6462622335041155e-05,0.00014635273484376682,2.374428124618927e-05,5.3166137275053926e-05,1.6168936912223332e-06,-2.636439087634379e-06
5,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,23.284239749199127,-1.048483148833458e-05,-6.160304989511496e-06,1.7779795408983423e-05,-8.613686317984729e-05,7.994297424956769e-05,-0.0002749723579321717,0.00015358940083336998,-0.0005274157592703592,0.00021892957063419067,-0.0007851555950906948,0.00026271748215237633,-0.0009883129035671674,0.00028017454828068247,-0.0010871009366737563,0.00027470680807303144,-0.0010513236195633935,0.0002557441964001072,-0.0008759866059661811,0.00023530227706809246,-0.0005821155602830606,0.000224041279527637,-0.00021271912254917238,0.00022775277776664084,0.00017533589879908902,0.00024525501189250683,0.0005220644925378749,0.00026846887971136783,0.0007757351459326921,0.00028489512838931883,0.000902694061429246,0.0002819246605151325,0.0008936886371565446,0.00025168126517718546,0.0007654108917534432,0.0001947604271337675,0.0005569616596909006,0.00012149873755611824,0.0003220048831549849,5.015077893676083e-05,0.00011819708227006257,2.3558568474767673e-06,-3.863675840381404e-06
6,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,27.549201962245064,-1.2429525646219134e-05,-7.255736701284504e-06,3.4025386051820455e-05,-0.00013718837714914766,0.0001353055435913853,-0.00044486128977107276,0.00025518525725277177,-0.0008569574745793735,0.00036166236013116383,-0.0012783955547618537,0.0004333071969950481,-0.0016111853858239592,0.0004622643500588236,-0.0017736244990158017,0.00045377763801743114,-0.0017159511842890448,0.0004228429221127067,-0.0014296228581870448,0.00038886186932968035,-0.0009487460360066405,0.0003693779105270812,-0.00034356303399300233,0.00037428435701750617,0.0002927745148712215,0.00040212799078395825,0.0008617796454968362,0.0004399328739778667,0.0012783320897477631,0.0004671038904679223,0.0014869150690969423,0.0004625808858595556,0.0014721154401200894,0.0004130465925935347,0.0012612205635470562,0.00031932145537517416,0.0009184124016996175,0.00019853346118242887,0.0005318647945903019,8.102252589758752e-05,0.00019640610148545748,2.7789088644450575e-06,-4.588710711348375e-06
7,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,29.959356606293376,-1.3544342968842207e-05,-7.85396894390797e-06,5.122929688652687e-05,-0.00018797664743297436,0.00019168044157521466,-0.0006154251163644726,0.0003578086876506292,-0.0011889600803945007,0.0005055397561467867,-0.001776629086715192,0.0006053832214654955,-0.0022420499373929734,0.0006463597338356822,-0.002471228508575658,0.0006352988328020854,-0.0023944332529595757,0.0005924359587252141,-0.001999191027177417,0.0005443730245602889,-0.001332378729123615,0.0005156414976814388,-0.0004912945772618884,0.0005206063516915802,0.0003946121957273851,0.0005579815660973772,0.0011881298308423298,0.0006101560817870143,0.0017703652454011123,0.0006483867857271608,0.0020635019510751797,0.0006428551496211429,0.0020455928526498164,0.0005744491640972247,0.0017542755242931803,0.0004440281011649825,0.0012786960468648685,0.0002755710175229326,0.0007415223204578553,0.00011171734777399946,0.00027483642896063,3.0130125138218174e-06,-5.008776112174857e-06
8,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,31.496408126973947,-1.4269685459598556e-05,-8.218092768492246e-06,6.885592902783154e-05,-0.00023867159204107652,0.0002484105706615576,-0.0007866062708170384,0.00046067326756859975,-0.0015231026387509644,0.0006496679137841816,-0.002279350492589849,0.0007779918423876982,-0.002880403758932981,0.0008315062451803889,-0.0031796791520844014,0.0008183658964827225,-0.0030870995895617716,0.0007636915866090736,-0.002585847472890427,0.0007010615626756975,-0.0017351681306629577,0.0006620679085233834,-0.0006590978368404325,0.0006659070072761078,0.00047676827381456426,0.0007119188010357483,0.001496425005530102,0.0007781638093551704,0.0022469303665343912,0.0008277509725151947,0.0026277678887884543,0.0008218334714655574,0.0026100404879533198,0.000735157019871548,0.0022413785370002347,0.000568403850492297,0.0016356148211022817,0.0003524062348129754,0.0009497172104072539,0.00014224689432986804,0.0003529425199118468,3.158475574457535e-06,-5.28510804672436e-06
9,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,32.55569674647551,-1.478297829801641e-05,-8.454078342196046e-06,8.669077413021785e-05,-0.0002893449621475264,0.00030523546887011163,-0.0009583981772381251,0.0005634677044422418,-0.0018592982499280764,0.0007936890426989391,-0.002786433768965522,0.0009507448228012097,-0.0035261588741359053,0.0010173110583317961,-0.0038990239920526928,0.0010026091818221747,-0.0037942317036570184,0.0009362812943259307,-0.003190187343799754,0.0008586387012466942,-0.0021580660008330655,0.0008083864481691987,-0.0008482727205086468,0.0008099021947859815,0.00053766146070042,0.0008636182669960694,0.0017849209166158277,0.000943596573690478,0.002706268962148732,0.0010048256829555324,0.003178089345373084,0.0009991786968433561,0.003164090867230062,0.0008949112639768028,0.0027214911104619915,0.000692294164937066,0.001988474450426833,0.0004289864599604938,0.001156058101328147,0.00017263041694422966,0.0004305500401980671,3.255701720165658e-06,-5.4826591780819885e-06
10,0.4345224273821449,7425917.581514353,-206.87972880209054,5.985946280006488,1.5338108409567293,0.15272938263473076,0.021961419148745952,0.003242361820208129,1.5734513765740692,1752.5159594601334,1.4671342777338356,0.9801549361371631,406.8565171323097,6.392807247430669,1.5932038683443004,39.413472176140885,33.323592721965525,-1.5167886038731773e-05,-8.611897593618685e-06,0.0001046294977656318,-0.00034002262935831936,0.00036202122347056933,-0.0011307737532715192,0.000666021287558919,-0.0021974653601206265,0.0009373942920760383,-0.0032977683989810222,0.0011234040508509222,-0.004179222194308264,0.0012035264125157855,-0.004629243793504951,0.0011877955888017619,-0.004515938899250649,0.0011100047947808023,-0.003812491351759118,0.0010169391718498671,-0.0026015469285917176,0.0009544508302600824,-0.001059482005896225,0.0009524383907104541,0.0005764789691883314,0.0010128977071061967,0.0020527216778575674,0.0011062399491649643,0.003147484271584753,0.0011793826849474448,0.0037136478077093547,0.0011746809064382068,0.0037070639072407196,0.001053551275302534,0.0031941040729640355,0.0008156040150365886,0.00233693936104096,0.0005052782296690606,0.0013603585471560402,0.00020287535627567754,0.000507576980803427,3.323744793955681e-06,-5.63205152488368e-06
