时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,2.9343397373915834,-4.5800707075928967e-07,-2.824730126836343e-07,1.49770065581552e-06,-6.924824148969082e-06,6.122117684247878e-06,-2.242630380164578e-05,1.157395094985837e-05,-4.291786076294902e-05,1.6338468044102622e-05,-6.356909804023348e-05,1.9432426312597524e-05,-7.954921131635324e-05,2.0536298257448522e-05,-8.696352693858181e-05,1.9956548017453784e-05,-8.359506805567973e-05,1.84379809818992e-05,-6.931056850272139e-05,1.6881732742326362e-05,-4.606133355570066e-05,1.6040335332362605e-05,-1.748347187495406e-05,1.6268744510992062e-05,1.1823673016745448e-05,1.740310092715761e-05,3.720246844959666e-05,1.8811169243969682e-05,5.484963795725868e-05,1.9610363736405955e-05,6.255570525563945e-05,1.899324185731124e-05,6.0121540564268636e-05,1.655737958296016e-05,4.936694786984747e-05,1.2526129101054596e-05,3.3728954574816334e-05,7.777840972719434e-06,1.7533764242673306e-05,3.650999305825433e-06,5.089141585448214e-06,1.4918725591057698e-06,-1.8044714206363956e-07
3,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,6.6811096371644325,-1.043760751117317e-06,-6.415202169429723e-07,4.1942811635733305e-06,-1.805609632304121e-05,1.642205526139556e-05,-5.8859599568237676e-05,3.0842791230760036e-05,-0.00011289566033457337,4.345699703888444e-05,-0.00016737952820029565,5.165678558580519e-05,-0.00020946870695995077,5.458735893971897e-05,-0.00022878188505447942,5.305278980111798e-05,-0.0002193962365371544,4.90242816599856e-05,-0.0001809460814947224,4.4896035624005466e-05,-0.00011863578276546935,4.267503399636202e-05,-4.2178874851738675e-05,4.331310345431274e-05,3.6126835096021115e-05,4.63750706095053e-05,0.0001038189732594898,5.016594506603381e-05,0.00015071535410941694,5.231168793302292e-05,0.0001708985620552087,5.063479012420687e-05,0.00016383782985432107,4.4046314725413806e-05,0.00013441905929949355,3.314577993045327e-05,9.18771734268266e-05,2.0304494620269636e-05,4.785604120993405e-05,9.149569988983467e-06,1.3989626179723542e-05,3.3970713174020896e-06,-4.12404872878828e-07
4,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,10.22831725752052,-1.5997306604826656e-06,-9.787443548858084e-07,8.029008980567565e-06,-3.233955256892863e-05,3.0219781292991623e-05,-0.00010608516213416048,5.6390436235281744e-05,-0.00020390017684071714,7.92998465998848e-05,-0.00030256655186137674,9.420900722325663e-05,-0.00037866889872697926,9.955119169951559e-05,-0.0004132326699179668,9.676931978678299e-05,-0.00039540817570366535,8.943523034822217e-05,-0.0003245066186232416,8.190804922871225e-05,-0.0002100429352513943,7.78610518130622e-05,-6.980666489907622e-05,7.905212939996255e-05,7.365750574982077e-05,8.469726386886174e-05,0.0001974853710641755,9.168524832328526e-05,0.0002829842537818861,9.563684350201127e-05,0.0003192865671094608,9.252190037223492e-05,0.00030542241656588326,8.031729416494671e-05,0.0002503867354991104,6.012690156248402e-05,0.0001711906997115618,3.6342125259616954e-05,8.931213948148294e-05,1.5698363827929855e-05,2.626910819890444e-05,5.200844339667396e-06,-6.344435519649363e-07
5,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,15.131384464757433,-2.3723704061220595e-06,-1.4363175425942195e-06,1.734840896209732e-05,-6.384802886778958e-05,6.194167943963018e-05,-0.0002113168386953766,0.00011450003353211021,-0.00040732628761100013,0.00016055417578640104,-0.0006051814982773611,0.00019059871750616664,-0.0007575453704961419,0.00020144471875557053,-0.0008259264428411933,0.00019590965444035935,-0.0007882354030064654,0.00018110383639996353,-0.0006429898058068139,0.00016579547675485957,-0.0004094591987621153,0.00015746621343208707,-0.00012379072979071815,0.00015978598536092834,0.00016812063938881287,0.00017125511098040245,0.00041965906001157824,0.00018555627180597405,0.000592664078205155,0.0001936829523317563,0.0006649253839280457,0.00018728197516841403,0.0006344579427562318,0.0001621247732467181,0.0005196732718154033,0.00012046778801970348,0.0003554265546122902,7.139673110071846e-05,0.00018579451421268743,2.8880983552658573e-05,5.5070263035614116e-05,7.69332588896811e-06,-9.486956305958265e-07
6,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,18.901502796054753,-2.9739821212952516e-06,-1.7723018113777785e-06,3.1910649536389936e-05,-0.00010980427534845823,0.00010955747718901593,-0.0003660566348549586,0.00020097663414422824,-0.000707321832716042,0.00028117039163714163,-0.0010522357671481372,0.00033369475703608935,-0.0013179659995672672,0.0003529305538422268,-0.001436944830436198,0.0003435491250140058,-0.0013702233523447463,0.00031767705035011973,-0.001114943725470695,0.00029050232328813616,-0.0007046880662327485,0.00027524039572218083,-0.00020277219599174257,0.0002786436760645998,0.00031020193080547704,0.00029840331819665266,0.0007521878069043463,0.0003235422744702183,0.0010558783904015103,0.0003380719792911085,0.0011819905243745867,0.0003269804514187181,0.0011268890539179142,0.0002825620488305746,0.0009229476587143419,0.00020875164813860333,0.0006316114318302146,0.00012175169621486804,0.0003306972613685244,4.650225125034646e-05,9.857593274277458e-05,9.608010050766099e-06,-1.2034542430869667e-06
7,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,20.987535777281643,-3.314112150687612e-06,-1.943144599161235e-06,4.6951604230484635e-05,-0.00015584924308885555,0.00015778842997302657,-0.0005218691515328623,0.00028817509959150805,-0.001010145132781484,0.0004026860524808546,-0.0015044616862563425,0.00047802438065694955,-0.0018861446595586854,0.0005060850033121043,-0.0020581360770083415,0.0004931762887997958,-0.0019642279548299246,0.0004561867862526075,-0.0015998652163684097,0.0004166157724890042,-0.0010127509709070834,0.00039355677849152036,-0.0002933552419591093,0.00039718486172518407,0.0004428240302562513,0.0004247244697403347,0.0010779388718426565,0.0004606794539263543,0.0015150678227451957,0.00048194168289175893,0.001697415553476474,0.00046652757111538567,0.0016193974188294393,0.0004029748796416977,0.0013272391159866973,0.00029682016107712017,0.0009090398288606439,0.00017152804841527873,0.0004765543749413565,6.325362202901964e-05,0.0001425329659154426,1.0666228519423703e-05,-1.3565865638381852e-06
8,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,22.298504721744806,-3.5341461593642936e-06,-2.0379981542560984e-06,6.218084353019219e-05,-0.0002019365039317916,0.00020617170619084728,-0.0006783537440837711,0.00037545084828656246,-0.0013149756977093286,0.0005243103999921283,-0.0019607326224243696,0.0006227201605973092,-0.0024609383284978346,0.0006600440776647814,-0.0026887605604750636,0.0006439936792069144,-0.0025703824472662587,0.0005959249463773571,-0.0020991804110309744,0.0005434907141108283,-0.0013366391158682403,0.0005117690487997643,-0.0004001433152493965,0.0005146901184108553,0.0005599848916967499,0.0005493842815501121,0.0013899673087329509,0.0005960365155830903,0.0019629692749238243,0.0006243482963130184,0.0022043011511003853,0.0006050982540475779,0.002106060342805199,0.0005227936115963366,0.0017280302635167344,0.00038445323073315463,0.0011847621457143907,0.0002208674509256479,0.0006218481955005995,7.954776607165525e-05,0.000186448464178357,1.1331204732031225e-05,-1.4628008360540266e-06
9,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,23.1925554121227,-3.689826860528291e-06,-2.0919836423686226e-06,7.748940228615181e-05,-0.00024806396296596714,0.00025454413656433714,-0.0008354181988967839,0.0004625852678826672,-0.001621636734145302,0.000645779708844011,-0.0024208492899806698,0.0007674949384290665,-0.0030422339832574525,0.0008145255604783882,-0.003328926102737341,0.000795749802945098,-0.0031891487217308614,0.0007366827708283103,-0.002613808679348987,0.0006709522590281097,-0.0016777771906208556,0.0006297089597254365,-0.0005250398933587243,0.0006309653806992728,0.0006594088906661564,0.0006721434718265716,0.00168579954903387,0.0007293364913648208,0.0023971228510308393,0.0007650130521923658,0.0027004103098331846,0.0007424638639419768,0.0025850318572965903,0.0006418874765736187,0.0021239640310392774,0.00047164260171776316,0.0014579222760752499,0.00026987600690236323,0.0007661506045059674,9.556550354102216e-05,0.00023018243192354505,1.1785544787235462e-05,-1.543696882848191e-06
10,0.5833587242589946,21160197.25061447,-738.3348130125505,35.460020685428375,2.0464598001930616,0.18848802865168576,0.03716449865169802,0.004690480474289418,2.091855030180281,1615.927780755251,7.033517821157383,4.139002166516286,713.4222896575005,2.170089694862523,6.714366889136311,529.61358330395,23.836412557648277,-3.807111142311729e-06,-2.1214578566864545e-06,9.28244442663427e-05,-0.00029422446169264293,0.0003028229588928575,-0.000993001830139926,0.0005494620728086564,-0.001930017655133934,0.0007669462325554124,-0.0028846857885212614,0.0009121798325150769,-0.0036299482150215297,0.0009693576977422376,-0.003978659836360159,0.0009482906593661789,-0.003820728335466113,0.0008783376237320913,-0.0031441727629804837,0.0007989078148746272,-0.0020368278978045947,0.0007472970135970318,-0.0006689302503367482,0.0007459202668836322,0.0007400441610049938,0.0007928837637222786,0.0019643045034768267,0.0008604344596928777,0.002816420142767719,0.0009037854972283798,0.0031847526865458145,0.0008785001975480358,0.0030555105035549993,0.0007601863301884415,0.0025144631932790015,0.0005583838177754464,0.0017281636861450219,0.00031860652802213424,0.0009092868160537281,0.0001113932468602887,0.0002736778682464261,1.211428545774409e-05,-1.609338332758257e-06
