时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,29.74532486685559,-9.481137523821411e-06,-7.0381088687422744e-06,2.3879682823056956e-05,-4.759966566489376e-05,9.245690800438805e-05,-0.00012058587998443809,0.00017168327126997605,-0.00021336133335981663,0.00024143277666999644,-0.0003054631030979387,0.0002872306593945158,-0.00037584464412225663,0.0003033859408263401,-0.00040696227463896535,0.0002936918102331868,-0.00038824461340626517,0.0002694851342819226,-0.0003182876034132369,0.0002454652972879875,-0.00020561621749864818,0.00023421444645343775,-6.755743027352811e-05,0.00024122773522665584,7.310121880230303e-05,0.0002626593258329941,0.00019319828683715372,0.0002869664122203223,0.0002744537428470185,0.0002995944060128768,0.00030717476663944763,0.0002885860272733578,0.0002916482478571748,0.0002491515457967692,0.00023741055643641,0.00018593986716821713,0.0001608677031910671,0.00011254347341710442,8.187687916209261e-05,4.811855783860013e-05,1.9661549195209e-05,9.310291961378844e-06,-7.165985355375317e-06
3,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,64.37758421763543,-2.0745470497409945e-05,-1.5054413282291815e-05,0.00014308085177697384,-0.00018932171562520254,0.00046224316883950925,-0.0005242346254997146,0.000832244289554113,-0.0009537977353649783,0.001159295509991433,-0.001381640204720464,0.0013748701370859839,-0.0017072288566583622,0.0014511196617549896,-0.0018462804946908621,0.0014048503698441868,-0.0017476550457090586,0.00128920629703363,-0.001404282901382636,0.001174240242245552,-0.0008572202087216459,0.0011205442006919505,-0.00019058478481185457,0.0011547271838877864,0.000484608916189939,0.001257953003235141,0.0010556263426533203,0.0013737903275375131,0.00143425392202477,0.0014312886829597898,0.0015751659506133846,0.0013726817553551052,0.0014823465604283895,0.0011757876431948088,0.0012045757977434748,0.0008648127854524242,0.0008228843587831988,0.0005071063428869258,0.0004332706197535452,0.0001960053065431296,0.00012741378218576898,1.9943348535539848e-05,-1.568959461822657e-05
4,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,76.33999833259331,-2.4944770443049755e-05,-1.7566292728491607e-05,0.0003129747054247519,-0.0003608592943508107,0.0009583767617240066,-0.0010385602289825404,0.001707332150173133,-0.0019116668765446112,0.002371130255937181,-0.002783288698139123,0.002811010958513296,-0.0034471345076016965,0.002969082548711671,-0.003730385113697539,0.0028769972051905486,-0.003528187505146715,0.0026406740354903606,-0.002825658494337162,0.002402256083526087,-0.0017061505507097719,0.0022867525842779554,-0.0003415055262866878,0.0023509654589982405,0.0010403803313267898,0.002558329204829033,0.0022072638242688456,0.0027937089871230896,0.002977411384875317,0.0029106456557167404,0.003258421008215364,0.0027892386350341285,0.0030605649926178495,0.0023834317338184466,0.0024863498399522676,0.001743795300174563,0.0017030815267339134,0.0010100861720186705,0.0009063583628553257,0.00037454905935704083,0.0002813862427883608,2.3320500747263957e-05,-1.8877773568875476e-05
5,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,81.21998045589265,-2.6906646331327363e-05,-1.8380356277004288e-05,0.0004860322852075096,-0.0005308602192779195,0.001457063332994248,-0.001555625976842829,0.0025842116089677515,-0.002879698712014657,0.0035852994693023176,-0.004204005537075843,0.004252234589914582,-0.005214824553515858,0.00449629092925989,-0.005650067035336068,0.00436160892144694,-0.00535112807737574,0.004004346701372516,-0.004295111753673144,0.003637706624485075,-0.0026068105766431167,0.0034524429272833096,-0.0005447110552111542,0.003538630893899056,0.001546737280917349,0.0038450590644104957,0.0033148625365761243,0.004199231453412342,0.00448283374628488,0.004378218384971816,0.004910120185209762,0.004197642947491319,0.004613393030443374,0.003585515437302309,0.0037496006637635702,0.0026181951029431673,0.002572394349955816,0.0015086779996143738,0.001375693171262885,0.0005492065510212615,0.00043635591130262037,2.4462633770030028e-05,-2.0369772202919986e-05
6,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,83.85148917114991,-2.8159482264261724e-05,-1.86528706932766e-05,0.0006601194914290651,-0.0007014421577648031,0.0019560741762650845,-0.0020780048321275614,0.0034604232790539113,-0.003860901337854286,0.004799037385704234,-0.005647223903308108,0.005695554122041054,-0.0070142320978048974,0.006029754019733643,-0.007609949192901856,0.005855928663085727,-0.007222105403284026,0.005377818117583186,-0.005819664022661645,0.004878437810118787,-0.0035679148863670433,0.00461542880793001,-0.0008105992281467595,0.004715208275818355,0.001992070781223642,0.005115215455752952,0.004366480339061015,0.0055872687800108956,0.00593926800435422,0.005831269191449607,0.006520548233814784,0.0055960715046847525,0.006133115820938933,0.004781503512025689,0.0049886452810801365,0.003488781327908111,0.0034268526896658108,0.002004603830427252,0.001838511201261469,0.0007220997583541032,0.0005902525659083621,2.4898150725289527e-05,-2.1319680626481553e-05
7,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,85.48212804039566,-2.909772914400092e-05,-1.868239868028864e-05,0.0008346529860927522,-0.0008731360777721307,0.002454702770929602,-0.002606321594736696,0.004335032503545102,-0.004856000457338331,0.006011135299578068,-0.007113794240673131,0.007139547933668112,-0.008846367628835903,0.007567980182965889,-0.009611236545747425,0.007358553844295352,-0.009142570527127367,0.006759875663855601,-0.007401105515431712,0.0061234148100119444,-0.00459170049103703,0.005774727623316833,-0.0011418840191157657,0.0058796045346874454,0.0023733236699211287,0.006367510997611787,0.005359004972282946,0.00695640742042492,0.007343873174199783,0.007268458136452792,0.008087364472326976,0.0069834986462903184,0.0076179631064265275,0.005970860836358144,0.006202222638769876,0.004355541225607499,0.0042655758337046155,0.002498241953342826,0.0022941726874788353,0.0008937735294328245,0.0007425641060820673,2.5021711690579787e-05,-2.2025400960363893e-05
8,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,86.57776579738439,-2.986855610710749e-05,-1.8580555889840247e-05,0.0010093717206399611,-0.0010461106202001463,0.0029525273290279797,-0.0031407217416770236,0.0052073510449002925,-0.005865116119927544,0.007220600090220354,-0.008603840237475466,0.008582982338095619,-0.010711396975105791,0.009109634964718236,-0.011654158827958139,0.00886820485834518,-0.011112836068859563,0.008149402577060259,-0.009039885940137651,0.007371695089915851,-0.005678843778980014,0.006929477301314618,-0.001539528530177455,0.007030894154064608,0.0026892922937334354,0.007600858859424859,0.006291150749084614,0.008305417749101759,0.008695470897735025,0.00868854490264373,0.009609619656309718,0.008358857298647843,0.009067233698265908,0.007152850787600095,0.007389831656661704,0.005218131105510067,0.005088201658259763,0.002989578259648265,0.0027424087639062976,0.001064391663783685,0.0008930846739513439,2.4980860680492874e-05,-2.2598116020332918e-05
9,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,87.35182087309643,-3.0539263774109895e-05,-1.8398588191430907e-05,0.001184117884814975,-0.0012204152547726612,0.0034492160305029025,-0.003681187280010452,0.006076766570734688,-0.006888153869345359,0.00842650151673032,-0.01011722140747742,0.010024673246817972,-0.012609176426590797,0.010653419196525193,-0.01373859132209327,0.01038362338188488,-0.01313280779477835,0.009545294204995976,-0.01073598455743751,0.00862234965289105,-0.006829482920376193,0.008078842911525868,-0.0020039029499038944,0.008168197456117994,0.0029393879629880507,0.008814228389402871,0.007162224780420354,0.009633116382473923,0.009993410781540342,0.01009030164241399,0.011086797636659224,0.00972104193960888,0.010480552930824788,0.008326644965650925,0.008551198811711382,0.006076077208719414,0.00589452050700809,0.0034784567774255666,0.003183060043681425,0.0012339891279002282,0.0010417029697420554,2.484334049414294e-05,-2.3088700213859727e-05
10,2.237244862731444,21032315.34865883,-3.637978807091713e-12,44.1809550805239,1.198380264458639,0.33679027217091617,0.06722974506291785,0.004973194620759988,1.4166778914778888,977.4557568511927,2.439640041936091,3.6140155418091657,643.4764707789732,2.439640041936091,3.6140155418091657,643.4764707789732,87.9158396995962,-3.114492283178507e-05,-1.8163382588985817e-05,0.0013587755812824354,-0.001396050382713819,0.003944474879961728,-0.004227629759435667,0.006942700486920461,-0.007924922382049839,0.009627938185008327,-0.011653674553481926,0.011463458598586647,-0.014539418079399362,0.01219804749024278,-0.015864246728971954,0.011903557032388616,-0.015202208811540743,0.010946447441602126,-0.012489172887120127,0.009874453265906,-0.008043520911897141,0.009222002396833705,-0.0025351211531568314,0.00929065875920768,0.0031232839506411332,0.010006618296085835,0.007971782440997438,0.010938343475311661,0.01123726061164004,0.011472506789204358,0.012518560516589968,0.011068929077254671,0.011857681380804666,0.009491372976445167,0.009686145527721268,0.006928847776213396,0.006684385809406472,0.003964660263624558,0.003616011158138057,0.0014025473176466823,0.0011883452573689484,2.4644692160283858e-05,-2.3523692064195903e-05
