时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,3.7814827860406055,-7.638555402029283e-06,-2.3602035760042264e-06,-8.261228421641608e-06,-1.3900507883056265e-05,-3.937283488747109e-06,-3.0827768707889065e-05,6.447910403756145e-07,-5.105045766378865e-05,4.565750692236356e-06,-7.14148398891653e-05,7.241910485927897e-06,-8.90313404367401e-05,8.486572856403564e-06,-0.00010160789426840881,8.459726820330451e-06,-0.00010771456741925136,7.566210949163646e-06,-0.00010691610752468447,6.322903948816131e-06,-9.975340942610438e-05,5.220392726213057e-06,-8.758031553266258e-05,4.606499426383229e-06,-7.228571397922455e-05,4.616309013490012e-06,-5.594911149833967e-05,5.1643468046240335e-06,-4.048930745503562e-05,5.9993937383595744e-06,-2.736770490337908e-05,6.804413107807497e-06,-1.739888351805441e-05,7.309080259075503e-06,-1.0701734077008986e-05,7.376135921775373e-06,-6.798980554134003e-06,7.028869087576291e-06,-4.844519579495535e-06,6.454345588589347e-06,-3.946560064364594e-06,2.500407698612392e-06,-2.285471335195008e-06
3,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,11.541344641431941,-2.3364272675999095e-05,-7.198781655709403e-06,-2.4824191403077586e-05,-4.382079299286987e-05,-1.0851489350529661e-05,-9.810988426476244e-05,4.026781672780486e-06,-0.00016327028902335313,1.679800068597402e-05,-0.00022899429009375522,2.552462271603335e-05,-0.00028567995729716054,2.9570602156159553e-05,-0.00032563465826747915,2.945413616106219e-05,-0.00034403122765136744,2.651692569705234e-05,-0.0003394036195310773,2.2480853659704586e-05,-0.0003136151155756585,1.897931742526708e-05,-0.00027132006413401876,1.7157794437487307e-05,-0.00021902117041219143,1.743039194682403e-05,-0.00016388748196612742,1.944966117670683e-05,-0.00011253823917030135,2.2295251708423516e-05,-7.000517911130594e-05,2.4824148367332165e-05,-3.905588905042232e-05,2.607194531078743e-05,-1.9994616392076102e-05,2.55714290440838e-05,-1.0968820796941007e-05,2.34749388832002e-05,-8.711618421924508e-06,2.0580343310848638e-05,-9.603965726169265e-06,7.642976759245479e-06,-6.9889240427967114e-06
4,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,18.380007364589638,-3.728364157170564e-05,-1.1454099242008577e-05,-3.876630380851443e-05,-7.241274414310075e-05,-1.5086967217865401e-05,-0.00016368943667891594,1.0218618791587207e-05,-0.00027365362091449333,3.1986433947480294e-05,-0.00038466125059045665,4.6862581842521015e-05,-0.00048004060332500003,5.3725562766627534e-05,-0.0005463240298383104,5.3459823348302485e-05,-0.0005750263046096933,4.8393400260653576e-05,-0.0005635921667767751,4.1525532987470124e-05,-0.0005153885212509181,3.5698836295655423e-05,-0.0004387754506546698,3.288545772319739e-05,-0.0003454360676063025,3.3745971117107806e-05,-0.00024825970293018587,3.756990998090063e-05,-0.00015914642550786116,4.261497794716397e-05,-8.71162875465722e-05,4.6747371592379844e-05,-3.705461798298619e-05,4.8186305028548395e-05,-9.306830103341766e-06,4.611069801186437e-05,-1.7744610946003382e-07,4.0920494918405074e-05,-3.2111995888006346e-06,3.429889942654971e-05,-1.104005593308625e-05,1.2187347428676811e-05,-1.1153191850234241e-05
5,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,24.818019620725806,-5.044428779785948e-05,-1.544690861036059e-05,-5.09898717665042e-05,-0.00010226573110897722,-1.6624235062675954e-05,-0.00023357909082708544,2.019803761928973e-05,-0.00039225169828283003,5.191072992306717e-05,-0.0005524332407113922,7.356345900815562e-05,-0.0006893843302539689,8.348011049896929e-05,-0.0007829790779450737,8.296074393432489e-05,-0.0008205074534816166,7.546366765943276e-05,-0.0007982036868686246,6.545652673818682e-05,-0.0007213011766812965,5.716832309367099e-05,-0.0006026592508443905,5.3500237633660246e-05,-0.00046023177591530793,5.534302053430413e-05,-0.0003138254548068363,6.147789849141877e-05,-0.00018171166027440442,6.909870223111474e-05,-7.76833846099587e-05,7.481362196113554e-05,-9.072518482918782e-06,7.582561901497666e-05,2.393627857895746e-05,7.091468136977785e-05,2.7603388429167208e-05,6.0894897287803774e-05,1.272478341305411e-05,4.872020974665029e-05,-8.143243845872767e-06,1.647490516499937e-05,-1.5095878389365659e-05
6,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,29.862488377042723,-6.0798962896303425e-05,-1.8560933457588127e-05,-5.9621310640346295e-05,-0.00012865956850815908,-1.5329366728536548e-05,-0.0002965746046823044,3.219113814427631e-05,-0.0004998479522864287,7.312642315224594e-05,-0.0007049110843956776,0.00010102960851161926,-0.0008793393482738355,0.00011370576771734085,-0.0009966299763995534,0.00011285614754390037,-0.0010400387280827426,0.00010302288730337938,-0.0010047066626880734,9.008183864860589e-05,-0.0008977980273414902,7.958766498603842e-05,-0.0007367015253843046,7.531452225278108e-05,-0.0005456507426563802,7.833027308629501e-05,-0.0003513617667958827,8.685426385237108e-05,-0.00017844649571503574,9.696331574495862e-05,-4.5402879717305665e-05,0.00010396435945251163,3.811491491764225e-05,0.00010402818531464365,7.228219676516591e-05,9.556797015015802e-05,6.621193303891156e-05,7.990955668704299e-05,3.542193583256931e-05,6.143176558613598e-05,-1.8687065405820484e-06,1.9839602429451543e-05,-1.820583360180137e-05
7,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,34.72109652316502,-7.081247845597399e-05,-2.154124843081944e-05,-6.67356177490566e-05,-0.00015782463635005765,-1.0976009742249524e-05,-0.0003674230642180022,4.887496359702646e-05,-0.0006214585661222172,0.00010040189366423696,-0.0008773566263248482,0.00013543267335837356,-0.0010936627029906677,0.00015118245327438296,-0.0012363706114278147,0.00014983566101565098,-0.001284021594074382,0.00013721709215375094,-0.0012305695454939882,0.0001208660022130661,-0.0010856323929141949,0.00010789871438318099,-0.0008721863038240648,0.00010310296160892305,-0.0006221590252135694,0.00010771297224911675,-0.0003707004956745584,0.00011921045242897363,-0.0001501257656851251,0.0001322563966738155,1.541056693937052e-05,0.00014052765866464208,0.00011357144968953808,0.00013892345053060284,0.00014519972641625692,0.00012544812841748474,0.00012319697733000805,0.00010215480947552778,6.92205740875412e-05,7.531068416673395e-05,8.831157511578017e-06,2.3083152363443184e-05,-2.1224856181160632e-05
8,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,40.23660132993096,-8.223684033164924e-05,-2.4888457673931657e-05,-7.258514729991357e-05,-0.0001978111074998419,-3.498846010445544e-07,-0.00046641477784582915,7.712806467846053e-05,-0.0007921048537228861,0.0001437056245958858,-0.00111923924151434,0.00018876475326937365,-0.0013932261921790114,0.00020870711673594917,-0.0015691666206976997,0.00020644568987531988,-0.0016188405930272931,0.00018968505613293436,-0.001534681701871564,0.00016839404698890323,-0.0013302032318105782,0.00015196490847809658,-0.001036934842261183,0.0001466434983288322,-0.0006984719599876906,0.00015384807444256867,-0.00036268271453293236,0.00016987608456848442,-7.342245542241911e-05,0.0001871782057146098,0.00013679249760544136,0.0001969137347961348,0.00025185419377375196,0.00019205299410630022,0.0002739957438962196,0.00017005127280704432,0.00022230923600630517,0.0001342174203291197,0.00012824798680532802,9.38785204603239e-05,2.8999598699597522e-05,2.676569483621916e-05,-2.46922136708441e-05
9,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,46.07501084012027,-9.441664629825516e-05,-2.8358388260055286e-05,-7.434327615750526e-05,-0.00025374601854570057,2.2081888119540472e-05,-0.0006077267818553885,0.00012522654634637207,-0.001036525877813249,0.00021352366687109,-0.0014651107789352296,0.0002728642082969653,-0.0018194465451321549,0.0002985407427365996,-0.002038623113252357,0.0002945902302174446,-0.002084676985645454,0.0002715099349899796,-0.001948224298524438,0.00024286548081487756,-0.0016491307446277568,0.00022141985578382788,-0.001232277692908629,0.0002155621140075257,-0.000759243123271216,0.00022691249987120791,-0.0002973425308997903,0.0002498623486572736,9.208044844969585e-05,0.00027337050478107625,0.0003640562290190104,0.0002846532225652041,0.0004972214791702011,0.00027371638889252346,0.000496599817238336,0.00023729102939843224,0.0003915106924391545,0.00018086109746210782,0.0002291603760934214,0.00011874427798391464,6.521336692991642e-05,3.0657799749052784e-05,-2.8435895912978666e-05
10,2.2171091456580503,24408332.196693912,-1011.726207845546,53.71627584144869,0.7055336333556188,0.06396808898768001,0.05651362984152526,0.0053129532477886226,0.7207079781943195,485.82005042857725,2.091855859329499,2.404016896934116,775.1592207801617,6.28202951722478,2.5155227896197303,738.2228841088861,51.738321450279955,-0.00010636171193112951,-3.1582194121435984e-05,-6.760695025395268e-05,-0.00033387093613293105,6.493509973741838e-05,-0.0008139765174905434,0.0002059931817859983,-0.001393976659127477,0.0003260337518398888,-0.0019695650315707308,0.0004059568966067673,-0.0024375778776604645,0.0004395564026980796,-0.0027133856673961496,0.0004325954180678628,-0.002744960342305126,0.0003997153892403429,-0.0025209527557418145,0.0003598265930839351,-0.0020716546323987254,0.00033074399696524255,-0.0014629130892480986,0.00032409553225633584,-0.000784144259883777,0.0003417804225473469,-0.00013249402071815672,0.000375185499998066,0.00040414363755040384,0.00040776456563655774,0.0007622559943155972,0.00042053047468490793,0.0009132371441338736,0.0003988950834537033,0.0008673910020012459,0.0003386346508666092,0.0006707732369280237,0.00024893204970344025,0.0003956886470363225,0.0001521721919396564,0.0001268225621234583,3.441333746138662e-05,-3.21960456061368e-05
