时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,2.1075681075077894,-3.8857202530509484e-07,-1.788983620105026e-07,1.9280419225044024e-06,-8.292834518966105e-06,6.715848398579255e-06,-2.4606063858453225e-05,1.2071675132499695e-05,-4.5200397228225154e-05,1.6603109320634014e-05,-6.5335853874333e-05,1.9433286643991534e-05,-8.037207601878245e-05,2.03196846632821e-05,-8.664710735323741e-05,1.9604762235758832e-05,-8.216238041796645e-05,1.8030901311898053e-05,-6.694383314475087e-05,1.6471562903152776e-05,-4.3019360515024744e-05,1.5644591074893028e-05,-1.4020771254882289e-05,1.588009070493465e-05,1.551382416614967e-05,1.7008602533040524e-05,4.100716439047915e-05,1.8409869523045318e-05,5.871584348140452e-05,1.9218775584199862e-05,6.64409237136169e-05,1.8633889452227697e-05,6.393628529330441e-05,1.6234199038467234e-05,5.2933554506185526e-05,1.2198611395308036e-05,3.677793531581083e-05,7.34911206339227e-06,1.974890240764481e-05,2.9948229218769456e-06,6.195251883862804e-06,3.8383419889128226e-07,-1.9087308843911455e-07
3,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,4.81571916332066,-8.88991745817528e-07,-4.0637035146895265e-07,5.388162726454237e-06,-2.186528098485642e-05,1.8164239847277484e-05,-6.523740268631668e-05,3.2469084314156985e-05,-0.00012008664845990744,4.4585732507883364e-05,-0.00017374392551157682,5.216718277875023e-05,-0.00021376492442766706,5.4557010437679014e-05,-0.00023030858331927817,5.266168699121221e-05,-0.00021799188165171827,4.846123190597449e-05,-0.00017687172849830651,4.429443829209658e-05,-0.00011239226191719411,4.2091569954084295e-05,-3.431959650996281e-05,4.274705911588041e-05,4.513250658292288e-05,4.581093603196997e-05,0.00011363685457776224,4.961254233568865e-05,0.00016110632260792648,5.181242780304816e-05,0.0001816124165638012,5.0237334056114e-05,0.00017449042134536807,4.374151246246417e-05,0.0001444112089413844,3.280567686785487e-05,0.00010040495949670763,1.9656806570995793e-05,5.403666571651606e-05,7.846621099708847e-06,1.708490248767719e-05,8.762562250718498e-07,-4.3859536395066387e-07
4,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,7.435698836972572,-1.3749567534457169e-06,-6.222874899425549e-07,1.0421847605074157e-05,-4.0006652850577346e-05,3.406812283973307e-05,-0.00012001908915537773,6.05621315997362e-05,-0.0002213729477026422,8.302844286533354e-05,-0.00032058553047769863,9.71160251950861e-05,-0.00039451732051627123,0.00010159275096773167,-0.0004248308053661004,9.811599743349007e-05,-0.00040147029533008777,9.03395463629696e-05,-0.0003245121943672614,8.260162254118516e-05,-0.00020408251162770525,7.850433296027553e-05,-5.838236025479638e-05,7.973702742163655e-05,8.980147282001607e-05,8.54813574326259e-05,0.00021745186429701356,9.262278185782811e-05,0.00030572088395316457,9.677389890179052e-05,0.000343522815753004,9.384338357136784e-05,0.0003296093189182278,8.166457079011698e-05,0.00027271237242620076,6.113196473745204e-05,0.00018972819494543817,3.643093296614045e-05,0.00010231720058007022,1.4242638924348694e-05,3.258168914117554e-05,1.3512260776912015e-06,-6.824000840470182e-07
5,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,11.010801912597477,-2.0437089435440293e-06,-9.037428750364453e-07,2.261511464951582e-05,-8.062350775236979e-05,7.098636020506311e-05,-0.00024374654993054937,0.00012521534450322537,-0.000450886179564686,0.00017128267791717425,-0.0006539104891160924,0.00020029598946614513,-0.000805179893297795,0.00020967846681929763,-0.000866818490869058,0.00020271687178650526,-0.000817959896225269,0.0001867977237511349,-0.0006586258632102332,0.00017079292903376465,-0.00040960809693373426,0.00016217551447471223,-0.00010843560949247595,0.0001645597823941717,0.00019780509182458177,0.00017638199248401915,0.0004614692623279982,0.00019124563311109782,0.0006434786540789017,0.0002000037634387229,0.0007208007937468441,0.00019404970312750057,0.0006907889846250286,0.000168779016361304,0.0005715076204385529,0.00012601985847242992,0.0003979887947436998,7.45253858153007e-05,0.00021520712769427594,2.8278384451725835e-05,6.91623122229614e-05,1.9947526196581875e-06,-1.0279459123723979e-06
6,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,13.594856883095765,-2.536682528415542e-06,-1.0844545036624985e-06,4.055375843415292e-05,-0.00013728117310727063,0.0001237027099502563,-0.0004175666814589076,0.00021693799075809766,-0.000774343730978716,0.00029630247832422433,-0.0011247325784101657,0.000346586182275979,-0.0013863820161733487,0.00036325366716614233,-0.0014936018823184835,0.0003516837172757553,-0.0014099855842248832,0.0003242962147904911,-0.001135207187395742,0.00029625676523955077,-0.0007049074582906981,0.00028061208207096067,-0.00018381013407761616,0.0002839680127835592,0.0003466304097160303,0.00030398766970349186,0.0008037885593208951,0.0003297594092881198,0.0011197197390705902,0.00034531111602592124,0.0012542169200366517,0.00033541136047651553,0.0012024316921058495,0.0002917851687748111,0.000995498489222188,0.00021750912529467723,0.0006940685368309391,0.00012789648964668361,0.0003761477409865866,4.743031466813114e-05,0.00012168670604371011,2.4520630618560525e-06,-1.2993922719596394e-06
7,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,15.031412150913074,-2.8197749513252936e-06,-1.1638192926488985e-06,5.894218569595603e-05,-0.0001941023627135091,0.000176977083771353,-0.0005926684636704423,0.0003093337112174963,-0.0011010728392890504,0.00042221894760133776,-0.0016015072346647872,0.0004941768615601244,-0.0019765544596369268,0.0005186325832239841,-0.002132275930586826,0.0005028191279125366,-0.002016289963149064,0.0004639269470213143,-0.0016275513380350213,0.00042330933072603756,-0.00101629910181324,0.0003997388447183471,-0.00027437587901349414,0.00040316382526031733,0.00048226190335208486,0.0004308322011428556,0.001135674999863979,0.00046747915259384774,0.0015885947916489745,0.000490191194233289,0.001783173714132565,0.0004768082941816407,0.001711997606296571,0.0004150915187557948,0.0014190674085963553,0.0003092535710689284,0.000990612509690662,0.00018127089513337547,0.0005377695489990086,6.633432950699242e-05,0.00017466895483350336,2.69930568978802e-06,-1.4700489077625964e-06
8,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,15.936391053540884,-3.0058266798562266e-06,-1.1962255419482355e-06,7.749457231933468e-05,-0.00025100226360391437,0.00023035167440331344,-0.0007685704747521994,0.00040175450965288466,-0.001430107110224211,0.000548224507152857,-0.002082870416410729,0.0006421666343587884,-0.002574194500526504,0.0006748987519503704,-0.002781585634910675,0.0006552564473958305,-0.0026363052076596007,0.0006049009562841864,-0.00213617995519086,0.0005512203228203616,-0.0013456702218518713,0.0005188275144993059,-0.00038346550421796766,0.0005213536762200871,0.0006000713991335175,0.0005560135347931676,0.0014515708775565367,0.0006034024920538529,0.002044137817111174,0.0006336085888288313,0.002301879228430974,0.0006172821560450227,0.0022144056804007405,0.0005379352594194969,0.0018382380960284606,0.000400772482256898,0.0012849292732175076,0.00023447192470675004,0.0006986016535613236,8.506057016608737e-05,0.0002275657740900806,2.849528043339042e-06,-1.5937579547976548e-06
9,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,16.554767948329303,-3.139742635326343e-06,-1.2032921006165361e-06,9.610435339215197e-05,-0.00030796779039511625,0.0002836651346986135,-0.0009451500615348438,0.0004939765304772147,-0.001761199322044213,0.0006740388745285946,-0.0025684906716686544,0.0007902383502609266,-0.0031789761729912477,0.0008317272439346166,-0.0034413321370276653,0.0008086921935215919,-0.0032700889294509073,0.0007469534610328733,-0.002661517860260093,0.0006797602257381045,-0.0016938799411177516,0.0006376603151210932,-0.000512376142779901,0.000638299446809906,0.0006983920399206725,0.0006792502217853455,0.0017495722330179405,0.0007372053656297636,0.002484380896932079,0.0007752245052208359,0.0028084819093967517,0.0007565247387155383,0.002708074790115953,0.0006600835604572584,0.002251801385868548,0.0004919350760606147,0.0015762150940510729,0.00028746977473453195,0.0008582083368701804,0.00010365297138737026,0.00028021158627692804,2.947695604918692e-06,-1.6919796844420956e-06
10,3.010538948991614,51813960.120292746,6766.969358046088,137.12862241882465,2.6329237062246467,0.2364303115005832,0.08376708838690446,0.005623493965150116,2.6884912621405266,1652.6008279296852,7.5079464919693315,5.554964092025047,228.24524820505076,7.5079464919693315,5.554964092025047,228.24524820505076,17.00001067214963,-3.242326053197643e-06,-1.1950397434946321e-06,0.0001147194788857848,-0.00036498589348852353,0.0003368338680265441,-0.001122332030600429,0.0005858770575604002,-0.00209420717318715,0.0007995003545341373,-0.0030581840304116014,0.0009382019442879156,-0.0037907240932918054,0.0009889198880042517,-0.00411141259993982,0.0009629432274461565,-0.003917675490052799,0.0008899318583803853,-0.0032037894850608056,0.0008088064102434293,-0.0020613724854656413,0.0007561273515436068,-0.0006617689807543924,0.0007538789636335622,0.0007763852823355273,0.0008003892371706892,0.0020287346762404893,0.0008687032303927013,0.0029083630190068622,0.0009148420936178761,0.0033020923980041227,0.0008943574549894258,0.003192257942062477,0.0007814041342336902,0.0026591950351352233,0.0005826691506484715,0.0018641018602094084,0.00034024781020065994,0.0010163928066604347,0.00012213209407899975,0.00033253221714061416,3.0146424867689654e-06,-1.774657173682411e-06
