时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,34.0702618855676,-9.40002241709457e-07,-1.0532508122244561e-06,-0.00013647025669738912,0.0001217171352913794,-0.0002526069791731357,0.00023711729642134026,-0.0003393768695439258,0.00033268040231288176,-0.00039193291426643773,0.000397643549515011,-0.00041104368470755876,0.00042396529112008165,-0.0004027331168736672,0.0004072089186678797,-0.0003770946255288827,0.0003472169328102054,-0.0003464247174942871,0.00024860464720708966,-0.00032268385656360714,0.00012084529779090862,-0.0003146009398606551,-2.239620298477524e-05,-0.00032522045992726753,-0.00016499303877991762,-0.00035096792654904565,-0.0002909135343688885,-0.0003827471483245336,-0.0003867262757743478,-0.0004084842952183904,-0.0004432080446085305,-0.00041601776384037243,-0.0004558984918281886,-0.0003955475829512191,-0.000424963397556059,-0.0003413907738952617,-0.0003547645131478684,-0.00025301477048517986,-0.00025322692071223503,-0.00013544283285230188,-0.00013111118936324362,9.400210963757559e-07,-1.051861702263911e-06
3,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,67.86091273638964,-1.8727071722732105e-06,-2.1034173290712924e-06,-0.0006852654372495882,0.0006140131129273822,-0.0012724039615277332,0.001194632357659048,-0.0017118963100014298,0.0016778269518354953,-0.0019785355841404804,0.0020089694268975436,-0.0020757417295090407,0.002146221981406543,-0.0020338105003653837,0.002065502688859967,-0.0019040261236477599,0.0017646041516329888,-0.0017490687683320537,0.0012661438846703192,-0.0016298894725685542,0.0006182210764091036,-0.0015907210440878757,-0.00010910078733719862,-0.0016464751358480987,-0.0008330110616327199,-0.0017781561713940024,-0.001471457145879587,-0.0019388754760910761,-0.001956174908737021,-0.002067240988532975,-0.002240809809452376,-0.002102246130520472,-0.0023034313852082354,-0.001995554434392526,-0.0021455158693737485,-0.001719919063227909,-0.001789527433782719,-0.001273864042216269,-0.001275771039435511,-0.0006829840017533373,-0.0006587017261071273,1.8727947868758969e-06,-2.0895633509887764e-06
4,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,76.66151068790312,-2.1163618697446934e-06,-2.3831000403907836e-06,-0.0012887432810433812,0.001144136651041646,-0.002394426302600993,0.0022260351601401896,-0.003221212398787381,0.00312786451003111,-0.0037212333541819654,0.0037464358602697233,-0.003901358751157133,0.004001616780205628,-0.0038197156638458477,0.003846442042004735,-0.003574226247290801,0.0032756890989749246,-0.003283973266361922,0.0023318687064260743,-0.0030639691693049916,0.0011064305404686026,-0.00299667065960087,-0.00026735300031184274,-0.003108425833055155,-0.0016324353352153132,-0.0033614605125756873,-0.0028339238257767737,-0.0036660052465868386,-0.0037436293561315813,-0.0039060986189698296,-0.004274943606880778,-0.0039677437689962305,-0.004387057336125565,-0.003761683420612564,-0.004082764118874209,-0.0032385609460292143,-0.0034039734838613453,-0.002396997273443134,-0.0024262073513884198,-0.0012853547765106774,-0.001252063559380433,2.1165225906889554e-06,-2.3536542004594386e-06
5,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,80.41918056560603,-2.221336838776011e-06,-2.5071298441823212e-06,-0.0018910976898872118,0.001659505258110076,-0.0035139219670130752,0.003229471558399804,-0.00472541165596036,0.0045393078220021124,-0.005455016132061099,0.005437098063337816,-0.005713852303357056,0.005803557262962466,-0.005589227226159026,0.005567910936762178,-0.0052270832290878255,0.004721496124952299,-0.0048037287281963905,0.00332702570406503,-0.004488075587880364,0.0015201482121601495,-0.004399597695333729,-0.0005017801769705749,-0.00457421348140797,-0.00250710598567657,-0.004953536858215255,-0.00426843533419548,-0.005403792765447339,-0.005598447898200191,-0.005754390658280979,-0.006371005278158095,-0.005839284428445539,-0.006526625276576768,-0.005529835115549075,-0.006068988789995359,-0.004756128406221706,-0.005058641030689915,-0.003517868371170296,-0.0036056378335822376,-0.0018862037684643604,-0.0018606730448768368,2.221569937774528e-06,-2.4617982019434236e-06
6,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,82.49348126020806,-2.2803403307530055e-06,-2.579174539711521e-06,-0.0024915889117854057,0.0021597253812078695,-0.00462936192645694,0.004204205931821704,-0.00622230781351563,0.005911023548925691,-0.007177223435247654,0.007079394931719464,-0.007510295136988358,0.0075500790308970014,-0.007339358910119094,0.007227647958709139,-0.006859724359999324,0.006099660148355584,-0.006305673146995039,0.0042493978701675815,-0.0058997530123763645,0.0018575501623877288,-0.005797158556001847,-0.0008136527510296717,-0.0060414763040701844,-0.0034577157594921195,-0.0065519086092226935,-0.005775214756956153,-0.007149631366415797,-0.007520568197070764,-0.007609452331235591,-0.00852883283242208,-0.007714277911988196,-0.008722005273361236,-0.00729765208839553,-0.008104151379939256,-0.006270653833599879,-0.006753585081914099,-0.004635036325033822,-0.004814179831149736,-0.002484722809829495,-0.0024846651572380954,2.280645219075652e-06,-2.517911079263916e-06
7,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,83.80038561098006,-2.318652238643578e-06,-2.627492360352498e-06,-0.003089616251421532,0.0026447930944414814,-0.0057395854527413385,0.005150219057736451,-0.007710304858977521,0.007242928701990854,-0.008885969865464138,0.008673131631581874,-0.009288655540337976,0.0092408427395136,-0.009068059781037311,0.008825173242290523,-0.008470175999863962,0.007409615160808564,-0.007787957715747218,0.005098429612022911,-0.00729726436051372,0.0021181953932211976,-0.007187664254673077,-0.001203230789114239,-0.00750849345079562,-0.004484344561363915,-0.008154768120461736,-0.0073542236694741255,-0.008901622271266982,-0.00950991975837871,-0.009469340645570049,-0.010748391481843601,-0.00959082066287308,-0.010973223313262587,-0.009063376122243378,-0.010188324925365127,-0.0077806442994140974,-0.008488896252948788,-0.005747398168769707,-0.00605191753179009,-0.003080310400081377,-0.0031241037881669896,2.319028274615991e-06,-2.5503317915307803e-06
8,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,84.69177910224676,-2.3459871165737864e-06,-2.662933231606251e-06,-0.0036845783017584567,0.0031147740978153416,-0.006843455898168588,0.006067615621514204,-0.009187861671915435,0.008535121356718967,-0.010579456316068533,0.010218352002232672,-0.011047013592142975,0.010875800322286546,-0.010773404578874895,0.01036033789016271,-0.010056590179084262,0.00865114498630706,-0.009248847668893105,0.005873907872804545,-0.008678969723408805,0.0023019519065349244,-0.0085695086329411,-0.0016705184905869295,-0.008973620227402524,-0.005586876848468189,-0.009760384604907605,-0.009005282038390362,-0.010657946429944325,-0.011566327433266847,-0.011332190939368773,-0.013029558585046173,-0.011467078222511723,-0.013280218275224989,-0.010825302331962185,-0.012321489251000984,-0.009284642915005008,-0.010264569732001853,-0.006853874265641054,-0.007318850388404092,-0.003672383242349592,-0.0037789953341954177,2.346433562135266e-06,-2.5699532308520587e-06
9,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,85.33165855428568,-2.366875367583335e-06,-2.6905485231492733e-06,-0.004275867835795239,0.0035697594910734337,-0.00793983410127904,0.00695654398061785,-0.010653441299277887,0.009787760104551476,-0.012255896790973038,0.01171517625397949,-0.012783471654216049,0.012454995051728753,-0.012453497346544395,0.011833097381900207,-0.011617151202322408,0.009824146962141542,-0.01068663887714229,0.006575735958913597,-0.010043254913977936,0.0024087991240209937,-0.00994110586669679,-0.002215420639621318,-0.010435229044749056,-0.00676511339595153,-0.011367044025680182,-0.010728140782073766,-0.012416802546472754,-0.013689556509166735,-0.013196156247469861,-0.015372154846722707,-0.013341231286030993,-0.015642870383589295,-0.012581736482989244,-0.014503562668962647,-0.010781198895192547,-0.012080540380861392,-0.00795338855314137,-0.008614926927800495,-0.0042603618683732195,-0.0044493143223727355,2.3673913683376036e-06,-2.58185729782766e-06
10,0.11635583005057452,1615007.9357835199,-0.7694395774034319,0.5833912369912695,0.5743218981984215,0.16085198634637707,0.007524665912935395,0.002071076564770255,0.6783055487131178,1128.5810386177866,10.0,10.0,0.0,10.0,10.0,0.0,85.80672556458455,-2.3837150567831892e-06,-2.713004156795072e-06,-0.004862873796127758,0.00400985776894614,-0.009027577093186499,0.007817182098856332,-0.012105505172807281,0.011001041862004521,-0.013913508012524051,0.013163769226488802,-0.014496140549202077,0.01397852054894088,-0.014106456149665426,0.013243463807006051,-0.013150060907524228,0.010928581571628853,-0.012099644920767554,0.007203885581100205,-0.011388520457292037,0.002438786923491288,-0.01130088048556627,-0.002837773696034038,-0.011891699280817342,-0.008018791979429838,-0.012973038206382865,-0.012522493791159345,-0.014176395885351625,-0.01587931925290499,-0.015059397202695154,-0.01777594883095898,-0.015211468313546393,-0.018061006398115795,-0.014330991240399611,-0.016734409052859882,-0.012268866995549826,-0.013936691404013738,-0.009044869208310546,-0.00994005352275387,-0.004843670014964531,-0.0051350102827533144,2.3842996489631245e-06,-2.5887353613489692e-06
