时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,1.7029269517868968,-1.638926554336631e-06,-5.197102220360505e-07,-1.3527119960435084e-06,-8.4701306267955e-06,1.9050135455961294e-06,-2.3166206500575057e-05,5.681319074337227e-06,-4.191082176595586e-05,8.984209124767956e-06,-6.126334408504457e-05,1.1175096396497005e-05,-7.791958534273482e-05,1.2025351481415076e-05,-8.920385695396035e-05,1.167838851354677e-05,-9.345438068690908e-05,1.0543148865496057e-05,-9.022999196362503e-05,9.145856075798381e-06,-8.030591942598779e-05,7.971962951673082e-06,-6.546356513673815e-05,7.333277570001708e-06,-4.811555000462337e-05,7.2926995551624404e-06,-3.0836204066774886e-05,7.667551568408165e-06,-1.5885540149776962e-05,8.111724383235098e-06,-4.8171926155577655e-06,8.251693525842025e-06,1.7541244983288093e-06,7.831129291954401e-06,4.181014955578276e-06,6.812301366202624e-06,3.603129861842328e-06,5.395129839660435e-06,1.5960340278475155e-06,3.9486773695221e-06,-2.845994082105209e-07,1.6295932275617655e-06,-5.452741307903561e-07
3,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,4.35299898456364,-4.195901001779188e-06,-1.3260570476942606e-06,-3.1863560244188208e-06,-2.255648058999713e-05,5.7144507906673015e-06,-6.219584701999654e-05,1.6066964217589834e-05,-0.00011299423076006138,2.5153040059098198e-05,-0.00016552908552283036,3.1202613674445824e-05,-0.00021063038818081608,3.357145545346081e-05,-0.00024081424063524318,3.2649116591072034e-05,-0.0002514103158023944,2.9568917863741784e-05,-0.0002411775252703533,2.5795789413821068e-05,-0.00021231480271085513,2.2681826291248008e-05,-0.00016988009258825723,2.108880337559394e-05,-0.0001207339995132091,2.1171228258386792e-05,-7.220706849843584e-05,2.2382433843279813e-05,-3.074097962620121e-05,2.3707530902986566e-05,-7.616279862059345e-07,2.405449612600145e-05,1.5999813204868018e-05,2.267508948573282e-05,2.0609519779435678e-05,1.9467343181079954e-05,1.644347117117843e-05,1.5046710863143766e-05,8.216346682262707e-06,1.0567905747831306e-05,7.15621133164971e-07,4.169365612755809e-06,-1.398796330266526e-06
4,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,6.913097512372232,-6.67434801617689e-06,-2.100924003494597e-06,-4.5112503782559595e-06,-3.7635854377240324e-05,1.0751092331630474e-05,-0.00010465882444754464,2.854742031108179e-05,-0.00019091979610426406,4.421126664551439e-05,-0.0002802369443762749,5.4672883639102245e-05,-0.0003566649058287458,5.8799799286940064e-05,-0.000407096711009292,5.725773715088426e-05,-0.0004233206233398376,5.201610356310806e-05,-0.0004031624838198686,4.563089647916708e-05,-0.0003505435004352111,4.046240036313855e-05,-0.00027447392621163713,3.800335273230621e-05,-0.0001871875994922865,3.8486742336913474e-05,-0.00010177026930351651,4.0890251334054897e-05,-2.9727514892340785e-05,4.335054673522028e-05,2.104631096140678e-05,4.3869063437842635e-05,4.7509762491126e-05,4.108075965693729e-05,5.1694086160135636e-05,3.48185248697618e-05,3.987333638651245e-05,2.6267569489519586e-05,2.087210001259216e-05,1.7670895431422994e-05,3.847051376822395e-06,6.627047640474256e-06,-2.230684879003719e-06
5,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,9.53901890873989,-9.226197455383435e-06,-2.8891973553568466e-06,-5.179638955787215e-06,-5.535614249382385e-05,1.797014275103573e-05,-0.00015538706202988648,4.500621787427505e-05,-0.00028464455158189596,6.885564434737478e-05,-0.0004185641775718119,8.482407016201082e-05,-0.0005326481801083151,9.116088113412872e-05,-0.000606624322669581,8.887556532099041e-05,-0.0006277537247028909,8.099385843805796e-05,-0.0005926983943805121,7.1457423026161e-05,-0.0005076716223750546,6.390821915813932e-05,-0.0003868969556977119,6.063104938724586e-05,-0.0002496932296154715,6.192492513015317e-05,-0.00011673838938465984,6.609839443016029e-05,-6.214552676960126e-06,7.012181666062228e-05,6.943435779961058e-05,7.075723008025484e-05,0.00010551284561937452,6.580431809450077e-05,0.0001054767988641905,5.5032971712848014e-05,7.967847774941768e-05,4.046776546208972e-05,4.274318939223242e-05,2.5949853011942333e-05,1.01068541070575e-05,9.151552158002356e-06,-3.0941330791654425e-06
6,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,12.183649197373962,-1.18082219842427e-05,-3.6722961414976796e-06,-4.732324459059589e-06,-7.683433858515076e-05,2.8515028119301623e-05,-0.00021789606567472036,6.735471502907952e-05,-0.00040079201103352736,0.00010166106938529375,-0.0005902404854686215,0.00012466741462697516,-0.0007506687392414344,0.00013383269598358214,-0.000852469822147919,0.00013061205101517817,-0.0008770119637798663,0.00011940089501822166,-0.0008195097445574393,0.00010594405824202431,-0.0006893291623272675,9.555408176998923e-05,-0.0005077530551280496,9.153768809593273e-05,-0.00030366958031770655,9.423999717846464e-05,-0.00010800085978506616,0.00010101679125399789,5.208155133150872e-05,0.00010720622597095475,0.00015805625343060686,0.0001078447474177014,0.00020312838918075813,9.95833969677674e-05,0.0001929069061916151,8.214589009798929e-05,0.00014359434193403928,5.880779012286129e-05,7.811219471831013e-05,3.5763190221774906e-05,2.0950690237086194e-05,1.1696716545165167e-05,-3.978662400699204e-06
7,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,14.883561028471556,-1.4460588850819751e-05,-4.45248954112458e-06,-2.3067666389842014e-06,-0.0001051181690485075,4.495685180079007e-05,-0.00030150926516207696,0.00010008941993486396,-0.0005567974921012218,0.00014878947803074582,-0.0008208556359054345,0.0001814618825024879,-0.0010426640083203032,0.0001944960253155456,-0.0011795719726586888,0.00018997648800210957,-0.001204760899142803,0.0001742070129541136,-0.001111577963695681,0.0001554516441360287,-0.0009140871715469743,0.0001413654308631104,-0.0006438572478016186,0.0001366812806623606,-0.0003436498027149464,0.00014176568327291687,-5.919884475955706e-05,0.00015253752357961825,0.00016937748097394344,0.00016189799612964447,0.00031490007535703746,0.0001623170868694445,0.00036777661390081045,0.00014876143055097125,0.000337094413940208,0.0001209523246316217,0.0002480069533191501,8.414204320416809e-05,0.00013602685501067755,4.817437912190167e-05,3.939290472300614e-05,1.4295792368796406e-05,-4.905616596781023e-06
8,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,17.470576404386,-1.7025244979697187e-05,-5.165852353609866e-06,3.4654826812520794e-06,-0.0001433392227991146,7.055111636517769e-05,-0.00041603087729017205,0.00014852926653711847,-0.0007709739214405458,0.000217307143045602,-0.0011370800631840192,0.0002634076300758031,-0.00144150291347576,0.00028177816892024216,-0.0016232071071754636,0.0002754024673343539,-0.0016439573571160012,0.00025325611508930445,-0.0014947590609234304,0.00022714598147109192,-0.0011967658779049256,0.0002080500887846269,-0.0007966583053101234,0.00020273826699518846,-0.00035743730553344165,0.00021158427533481879,5.3644804829058226e-05,0.0002283641485731335,0.00037776351469607876,0.0002423406043772694,0.000575395081542165,0.00024215328093731678,0.0006332690800627896,0.0002202873656469842,0.0005660610095553065,0.00017655343304438345,0.0004125736308426234,0.0001193022217717368,0.00022730033780155262,6.397604211357307e-05,6.910275893543135e-05,1.6782968015299188e-05,-5.8324907784428905e-06
9,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,19.792424939751143,-1.936124214494085e-05,-5.747234311153586e-06,1.451316692937461e-05,-0.00019659939815715757,0.00011014164585647598,-0.0005772587476014688,0.0002206928525942053,-0.0010727786963385844,0.0003179239799493846,-0.0015818858556179553,0.00038298712451047186,-0.002000414179624633,0.00040887144545009955,-0.002241089233474056,0.0003998278937924004,-0.0022495911763855416,0.0003685632835104445,-0.0020140095285436084,0.0003318898636574034,-0.0015662319910856556,0.0003055706567687224,-0.0009752517895097997,0.00029939007065337786,-0.0003337374416247278,0.00031379986692440116,0.0002596559941745257,0.0003394417728819811,0.0007189554001058103,0.00036015087025569325,0.0009869506189660747,0.0003588131103969418,0.0010455186924768426,0.0003242097985594016,0.0009181523547484096,0.00025638179192016375,0.0006642923027556166,0.00016848089607350038,0.0003667897339447257,8.445049474054373e-05,0.00011509052337092639,1.900576535714827e-05,-6.725969553156062e-06
10,1.5462056883960913,51637400.26083274,9496.415898040676,603.6212419831825,1.7743222649301413,0.14861262831705901,0.05024343976409059,0.011846526427692789,1.8069777445433717,528.5094181358145,10.0,10.0,1000.0,10.0,10.0,1000.0,21.255196604756243,-2.0865295671997612e-05,-6.054120598200763e-06,2.733834956832796e-05,-0.00024918776475488333,0.00015162020303135333,-0.0007374804072184182,0.00029460972751817633,-0.001372849828402285,0.00042005734964921675,-0.0020236689389412726,0.0005039285302223487,-0.0025543914174775517,0.0005373318219230058,-0.00285156931489628,0.0005257061551740748,-0.002844979330397852,0.0004853246970345312,-0.0025200607283324197,0.0004378893945705555,-0.0019197478114034887,0.00040397814452811836,-0.0011356726778969115,0.00039655055656851156,-0.0002904807095415975,0.0004163102459649592,0.0004855175494432374,0.000450816205484184,0.0010790622729808111,0.0004783533568028658,0.001415297235290694,0.00047583394944111584,0.0014714998889799157,0.0004281751879987233,0.0012804167811563969,0.0003356766150204884,0.0009226541582277468,0.00021651425718433978,0.0005099192302820761,0.00010341728352510444,0.00016260851718552226,2.0395652760904795e-05,-7.347737063654428e-06
