时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,18.916326894182696,-5.891612823183145e-06,-2.447660703706067e-06,1.8334974231274069e-06,-2.4790600128136382e-05,1.99510427604024e-05,-6.182126111132492e-05,3.997890718336974e-05,-0.00010730744407358877,5.708224932340709e-05,-0.00015206883931738103,6.810155702830013e-05,-0.0001871024859558807,7.204637788349933e-05,-0.00020517732064485994,7.000133587230098e-05,-0.00020211191227044215,6.452892353594374e-05,-0.00017747033282619986,5.874265932884646e-05,-0.00013458518184015182,5.52935146516572e-05,-7.990278182635613e-05,5.5542066874363324e-05,-2.176706791438859e-05,5.915027719063531e-05,3.114098486121855e-05,6.421896858533456e-05,7.141555562702081e-05,6.794056284948805e-05,9.42759856055769e-05,6.757754857692285e-05,9.8386899350797e-05,6.14692356536985e-05,8.599287687005485e-05,4.97460519915769e-05,6.234612001957173e-05,3.451823506391448e-05,3.456847504295452e-05,1.9462642744332602e-05,1.0131747888932748e-05,6.193801880706905e-06,-2.824484770163064e-06
3,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,42.613483693042824,-1.3299996660498874e-05,-5.487970033826763e-06,1.1906020106137796e-05,-6.90725004179714e-05,6.572916030512481e-05,-0.00017696036624402893,0.0001252193120700192,-0.00030984875105960903,0.00017601769581816225,-0.0004403434393671324,0.00020867164995153458,-0.000541284029170645,0.00022019907550890064,-0.0005907552304179996,0.00021386807687682655,-0.0005760945740450305,0.00019743164444300658,-0.0004961077998866197,0.00018032937069742243,-0.0003611910424132645,0.00017058984253740447,-0.00019134360315072968,0.00017227087347098416,-1.2421355509163142e-05,0.00018417550179102628,0.00014870277142230514,0.00020026025404630413,0.00026916061178062345,0.00021166503872943788,0.0003343062990420714,0.00020978525025769723,0.00034028334104452284,0.00018945177545842286,0.0002944479255716605,0.0001512033419762033,0.00021359285367894123,0.00010190479256196576,0.00012041169701940432,5.345923140578255e-05,3.882691568261573e-05,1.3944232958354332e-05,-6.389901846098279e-06
4,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,69.03075563383656,-2.164468749678263e-05,-8.774943800794e-06,5.302381077327527e-05,-0.0001693904940704314,0.000196031655454762,-0.00044972165812309713,0.00035357802911195423,-0.0007954062420910265,0.00048780982365227905,-0.0011333066597959864,0.0005737413003634271,-0.0013902780639984834,0.0006034819718823424,-0.0015071814234266232,0.0005857748272441002,-0.0014500419137731195,0.0005414324210802511,-0.0012162812661294963,0.0004959293812962492,-0.0008351571642181212,0.0004710261241822343,-0.0003623691392582963,0.0004776652552020199,0.00013025680237293806,0.0005122464493699864,0.000568211282462627,0.0005575949788210257,0.0008883535469149916,0.0005885862149697851,0.001050765767095233,0.0005808706203894633,0.0010459557464318845,0.0005200125448219762,0.0008959636186919218,0.00040805070563559143,0.0006492632537641196,0.00026524523417646847,0.0003707408230835844,0.00012625208609235046,0.000128708019952693,2.2532443656101593e-05,-1.046018334008964e-05
5,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,81.82128910230567,-2.5793577537108058e-05,-1.0223578841537819e-05,0.00011401042084068202,-0.00028839650800478647,0.0003675893093033171,-0.0007811798006324802,0.0006460544099423171,-0.0013888719178988022,0.0008829399424015647,-0.0019812611526302043,0.0010344546044126618,-0.0024278182922574097,0.0010866854564768255,-0.002623111898752877,0.0010548257237366623,-0.0025068928928996988,0.0009754348483705267,-0.00207527699942939,0.0008936917842875166,-0.0013815296514214327,0.0008486543308905373,-0.0005264335649882307,0.0008603601856986944,0.0003602028958712298,0.0009226638296434998,0.0011437972941234487,0.0010045180064827725,0.0017105232540899264,0.0010599878386202113,0.0019889554306240054,0.001044322754734238,0.0019631937836319703,0.0009310428245983902,0.0016747038525182177,0.0007242483815384991,0.0012127432226230468,0.0004617774128299608,0.0006958843491109201,0.00020777430726469967,0.000248503365436691,2.6612458498001253e-05,-1.2555314777429431e-05
6,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,88.08045767506152,-2.7915138267650462e-05,-1.0810890071838229e-05,0.0001784055180000936,-0.0004063783425583864,0.0005425443713511154,-0.0011128081833819026,0.000941613069034451,-0.001984332398397729,0.0012809988299672622,-0.002833278060620321,0.0014984758675286002,-0.0034713417790513063,0.0015740093338681605,-0.0037465651771397793,0.001528656771031967,-0.0035723260871636095,0.0014140124668144093,-0.0029433691156181916,0.001294609801855727,-0.0019368761271744892,0.0012270989223550134,-0.0006986510879428045,0.0012414295479753088,0.0005834262958370091,0.001329787083425561,0.0017144035349910206,0.0014476783508127393,0.0025293656091224226,0.001528114140771524,0.0029250861434174107,0.0015052400586988846,0.0028792337924924217,0.0013398647171536215,0.0024529036427454604,0.0010379500697343057,0.0017763494324245898,0.0006552498535716861,0.001021841925748715,0.0002859406331396042,0.00036964363703486123,2.8544481851742876e-05,-1.3681959899539408e-05
7,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,91.76504737862678,-2.9239429116411596e-05,-1.1057645284520112e-05,0.0002441338634297298,-0.0005243878513434186,0.0007186717402589529,-0.0014461023908716357,0.0012380325660654378,-0.0025841340742993376,0.0016799221931995596,-0.00369304363516106,0.0019640157628401877,-0.00452637340169728,0.002063992905718106,-0.004885325107022936,0.0020061051838001372,-0.004656642035311336,0.001856182657117171,-0.0038333971254680965,0.0016977008606069554,-0.002516308442316382,0.001605189191929679,-0.0008958284471383382,0.0016193917031206966,0.0007822827572759871,0.0017318331876540571,0.002262586516652469,0.0018851621916676753,0.0033286995391447484,0.0019912220182404217,0.0038451466565175446,0.0019623977212106544,0.003782837377351771,0.0017460528814025515,0.003222308399503514,0.0013496427103623682,0.0023346175896747645,0.0008469531533057535,0.0013454080818535408,0.000362541125163342,0.0004904428651105555,2.9632328521087474e-05,-1.4425139244640186e-05
8,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,94.17189679089134,-3.0169893856389824e-05,-1.1134657836676837e-05,0.0003104863619266113,-0.0006427280431578877,0.0008951708223974454,-0.0017814629074705854,0.0015344699328348607,-0.00318893999478256,0.0020788848110995127,-0.004561696079826774,0.002430326030559098,-0.00559474069797326,0.002556009620076715,-0.0060420757959238095,0.002486680906270673,-0.005763465502937815,0.0023015656340510298,-0.004749906539685423,0.0021026299946282903,-0.003125158739943817,0.0019825506970795105,-0.001123834659917405,0.0019937659765208275,0.000950714962074587,0.0021282040781656023,0.0027825014819745208,0.0023163172138919268,0.004103273702873635,0.0024487277897769686,0.004744765391646747,0.0024154192221255825,0.004670655375680675,0.00214953772094342,0.003980579271290388,0.0016595829246470151,0.002886074320434993,0.0010373983929508172,0.0016657431265714674,0.0004382082155723007,0.0006104361918567398,3.0303637226259922e-05,-1.4976776815611252e-05
9,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,95.85026841013284,-3.0877436021283e-05,-1.1114359459518304e-05,0.0003771409566364329,-0.0007614933812918384,0.0010716417442149472,-0.002118970863076812,0.0018304567345119927,-0.003798888057134752,0.0024773736330306055,-0.005439538218092309,0.002896886893013892,-0.006677029122591659,0.003049577828886728,-0.007217781609445381,0.002969977449134655,-0.006894194139226987,0.0027498421913362994,-0.005694732763924902,0.002509142587943668,-0.0037656512976967584,0.00235894183646904,-0.0013851762800147973,0.0023642672606396095,0.0010860962935220905,0.0025185418906166542,0.0032715983370175303,0.0027407328975374845,0.004850804136148571,0.002900234799864817,0.005622062623248228,0.0028640071659722585,0.0055412726670272085,0.0025501875753291227,0.004726748452934073,0.0019678225527693786,0.0034301227001697237,0.001226782106319927,0.0019825116599705294,0.0005132077076222758,0.0007294355293915446,3.073963381338279e-05,-1.5418183185393128e-05
10,0.8027217889832041,14408302.223148312,-481.0473925793631,19.070379185606207,0.7727829197042266,0.12143014169893748,0.03128592786594714,0.0040448296020281615,0.8210082862750865,713.6319423447044,4.330846058412545,6.418935003954963,117.9762918794363,4.091283020357542,5.705292577410645,66.74464392795323,97.07100887022285,-3.144631756283089e-05,-1.103252596619562e-05,0.0004439225948025241,-0.000880705814230596,0.0012478392598464863,-0.002458599889666029,0.0021256694865609484,-0.004413935149474454,0.002874994692153691,-0.006326574095604839,0.003363262245390183,-0.007773366583192093,0.0035442641144243173,-0.008412761417518514,0.003455610343770503,-0.008049381778928897,0.0032007043348169922,-0.006668682511085916,0.0029170008746456427,-0.004438835965962099,0.0027341553294432945,-0.0016811019776943846,0.0027306648561136212,0.001187063867774371,0.002902555011406155,0.0037285156177546633,0.00315805973952507,0.005570049499311331,0.003345381464256271,0.0064760059950728505,0.00330785552436741,0.006393906049934518,0.0029478098833938962,0.005460275348107464,0.0022743047504328417,0.003966425630090555,0.0014151614676443194,0.002295524050783933,0.0005876591454887777,0.000847338991929887,3.102974475110026e-05,-1.5789439796108264e-05
