时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,9.957897992367117,-5.868438105405408e-07,-7.48384205133447e-07,-0.0002211028166765035,0.00017320566042441525,-0.00041396942364741677,0.000340171170027038,-0.0005616876305598296,0.00048155532224075686,-0.0006545040949303943,0.000581334637694059,-0.0006918161398296954,0.0006269019179745075,-0.000681886836046656,0.0006103486601059718,-0.0006403864376086111,0.0005295564994805852,-0.0005878423282832171,0.0003893089050855706,-0.0005456241118923715,0.0002022074017758662,-0.0005304464726252604,-1.1469938015801719e-05,-0.0005488258542073671,-0.00022629514138315331,-0.0005945482248405414,-0.00041661514512610873,-0.0006510049411874766,-0.0005615039254599631,-0.0006966397274350132,-0.0006473464770061998,-0.0007104403627032345,-0.0006680549215526429,-0.0006759638853331263,-0.0006242614959194644,-0.0005839026199272242,-0.0005224203783056316,-0.00043348452928027183,-0.00037390689707110243,-0.00023292833034870253,-0.00019412646680949246,5.871349035927173e-07,-7.462383619031288e-07
3,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,16.76269273896012,-9.877508771343683e-07,-1.2653186410276782e-06,-0.001008151791667164,0.0007849308284022484,-0.0018847686377791487,0.0015347053399626743,-0.0025519783357544883,0.0021678948195817953,-0.002967292439935833,0.0026128675742087236,-0.0031296547108387108,0.0028123019077524497,-0.003078182500752222,0.002729612184986165,-0.002885561144409762,0.0023548771717292866,-0.002646106910220261,0.0017104958287731606,-0.002457017433054467,0.0008554765126837312,-0.0023929407087913486,-0.00011578633309533454,-0.0024808733321165896,-0.0010861158703991058,-0.0026896050006404277,-0.001938943057431199,-0.0029417601668680613,-0.002580979733897682,-0.003139596719497239,-0.0029532617223379295,-0.0031901286131509076,-0.0030311448593042132,-0.0030227999372132363,-0.0028199280906111455,-0.0026000398159250187,-0.002350489213737134,-0.0019225194457069138,-0.0016754213045393498,-0.0010300375928208312,-0.0008650802102657014,9.889662101425734e-07,-1.2506435804689323e-06
4,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,18.33634259329536,-1.0804751290635679e-06,-1.3901803732500233e-06,-0.0018078835493260121,0.0013874463077049905,-0.0033777323936132883,0.0027111661856399896,-0.004568541940664962,0.0038289277449988757,-0.005304964259160239,0.004612606006918918,-0.005586948921766577,0.004958377914402289,-0.005487119362194652,0.004799288024782054,-0.005138256810662947,0.004117013871357066,-0.004710982513233371,0.002952576483317862,-0.004379346151510954,0.0014138096294212964,-0.004274930754405667,-0.00032785100336247896,-0.004442441079706541,-0.0020612871555891832,-0.00482223644902318,-0.0035783746810467056,-0.005273502801716729,-0.00471421812459775,-0.005621348554606428,-0.005365755067636529,-0.0057016897970893375,-0.005490633229198991,-0.005392050622949237,-0.005098897071478938,-0.004629225890068123,-0.004245410992307086,-0.0034174792025575326,-0.003023721011829794,-0.0018291140629173436,-0.0015597168789132,1.0826025411437928e-06,-1.361902715276776e-06
5,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,19.02962570848758,-1.1215085064139064e-06,-1.449011172944326e-06,-0.0026072727885983232,0.0019699149400597073,-0.00486898938178948,0.0038497306816372193,-0.00657987850691529,0.005437789896130555,-0.00763177202202839,0.006549176767031148,-0.008026854273546323,0.0070322464646328,-0.00787330031611241,0.006788286324191003,-0.007366105853889203,0.005789997235867761,-0.0067535124684822605,0.004097636826750517,-0.006286256145635223,0.0018693629245233935,-0.006151055982731749,-0.0006448376917544776,-0.0064074808998154965,-0.003139341958459378,-0.006964721058753197,-0.0053152159941012795,-0.007616975883742769,-0.006937482502910177,-0.008112311619744154,-0.0078603042948482,-0.00821709541950547,-0.008023997067645396,-0.007759276624568874,-0.007442644492902254,-0.006652323746688266,-0.006193770013339872,-0.004905558323122208,-0.004410735585196494,-0.002623848135729842,-0.0022748076072947807,1.12453868492841e-06,-1.4070128872680083e-06
6,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,19.41928926539829,-1.144858795769248e-06,-1.485034554140379e-06,-0.003404769501248893,0.0025318105475285392,-0.006355726038372368,0.004949529845962823,-0.008582330598856325,0.006993388166067802,-0.009943622385760222,0.008421378120973613,-0.010445188580736394,0.009032710497850071,-0.010232718081204288,0.008695545668378388,-0.009565435588455087,0.007373061011148177,-0.008770392217573256,0.005145370186238487,-0.008174716691961407,0.0022223922946459076,-0.008018386277605115,-0.0010659635546945562,-0.008373007789278795,-0.004319174836111513,-0.009113973795310008,-0.007148357763181806,-0.009969087956750161,-0.009249977852537245,-0.010609574224061901,-0.010436633784119857,-0.010733812656004583,-0.010631515961839677,-0.010122470772831042,-0.009851882937376598,-0.008667917652453566,-0.008196489651155403,-0.00638591324312592,-0.005837341420288237,-0.0034138696084685155,-0.0030109348688430325,1.148782098777957e-06,-1.429319628313034e-06
7,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,19.668479551859832,-1.1601495320901084e-06,-1.5104716762101499e-06,-0.00419926996368422,0.003073115629202645,-0.007835909110599466,0.0060105466562177965,-0.010573203305269637,0.008495697479016028,-0.012237432847067437,0.010229158509637428,-0.012838722005986836,0.01095967301448985,-0.012562187201175485,0.010520931150321763,-0.011733234647268602,0.008866089774498681,-0.010758831478320349,0.006095780545120159,-0.010042112002624528,0.0024731156220930356,-0.009874365409890366,-0.001590772220692825,-0.010336405902595644,-0.0056001705746032936,-0.011267263183662696,-0.009077182691542302,-0.012327026524883348,-0.011651245607281459,-0.013110347573194417,-0.013094537525027018,-0.013249211246530217,-0.013313233841627203,-0.01247929862016006,-0.012326827426331755,-0.010674101672198873,-0.01025385016364187,-0.007857191192199462,-0.007303793807058408,-0.0041984761910075505,-0.003768265267982278,1.1649545687586057e-06,-1.4410903302613646e-06
8,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,19.841087798600512,-1.1711528343983923e-06,-1.5301036300316308e-06,-0.004989765004366616,0.0035939447473789417,-0.009307667680229188,0.007032982717444824,-0.012549997014184848,0.00994495996730196,-0.014510320323447996,0.01197274491499633,-0.015204407196611239,0.012813294587877642,-0.014858674933463682,0.012264518845089695,-0.013866610109504702,0.010269114824669839,-0.012716127267604486,0.006948946016114749,-0.011885891394953295,0.0026217554069139625,-0.011716491103200471,-0.0022188555291148323,-0.012295109044700736,-0.006981784766029123,-0.01342189986861302,-0.011101128216099173,-0.014687999346295737,-0.014140828514682815,-0.0156118215757644,-0.01583373229915655,-0.015760583468678584,-0.01606903392255952,-0.014827292716141739,-0.014867466877592782,-0.012668802609904212,-0.012365879385500343,-0.009317878819330338,-0.008810122722631491,-0.004976864640731221,-0.004546823660161274,1.1768261147170894e-06,-1.4471344852718223e-06
9,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,19.967241271081768,-1.1796507938076445e-06,-1.5461806326757298e-06,-0.005775273563250347,0.004094470862859512,-0.010769177866496282,0.00801713628636652,-0.014510267195751237,0.011341533549698982,-0.01675945721149264,0.013652482150537465,-0.01753924820205145,0.014593843634496641,-0.01711919370097323,0.013926476109888864,-0.015962706894048804,0.011582239884734846,-0.014639606454646133,0.007704998481326271,-0.013703526361529219,0.0026685709831254373,-0.013542277456583204,-0.0029497814201787306,-0.014246564124425405,-0.008463454206128311,-0.015575204914090611,-0.013219606229343293,-0.017049218550847484,-0.01671822407059608,-0.01811117808587445,-0.018653860404831413,-0.018265195503248604,-0.01889869383639302,-0.017163941023711927,-0.017473661510618337,-0.014649891196311932,-0.014532470873571946,-0.010766408972735815,-0.010356242934043513,-0.0057481978297696835,-0.005346565006735671,1.1861766204690367e-06,-1.4497247566505271e-06
10,2.4063663314936314,75616576.17061387,14637.46317551646,275.5323566974834,2.350576274475511,0.7558955740008423,0.07679962943746647,0.0065860584050889265,2.892609555457641,1515.3467353052176,10.0,10.0,0.0,10.0,10.0,0.0,20.062982272191793,-1.186595696966172e-06,-1.5598970591744559e-06,-0.006554823272059677,0.004574902756938593,-0.012218629308403641,0.008963364905969013,-0.016451584012933333,0.01268584570339624,-0.0189820305317907,0.015268784048276909,-0.019840264208056773,0.016301651426110373,-0.019340772457677104,0.015507026340445323,-0.018018687491142975,0.012805620187727152,-0.016526612468723306,0.00836411925951152,-0.01549250148897506,0.0026138698757343167,-0.015349247425077803,-0.0037830713039049193,-0.01618822416730909,-0.010044570102225784,-0.017724504732654692,-0.015431980444155084,-0.019407900920951834,-0.01938287331111921,-0.020605600538657204,-0.021554494488514382,-0.02076030898418028,-0.02180190711032942,-0.019486719720329164,-0.020145177330036373,-0.016615221261828902,-0.016753424334452156,-0.012201197360775521,-0.011941990957937361,-0.006511627484469253,-0.006167398076672108,1.193956132634707e-06,-1.4500755596001722e-06
