时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,36.31549245940571,-0.00010384414455781098,-4.1155509794184785e-06,-8.296346144820907e-05,-3.859461292245658e-05,-4.065879598681024e-05,-9.593031516618673e-05,7.433399560733119e-06,-0.00016817775269804654,5.0985839904978894e-05,-0.00024246997433445186,8.271187651688392e-05,-0.0003058404906798889,9.9540095813727e-05,-0.00034732444888640264,0.00010274686263748322,-0.0003597711327750029,9.703816165909006e-05,-0.0003409589317888669,8.881427169469759e-05,-0.0002939042393378479,8.404873006995384e-05,-0.0002262508185497072,8.638986628557694e-05,-0.0001487757906675048,9.609875342430091e-05,-7.32515178055819e-05,0.00011018595043636624,-1.01292092285409e-05,0.00012366897994125107,3.3407915226247125e-05,0.00013147134412429924,5.459237548282488e-05,0.00013030391448621827,5.52402788689635e-05,0.00011991512351265332,4.09670147301019e-05,0.00010334481419983381,1.9712399731024834e-05,8.605785855384798e-05,-2.1911859237908276e-07,7.071429276466841e-05,-8.591418878962338e-06
3,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,77.35198454670375,-0.00022169253578323926,-8.80706990365699e-06,-0.00016317076418999934,-9.90329862746756e-05,-4.861223915227089e-05,-0.00025334641389039504,8.177888269396394e-05,-0.0004483974261683378,0.00019921785382063628,-0.0006478770543805419,0.00028317270711620933,-0.0008145488044566863,0.0003250916982931174,-0.0009168245742944714,0.00032896738840803295,-0.0009343714284296936,0.0003087139434961408,-0.0008615950641176626,0.0002830272712140186,-0.0007086061603160246,0.0002690435149714535,-0.0004993344172946893,0.0002766690808046465,-0.0002669037360482359,0.0003054807429681004,-4.703273379223786e-05,0.00034530660315149937,0.00012907435266296886,0.0003802295768402408,0.00024064370892542213,0.00039452446085347435,0.000280748800334809,0.00037849985347788783,0.0002567045169026496,0.00033237797933752977,0.00018759092640893344,0.0002670903516859266,9.970091099413542e-05,0.00020164972820417885,2.0670285209406196e-05,0.0001508340263754548,-1.8409686395950053e-05
4,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,119.98267068961039,-0.0003448519509924983,-1.3626578666542446e-05,-0.00019309691893974968,-0.00022662076336972227,8.823999694425154e-05,-0.0006031748400559822,0.0004067403829562753,-0.0010781171404803639,0.000689910906475617,-0.001557566971886371,0.0008860573946523109,-0.0019443254608352623,0.0009743880119362686,-0.002156342736590086,0.0009667143553743924,-0.0021422143567350975,0.0009006531788527573,-0.0018908076685712465,0.000825907682459497,-0.001433814343063064,0.0007871063418339642,-0.0008403452687663867,0.0008083684839740626,-0.00020382866704127256,0.0008849914068355883,0.00037665346889777083,0.0009854894435405166,0.0008164114151217814,0.0010633138243575397,0.0010616616614533838,0.001074022344335929,0.001098742923503912,0.0009920540114161742,0.0009545699698071759,0.0008217092914378949,0.0006889907083344841,0.0005990267197478673,0.00038140609516634826,0.00038371760351677654,0.00011430069745456119,0.00023417213760893317,-2.8895171777469246e-05
5,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,140.63157720487962,-0.0004050627516683539,-1.576951098001187e-05,-0.00012342168349462106,-0.00039046455194957104,0.0003804653973559274,-0.0010648721414585041,0.0009470486639211798,-0.0019121340319741935,0.0014456159023218474,-0.002758527033268836,0.0017836819406000651,-0.0034244810829026566,0.001924996472861095,-0.003759821989054347,0.0018925357989310464,-0.003672716902139454,0.001756303139348847,-0.003147322960559096,0.0016083345386089063,-0.0022480770161470826,0.0015309006309112809,-0.0011091620231628632,0.001567421427417315,9.050375955536921e-05,0.0017065205637934065,0.001162941034815377,0.0018858290755420508,0.0019495609700914917,0.0020146699202163317,0.0023527735572707533,0.002007607922484015,0.0023531796467402295,0.0018173185235905538,0.0020093686615021518,0.0014558659544571034,0.0014419535909241609,0.0009975872311247086,0.0008068866679069378,0.0005621368220616852,0.00026395474221039883,0.0002743657770749382,-3.434106201743969e-05
6,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,149.847255516202,-0.0004323341378911049,-1.6539169603285133e-05,-1.9669558851989002e-05,-0.0005524830820026718,0.0007050556156584262,-0.001525858470383843,0.0015164342300832772,-0.002746152949225531,0.002226683120140238,-0.0039586771985193605,0.0027036885049004995,-0.004900894502604368,0.0028960252219792427,-0.005354804934329983,0.0028370888344597367,-0.005189098794350937,0.002628121980384571,-0.004384290224489416,0.0024028356447704556,-0.003038336619022732,0.002281490484409266,-0.001350950730229896,0.00232795226406075,0.0004130951573606935,0.0025253311177154177,0.001976540422389562,0.002780745398177263,0.0031067191366486746,0.002958725285586872,0.0036626694609071496,0.002931655809946981,0.0036204531618369688,0.0026296627317520813,0.0030718890377342046,0.0020728548096865234,0.002199478716788164,0.0013750952468707738,0.001235812320295991,0.0007172683524247351,0.00041713904008753005,0.0002921155558916951,-3.7066613099086454e-05
7,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,155.02225062958888,-0.0004479885003815608,-1.6819379971172733e-05,9.624679143055858e-05,-0.0007148715842013111,0.0010410500546794597,-0.001990121790601414,0.00209576769266314,-0.003587489801990667,0.0030165386157640734,-0.005170303950462265,0.0036324439317738334,-0.006392276867004196,0.0038767299506818785,-0.006967410464190798,0.00379203572494772,-0.006725180902298346,0.0035093843725236295,-0.005642695352865972,0.003203410008579122,-0.0038513239772476654,0.003032892924033111,-0.0016159476259070599,0.0030837314764442254,0.0007130456029584731,0.003335275477167424,0.0027689527086178236,0.0036650612578860192,0.0042445947837123936,0.0038924915731716843,0.004955353339234093,0.003846550948434177,0.004872911160021451,0.0034336115877714856,0.004122728254893196,0.0026814083586304944,0.0029492926378795405,0.0017437886590081228,0.0016612102429521608,0.0008635828724214687,0.0005700898991885437,0.00030195169310975943,-3.882497560367344e-05
8,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,158.30504585108903,-0.0004582363783157834,-1.686947437550388e-05,0.0002178373011471976,-0.0008781563642742008,0.0013820772714522684,-0.002458562838061748,0.002679064312230139,-0.004437932530679121,0.0038098524430239763,-0.006396686287378825,0.00456546654053756,-0.007903952087327942,0.004863540183440294,-0.008605380033584447,0.004754626501962318,-0.008291227328096446,0.004397937164220182,-0.0069351241896896286,0.004008210182408053,-0.0047014366302869865,0.0037833066770402665,-0.001919571570055644,0.0038328819672003227,0.0009749055871886452,0.004134488005913115,0.0035257411946445585,0.004537216819693661,0.005350667649672126,0.004815128432969368,0.006220810626607653,0.004752561432345011,0.0061032270063356596,0.004230759451677876,0.005157035184999478,0.0032843996857985333,0.00368850929568139,0.002107508057970578,0.0020815002250007555,0.0010054293105673459,0.0007218931157968296,0.0003081054302248257,-4.012725129603393e-05
9,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,160.5453327803118,-0.00046553676315025963,-1.6792645283004217e-05,0.00034247646520167957,-0.0010424892521155105,0.0017254556409992015,-0.002931391551803193,0.0032636681386220136,-0.0052979605436443734,0.004604108534775969,-0.007638853801857229,0.005500499036263535,-0.009437772451415815,0.005854545641914744,-0.010271579628802397,0.005723323337200425,-0.009891185968405604,0.005292562722979783,-0.008266541963483146,0.004816221098710992,-0.005594460863578643,0.00453177845679057,-0.0022681042505300407,0.004574411371122492,0.001192331742356313,0.00492193481534618,0.00424097779793608,0.005396253452515307,0.00641984205575644,0.005725953997358828,0.00745503736903956,0.005649491412557024,0.007308544868065103,0.005021527668362034,0.006172976359717377,0.0038828606758622205,0.004416072602324017,0.002467746436320948,0.002496115350485607,0.0011445328551056915,0.0008722105643803155,0.0003122521562634973,-4.117578571336332e-05
10,0.6257305716833037,13067401.382409409,-296.71700002044054,7.413928060281088,0.5847240058034462,0.13026650845856946,0.04292341045081085,0.002613104765734793,0.6548083435087572,869.3299384005917,0.18998533442096033,4.215281810236785,412.2374413125581,0.2784159121579517,2.049189733651133,221.81343261143536,162.1461860566503,-0.00047105691809347963,-1.6638108134914636e-05,0.00046888146615593003,-0.001207906016595473,0.002069800689805467,-0.0034086078539468053,0.0038481037292368184,-0.006167635882010638,0.005397790424192989,-0.008897084596875679,0.006436067212925139,-0.010994392080035532,0.0068484069872459695,-0.011967156698215808,0.006696989530513385,-0.011526749821132123,0.006192340824318072,-0.009639176023285276,0.005626688874041445,-0.006533086387654399,0.005277625025888999,-0.0026645553282789443,0.00530761172293592,0.001362211913932583,0.005696842815681876,0.0049117110439282855,0.006241380085338881,0.007449569351618489,0.006624282568616663,0.00865603907868076,0.006536909873491451,0.00848745414171919,0.005805851028267677,0.007169652209172418,0.0044771145057471776,0.0051314640671491565,0.002825136428626001,0.0029047755688928556,0.0012816930975852133,0.0010208768733161002,0.0003151873923191195,-4.2066538068159676e-05
