时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,6.1247616847957405,-2.4361224373779912e-06,-4.749337076602376e-06,3.592271214472913e-06,-1.7028511460641116e-05,1.7962632126462846e-05,-4.624086175746604e-05,3.533422814208273e-05,-8.550415697986185e-05,5.0875352724164374e-05,-0.00012574870440330832,6.126544369354243e-05,-0.0001576188253746205,6.527739801205564e-05,-0.00017336462043581496,6.37713113603231e-05,-0.00016838232191461605,5.912966556982223e-05,-0.00014209534618359797,5.4316909093721397e-05,-9.803932311302473e-05,5.183098073836156e-05,-4.313831363738014e-05,5.284890079119125e-05,1.3686188131406679e-05,5.682644888474415e-05,6.330522592222464e-05,6.169007359810988e-05,9.82122941518305e-05,6.457976976596056e-05,0.00011401303941431836,6.291825555476983e-05,0.00011025797391400744,5.5460452081880856e-05,9.044579309506874e-05,4.296218425950293e-05,6.119937281246685e-05,2.8222706374728843e-05,3.081298602058977e-05,1.5411528473788163e-05,7.462278445970288e-06,8.780263570544466e-06,-2.5049908617645526e-06
3,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,13.755578712115842,-5.4782625195264985e-06,-1.0668917416464677e-05,1.2813437057797638e-05,-4.665734670592309e-05,5.580393490749551e-05,-0.0001332571678444004,0.00010781095030478485,-0.0002501173038231376,0.00015438328677393288,-0.0003699716096748416,0.00018550442945422524,-0.00046446480596179263,0.00019743257411567472,-0.0005100069473906741,0.00019272809492259753,-0.0004925498922269886,0.00017858292727472797,-0.00041034544281046733,0.0001639905052796411,-0.0002742487806596745,0.00015655507524199315,-0.00010552835209521505,0.0001598580374934809,6.839300627992518e-05,0.00017219371541519256,0.0002194474236374061,0.0001871284954982098,0.00032457507516918583,0.00019578312727591094,0.00037033685298057146,0.00019015393833557738,0.00035549452510327795,0.0001663908955084575,0.000291017866822182,0.00012689502603687475,0.00019753896014598787,8.045932870255673e-05,0.00010086990979289541,4.020817071827296e-05,2.6507717400155054e-05,1.9727096283930555e-05,-5.63143560049008e-06
4,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,22.468765973515804,-8.972715488301344e-06,-1.7429490072877464e-05,4.197431074114444e-05,-0.00011358595261903403,0.0001593979150493871,-0.0003479794869106174,0.00030132521922189993,-0.0006655558408624078,0.00042848461190309696,-0.000991398649525852,0.000513472245022437,-0.0012469809645947716,0.0005458966025783596,-0.0013667119086222918,0.0005325546419138822,-0.0013114498622446627,0.0004930432849801777,-0.0010763684330004886,0.00045215839934435807,-0.0006919265207277482,0.0004311283609540717,-0.000217846054793775,0.00044015148252715593,0.0002687684227141781,0.00047458730175762236,0.0006889331795781507,0.0005162772207240832,0.0009778118027710797,0.0005399088064443019,0.0010978562929176005,0.0005225537745356168,0.001046152162867624,0.00045320580049851983,0.0008543724184556002,0.000338903952618078,0.0005814621980132807,0.00020510119830329519,0.0003008736062039236,8.970085206837206e-05,8.509079689000502e-05,3.223331599732883e-05,-9.213439140338937e-06
5,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,26.557899985220917,-1.0637638150203894e-05,-2.059980052204836e-05,8.016487588646115e-05,-0.00018871851419414556,0.00028718654615482583,-0.0006012567873696835,0.0005370924605396007,-0.001161512405253325,0.0007611134159710351,-0.0017368792357907396,0.0009112083851479737,-0.002187854556353877,0.0009688919683556039,-0.0023977241842616285,0.0009455559694506455,-0.002296731474150566,0.0008751335982763913,-0.001876135679587833,0.0008012064580927344,-0.0011900085482423153,0.0007617642009673749,-0.0003446609868855828,0.000775752622357704,0.0005223684501023016,0.0008357057445405117,0.0012699340410156498,0.0009095030489711275,0.001782060472420949,0.0009515295041944439,0.0019916860376224103,0.0009200431162945253,0.001893945750081332,0.0007948278572571967,0.0015459881771498509,0.0005885758127035194,0.0010536389388276196,0.00034748671837143996,0.00054838082985647,0.00014018122628382966,0.0001597726953195339,3.8103180218465555e-05,-1.0905464140684975e-05
6,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,28.581615589650117,-1.1482939029353332e-05,-2.216567775332248e-05,0.00011939565447564061,-0.00026240154242147156,0.00041597329304642294,-0.000854292818477053,0.0007736603962917773,-0.0016596807493113866,0.0010945834059883344,-0.0024880216387068643,0.001310403929543921,-0.0031383699846389114,0.0013944293767140306,-0.0034424059920468318,0.0013620112953686657,-0.003299318098016179,0.0012606268001132542,-0.002696020669659066,0.0011522415302158034,-0.001709774341485438,0.0010919327052236897,-0.000493169281203016,0.001108318199155313,0.0007558499258265633,0.0011920982081409875,0.0018336405345052657,0.001297666489373334,0.002572504226371475,0.0013588275623398827,0.0028752889362310416,0.0013142541000558203,0.0027348163699071563,0.0011338086369292774,0.0022335602260676332,0.000835621402132038,0.0015241254112251831,0.0004869377906690794,0.0007958551384252694,0.00018754607756953095,0.00023523669360515952,4.1011117724316045e-05,-1.1750695206771715e-05
7,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,29.77934084744938,-1.2001564056793397e-05,-2.3089660712631845e-05,0.00015900500855377088,-0.0003356355365198702,0.0005449436876580655,-0.001108066497591056,0.0010100856508415772,-0.002161090924728478,0.0014278812090665908,-0.0032461049005822647,0.001710065744563519,-0.004100354430650823,0.0018216327375580401,-0.0045034805974324115,0.0017812284611248136,-0.004323156341323768,0.0016490178980151423,-0.003541422804286031,0.001504873865719823,-0.002258132235042278,0.0014212368363738005,-0.0006716116329790031,0.0014373291501994247,0.0009600652180811349,0.0015430851775078266,0.002370621304067491,0.0016800080897391456,0.0033401340321050424,0.0017611534228827493,0.003740723960542373,0.0017048845932080415,0.003562350655823924,0.0014703906313380248,0.00291239941379991,0.0010809063261974763,0.0019898712571987773,0.0006248673149981678,0.0010415600363638453,0.00023354395346532043,0.0003105931160785452,4.273869027662548e-05,-1.2256943386670678e-05
8,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,30.563572340376748,-1.2357670899892463e-05,-2.3692216847673457e-05,0.00019876222889996903,-0.0004087363774390465,0.0006737929973030098,-0.0013628564416457956,0.0012459870271755882,-0.0026660179447381104,0.0017605636039853144,-0.004011491208001549,0.002109725736675354,-0.0050743843461432256,0.0022500629417208187,-0.00558187137400957,0.0022028488068246243,-0.005369626194936558,0.0020400527907296962,-0.004414243718193296,0.0018589339513252182,-0.00283750645345263,0.0017495325986226049,-0.0008828524282327666,0.0017625989592161132,0.0011318824076881374,0.001888402455914345,0.0028777169358910224,0.0020562122123953834,0.004082017432553978,0.0021582236592693747,0.004585493617120198,0.002091789138289518,0.004374605928048754,0.0018046468499935183,0.00358113768296925,0.0013247414957554538,0.002450014159846269,0.0007617755758885842,0.0012850083874779339,0.00027877213483807034,0.00038557679972720297,4.387919627580002e-05,-1.259333935047099e-05
9,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,31.110229636650317,-1.2621284693351838e-05,-2.4110054472292994e-05,0.00023855724316476418,-0.0004818188316319614,0.0008023502335094688,-0.0016187154802711353,0.0014811161272726256,-0.0031744574934206874,0.00209230300441775,-0.004784166261322561,0.002508999975642855,-0.0060605107141152754,0.00267932631578299,-0.006677775911009568,0.0026265233899147268,-0.0064391415079045914,0.002433464450092962,-0.0053151621697410684,0.002214235651446622,-0.0034488596581939922,0.0020766732097484406,-0.0011281133614069884,0.002083960314285207,0.0012699004855065456,0.002227820596861326,0.0033534726644361113,0.002425992433008134,0.004796784518793727,0.002549748230998995,0.0054084252092194045,0.0024747496323333012,0.005170668934466686,0.0021364918663471523,0.00423913141556778,0.0015671922118052268,0.0029041486903447784,0.0008978489378923526,0.0015259736900654504,0.00032347981057215014,0.0004600691644329061,4.468575516354605e-05,-1.2832038854912789e-05
10,1.535417229281843,51474828.94662423,3137.849354447393,226.60949416168467,2.5092854796795594,0.3781668938377552,0.03450902992144592,0.007621516299912035,2.653898235840154,1264.8606188659776,3.6393897117763654,1.1282604719138032,742.1396011160964,1.0121156220161112,2.135577489141527,210.3308781999733,31.50711333193961,-1.282734956496104e-05,-2.4411421157174436e-05,0.0002783255166382303,-0.0005549228719133187,0.0009304958002909388,-0.0018756095232525126,0.001715275820439536,-0.0036862895375093267,0.0024228148261922554,-0.005563948792889562,0.002907531248903425,-0.007058542595129563,0.0031090352616677287,-0.007791054489225593,0.0030518906514451893,-0.007531670572829402,0.0028289628928087926,-0.006244302327452176,0.0025705713149222023,-0.004092506014140456,0.002402501853597597,-0.0014079057753706133,0.00240125059720092,0.0013734452909734195,0.002561123782374318,0.0037971264498899635,0.002789071953251452,0.0054836779698666715,0.0029354275829601875,0.006208845544586093,0.0028535075311016934,0.005949998256236305,0.002465764477216869,0.004885986355003449,0.0018082169052749683,0.0033520189458499886,0.0010331468220610499,0.0017643122684909013,0.000367782884467653,0.0005340008233507053,4.52847108053596e-05,-1.3009059799010326e-05
