时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,2.7719078997589013,-1.5848373258686618e-07,-6.45093061384375e-08,-1.3307782480704622e-05,3.251187669566e-05,-2.3979408985482303e-05,6.226466636031919e-05,-3.154068137920925e-05,8.598123955809435e-05,-3.5778182809466866e-05,0.00010112002941840134,-3.701928566059237e-05,0.00010600862556469494,-3.6015528897399746e-05,0.00010001906821185777,-3.376759568471633e-05,8.363448085227178e-05,-3.132208664853272e-05,5.8402552054093886e-05,-2.9573766427844234e-05,2.6778916079071985e-05,-2.9105142725109526e-05,-8.122256145315547e-06,-3.0087391468880893e-05,-4.2844043547184635e-05,-3.2255683857731594e-05,-7.393564436899514e-05,-3.4959764087708613e-05,-9.82986027256366e-05,-3.727937439276352e-05,-0.00011349601503457193,-3.8185488627869646e-05,-0.00011799510241612483,-3.6723066709046226e-05,-0.00011132018703458369,-3.2189504555121085e-05,-9.410236750966933e-05,-2.4284002840697383e-05,-6.801898783604683e-05,-1.3205318762700133e-05,-3.5630771948106494e-05,1.5845963189105342e-07,-6.462004698147946e-08
3,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,6.343506587529647,-3.627365215883237e-07,-1.476157273335281e-07,-3.7283780141401446e-05,9.15071117661645e-05,-6.730170542526598e-05,0.0001751851690044007,-8.85600301857824e-05,0.0002419130002197735,-0.00010046149511067271,0.00028455497472083477,-0.00010393148860864219,0.00029840782844339954,-0.00010109069160972223,0.0002816981347442144,-9.476037234043316e-05,0.00023577478361096202,-8.788750677122655e-05,0.00016498099046315855,-8.298641630204285e-05,7.621486225094171e-05,-8.168767652005218e-05,-2.1772774897283006e-05,-8.446208447274712e-05,-0.00011926801569738581,-9.055557497275383e-05,-0.00020657640181629037,-9.813592667420397e-05,-0.0002749971248501202,-0.00010462031563797536,-0.0003176919880821203,-0.00010712895884486815,-0.00033036599235280594,-0.00010299627453891183,-0.00031169550896428626,-9.026757860490293e-05,-0.00026346553395558683,-6.811329344231018e-05,-0.00019039757694226108,-3.7099543268465036e-05,-9.968840074367297e-05,3.626687267275275e-07,-1.4789914015119117e-07
4,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,10.42689174265821,-5.963729850001728e-07,-2.42593920178912e-07,-8.25099587978653e-05,0.00020329557521205318,-0.0001492356656585114,0.0003890201733923051,-0.0001964413404095924,0.0005371452973869398,-0.0002228078953878078,0.0006318421364863409,-0.00023041647076853648,0.0006626564064136493,-0.00022401778947158055,0.0006256285559006223,-0.00020991886299944482,0.0005237370373982007,-0.0001946893054726458,0.0003666216356113673,-0.00018391003482788387,0.00016960775368313481,-0.00018117078678572904,-4.78592883379201e-05,-0.00018746780110835484,-0.00026419879298778085,-0.00020107766299071617,-0.0004578841842712951,-0.0002179024718287521,-0.000609610021808399,-0.0002322104562052295,-0.0007042207022870892,-0.00023764541494367968,-0.0007322172469381234,-0.00022835168345939372,-0.0006907021512872807,-0.0002000577958785984,-0.0005836774278042879,-0.00015097454130688664,-0.00042165731921162147,-8.238012176737698e-05,-0.00022063521901526242,5.962223061962012e-07,-2.431530161458667e-07
5,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,14.496251700759336,-8.295772863532162e-07,-3.3714487045545374e-07,-0.00017561094692249276,0.0004327974341848905,-0.000318204023318425,0.0008277057066456069,-0.0004188506164539903,0.0011424486476487522,-0.0004747558942790196,0.001343259056753756,-0.0004904934761165367,0.0014077866729345424,-0.00047640939670890207,0.0013275401374982453,-0.00044616948715358077,0.0011088796635904694,-0.0004139170291627675,0.0007724433486411803,-0.00039155009025154544,0.000351052815441907,-0.0003865797881929749,-0.00011366200340624117,-0.00040089424324182236,-0.0005755371245402468,-0.00043057231928723277,-0.0009885762824080816,-0.0004667063475494444,-0.0013115862888958875,-0.0004970403956166987,-0.001512286033760119,-0.0005081328209911939,-0.0015705044998847821,-0.0004877130054797029,-0.0014801788591242498,-0.0004269129527773831,-0.0012499756884231865,-0.00032209563133333066,-0.0009024575126425381,-0.00017604259276489615,-0.000471863600155832,8.292551480557787e-07,-3.381904478928013e-07
6,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,16.528173315895778,-9.465600794860009e-07,-3.84248251244342e-07,-0.0002731206953840082,0.0006706871309271075,-0.0004952501410554845,0.0012821011081805373,-0.0006516373223828214,0.001768784632679577,-0.0007379592019989242,0.0020781569305408356,-0.0007615662096961566,0.0021753746853200883,-0.00073892067687767,0.002047202099079323,-0.0006916438927510771,0.0017036117695766674,-0.0006419541355821496,0.0011769038344080008,-0.0006083430228281048,0.0005184150992693301,-0.000602240947421549,-0.00020679370232089413,-0.0006261776933299863,-0.0009266517849802538,-0.0006736308990788429,-0.001569436892703037,-0.0007304477259932088,-0.0020709998273249967,-0.0007774872662138357,-0.0023811441098769534,-0.0007939973698330287,-0.002468576794987715,-0.0007612092666056827,-0.0023239970571731113,-0.000665680481264905,-0.001961054320474793,-0.0005020024844684134,-0.0014150558494124025,-0.00027455702770818154,-0.0007395115654136834,9.460581857380071e-07,-3.8576360409436707e-07
7,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,17.693473843817504,-1.0142464642612615e-06,-4.111741807330328e-07,-0.00037034273712907654,0.0009048838974830213,-0.0006717213364544929,0.0017291530818672983,-0.0008833466786526426,0.0023842862166358865,-0.0009993928646881997,0.002798921588009662,-0.0010301526080151988,0.002925737078733682,-0.0009984486480279836,0.002746784998753006,-0.0009340833316553925,0.0022757273753406713,-0.000867462451506002,0.0015566481820712393,-0.0008236160035018443,0.000659540798162197,-0.0008176778946041277,-0.00032697987759712364,-0.0008525099293977792,-0.0013048628185564864,-0.0009186866022585664,-0.0021766489793044502,-0.0009966147360220131,-0.0028552757560826587,-0.0010602403632525871,-0.0032727039938145073,-0.0010816397876105227,-0.0033865975103378795,-0.001035791984228998,-0.0031844891151491875,-0.0009049347240804593,-0.0026850783145865465,-0.0006820517511201123,-0.0019364952022954598,-0.0003731340756581065,-0.0010116257653031366,1.0135655208993923e-06,-4.1314513019548047e-07
8,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,18.44194634775685,-1.0583566241136302e-06,-4.2839563121760973e-07,-0.00046701872821293893,0.00113473601336712,-0.0008471040304992319,0.0021676299783140694,-0.0011132814690596002,0.0029872398526899547,-0.0012582543782754972,0.0035034973265421184,-0.001295418100362652,0.0036566470175532035,-0.0012541839412588747,0.003424078664080392,-0.001172737498134748,0.002823219605179786,-0.001089758588943795,0.0019100385980871297,-0.0010367373049283357,0.0007732871109550602,-0.0010322800228365233,-0.00047479738366432503,-0.0010792666178290082,-0.0017101730926403758,-0.0011650736850102818,-0.002809695336143263,-0.0012644889369179677,-0.003663483170798177,-0.0013445387115150992,-0.004185764268483407,-0.001370288284334431,-0.004323256121795148,-0.0013107273979845932,-0.004060396325212595,-0.0011440381247222727,-0.00342098430313709,-0.0008617599771684229,-0.002466019370745866,-0.0004714920324381448,-0.0012878270271421935,1.0574980319145239e-06,-4.308162752056445e-07
9,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,18.957579784818655,-1.0894119360822628e-06,-4.4019643626140874e-07,-0.0005630159428549834,0.0013600186859164354,-0.0010211368700528771,0.0025971069612980018,-0.0013410872775025866,0.003577052714087179,-0.0015141364499486768,0.004191169733203031,-0.0015569405672914295,0.004367326315191332,-0.0015057193227100527,0.004078306154527419,-0.0014072310550444953,0.0033453791834520976,-0.0013085018361295865,0.0022364940049486256,-0.0012473909325296498,0.0008592478653064683,-0.0012457381449795754,-0.0006504513692854393,-0.0013061259410178053,-0.002142584759060876,-0.0014124432825158597,-0.0034683964847309016,-0.001533689951506507,-0.0044953009158826916,-0.0016299780984737682,-0.0051199136474260965,-0.0016595339178488932,-0.005278107167326221,-0.0015856292689347075,-0.004951293311431983,-0.0013826583368538687,-0.004168414705786644,-0.0010408785157976093,-0.003003375559597828,-0.0005694894673876374,-0.0015679900832217535,1.0883775126258201e-06,-4.430646285302862e-07
10,1.153848496999248,21532115.519114602,249.760066453513,14.388232456664491,1.3945458416123069,0.14251203558407577,0.05137959651123012,0.002868789065855059,1.4324626332536252,1752.3583795321451,10.0,10.0,0.0,10.0,10.0,0.0,19.329197616675845,-1.112491862292068e-06,-4.486445605214621e-07,-0.000658228445885246,0.0015806119958607595,-0.0011936157115175396,0.003017356048461141,-0.0015664887179953906,0.004153405425389943,-0.001766723567205308,0.004861552802750433,-0.0018143939943948265,0.005057353815425899,-0.0017527412972538653,0.004709047422101813,-0.0016372758409346716,0.0038418252318058468,-0.0015234306527547939,0.00253570821364399,-0.001455333123154154,0.0009172192965023515,-0.0014578111883813204,-0.0008540279144402759,-0.0015328335927536764,-0.0026020658815512757,-0.001660516493259019,-0.004152616341690343,-0.0018039113902531267,-0.0053505133369700815,-0.001916231811250586,-0.006074887489571257,-0.001949046044344298,-0.0062508693699508035,-0.0018601859639148358,-0.005856913284315912,-0.0016205284514333462,-0.004927145069901171,-0.0012192095751687789,-0.0035484041613445265,-0.0006670169273483022,-0.0018520348702399214,1.1112837748839058e-06,-4.519602084014707e-07
