时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,11.617567924966526,-3.4338477456913804e-05,-2.3887667703833987e-06,-2.565928940320966e-05,-3.168633174211408e-05,-4.821933800933218e-06,-7.326808903459346e-05,1.7150945195906434e-05,-0.00012257213085024263,3.619490657630657e-05,-0.00017175684553318173,4.9669216725558996e-05,-0.0002134082548850477,5.669742823632325e-05,-0.00024155287552854487,5.804483367516087e-05,-0.0002524704447606855,5.56707957565008e-05,-0.00024513502105788537,5.206973329058589e-05,-0.0002212299757491854,4.955277054410867e-05,-0.0001847357929459695,4.9640890829681905e-05,-0.0001411627768763023,5.271798772164741e-05,-9.655856921341786e-05,5.802852490848157e-05,-5.646551835405486e-05,6.401148084015561e-05,-2.5017420206364002e-05,6.886590726406376e-05,-4.342271646420265e-06,7.117397539087184e-05,5.624039760357144e-06,7.0384315882009e-05,6.8825486842375315e-06,6.70071143165283e-05,2.7430960399148064e-06,6.254987296268372e-05,-3.0677152465796805e-06,5.350201480945434e-05,-3.7880891436989164e-06
3,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,25.331738767335754,-7.501517783807296e-05,-5.213943876441694e-06,-5.260164344706823e-05,-7.511258587787537e-05,-1.7711121636881364e-06,-0.00017607015231830826,5.199057299522751e-05,-0.00029616537046305437,9.851821492364212e-05,-0.0004157445950501267,0.00013114530574057494,-0.0005159315855187002,0.0001476494584988803,-0.000581416706406955,0.00015000278447903552,-0.0006026950121162211,0.00014324649933291332,-0.0005773054307729572,0.00013378545687578623,-0.0005099175438740625,0.00012750628547468618,-0.0004112628986246969,0.00012817662947203212,-0.00029610068017362076,0.0001365288369629728,-0.0001805650140846126,0.00015026469378078835,-7.936416109446674e-05,0.00016496861289490273,-3.3429695954033032e-06,0.00017565505883718977,4.214133287794854e-05,0.00017848462708256238,5.7746057206002636e-05,0.00017211848554487904,4.949464215730516e-05,0.00015830507634223011,2.7135469349660096e-05,0.00014172565594607585,1.817470868930877e-06,0.00011686978374754613,-8.311828222216533e-06
4,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,36.93248258223687,-0.00010955341530626607,-7.601866995869652e-06,-7.006454601469113e-05,-0.00012123223570013743,1.4352215510290832e-05,-0.00028809772265315,0.00010372435787015266,-0.00048687165623898025,0.00018082287248629363,-0.0006840831255537823,0.00023430175687073524,-0.00084721559500881,0.0002604046223028579,-0.0009497990318031182,0.0002626114220089321,-0.0009755028111586392,0.0002497174596302329,-0.0009204348824597773,0.00023285497514484086,-0.0007933554752957185,0.00022217141348250037,-0.0006137960447268546,0.00022398448986350858,-0.0004084170226162762,0.00023915064880359447,-0.0002062268102425611,0.0002630922609828359,-3.3512018688621404e-05,0.00028747957746591075,9.059009096506961e-05,0.00030308246932410614,0.00015705429641454921,0.0003029481475087354,0.00016794353747640042,0.0002849352555308107,0.00013526071653993438,0.00025284831172059553,7.800364958210092e-05,0.00021613491139641343,1.800899042214883e-05,0.0001706509322440255,-1.2192707409227357e-05
5,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,49.92509874857191,-0.0001484018279111567,-1.0256466681508296e-05,-7.698464897979779e-05,-0.0001948916130619749,6.392565081826477e-05,-0.0004717276964022771,0.00021285933258832095,-0.0008012226797645274,0.0003404475900798333,-0.0011256982419825697,0.0004273888024825228,-0.0013886110521268403,0.00046745693386946667,-0.0015439193267407975,0.00046698644302826584,-0.0015636181032018472,0.0004415577725619436,-0.0014420135615763896,0.0004107498794404273,-0.0011961744190632125,0.0003922151872903295,-0.0008625355036759824,0.00039655524180835853,-0.0004902422289238437,0.00042436799872240457,-0.00013236390508855823,0.0004663355298765852,0.00016346132134180356,0.000506397202701729,0.0003632158481758759,0.0005271395289025119,0.0004519809741463444,0.0005158287294441158,0.000435717095101686,0.00046924925239003685,0.00033909983876321485,0.00039588329499267783,0.0002000218943965657,0.0003151745046712109,6.19079090919946e-05,0.00023107561765135012,-1.6624362157659197e-05
6,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,63.46172911704244,-0.00018914989305732931,-1.2933519602121086e-05,-4.4741653391029504e-05,-0.00034015566682857914,0.0002127156858997555,-0.0008429632084546291,0.0004830166272219598,-0.0014383762750127531,0.0007115885885865363,-0.0020167067383842813,0.0008630668384061256,-0.0024701884918289147,0.0009266870813336122,-0.0027117220788824897,0.0009153226456469873,-0.0026898553324572576,0.0008592534335642659,-0.0023972263360241704,0.0007961681184069144,-0.0018713460261025824,0.0007596834486072404,-0.0011876915742876561,0.0007692229611693476,-0.00044624294849947776,0.0008240701895298484,0.00024632092850755146,0.0009035404621290513,0.0007956219849654282,0.0009735627398029899,0.0011362038590270658,0.0009979892158356622,0.0012425351878634753,0.000951333786746717,0.001132315050145287,0.0008289782767227407,0.0008616317221803127,0.0006516078364603736,0.0005133133922936173,0.00046293833617208494,0.00018103343470800626,0.0002942267920674345,-2.142797730830069e-05
7,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,70.09385827181316,-0.0002093302186188561,-1.4129534073327495e-05,1.6886634729811033e-05,-0.0004913709109021314,0.0003977335614950067,-0.0012346318869677865,0.0007951877266621879,-0.0021108516417759735,0.0011282549036016247,-0.002953759981543818,0.0013451394023367895,-0.0036004700516218424,0.001430674814111004,-0.003920414282695443,0.001404758224137989,-0.003838217350628542,0.0013131956290378813,-0.0033463739723153985,0.0012129293045009847,-0.002506118178604769,0.0011547755331475546,-0.0014365259172171973,0.0011678425392498207,-0.0002935549318354399,0.0012500700058517143,0.0007576429873117935,0.0013682230383482887,0.0015723052917332072,0.0014681317734920845,0.002051909729013399,0.0014926946939487705,0.0021611072108704806,0.0014023404353146775,0.0019323969950846413,0.001191399967223773,0.001457931100188903,0.0008949576131192131,0.0008707424004360013,0.000584363936308387,0.00031969572398423595,0.0003252342906767831,-2.3959016673253593e-05
8,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,73.74675262236468,-0.00022061223757398953,-1.4688736625615037e-05,8.879403835926489e-05,-0.0006416558923280102,0.0005922021559209665,-0.0016261167747922108,0.00111531600314987,-0.0027833976764868413,0.0015512902194820624,-0.003890124117715212,0.0018324296738326297,-0.004728085195426167,0.001939236212123604,-0.005123448784897457,0.0018982048625011904,-0.004977421107606561,0.0017700643343088339,-0.004282953891483859,0.0016306655476406755,-0.0031255258401636414,0.001548194314184919,-0.0016681866775220006,0.0015620391154030106,-0.00012311300325697067,0.0016694466532223842,0.0012859545692512338,0.0018249333894179872,0.0023639302846441257,0.0019540101537483773,0.0029795456118027522,0.0019780531143847374,0.003088219354858859,0.0018428979642681166,0.002737955806919608,0.0015417516474239572,0.0020575293264661165,0.0011245325445808224,0.0012303542062386246,0.0006908329023734414,0.00046023945122895165,0.00034235110584523006,-2.5488125956146467e-05
9,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,76.04038416408252,-0.00022784460742894048,-1.4955992557682066e-05,0.0001654225722391225,-0.0007922245274880692,0.0007908953884200299,-0.002019666017813088,0.0014388426780559556,-0.003460201692288793,0.001977091278493862,-0.0048329052452040925,0.0023224365847515412,-0.005863917086483862,0.0024509417793331556,-0.006336047414534643,0.0023951061151784086,-0.006127161964473283,0.0022298619290614077,-0.005230772406266538,0.002049594388848602,-0.003756624066350174,0.001940101000078168,-0.0019116859654102413,0.0019518087006383706,3.5694016155858e-05,0.0020821367321721207,0.0018031599882769903,0.0022738632745267803,0.003145224286123089,0.0024320992143937463,0.003897834109454195,0.0024561499353684462,0.004007243674347912,0.002276629966864944,0.0035370795161775936,0.0018853091598881027,0.0026527441592795005,0.0013470820811531611,0.001587791975097073,0.0007901553875113407,0.0006005216148793551,0.000353148233582244,-2.6556332226045486e-05
10,1.1829311748924234,55773267.32085316,26.816157677323645,113.85539824129165,0.8979954788553639,0.13999465492192928,0.08675371039528186,0.005071738988539656,0.9531983291786118,667.1438742272397,0.6119200193380934,5.376792863100315,147.46059533632388,0.3931390441481817,3.463163955901404,100.442621495136,77.59909073132387,-0.0002329002617624765,-1.5064782552529382e-05,0.0002445675324619329,-0.0009434579973542701,0.0009916616534745406,-0.0024159574062163876,0.0017638087243983637,-0.00414263274018711,0.0024040296950970123,-0.0057846216878778755,0.0028139547663988277,-0.007012048769621213,0.002965032513238956,-0.0075641364311670595,0.0028950967251908486,-0.007295284003820855,0.0026925007028731464,-0.006199429444756741,0.002469758712706825,-0.004410373272146687,0.0023305387803431317,-0.002178754450657159,0.0023371295990514333,0.0001710779280905829,0.002488085940226098,0.0022981482504944913,0.002715058013188575,0.003906396803771677,0.002902743671016954,0.004798755679521392,0.0029278357885678123,0.004912125773095921,0.002705035048125287,0.004325606845895087,0.0022242409415221174,0.0032410119560087763,0.0015653316384486881,0.0019416549655464606,0.0008854115569919118,0.0007398384288468641,0.00036055079720628906,-2.7373331433052376e-05
